name,pred,exp_tm
CSP_ind_0,45.432251809148354,40.0
CSP_ind_1,77.77850486211308,81.5
CSP_ind_2,78.19559931226094,79.0
CSP_ind_3,65.46076946039,60.0
CSP_ind_4,67.77754346201478,62.0
CSP_ind_5,45.52962321552248,53.8
CSP_ind_6,72.13457607238908,76.9
CSP_ind_7,46.77658420406738,58.4
CSP_ind_8,48.23561737317597,61.0
CSP_ind_9,48.35106265948199,59.8
CSP_ind_10,72.78714393648788,76.0
CSP_ind_12,46.39680617824495,64.2
CSP_ind_13,51.48427902728051,77.0
CSP_ind_14,51.6386844530002,69.5
CSP_ind_15,52.19954359403428,83.7
CSP_ind_16,51.78792619816949,61.1
CSP_ind_17,51.07289716071797,75.7
CSP_ind_18,57.93512921053605,85.0
CSP_ind_19,52.75690173171105,74.7
CSP_ind_20,45.89047706071163,50.7
CSP_ind_21,62.6854199072651,82.2
CSP_ind_22,54.11274212825872,70.1
CSP_ind_23,57.105455287204,75.1
CSP_ind_24,45.41911007248666,63.1
CSP_ind_25,49.77011472953195,70.4
CSP_ind_26,51.054018888338526,69.6
CSP_ind_27,45.94557993937976,64.0
CSP_ind_28,49.32759708681726,64.6
CSP_ind_29,44.58839423139376,49.1
CSP_ind_30,44.7880791674674,51.3
CSP_ind_31,48.626961284947086,60.2
CSP_ind_32,44.92479594338516,65.6
CSP_ind_33,45.86610975798291,61.9
CSP_ind_34,46.07345239039656,57.1
CSP_ind_35,55.942275863893926,74.6
CSP_ind_36,49.88462588267308,69.2
CSP_ind_37,50.225724208632414,73.2
CSP_ind_38,47.86895613387728,71.8
CSP_ind_39,49.84323859383952,74.5
CSP_ind_40,53.30167701581623,78.1
CSP_ind_41,47.77185618500405,70.8
CSP_ind_42,54.23563652775147,85.6
CSP_ind_43,61.93991377730336,69.3
CSP_ind_44,46.35958855646581,54.7
CSP_ind_45,49.85761186931048,70.7
CSP_ind_46,57.74657802402179,71.2
CSP_ind_47,57.28003439646555,69.4
CSP_ind_48,57.500990822150925,69.9
CSP_ind_49,44.711112981915335,48.6
CSP_ind_50,47.44890359537392,62.2
CSP_ind_51,44.69533451467496,57.9
CSP_ind_52,54.84422228866977,67.6
CSP_ind_53,56.245126626379495,69.7
CSP_ind_54,59.484387068504006,77.0
CSP_ind_55,46.49901591537059,61.5
CSP_ind_56,47.31073771544395,62.7
CSP_ind_57,50.50208391264685,51.8
CSP_ind_58,47.110099684100575,59.9
CSP_ind_59,50.52807596835896,68.8
CSP_ind_60,45.65239186631996,62.4
CSP_ind_61,51.29413502395944,66.7
CSP_ind_62,47.64218333203271,66.4
CSP_ind_63,47.58676608162639,64.4
CSP_ind_64,49.90276163894709,66.8
CSP_ind_65,67.39658080364242,73.5
CSP_ind_66,69.04419210541425,74.0
CSP_ind_67,72.67743119387754,75.4
CSP_ind_68,76.70689843311727,77.7
CSP_ind_69,68.89171682236648,76.0
CSP_ind_70,64.98777871718715,73.5
CSP_ind_71,77.88111579745697,74.4
CSP_ind_72,65.38534818737988,63.0
CSP_ind_73,55.53849281134583,56.0
CSP_ind_74,55.59186614645117,63.0
CSP_ind_75,79.1839920411617,80.9
CSP_ind_76,52.32003479623957,59.1
CSP_ind_77,57.49647584518726,60.0
CSP_ind_78,56.59306528215956,64.6
CSP_ind_79,46.112530294461344,44.6
CSP_ind_80,46.90031493218426,50.3
CSP_ind_81,57.15975876345217,70.9
CSP_ind_82,65.33391896702369,76.1
CSP_ind_83,60.03094079844235,64.9
CSP_ind_84,73.63251049858576,79.2
CSP_ind_85,72.0268234126162,76.7
CSP_ind_86,69.20047178549684,75.0
CSP_ind_87,68.03001091392707,74.7
CSP_ind_88,61.99987993686095,75.9
CSP_ind_89,63.69308013069734,77.8
CSP_ind_90,71.79694282158842,77.8
CSP_ind_91,67.63264503686004,75.4
CSP_ind_92,61.8185064060325,68.0
CSP_ind_93,66.51178903155946,75.0
CSP_ind_94,65.30334806199475,76.1
CSP_ind_95,72.56604180199687,75.1
CSP_ind_96,68.50345674764614,66.6
CSP_ind_97,64.4939376427012,68.9
CSP_ind_98,70.19433358463651,76.9
