name,pred,exp_tm
6IBB,52.733538422533485,72.12
5MP2,54.72020014294162,70.27
6XW6,53.35934776268231,66.07
7BC6,54.103752094552114,63.0
5MY6,54.69165119709226,74.28
6SC5,53.68135424308133,65.24
6RTW,54.06605143810224,64.21
1ZVY,53.82894927914584,65.1
7DSS,52.19454757841092,67.53
7AZB,52.54754412615646,59.91
5IP4,53.213407419766725,63.24
3K81,55.36111729062269,64.1
3QXV,51.84170272750412,67.24
6RL7,52.413026954400486,72.09
5L21,51.54351464679888,66.86
6DBD,52.58445835425812,65.6
7NQA,53.69026443634649,65.87
6UI1,54.60685865226765,67.83
6X05,52.21380110086516,66.67
7B27,52.49658197238272,65.74
1BZQ_NbThermo.00491,54.90056568819684,70.11
1JTO_NbThermo.00112,55.410606388251786,67.01
1KXT,55.24621092729642,57.85
1KXV,51.81078252054388,56.99
1QD0,52.53916886384898,66.56
1RI8,55.8093974171986,78.14
2BSE,53.843198801932566,75.23
2X6M,54.38068864575598,67.13
3DWT_NbThermo.00113_NbThermo.00133,55.42313734553643,77.72
3EBA,53.47493875779397,86.21
3G9A,54.5796809660001,66.55
3J69,53.441860862903695,66.03
3J6A,53.95160814933634,69.02
3P9W,56.92042706016845,60.0
3SN6,53.09589027400523,60.26
4B5E,56.01630791322292,61.66
4C57,53.7843504085552,63.78
4I0C,53.63913062562365,75.79
4I13,53.898073137337065,65.39
4IDL,54.03778792183104,53.76
4LJP,54.01660226069386,71.72
4LJS,53.41953348345386,72.49
4QGY,56.01369912679874,74.65
4YGA,52.66200937104375,73.41
4Z9K_NbThermo.00231,52.65369199305633,73.49
5C1M,49.40513812354773,61.35
5FOJ,54.24487805884861,70.81
5J56,51.57136698479664,73.74
5KU2,53.34819405301256,55.16
5M2M,53.70471156422579,74.98
5NM0,56.234332198696265,72.73
5O03,54.12553456298909,69.2
5OCL,53.09684636329152,71.69
5OVW,52.40050198514895,76.47
5TD8,50.955813149351314,66.55
5TJW,51.36219301225738,66.25
5U64,53.58117844120149,73.39
5VLV,54.05654842955936,69.62
5VM4,50.668573189179085,72.93
5VXK,52.37361970851474,65.75
6CK8,53.45414830684193,66.66
6EQI,54.71033984842328,62.47
6FYU,52.40042613672958,64.58
6GWN,54.42464080877093,64.42
6HEQ,54.12975013829733,60.61
6HHU,54.92713858312045,70.29
6I2G,50.94114047222493,61.03
6I8H,53.21690243509094,66.04
6ITP,56.67994765053897,68.38
6KNM,54.60087461118141,69.42
6KSN,53.27409014728627,63.03
6OBC,52.23307657944078,64.04
6OQ5,54.11203554035193,65.81
6OS1,54.3541397029648,71.54
6QKD,54.35842513865931,69.2
6QV1,52.38885126873123,63.83
6RAF,51.91969286671771,86.19
6U12,54.72737580261641,61.28
6U50,50.631341595322695,57.07
6U53,54.75169120905819,65.19
6X02,53.71398503149952,76.46
6X03,53.793639843917205,66.97
6XXN,52.45100904840646,80.66
7B18,54.3251296785661,66.14
7E9G,54.26466052422741,59.28
7JVB_NbThermo.00028,54.72527001097332,72.91
7KBI,53.687743474407895,63.45
7MJH,53.79072766381554,59.64
7MY3,53.02416960545604,60.89
7NQK,53.32685869104768,66.46
7OAN,55.06142421759623,67.55
7OAP,55.599900090871486,69.0
