name,pred,exp_tm
WP_068424237.1,54.076510535931405,42.7
WP_229068674.1,72.41914736580604,67.3
MGYP001121581011,48.73630676152678,74.2
WP_085753242.1,47.41873189255221,49.3
WP_103564847.1,67.06881183938216,53.8
WP_240508704.1,68.18590735989072,57.4
RAY11579.1,68.34956429676274,69.4
WP_230616214.1,45.0897981916955,73.9
MGYP000271253724,48.74811715882739,63.4
NUT34383.1,61.25653149482923,48.7
WP_139580723.1,58.97742621347776,68.5
MBT8227529.1,49.71985317563188,47.5
MGYP001097842225,46.78082672552462,59.2
WP_242883606.1,44.80567600076167,69.1
WP_231775152.1,62.87448207260461,45.7
WP_231443412.1,51.97367897721114,42.7
WP_221382552.1,46.36280213423393,59.8
WP_218617243.1,72.80448927239159,60.1
OAA20861.1,55.703538971898965,43.0
WP_019629726.1,55.88523984853734,46.6
KAA1376628.1,56.96333530941152,35.8
MBX3624429.1,58.84217650567154,56.2
MGYP001149455765,54.83660950257808,68.8
WP_184682765.1,63.08924288003392,59.5
MBB5966108.1,49.48034781938802,39.1
WP_077315388.1,43.30970664743003,45.7
ACV09511,44.05338542928823,42.4
WP_085750434.1,52.92403571980795,47.8
WP_166054040.1,59.909822848771725,49.9
WP_042734330.1,45.999472237354496,60.4
WP_203674568.1,67.81741178644985,44.2
WP_084693247.1,46.43181421580714,68.8
TDP67440,54.2286884133348,46.9
WP_201805840.1,54.2916905056783,44.5
WP_233427406.1,45.536743984893775,40.3
MGYP001489421514,62.77240606821839,56.2
OKI36454.1,48.918650353718775,58.0
MBJ7347705.1,59.18223890190314,63.1
WP_119729924.1,49.23301410786057,43.9
WP_035284691,52.22465341286844,51.7
WP_187224800.1,57.198894551837,49.6
MGYP000221121644,50.25985000931664,57.1
WP_129786244.1,45.73090096840293,52.0
WP_130342639,54.08607741682744,50.5
WP_199827708.1,56.25584919766543,66.1
WP_228771581.1,77.03521031237935,66.1
WP_194636445.1,65.69139655954527,47.5
WP_114422580.1,44.93353248369017,65.8
WP_203733135.1,58.70221421580908,61.9
WP_233872418.1,44.28134585769927,51.4
WP_103564314,71.30797999807469,46.9
WP_103935912.1,55.02775350742824,49.3
SCE72613.1,63.7395372875626,40.6
WP_261809161.1,54.53602820464056,46.3
WP_013736455.1,47.20408884977402,63.1
WP_164449727.1,46.33081605738041,62.8
MXX05622.1,79.56360938809573,52.3
MGYP002620941758,73.85960865022922,69.1
MBN1171866.1,64.98131962547433,64.3
MBO9569276.1,53.946478400973554,55.6
MGYP001498898836,79.83432836492213,67.6
MBN1575504.1,75.19912367251261,64.6
GGY18408.1,48.14960925763036,51.4
WP_151469820.1,47.17018460631481,33.4
GIG90696.1,46.417649523489445,60.4
WCH76321.1,59.373542587636194,73.9
WP_132265752.1,48.011587090495,64.0
