name,pred,exp_tm
1,49.57648968296391,34.8
2,52.889844050759535,39.8
3,52.61338055417122,41.5
4,45.53426593719245,41.6
5,46.65680058777439,42.1
6,44.641350400192565,43.2
7,44.538282378321405,43.7
8,38.65188714998149,44.2
9,44.566132720308126,44.5
10,45.57082287931865,44.6
11,52.07360527771147,45.0
12,52.32148789227385,45.8
13,49.94637847210798,46.0
14,50.8570325591857,46.5
15,53.0810379558856,46.7
16,48.245908806078106,47.0
17,45.234439131426576,47.6
18,51.74532932664805,47.8
19,42.28496156753428,48.0
20,46.43478627623989,48.3
21,54.637022371045205,49.2
22,55.32601544054181,49.2
23,46.19335077732412,49.3
24,55.76018376909248,49.3
25,54.541038192341176,49.6
26,56.74008546704566,50.4
27,50.00178773847014,50.5
28,47.362146975689775,51.0
29,43.91609779421415,51.0
30,46.43527729495477,51.0
31,51.37783175872523,51.0
32,53.05545707844692,52.5
33,52.05080883566816,51.4
34,50.0800972394495,51.5
35,50.15389974750935,51.5
36,55.0096716434522,51.5
37,52.519386398470175,51.9
38,57.56159570524007,52.0
39,54.698202105312745,52.1
40,47.94118578524068,52.1
41,51.18635641604308,52.3
42,50.19530699645327,52.5
43,51.96000430560281,52.6
44,45.97225163684966,52.6
45,49.42521599855987,52.7
46,49.822386266545365,52.9
47,52.07520009052932,53.0
48,41.70491577041568,53.0
49,48.93498371202719,53.2
50,54.97951590871878,53.6
51,45.656418818585294,53.6
52,55.98575497229332,53.7
53,45.75787805556136,53.8
54,53.48956552666651,53.9
55,54.48446125952288,53.9
56,52.19501065297129,54.0
57,56.800991747801255,54.0
58,60.30550010050222,54.4
59,43.796677451929725,54.6
60,50.77786078143874,54.6
61,46.18860825510234,55.0
62,45.05445682029029,56.0
63,53.09441921387162,56.2
64,56.727101415255824,56.5
65,50.28183207885722,56.7
66,64.11562568698479,56.9
67,49.58770526897577,57.0
68,50.15170413536964,57.1
69,47.346955335694005,57.1
70,49.59975518760071,57.1
71,51.30065000398127,57.2
72,60.78460063348656,57.3
73,52.23052368132561,57.4
74,49.80239621601881,57.5
75,48.35425228511768,57.5
76,50.53144323897686,57.7
77,47.46945851702368,57.8
78,46.202118255800194,57.9
79,48.88775809091304,58.0
80,54.50909802374148,58.0
81,47.60159644362463,58.5
82,54.85258158288896,58.9
83,50.81414227404196,59.0
84,43.871582756087015,59.0
85,52.25981314726936,59.0
86,51.90887648291307,59.0
88,50.28526721385035,59.5
89,51.92635355554518,60.0
90,52.55636050690292,60.0
91,54.47161692850557,60.6
92,52.47958194638825,60.9
93,55.73006795457979,61.0
94,45.83639613969399,61.2
95,59.49444896013699,61.4
96,44.56780537755638,61.4
97,49.86738433934323,62.0
98,53.61421441985999,62.2
99,56.04090874924288,62.5
100,52.17122418945408,62.7
101,59.28641670591037,63.0
102,60.09971735071329,63.1
103,50.70523392387916,63.2
104,44.6856558571609,63.5
105,56.12835998076757,63.6
106,52.09641569183204,63.7
107,50.94757561180532,64.0
108,52.19973321508271,64.3
109,42.343345888345766,64.4
110,56.84718942323183,64.6
111,49.91995927003414,64.7
112,50.69716005923813,64.9
113,53.25043542049744,64.9
114,52.04281281545754,64.9
115,48.25403656301711,65.0
116,48.11973496045304,65.0
117,47.60159644362463,65.0
118,54.71190272506455,65.1
119,56.35115074059512,65.2
120,45.58921811702736,65.5
121,56.74710543785963,66.0
122,57.45848377112611,66.0
123,50.71244351574156,66.0
124,55.67144910247157,66.2
125,45.85181532494787,66.2
126,49.91634449404776,66.4
127,47.30620078235889,66.6
128,56.51959011990964,66.7
129,53.00325739783081,66.9
130,46.85041964630932,67.0
131,50.14602149194985,67.0
132,50.63928771525741,67.2
133,52.05483079790591,67.6
134,60.21696503498492,67.7
135,54.06995962771092,68.5
137,59.89306234410159,68.7
138,58.40482254350725,68.9
139,52.57683758412228,69.0
140,55.636938071657376,69.0
141,48.61160397603532,69.8
142,54.6843717448436,69.2
143,51.1260369625321,69.6
144,52.26837204259216,70.0
145,48.52135832906008,70.0
146,52.10024803302135,70.0
147,49.45450346849258,70.2
148,53.0230398632096,70.2
149,57.58325042897073,70.4
150,58.08269231042398,70.6
151,46.14840060879112,70.7
152,54.98010672798547,71.0
153,43.77721634432774,71.2
154,53.71766767186112,71.2
155,51.40199347231724,72.0
156,57.16652324485351,72.4
157,48.90654055476274,72.9
158,47.58550260664054,73.0
159,50.42445704744184,73.3
160,52.90858659438853,73.9
161,55.21665399587383,74.0
162,43.86221747230563,74.3
163,52.93452874982473,75.5
164,54.06187777902575,76.0
165,59.52807775407322,76.8
166,71.94157777328638,76.9
167,42.64941521862704,77.6
168,53.57774330620836,78.0
169,52.58034457551271,78.0
170,53.30522392742738,78.3
171,56.00522605995049,79.4
172,74.75076769751733,79.4
173,53.334365688554456,79.4
174,59.97533791900968,79.5
175,51.33191552085076,80.1
176,45.6841523939264,80.2
177,54.30060269495449,80.2
