name,pred,sp,exp_tm
P61500_recA,77.9422836303711,T.thermophilus,72.06
Q72G97_recG,79.64707946777344,T.thermophilus,72.153
P62662_rpsB,74.62616729736328,T.thermophilus,72.216
Q746P0_TT_P0013,84.7366714477539,T.thermophilus,72.228
Q746N8_cbiX,82.4913330078125,T.thermophilus,72.234
Q72H90_soj,87.4217529296875,T.thermophilus,72.258
Q72LP8_TT_C0010,77.27359008789062,T.thermophilus,72.269
Q72JA0_minD,79.09967803955078,T.thermophilus,72.273
Q72L65_hflX,82.35526275634766,T.thermophilus,72.276
Q72L52_TT_C0211,73.47308349609375,T.thermophilus,72.283
Q72JN6_TT_C0734,74.41683959960938,T.thermophilus,72.316
Q72I41_TT_C1291,81.4505844116211,T.thermophilus,72.328
Q72JQ4_TT_C0714,86.97818756103516,T.thermophilus,72.33
Q72JG1_rimO,77.76181030273438,T.thermophilus,72.356
Q72KY6_TT_C0279,59.93449783325195,T.thermophilus,72.378
Q72LK3_TT_C0056,91.1734848022461,T.thermophilus,72.379
Q72LH6_livF,79.76207733154297,T.thermophilus,72.441
Q72J57_TT_C0922,82.96122741699219,T.thermophilus,72.471
Q72GX5_pstB,57.30487823486328,T.thermophilus,72.472
Q72HC1_rlmN,72.60726928710938,T.thermophilus,72.512
Q72IH8_TT_C1154,82.52727508544922,T.thermophilus,72.547
Q72IZ8_TT_C0983,82.07295989990234,T.thermophilus,72.562
Q72I16_rplE,73.17681884765625,T.thermophilus,72.567
P61941_rpsL,75.18585968017578,T.thermophilus,72.573
P62663_rpsC,62.61016845703125,T.thermophilus,72.621
Q72KA4_TT_C0543,78.28546905517578,T.thermophilus,72.621
Q72LA0_TT_C0159,85.87397003173828,T.thermophilus,72.623
Q72J11_livF,77.35696411132812,T.thermophilus,72.658
P61537_ruvB,73.99639129638672,T.thermophilus,72.665
Q72L33_TT_C0230,83.18022918701172,T.thermophilus,72.691
Q72J12_livG,70.8264389038086,T.thermophilus,72.734
Q72GG8_TT_C1880,84.72142028808594,T.thermophilus,72.752
Q72IJ8_TT_C1134,85.79178619384766,T.thermophilus,72.86
Q72J51_ftsE,48.0598258972168,T.thermophilus,72.886
Q72J39_miaB,79.04700469970703,T.thermophilus,72.972
Q72KZ4_TT_C0271,77.62848663330078,T.thermophilus,73.132
Q72I11_rplP,68.93592071533203,T.thermophilus,73.157
Q72GI4_dcd,79.20280456542969,T.thermophilus,73.294
Q72I12_rpmC,71.79872131347656,T.thermophilus,73.338
Q72KT1_TT_C0411,90.35891723632812,T.thermophilus,73.343
Q72L15_clpP,72.45541381835938,T.thermophilus,73.347
Q72HM2_mreB,75.06861877441406,T.thermophilus,73.349
Q72IY3_TT_C0998,85.06145477294922,T.thermophilus,73.418
Q72HV0_plsX,85.2238540649414,T.thermophilus,73.469
Q72KC1_TT_C0526,76.89037322998047,T.thermophilus,73.486
Q72L74_plsY,90.4465560913086,T.thermophilus,73.558
Q745Z3_TT_P0162,78.4549789428711,T.thermophilus,73.594
Q72K96_TT_C0551,73.493896484375,T.thermophilus,73.624
Q72I53_metK,66.59307861328125,T.thermophilus,73.648
Q72IN7_TT_C1095,87.33687591552734,T.thermophilus,73.667
Q72GJ7_phoU,73.71562957763672,T.thermophilus,73.693
