name,pred,sp,exp_tm
P61500_recA,58.27251434326172,T.thermophilus,72.06
Q72G97_recG,80.01253509521484,T.thermophilus,72.153
P62662_rpsB,50.37886047363281,T.thermophilus,72.216
Q746P0_TT_P0013,78.51932525634766,T.thermophilus,72.228
Q746N8_cbiX,82.2803726196289,T.thermophilus,72.234
Q72H90_soj,79.04084777832031,T.thermophilus,72.258
Q72LP8_TT_C0010,76.59197235107422,T.thermophilus,72.269
Q72JA0_minD,69.80467224121094,T.thermophilus,72.273
Q72L65_hflX,78.5135726928711,T.thermophilus,72.276
Q72L52_TT_C0211,47.133785247802734,T.thermophilus,72.283
Q72JN6_TT_C0734,65.86370086669922,T.thermophilus,72.316
Q72I41_TT_C1291,79.19869232177734,T.thermophilus,72.328
Q72JQ4_TT_C0714,81.49971008300781,T.thermophilus,72.33
Q72JG1_rimO,78.31690216064453,T.thermophilus,72.356
Q72KY6_TT_C0279,78.04706573486328,T.thermophilus,72.378
Q72LK3_TT_C0056,76.87184143066406,T.thermophilus,72.379
Q72LH6_livF,78.78437042236328,T.thermophilus,72.441
Q72J57_TT_C0922,77.44377899169922,T.thermophilus,72.471
Q72GX5_pstB,44.18626403808594,T.thermophilus,72.472
Q72HC1_rlmN,74.5616455078125,T.thermophilus,72.512
Q72IH8_TT_C1154,70.21391296386719,T.thermophilus,72.547
Q72IZ8_TT_C0983,75.07292938232422,T.thermophilus,72.562
Q72I16_rplE,51.17241287231445,T.thermophilus,72.567
P61941_rpsL,43.03510665893555,T.thermophilus,72.573
P62663_rpsC,76.28385162353516,T.thermophilus,72.621
Q72KA4_TT_C0543,78.95894622802734,T.thermophilus,72.621
Q72LA0_TT_C0159,81.17511749267578,T.thermophilus,72.623
Q72J11_livF,57.201904296875,T.thermophilus,72.658
P61537_ruvB,73.44243621826172,T.thermophilus,72.665
Q72L33_TT_C0230,82.8781967163086,T.thermophilus,72.691
Q72J12_livG,57.98727798461914,T.thermophilus,72.734
Q72GG8_TT_C1880,53.72336196899414,T.thermophilus,72.752
Q72IJ8_TT_C1134,71.19850158691406,T.thermophilus,72.86
Q72J51_ftsE,68.17193603515625,T.thermophilus,72.886
Q72J39_miaB,48.36433029174805,T.thermophilus,72.972
Q72KZ4_TT_C0271,69.81065368652344,T.thermophilus,73.132
Q72I11_rplP,47.5296516418457,T.thermophilus,73.157
Q72GI4_dcd,70.33773040771484,T.thermophilus,73.294
Q72I12_rpmC,47.655181884765625,T.thermophilus,73.338
Q72KT1_TT_C0411,84.46004486083984,T.thermophilus,73.343
Q72L15_clpP,58.2590446472168,T.thermophilus,73.347
Q72HM2_mreB,67.9716567993164,T.thermophilus,73.349
Q72IY3_TT_C0998,80.94160461425781,T.thermophilus,73.418
Q72HV0_plsX,79.17133331298828,T.thermophilus,73.469
Q72KC1_TT_C0526,72.177734375,T.thermophilus,73.486
Q72L74_plsY,77.48999786376953,T.thermophilus,73.558
Q745Z3_TT_P0162,42.6303939819336,T.thermophilus,73.594
Q72K96_TT_C0551,73.11407470703125,T.thermophilus,73.624
Q72I53_metK,76.01406860351562,T.thermophilus,73.648
Q72IN7_TT_C1095,81.07027435302734,T.thermophilus,73.667
Q72GJ7_phoU,75.7446060180664,T.thermophilus,73.693
Q72I54_TT_C1278,76.72340393066406,T.thermophilus,73.702
Q72JC6_TT_C0852,69.78022003173828,T.thermophilus,73.707
Q72K93_rnr,79.87401580810547,T.thermophilus,73.717
P62657_rpsO,51.13541030883789,T.thermophilus,73.801
Q72JC7_TT_C0851,43.1769905090332,T.thermophilus,73.932
Q72HG4_TT_C1523,79.63971710205078,T.thermophilus,74.007
P62668_rpsH,66.69573974609375,T.thermophilus,74.105
Q72LF7_appF,63.56405258178711,T.thermophilus,74.211
Q72KN4_TT_C0377,81.239013671875,T.thermophilus,74.219
Q72JH7_TT_C0795,46.9407958984375,T.thermophilus,74.223
Q72HQ8_TT_C1428,66.01512908935547,T.thermophilus,74.253
Q72GX4_pstA,75.8212890625,T.thermophilus,74.329
Q72J58_TT_C0921,79.8232192993164,T.thermophilus,74.333
Q72K85_mnmE,80.81134796142578,T.thermophilus,74.34
P61989_cbiD,75.73603057861328,T.thermophilus,74.514
Q72HI3_TT_C1504,81.4740982055664,T.thermophilus,74.517
Q72J29_TT_C0952,82.2336654663086,T.thermophilus,74.567
Q746D0_TT_P0125,76.36904907226562,T.thermophilus,74.57
Q72IW1_aroB,83.14278411865234,T.thermophilus,74.594
Q72IH2_glyA,70.15027618408203,T.thermophilus,74.619
Q72JU9_rplS,40.11775970458984,T.thermophilus,74.62
Q72G84_rpmB,43.67416000366211,T.thermophilus,74.63
Q72GX1_mnmA,82.41771697998047,T.thermophilus,74.642
Q746A1_TT_P0154,53.01975631713867,T.thermophilus,74.656
Q72KB4_mfd,78.3967056274414,T.thermophilus,74.665
Q72JZ8_nadA,73.46697235107422,T.thermophilus,74.775
Q72H76_purM,76.2570571899414,T.thermophilus,74.781
Q72I07_rplB,47.26575469970703,T.thermophilus,74.798
Q72LH3_TT_C0086,45.48452758789063,T.thermophilus,74.877
Q72L86_clpA,79.7295150756836,T.thermophilus,74.889
Q72KZ7_chlI,75.84620666503906,T.thermophilus,74.892
Q72I20_rplR,64.85173797607422,T.thermophilus,74.903
Q72I04_rplC,45.17970275878906,T.thermophilus,74.907
Q72GJ8_phoB,82.60433197021484,T.thermophilus,74.914
Q72JK8_TT_C0764,67.185546875,T.thermophilus,74.928
Q72GE4_murE,83.96770477294922,T.thermophilus,74.998
Q72LQ3_TT_C0005,81.60704040527344,T.thermophilus,75.017
Q72KR6_mqnE,77.43324279785156,T.thermophilus,75.087
