name,pred,sp,exp_tm
P61500_recA,48.61906814575195,T.thermophilus,72.06
Q72G97_recG,79.40925598144531,T.thermophilus,72.153
P62662_rpsB,46.39482498168945,T.thermophilus,72.216
Q746P0_TT_P0013,49.90529251098633,T.thermophilus,72.228
Q746N8_cbiX,76.72685241699219,T.thermophilus,72.234
Q72H90_soj,66.01946258544922,T.thermophilus,72.258
Q72LP8_TT_C0010,67.53392791748047,T.thermophilus,72.269
Q72JA0_minD,47.68356323242188,T.thermophilus,72.273
Q72L65_hflX,72.89500427246094,T.thermophilus,72.276
Q72L52_TT_C0211,62.22347640991211,T.thermophilus,72.283
Q72JN6_TT_C0734,79.31715393066406,T.thermophilus,72.316
Q72I41_TT_C1291,72.77996063232422,T.thermophilus,72.328
Q72JQ4_TT_C0714,80.3895263671875,T.thermophilus,72.33
Q72JG1_rimO,72.65901947021484,T.thermophilus,72.356
Q72KY6_TT_C0279,58.946197509765625,T.thermophilus,72.378
Q72LK3_TT_C0056,78.2950668334961,T.thermophilus,72.379
Q72LH6_livF,73.47845458984375,T.thermophilus,72.441
Q72J57_TT_C0922,56.27482986450195,T.thermophilus,72.471
Q72GX5_pstB,43.29482269287109,T.thermophilus,72.472
Q72HC1_rlmN,43.04703140258789,T.thermophilus,72.512
Q72IH8_TT_C1154,71.75999450683594,T.thermophilus,72.547
Q72IZ8_TT_C0983,68.5786361694336,T.thermophilus,72.562
Q72I16_rplE,60.452430725097656,T.thermophilus,72.567
P61941_rpsL,43.88463973999024,T.thermophilus,72.573
P62663_rpsC,46.83123016357422,T.thermophilus,72.621
Q72KA4_TT_C0543,75.70214080810547,T.thermophilus,72.621
Q72LA0_TT_C0159,79.97341918945312,T.thermophilus,72.623
Q72J11_livF,46.94084167480469,T.thermophilus,72.658
P61537_ruvB,77.52491760253906,T.thermophilus,72.665
Q72L33_TT_C0230,66.41667175292969,T.thermophilus,72.691
Q72J12_livG,59.52773666381836,T.thermophilus,72.734
Q72GG8_TT_C1880,39.659706115722656,T.thermophilus,72.752
Q72IJ8_TT_C1134,77.00579833984375,T.thermophilus,72.86
Q72J51_ftsE,47.527862548828125,T.thermophilus,72.886
Q72J39_miaB,47.20989608764648,T.thermophilus,72.972
Q72KZ4_TT_C0271,54.321903228759766,T.thermophilus,73.132
Q72I11_rplP,42.63144302368164,T.thermophilus,73.157
Q72GI4_dcd,62.900489807128906,T.thermophilus,73.294
Q72I12_rpmC,48.81330490112305,T.thermophilus,73.338
Q72KT1_TT_C0411,70.70877075195312,T.thermophilus,73.343
Q72L15_clpP,43.754337310791016,T.thermophilus,73.347
Q72HM2_mreB,66.71188354492188,T.thermophilus,73.349
Q72IY3_TT_C0998,78.45953369140625,T.thermophilus,73.418
Q72HV0_plsX,70.22721099853516,T.thermophilus,73.469
Q72KC1_TT_C0526,65.55133056640625,T.thermophilus,73.486
Q72L74_plsY,74.99327087402344,T.thermophilus,73.558
Q745Z3_TT_P0162,41.6648063659668,T.thermophilus,73.594
Q72K96_TT_C0551,74.20927429199219,T.thermophilus,73.624
Q72I53_metK,56.9273681640625,T.thermophilus,73.648
Q72IN7_TT_C1095,77.48009490966797,T.thermophilus,73.667
Q72GJ7_phoU,54.117034912109375,T.thermophilus,73.693
Q72I54_TT_C1278,70.39846801757812,T.thermophilus,73.702
Q72JC6_TT_C0852,45.752227783203125,T.thermophilus,73.707
Q72K93_rnr,76.54528045654297,T.thermophilus,73.717
P62657_rpsO,46.72361373901367,T.thermophilus,73.801
Q72JC7_TT_C0851,47.1430778503418,T.thermophilus,73.932
Q72HG4_TT_C1523,74.52521514892578,T.thermophilus,74.007
P62668_rpsH,64.45409393310547,T.thermophilus,74.105
Q72LF7_appF,71.09955596923828,T.thermophilus,74.211
Q72KN4_TT_C0377,71.94065856933594,T.thermophilus,74.219
Q72JH7_TT_C0795,54.45903015136719,T.thermophilus,74.223
Q72HQ8_TT_C1428,56.36668395996094,T.thermophilus,74.253
Q72GX4_pstA,71.52784729003906,T.thermophilus,74.329
Q72J58_TT_C0921,46.72002029418945,T.thermophilus,74.333
Q72K85_mnmE,73.05042266845703,T.thermophilus,74.34
P61989_cbiD,53.11042404174805,T.thermophilus,74.514
Q72HI3_TT_C1504,61.78116607666016,T.thermophilus,74.517
Q72J29_TT_C0952,67.80182647705078,T.thermophilus,74.567
Q746D0_TT_P0125,71.30842590332031,T.thermophilus,74.57
Q72IW1_aroB,83.74720001220703,T.thermophilus,74.594
Q72IH2_glyA,50.94595718383789,T.thermophilus,74.619
Q72JU9_rplS,44.4057846069336,T.thermophilus,74.62
Q72G84_rpmB,49.09574508666992,T.thermophilus,74.63
Q72GX1_mnmA,51.480587005615234,T.thermophilus,74.642
