name,pred,exp_tm
6IBB,56.04183197021485,72.12
5MP2,56.93882751464844,70.27
6XW6,55.57929611206055,66.07
7BC6,57.312007904052734,63.0
5MY6,56.99575424194336,74.28
6SC5,58.17507553100586,65.24
6RTW,56.431766510009766,64.21
1ZVY,54.28401565551758,65.1
7DSS,56.651554107666016,67.53
7AZB,55.56851196289063,59.91
5IP4,54.35988235473633,63.24
3K81,54.940185546875,64.1
3QXV,55.07860565185547,67.24
6RL7,56.51036071777344,72.09
5L21,54.182865142822266,66.86
6DBD,53.6444206237793,65.6
7NQA,53.433502197265625,65.87
6UI1,54.60161972045898,67.83
6X05,54.26616287231445,66.67
7B27,51.13998031616211,65.74
1BZQ_NbThermo.00491,55.63700485229492,70.11
1JTO_NbThermo.00112,56.12202072143555,67.01
1KXT,55.75237655639648,57.85
1KXV,54.54354095458984,56.99
1QD0,54.875301361083984,66.56
1RI8,54.47371292114258,78.14
2BSE,54.134071350097656,75.23
2X6M,57.86751937866211,67.13
3DWT_NbThermo.00113_NbThermo.00133,56.04236602783203,77.72
3EBA,56.461212158203125,86.21
3G9A,51.75368881225586,66.55
3J69,56.82674789428711,66.03
3J6A,56.09066390991211,69.02
3P9W,57.96797943115234,60.0
3SN6,60.04021835327149,60.26
4B5E,54.3711166381836,61.66
4C57,58.71115493774414,63.78
4I0C,56.136905670166016,75.79
4I13,54.55215072631836,65.39
4IDL,53.68800735473633,53.76
4LJP,54.14573669433594,71.72
4LJS,56.53135681152344,72.49
4QGY,58.19187545776367,74.65
4YGA,55.37204360961914,73.41
4Z9K_NbThermo.00231,54.880470275878906,73.49
5C1M,52.89795303344727,61.35
5FOJ,56.58800506591797,70.81
5J56,54.37848663330078,73.74
5KU2,55.4277458190918,55.16
5M2M,55.58755874633789,74.98
5NM0,53.41885757446289,72.73
5O03,54.470699310302734,69.2
5OCL,56.0419807434082,71.69
5OVW,56.27096176147461,76.47
5TD8,53.39677047729492,66.55
5TJW,55.29449081420898,66.25
5U64,57.92685317993164,73.39
5VLV,55.91861724853516,69.62
5VM4,51.456817626953125,72.93
5VXK,55.57314300537109,65.75
6CK8,53.13101196289063,66.66
6EQI,54.834747314453125,62.47
6FYU,53.45051956176758,64.58
6GWN,56.4428939819336,64.42
6HEQ,57.437477111816406,60.61
6HHU,53.27566909790039,70.29
6I2G,55.658477783203125,61.03
6I8H,55.518856048583984,66.04
6ITP,53.88072967529297,68.38
6KNM,59.77853393554688,69.42
6KSN,57.85114669799805,63.03
6OBC,54.99615859985352,64.04
6OQ5,51.9387321472168,65.81
6OS1,56.65483856201172,71.54
6QKD,55.41779708862305,69.2
6QV1,52.5875244140625,63.83
6RAF,53.34111404418945,86.19
6U12,58.90560531616211,61.28
6U50,53.3288688659668,57.07
6U53,55.78076171875,65.19
6X02,56.10030746459961,76.46
6X03,56.02246475219727,66.97
6XXN,59.47314834594727,80.66
7B18,57.17713928222656,66.14
7E9G,56.14813232421875,59.28
7JVB_NbThermo.00028,55.50139999389648,72.91
7KBI,56.7666130065918,63.45
7MJH,56.75735855102539,59.64
7MY3,55.314002990722656,60.89
7NQK,55.68967056274414,66.46
7OAN,54.98584747314453,67.55
7OAP,56.37517166137695,69.0
7OLZ,55.711402893066406,68.79
sdAb.4875,53.57024765014648,84.2
7KGJ,58.31502914428711,61.6
NbPep1_NbThermo.00045,55.35542678833008,71.86
NbPep2_NbThermo.00046,54.23590469360352,76.13
NbD1_NbThermo.00047,56.56953048706055,65.94
NbPep3_NbThermo.00048,58.42305755615234,60.68
NbPep4_NbThermo.00049,55.2441520690918,67.33
NbD9_NbThermo.00050,55.91753005981445,63.12
NbD8_NbThermo.00051,56.27931213378906,57.2
NbPep5_NbThermo.00052,51.9044189453125,70.44
NbPep7_NbThermo.00054,56.10384750366211,68.49
NbD6_NbThermo.00056,55.91553497314453,70.75
NbPep9_NbThermo.00057,55.81974411010742,72.41
NbPep13_NbThermo.00061,53.833641052246094,69.19
NbPep14_NbThermo.00062,56.3427619934082,72.02
NbPep15_NbThermo.00063,55.37082290649414,67.08
NbPep16_NbThermo.00064,56.80745315551758,74.44
NbPep17_NbThermo.00065,55.84506607055664,71.28
NbPep18_NbThermo.00066,58.55247116088867,70.65
NbD4_NbThermo.00069,54.638450622558594,57.46
NbD3_NbThermo.00085,54.98689651489258,68.48
NbD2_NbThermo.00086,55.75693130493164,66.53
NbD5_NbThermo.00087,59.86263656616211,58.19
NbPep47_NbThermo.00095,54.21676254272461,67.06
NbPep50_NbThermo.00096,54.74886322021485,62.39
NbPep51_NbThermo.00097,53.34885787963867,72.45
NbPep52_NbThermo.00098,56.05590438842773,59.0
NbPep10_NbThermo.00058,56.37788772583008,84.58
NbPep11_NbThermo.00059,57.33307266235352,68.0
NbPep12_NbThermo.00060,56.442684173583984,68.57
NbPep19_NbThermo.00067,59.20189666748047,71.43
NbD12_NbThermo.00070,53.87175369262695,61.46
NbPep21_NbThermo.00071,59.25615310668945,68.73
NbPep22_NbThermo.00072,55.1416130065918,69.54
NbPep23_NbThermo.00073,54.70223617553711,69.63
NbPep24_NbThermo.00074,57.07474899291992,76.09
NbPep25_NbThermo.00075,56.02727508544922,68.33
NbD10_NbThermo.00076,55.25872421264648,59.54
NbPep26_NbThermo.00077,57.63630294799805,72.88
NbPep27_NbThermo.00078,58.29034423828125,85.8
NbPep28_NbThermo.00079,56.24661636352539,63.9
NbPep29_NbThermo.00080,55.21220016479492,55.1
NbPep30_NbThermo.00081,55.33924865722656,75.95
NbPep31_NbThermo.00082,53.93558120727539,62.82
NbPep32_NbThermo.00083,54.62570190429688,58.85
NbPep33_NbThermo.00084,54.942527770996094,74.37
NbD11_NbThermo.00088,54.86819076538086,60.24
NbPep34_NbThermo.00089,53.488731384277344,71.37
NbPep35_NbThermo.00090,54.758697509765625,70.51
NbPep36_NbThermo.00091,56.06107711791992,74.55
NbPep37_NbThermo.00092,56.75043869018555,72.37
NbPep38_NbThermo.00093,56.56892013549805,79.74
NbPep39_NbThermo.00094,56.4485969543457,76.28
NbPep55_NbThermo.00101,55.24522018432617,75.68
NbPep57_NbThermo.00103,53.65569686889648,71.72
NbPep60_NbThermo.00104,55.39426803588867,79.41
NbPep61_NbThermo.00105,54.9346809387207,74.55
