name,pred,exp_tm
WP_068424237.1,46.00185012817383,42.7
WP_229068674.1,48.58824157714844,67.3
MGYP001121581011,51.5278549194336,74.2
WP_085753242.1,44.24043273925781,49.3
WP_103564847.1,50.87631607055664,53.8
WP_240508704.1,50.3900032043457,57.4
RAY11579.1,48.496543884277344,69.4
WP_230616214.1,60.318115234375,73.9
MGYP000271253724,54.35078430175781,63.4
NUT34383.1,45.78351211547852,48.7
WP_139580723.1,53.44135665893555,68.5
MBT8227529.1,49.61505126953125,47.5
MGYP001097842225,47.31081771850586,59.2
WP_242883606.1,47.7159309387207,69.1
WP_231775152.1,46.90712356567383,45.7
WP_231443412.1,45.550086975097656,42.7
WP_221382552.1,50.01408004760742,59.8
WP_218617243.1,50.96883773803711,60.1
OAA20861.1,42.902645111083984,43.0
WP_019629726.1,49.42585754394531,46.6
KAA1376628.1,46.26139450073242,35.8
MBX3624429.1,48.71361923217773,56.2
MGYP001149455765,47.468746185302734,68.8
WP_184682765.1,43.03520965576172,59.5
MBB5966108.1,46.76101303100586,39.1
WP_077315388.1,42.8597297668457,45.7
ACV09511,46.82939147949219,42.4
WP_085750434.1,48.417999267578125,47.8
WP_166054040.1,48.27931594848633,49.9
WP_042734330.1,44.56459426879883,60.4
WP_203674568.1,49.31648635864258,44.2
WP_084693247.1,74.67717742919922,68.8
TDP67440,45.90177536010742,46.9
WP_201805840.1,46.74861526489258,44.5
WP_233427406.1,54.81034851074219,40.3
MGYP001489421514,47.858673095703125,56.2
OKI36454.1,49.37247467041016,58.0
MBJ7347705.1,44.865177154541016,63.1
WP_119729924.1,48.14910888671875,43.9
WP_035284691,49.51644515991211,51.7
WP_187224800.1,45.7994499206543,49.6
MGYP000221121644,44.93683242797852,57.1
WP_129786244.1,54.18104553222656,52.0
WP_130342639,49.75428771972656,50.5
WP_199827708.1,46.158180236816406,66.1
WP_228771581.1,45.90581893920898,66.1
WP_194636445.1,47.678001403808594,47.5
WP_114422580.1,43.438209533691406,65.8
WP_203733135.1,42.71979141235352,61.9
WP_233872418.1,44.15678024291992,51.4
WP_103564314,51.07406234741211,46.9
WP_103935912.1,46.737911224365234,49.3
SCE72613.1,50.46187973022461,40.6
WP_261809161.1,47.6754264831543,46.3
WP_013736455.1,50.37035751342773,63.1
WP_164449727.1,48.54872131347656,62.8
MXX05622.1,57.7374153137207,52.3
MGYP002620941758,48.580867767333984,69.1
MBN1171866.1,51.593448638916016,64.3
MBO9569276.1,52.31882858276367,55.6
MGYP001498898836,54.82445907592773,67.6
MBN1575504.1,47.33425521850586,64.6
GGY18408.1,48.04739761352539,51.4
WP_151469820.1,52.92040252685547,33.4
GIG90696.1,49.14207077026367,60.4
WCH76321.1,43.49716567993164,73.9
WP_132265752.1,50.40250396728516,64.0
MGYP001195032839,44.15509033203125,30.7
WP_109639600.1,48.83825302124024,57.7
GGO06455.1,49.15925216674805,51.4
WP_132413760.1,48.1716194152832,69.7
MGYP001477358452,44.1546745300293,54.1
WP_260709492.1,51.33161544799805,60.7
WP_079085207.1,47.61909103393555,56.8
MGYP001369932055,41.23113250732422,69.1
MCB1670591.1,47.54008865356445,53.5
MGYP001481302102,52.46360778808594,53.8
MBN1366053.1,43.725318908691406,50.8
MGYP001473616946,38.81857299804688,69.1
WP_264933993.1,52.02373123168945,61.0
MBP7765893.1,46.9591178894043,69.1
MBE1573625.1,47.4675407409668,40.6
MGYP000861817556,44.6520881652832,67.9
WP_071091307.1,47.92644119262695,40.3
MGYP006125138823,41.88230514526367,68.5
WP_256510026.1,49.03303527832031,54.4
WP_249044522.1,45.22387313842773,50.8
WP_119728035.1,49.30756759643555,46.9
WP_229874892.1,48.26753616333008,44.2
WP_086599340.1,55.23978805541992,64.6
MBN2738032.1,45.15863037109375,51.7
WP_225255694.1,49.86903762817383,41.5
WP_252811421.1,51.446048736572266,43.9
SOD43347.1,49.73609924316406,54.1
WP_236244959.1,49.98834991455078,36.1
OLR94321.1,49.45759582519531,41.2
WP_212846608.1,51.62193298339844,50.2
GIU85371.1,56.88186264038086,67.0
QEV16333.1,54.56130599975586,50.2
MGYP000483234479,49.91030883789063,44.5
WP_254876803.1,48.68141174316406,60.4
WP_045318561.1,47.578426361083984,55.3
MGYP003582062575,41.48923110961914,25.3
WAU86704.1,48.30512619018555,53.5
NUT97030.1,46.798805236816406,42.1
WP_143590710.1,44.84188461303711,51.4
WP_221087162.1,49.5600471496582,57.1
WP_019633337.1,54.31010818481445,56.5
MBP2328848.1,50.87259292602539,61.6
GHA15288.1,49.8798828125,40.0
MGYP001223859710,57.10304260253906,68.8
GAQ59813.1,48.82799911499024,68.5
WP_239095870.1,49.73607635498047,65.2
WP_239486438.1,50.56346130371094,54.7
WP_109361459.1,53.32520294189453,60.4
NUT53577.1,53.808101654052734,47.2
MGYP001126223609,48.11100769042969,55.9
MGYP002393323206,42.7403450012207,68.2
WP_250563816.1,52.67527770996094,50.8
WP_211769896.1,47.9471321105957,71.8
WP_260422593.1,49.18351364135742,63.1
WP_140175735.1,50.01866149902344,56.2
OLT30808.1,56.32795333862305,49.3
WP_253762837.1,49.575626373291016,52.0
NUS07026.1,45.49037551879883,46.6
WP_218517662.1,49.41427993774414,73.0
MGYP003403985752,48.29610061645508,44.2
WP_150070118.1,49.947452545166016,61.6
WP_256510519.1,48.34817123413086,64.0
WP_167521412.1,52.03606796264648,64.6
WP_132386942.1,50.18094253540039,61.3
WP_232326807.1,55.35748672485352,65.8
WP_246496818.1,50.01298141479492,59.8
GIU85367.1,51.05978012084961,82.3
WP_173061649.1,49.05948257446289,59.5
UAC02078.1,42.28022384643555,67.6
WP_229836555.1,43.1535530090332,68.5
KWV30420.1,51.04520797729492,62.2
WP_268945827.1,44.957366943359375,49.6
WP_158852571.1,49.57013702392578,57.4
WP_031525917.1,51.40906524658203,37.0
WP_266249215.1,51.61066436767578,54.4
WP_111214096.1,50.15655899047852,65.8
WP_197042608.1,56.28126907348633,57.1
NJC12853.1,49.85518264770508,62.2
WP_109037790.1,43.03923034667969,55.0
WP_239104322.1,50.04304504394531,62.5
MBP2707703.1,51.223419189453125,55.9
WBC00352.1,50.84724807739258,60.7
GGO08527.1,52.45164108276367,49.6
WP_273813526.1,46.20920181274414,51.7
WP_203777396.1,55.877811431884766,61.6
WP_203790592.1,49.44028091430664,58.6
WP_252811421.1,51.58549118041992,43.9
SCF49212.1,51.01554107666016,67.0
WP_204285002.1,51.68343353271485,59.8
WP_210157342.1,52.09740829467773,68.8
WP_132399348.1,51.33266830444336,73.3
MBX3621832.1,43.667606353759766,63.4
WP_085749238.1,43.47871017456055,62.8
MBF9135495.1,50.23096466064453,62.8
WP_181548579.1,48.43122482299805,63.4
WP_082536249.1,43.87163925170898,43.9
WP_239135698.1,43.02212905883789,65.2
WP_267938240.1,47.87870407104492,63.1
WP_234583022.1,52.39450454711914,59.2
WP_182904095.1,55.823368072509766,68.8
TWG17167.1,48.55916976928711,62.5
GHJ08786.1,50.40934371948242,64.6
WP_240522201.1,47.22249221801758,52.0
WP_257828484.1,42.1343994140625,58.6
WP_260615299.1,54.88640213012695,59.2
WP_259405879.1,51.86215972900391,60.7
WP_211363689.1,50.084957122802734,55.0
WP_203822553.1,51.89113235473633,47.8
WP_156114969.1,45.779388427734375,55.3
TNH28703.1,48.28499603271485,63.7
MGYP000246415913,50.09804153442383,35.2
MBO4274871.1,50.23661422729492,62.8
WP_169980303.1,50.22373580932617,59.8
WP_192329846.1,42.15188217163086,49.6
GLI01021.1,50.25659942626953,63.1
WP_084261341.1,50.48038482666016,61.6
WP_252275389.1,49.72183990478516,52.0
WP_203990226.1,51.69930648803711,58.6
WP_220815207.1,46.75040054321289,56.5
WP_007455959.1,52.39889144897461,51.7
