name,pred,sp,exp_tm
P61500_recA,72.21460723876953,T.thermophilus,72.06
Q72G97_recG,88.01335906982422,T.thermophilus,72.153
P62662_rpsB,72.74036407470703,T.thermophilus,72.216
Q746P0_TT_P0013,82.91290283203125,T.thermophilus,72.228
Q746N8_cbiX,83.8578109741211,T.thermophilus,72.234
Q72H90_soj,79.87097930908203,T.thermophilus,72.258
Q72LP8_TT_C0010,64.41710662841797,T.thermophilus,72.269
Q72JA0_minD,60.78657150268555,T.thermophilus,72.273
Q72L65_hflX,86.38823699951172,T.thermophilus,72.276
Q72L52_TT_C0211,69.32823181152344,T.thermophilus,72.283
Q72JN6_TT_C0734,68.177734375,T.thermophilus,72.316
Q72I41_TT_C1291,71.13853454589844,T.thermophilus,72.328
Q72JQ4_TT_C0714,82.8732681274414,T.thermophilus,72.33
Q72JG1_rimO,68.94900512695312,T.thermophilus,72.356
Q72KY6_TT_C0279,52.168983459472656,T.thermophilus,72.378
Q72LK3_TT_C0056,88.55825805664062,T.thermophilus,72.379
Q72LH6_livF,72.8762435913086,T.thermophilus,72.441
Q72J57_TT_C0922,79.82158660888672,T.thermophilus,72.471
Q72GX5_pstB,56.59786987304688,T.thermophilus,72.472
Q72HC1_rlmN,82.93851470947266,T.thermophilus,72.512
Q72IH8_TT_C1154,85.55651092529297,T.thermophilus,72.547
Q72IZ8_TT_C0983,77.77758026123047,T.thermophilus,72.562
Q72I16_rplE,72.07157897949219,T.thermophilus,72.567
P61941_rpsL,74.04743194580078,T.thermophilus,72.573
P62663_rpsC,46.12797164916992,T.thermophilus,72.621
Q72KA4_TT_C0543,61.50297546386719,T.thermophilus,72.621
Q72LA0_TT_C0159,81.8834457397461,T.thermophilus,72.623
Q72J11_livF,71.24378204345703,T.thermophilus,72.658
P61537_ruvB,72.0060043334961,T.thermophilus,72.665
Q72L33_TT_C0230,86.45500946044922,T.thermophilus,72.691
Q72J12_livG,55.787540435791016,T.thermophilus,72.734
Q72GG8_TT_C1880,81.56937408447266,T.thermophilus,72.752
Q72IJ8_TT_C1134,81.93319702148438,T.thermophilus,72.86
Q72J51_ftsE,48.84194946289063,T.thermophilus,72.886
Q72J39_miaB,76.379150390625,T.thermophilus,72.972
Q72KZ4_TT_C0271,80.94112396240234,T.thermophilus,73.132
Q72I11_rplP,61.91307830810547,T.thermophilus,73.157
Q72GI4_dcd,79.01273345947266,T.thermophilus,73.294
Q72I12_rpmC,73.36702728271484,T.thermophilus,73.338
Q72KT1_TT_C0411,85.88043975830078,T.thermophilus,73.343
Q72L15_clpP,73.75672149658203,T.thermophilus,73.347
Q72HM2_mreB,70.72444152832031,T.thermophilus,73.349
Q72IY3_TT_C0998,82.79480743408203,T.thermophilus,73.418
Q72HV0_plsX,83.73957061767578,T.thermophilus,73.469
Q72KC1_TT_C0526,77.10325622558594,T.thermophilus,73.486
Q72L74_plsY,87.26769256591797,T.thermophilus,73.558
Q745Z3_TT_P0162,56.85026168823242,T.thermophilus,73.594
Q72K96_TT_C0551,73.67178344726562,T.thermophilus,73.624
Q72I53_metK,64.1500244140625,T.thermophilus,73.648
Q72IN7_TT_C1095,74.59101867675781,T.thermophilus,73.667
Q72GJ7_phoU,85.10710144042969,T.thermophilus,73.693
Q72I54_TT_C1278,85.71479034423828,T.thermophilus,73.702
Q72JC6_TT_C0852,82.87989044189453,T.thermophilus,73.707
Q72K93_rnr,82.82030487060547,T.thermophilus,73.717
P62657_rpsO,73.8582763671875,T.thermophilus,73.801
Q72JC7_TT_C0851,60.34048843383789,T.thermophilus,73.932
Q72HG4_TT_C1523,80.88843536376953,T.thermophilus,74.007
P62668_rpsH,74.14385223388672,T.thermophilus,74.105
Q72LF7_appF,65.55016326904297,T.thermophilus,74.211
Q72KN4_TT_C0377,57.08568954467773,T.thermophilus,74.219
Q72JH7_TT_C0795,72.20378112792969,T.thermophilus,74.223
Q72HQ8_TT_C1428,74.28475189208984,T.thermophilus,74.253
Q72GX4_pstA,58.67741775512695,T.thermophilus,74.329
Q72J58_TT_C0921,84.59305572509766,T.thermophilus,74.333
Q72K85_mnmE,81.30867767333984,T.thermophilus,74.34
P61989_cbiD,74.29749298095703,T.thermophilus,74.514
Q72HI3_TT_C1504,82.06432342529297,T.thermophilus,74.517
Q72J29_TT_C0952,83.48310089111328,T.thermophilus,74.567
Q746D0_TT_P0125,68.37977600097656,T.thermophilus,74.57
Q72IW1_aroB,85.21484375,T.thermophilus,74.594
Q72IH2_glyA,50.89888000488281,T.thermophilus,74.619
Q72JU9_rplS,73.18553924560547,T.thermophilus,74.62
Q72G84_rpmB,74.44794464111328,T.thermophilus,74.63
Q72GX1_mnmA,87.0655517578125,T.thermophilus,74.642
Q746A1_TT_P0154,66.24266052246094,T.thermophilus,74.656
Q72KB4_mfd,86.44759368896484,T.thermophilus,74.665
Q72JZ8_nadA,70.80413055419922,T.thermophilus,74.775
Q72H76_purM,83.15523529052734,T.thermophilus,74.781
Q72I07_rplB,60.69862365722656,T.thermophilus,74.798
Q72LH3_TT_C0086,73.77542114257812,T.thermophilus,74.877
Q72L86_clpA,81.22883605957031,T.thermophilus,74.889
Q72KZ7_chlI,52.356292724609375,T.thermophilus,74.892
Q72I20_rplR,73.8178939819336,T.thermophilus,74.903
Q72I04_rplC,66.25562286376953,T.thermophilus,74.907
Q72GJ8_phoB,86.1321792602539,T.thermophilus,74.914
Q72JK8_TT_C0764,87.26520538330078,T.thermophilus,74.928
Q72GE4_murE,86.13623809814453,T.thermophilus,74.998
Q72LQ3_TT_C0005,75.35486602783203,T.thermophilus,75.017
Q72KR6_mqnE,68.11793518066406,T.thermophilus,75.087
Q72HT7_TT_C1399,83.88988494873047,T.thermophilus,75.133
Q72J77_recG,61.03494644165039,T.thermophilus,75.135
Q72HA7_TT_C1588,70.4948959350586,T.thermophilus,75.154
Q72IN1_rplM,69.49893951416016,T.thermophilus,75.174
Q72L56_TT_C0207,78.05166625976562,T.thermophilus,75.207
P62667_rpsG,73.2542953491211,T.thermophilus,75.21
Q72J09_dppB,82.14698028564453,T.thermophilus,75.231
Q72KY9_TT_C0276,83.30353546142578,T.thermophilus,75.235
Q72HJ5_TT_C1492,81.03626251220703,T.thermophilus,75.237
Q72HJ9_TT_C1488,65.28777313232422,T.thermophilus,75.326
Q72K53_ftsK,82.95496368408203,T.thermophilus,75.37
Q72GD9_TT_C1909,76.28750610351562,T.thermophilus,75.385
P62664_rpsD,79.18860626220703,T.thermophilus,75.488
Q72JP5_ftsA,69.88385772705078,T.thermophilus,75.507
Q72L14_clpX,83.45732116699219,T.thermophilus,75.523
P62655_rpsM,74.30681610107422,T.thermophilus,75.534
Q72JU4_ffh,81.34220886230469,T.thermophilus,75.536
Q72KY0_TT_C0285,56.97233963012695,T.thermophilus,75.605
Q746M7_TT_P0026,83.7556381225586,T.thermophilus,75.606
Q8VUS5_lysK,75.45159149169922,T.thermophilus,75.641
Q746Q1_TT_P0001,69.33181762695312,T.thermophilus,75.659
Q72I09_rplV,73.1236572265625,T.thermophilus,75.696
Q72J94_TT_C0885,87.45917510986328,T.thermophilus,75.875
Q72LC8_clR,75.43592834472656,T.thermophilus,75.901
Q72JB3_leuC,84.00586700439453,T.thermophilus,75.903
Q72KF5_phzF,86.50174713134766,T.thermophilus,76.134
Q72I14_rplN,73.78224182128906,T.thermophilus,76.136
Q72GC0_TT_C1928,84.6315689086914,T.thermophilus,76.15
Q72K88_TT_C0559,83.09262084960938,T.thermophilus,76.174
P61671_mutS,62.42780685424805,T.thermophilus,76.259
Q8VRK4_dprA,86.52641296386719,T.thermophilus,76.297
Q72JP4_ftsZ,55.7523307800293,T.thermophilus,76.303
Q72JR8_rho,60.18536376953125,T.thermophilus,76.319
Q746N0_cobQ,77.65816497802734,T.thermophilus,76.361
Q72GQ3_TT_C1795,85.08342742919922,T.thermophilus,76.378
Q72HX7_TT_C1355,78.87214660644531,T.thermophilus,76.415
P62665_rpsE,71.53040313720703,T.thermophilus,76.438
Q72I58_prs,72.22340393066406,T.thermophilus,76.466
Q72GU0_rlmH,82.20854187011719,T.thermophilus,76.489
Q72KI6_TT_C0489,85.35193634033203,T.thermophilus,76.489
Q72IB2_TT_C1220,79.2522964477539,T.thermophilus,76.505
Q72JP1_mqnC,82.04199981689453,T.thermophilus,76.545
Q72GH2_TT_C1876,75.92857360839844,T.thermophilus,76.703
Q746H1_parA,84.56831359863281,T.thermophilus,76.764
Q746B7_fdhD,52.68557357788086,T.thermophilus,76.772
Q72GF3_TT_C1895,67.89305877685547,T.thermophilus,76.795
Q72L10_TT_C0255,86.00054931640625,T.thermophilus,76.834
Q72L76_rplT,61.76813125610352,T.thermophilus,76.851
Q72LF3_TT_C0106,79.58587646484375,T.thermophilus,76.886
Q72GT5_TT_C1763,77.91676330566406,T.thermophilus,76.941
Q745U7_TT_P0210,55.54467010498047,T.thermophilus,77.005
Q72I55_speA,84.42472076416016,T.thermophilus,77.032
