name,pred,sp,exp_tm
P61500_recA,40.177581787109375,T.thermophilus,72.06
Q72G97_recG,78.45328521728516,T.thermophilus,72.153
P62662_rpsB,41.21683120727539,T.thermophilus,72.216
Q746P0_TT_P0013,59.05573654174805,T.thermophilus,72.228
Q746N8_cbiX,57.79984664916992,T.thermophilus,72.234
Q72H90_soj,50.29952621459961,T.thermophilus,72.258
Q72LP8_TT_C0010,51.34238052368164,T.thermophilus,72.269
Q72JA0_minD,54.17245101928711,T.thermophilus,72.273
Q72L65_hflX,69.99403381347656,T.thermophilus,72.276
Q72L52_TT_C0211,44.48577499389648,T.thermophilus,72.283
Q72JN6_TT_C0734,78.63196563720703,T.thermophilus,72.316
Q72I41_TT_C1291,55.81616973876953,T.thermophilus,72.328
Q72JQ4_TT_C0714,75.36173248291016,T.thermophilus,72.33
Q72JG1_rimO,69.34357452392578,T.thermophilus,72.356
Q72KY6_TT_C0279,43.59915542602539,T.thermophilus,72.378
Q72LK3_TT_C0056,75.5511245727539,T.thermophilus,72.379
Q72LH6_livF,72.66987609863281,T.thermophilus,72.441
Q72J57_TT_C0922,51.557498931884766,T.thermophilus,72.471
Q72GX5_pstB,50.12832260131836,T.thermophilus,72.472
Q72HC1_rlmN,39.68290328979492,T.thermophilus,72.512
Q72IH8_TT_C1154,63.46833419799805,T.thermophilus,72.547
Q72IZ8_TT_C0983,68.51811981201172,T.thermophilus,72.562
Q72I16_rplE,50.45149612426758,T.thermophilus,72.567
P61941_rpsL,46.89733505249024,T.thermophilus,72.573
P62663_rpsC,44.96996307373047,T.thermophilus,72.621
Q72KA4_TT_C0543,74.46686553955078,T.thermophilus,72.621
Q72LA0_TT_C0159,51.67110443115234,T.thermophilus,72.623
Q72J11_livF,51.36107635498047,T.thermophilus,72.658
P61537_ruvB,58.74821472167969,T.thermophilus,72.665
Q72L33_TT_C0230,50.32184600830078,T.thermophilus,72.691
Q72J12_livG,43.39759826660156,T.thermophilus,72.734
Q72GG8_TT_C1880,42.20500183105469,T.thermophilus,72.752
Q72IJ8_TT_C1134,73.37699127197266,T.thermophilus,72.86
Q72J51_ftsE,51.09841537475586,T.thermophilus,72.886
Q72J39_miaB,49.46396255493164,T.thermophilus,72.972
Q72KZ4_TT_C0271,52.28413772583008,T.thermophilus,73.132
Q72I11_rplP,43.13564682006836,T.thermophilus,73.157
Q72GI4_dcd,50.09141159057617,T.thermophilus,73.294
Q72I12_rpmC,46.70750045776367,T.thermophilus,73.338
Q72KT1_TT_C0411,76.8151626586914,T.thermophilus,73.343
Q72L15_clpP,48.33979415893555,T.thermophilus,73.347
Q72HM2_mreB,68.9636001586914,T.thermophilus,73.349
Q72IY3_TT_C0998,73.63284301757812,T.thermophilus,73.418
Q72HV0_plsX,57.29061508178711,T.thermophilus,73.469
Q72KC1_TT_C0526,52.614688873291016,T.thermophilus,73.486
Q72L74_plsY,69.61835479736328,T.thermophilus,73.558
Q745Z3_TT_P0162,43.929325103759766,T.thermophilus,73.594
Q72K96_TT_C0551,73.84326934814453,T.thermophilus,73.624
Q72I53_metK,54.27761459350586,T.thermophilus,73.648
Q72IN7_TT_C1095,69.45196533203125,T.thermophilus,73.667
Q72GJ7_phoU,48.668212890625,T.thermophilus,73.693
Q72I54_TT_C1278,72.02208709716797,T.thermophilus,73.702
Q72JC6_TT_C0852,46.30118560791016,T.thermophilus,73.707
Q72K93_rnr,75.24393463134766,T.thermophilus,73.717
P62657_rpsO,48.73225021362305,T.thermophilus,73.801
Q72JC7_TT_C0851,43.865501403808594,T.thermophilus,73.932
Q72HG4_TT_C1523,74.08076477050781,T.thermophilus,74.007
P62668_rpsH,61.91568374633789,T.thermophilus,74.105
Q72LF7_appF,47.91144180297852,T.thermophilus,74.211
Q72KN4_TT_C0377,67.01789855957031,T.thermophilus,74.219
Q72JH7_TT_C0795,46.12394332885742,T.thermophilus,74.223
Q72HQ8_TT_C1428,42.86869430541992,T.thermophilus,74.253
Q72GX4_pstA,70.40296173095703,T.thermophilus,74.329
Q72J58_TT_C0921,50.101322174072266,T.thermophilus,74.333
Q72K85_mnmE,70.61493682861328,T.thermophilus,74.34
P61989_cbiD,46.05080795288086,T.thermophilus,74.514
Q72HI3_TT_C1504,63.33503341674805,T.thermophilus,74.517
Q72J29_TT_C0952,69.5985336303711,T.thermophilus,74.567
Q746D0_TT_P0125,72.17333984375,T.thermophilus,74.57
Q72IW1_aroB,82.22460174560547,T.thermophilus,74.594
Q72IH2_glyA,45.14640426635742,T.thermophilus,74.619
Q72JU9_rplS,42.41281127929688,T.thermophilus,74.62
Q72G84_rpmB,52.41775131225586,T.thermophilus,74.63
Q72GX1_mnmA,54.05278396606445,T.thermophilus,74.642
