name,pred,exp_tm
CSP_ind_0,51.17066955566406,40.0
CSP_ind_1,67.04267120361328,81.5
CSP_ind_2,61.64111709594727,79.0
CSP_ind_3,45.78105545043945,60.0
CSP_ind_4,48.11991500854492,62.0
CSP_ind_5,51.17340850830078,53.8
CSP_ind_6,53.57957077026367,76.9
CSP_ind_7,49.5644416809082,58.4
CSP_ind_8,46.39474868774414,61.0
CSP_ind_9,49.20459365844727,59.8
CSP_ind_10,57.30049514770508,76.0
CSP_ind_12,52.14350509643555,64.2
CSP_ind_13,53.17164993286133,77.0
CSP_ind_14,52.21427154541016,69.5
CSP_ind_15,53.00484085083008,83.7
CSP_ind_16,50.632301330566406,61.1
CSP_ind_17,51.69754409790039,75.7
CSP_ind_18,52.02501678466797,85.0
CSP_ind_19,49.98421859741211,74.7
CSP_ind_20,51.2135124206543,50.7
CSP_ind_21,53.2377815246582,82.2
CSP_ind_22,50.025875091552734,70.1
CSP_ind_23,51.686668395996094,75.1
CSP_ind_24,47.91041946411133,63.1
CSP_ind_25,51.840145111083984,70.4
CSP_ind_26,57.60952758789063,69.6
CSP_ind_27,47.75943374633789,64.0
CSP_ind_28,49.52864456176758,64.6
CSP_ind_29,47.08015823364258,49.1
CSP_ind_30,47.666805267333984,51.3
CSP_ind_31,47.5413703918457,60.2
CSP_ind_32,48.4191780090332,65.6
CSP_ind_33,48.00013732910156,61.9
CSP_ind_34,48.95563507080078,57.1
CSP_ind_35,56.09872055053711,74.6
CSP_ind_36,50.43315505981445,69.2
CSP_ind_37,50.03338241577149,73.2
CSP_ind_38,49.04930114746094,71.8
CSP_ind_39,55.81803512573242,74.5
CSP_ind_40,51.06162643432617,78.1
CSP_ind_41,54.294803619384766,70.8
CSP_ind_42,52.026363372802734,85.6
CSP_ind_43,48.78569412231445,69.3
CSP_ind_44,49.70589828491211,54.7
CSP_ind_45,52.51652526855469,70.7
CSP_ind_46,50.66118240356445,71.2
CSP_ind_47,48.99081802368164,69.4
CSP_ind_48,52.73276138305664,69.9
CSP_ind_49,50.2462272644043,48.6
CSP_ind_50,49.93647384643555,62.2
CSP_ind_51,47.94733047485352,57.9
CSP_ind_52,50.04922866821289,67.6
CSP_ind_53,54.86161422729492,69.7
CSP_ind_54,54.25490188598633,77.0
CSP_ind_55,51.05501937866211,61.5
CSP_ind_56,55.40327072143555,62.7
CSP_ind_57,51.054718017578125,51.8
CSP_ind_58,53.01702499389648,59.9
CSP_ind_59,52.72835922241211,68.8
CSP_ind_60,51.55204391479492,62.4
CSP_ind_61,51.39096450805664,66.7
CSP_ind_62,51.92842483520508,66.4
CSP_ind_63,51.71541976928711,64.4
CSP_ind_64,52.537376403808594,66.8
CSP_ind_65,54.19617462158203,73.5
CSP_ind_66,51.41520690917969,74.0
CSP_ind_67,52.74753189086914,75.4
CSP_ind_68,55.42502212524414,77.7
CSP_ind_69,53.649227142333984,76.0
CSP_ind_70,51.4851188659668,73.5
CSP_ind_71,53.378028869628906,74.4
CSP_ind_72,45.0566520690918,63.0
CSP_ind_73,45.93346405029297,56.0
CSP_ind_74,45.51292037963867,63.0
CSP_ind_75,56.48566055297852,80.9
CSP_ind_76,48.85285568237305,59.1
CSP_ind_77,48.5986442565918,60.0
CSP_ind_78,49.75044250488281,64.6
CSP_ind_79,47.87192916870117,44.6
CSP_ind_80,48.33834457397461,50.3
CSP_ind_81,48.58942413330078,70.9
CSP_ind_82,49.82316589355469,76.1
CSP_ind_83,48.25245666503906,64.9
CSP_ind_84,53.60070037841797,79.2
CSP_ind_85,53.02044677734375,76.7
CSP_ind_86,52.37685012817383,75.0
CSP_ind_87,54.04428863525391,74.7
CSP_ind_88,55.86796569824219,75.9
CSP_ind_89,53.87302780151367,77.8
CSP_ind_90,53.90452194213867,77.8
CSP_ind_91,54.27720642089844,75.4
CSP_ind_92,55.72492599487305,68.0
CSP_ind_93,54.45692825317383,75.0
CSP_ind_94,52.63043594360352,76.1
CSP_ind_95,53.78077697753906,75.1
CSP_ind_96,54.83004379272461,66.6
CSP_ind_97,54.08309555053711,68.9
CSP_ind_98,54.98359298706055,76.9
