name,pred,exp_tm
6IBB,52.73111343383789,72.12
5MP2,54.35536575317383,70.27
6XW6,53.80248641967773,66.07
7BC6,53.97468566894531,63.0
5MY6,54.18041610717773,74.28
6SC5,50.67213821411133,65.24
6RTW,55.84785842895508,64.21
1ZVY,51.0099983215332,65.1
7DSS,54.90928649902344,67.53
7AZB,53.8817024230957,59.91
5IP4,52.46535873413086,63.24
3K81,54.10892105102539,64.1
3QXV,53.90738677978516,67.24
6RL7,54.0944709777832,72.09
5L21,49.40033721923828,66.86
6DBD,50.5925407409668,65.6
7NQA,54.66603469848633,65.87
6UI1,53.955196380615234,67.83
6X05,53.6126823425293,66.67
7B27,54.22692489624024,65.74
1BZQ_NbThermo.00491,53.96944046020508,70.11
1JTO_NbThermo.00112,49.963680267333984,67.01
1KXT,53.88802719116211,57.85
1KXV,52.385623931884766,56.99
1QD0,55.32086563110352,66.56
1RI8,51.953521728515625,78.14
2BSE,54.68682098388672,75.23
2X6M,55.4453353881836,67.13
3DWT_NbThermo.00113_NbThermo.00133,52.37142562866211,77.72
3EBA,56.33155059814453,86.21
3G9A,53.2966194152832,66.55
3J69,53.931976318359375,66.03
3J6A,52.5864372253418,69.02
3P9W,51.904239654541016,60.0
3SN6,54.0091667175293,60.26
4B5E,53.426368713378906,61.66
4C57,53.720699310302734,63.78
4I0C,52.78517532348633,75.79
4I13,52.411380767822266,65.39
4IDL,51.709022521972656,53.76
4LJP,52.68901824951172,71.72
4LJS,54.29397964477539,72.49
4QGY,52.749324798583984,74.65
4YGA,51.52184677124024,73.41
4Z9K_NbThermo.00231,54.88070297241211,73.49
5C1M,53.34601974487305,61.35
5FOJ,53.232181549072266,70.81
5J56,53.92288589477539,73.74
5KU2,52.87240982055664,55.16
5M2M,54.34745407104492,74.98
5NM0,52.389892578125,72.73
5O03,54.22686004638672,69.2
5OCL,55.85231018066406,71.69
5OVW,54.4217643737793,76.47
5TD8,50.91088485717773,66.55
5TJW,53.05425262451172,66.25
5U64,51.86320114135742,73.39
5VLV,51.66833114624024,69.62
5VM4,52.51736831665039,72.93
5VXK,53.4955940246582,65.75
6CK8,52.35567092895508,66.66
6EQI,53.178829193115234,62.47
6FYU,51.79197311401367,64.58
6GWN,53.05590438842773,64.42
6HEQ,57.45306396484375,60.61
6HHU,52.25102996826172,70.29
6I2G,54.65388870239258,61.03
6I8H,53.94283676147461,66.04
6ITP,55.40242385864258,68.38
6KNM,53.295169830322266,69.42
6KSN,58.10661315917969,63.03
6OBC,51.20195007324219,64.04
6OQ5,50.88862609863281,65.81
6OS1,52.76264572143555,71.54
6QKD,51.926883697509766,69.2
6QV1,54.684814453125,63.83
6RAF,52.837528228759766,86.19
6U12,52.59902572631836,61.28
6U50,51.411277770996094,57.07
6U53,51.856719970703125,65.19
6X02,53.25834274291992,76.46
6X03,53.17317962646485,66.97
6XXN,53.48918533325195,80.66
7B18,54.15556716918945,66.14
7E9G,53.64147567749024,59.28
7JVB_NbThermo.00028,55.31587219238281,72.91
7KBI,53.83453369140625,63.45
7MJH,52.04138946533203,59.64
7MY3,52.73427963256836,60.89
7NQK,51.82439422607422,66.46
7OAN,51.580360412597656,67.55
7OAP,54.16192626953125,69.0
7OLZ,52.10241317749024,68.79
sdAb.4875,52.32033157348633,84.2
7KGJ,53.49190139770508,61.6
NbPep1_NbThermo.00045,55.921199798583984,71.86
NbPep2_NbThermo.00046,54.91341400146485,76.13
NbD1_NbThermo.00047,53.99940872192383,65.94
NbPep3_NbThermo.00048,52.278804779052734,60.68
NbPep4_NbThermo.00049,53.10416793823242,67.33
NbD9_NbThermo.00050,54.8459587097168,63.12
NbD8_NbThermo.00051,53.49189376831055,57.2
NbPep5_NbThermo.00052,53.96826553344727,70.44
NbPep7_NbThermo.00054,52.54788589477539,68.49
NbD6_NbThermo.00056,51.48823165893555,70.75
NbPep9_NbThermo.00057,54.349552154541016,72.41
NbPep13_NbThermo.00061,53.037593841552734,69.19
NbPep14_NbThermo.00062,54.25827026367188,72.02
NbPep15_NbThermo.00063,51.620750427246094,67.08
NbPep16_NbThermo.00064,55.98814392089844,74.44
NbPep17_NbThermo.00065,54.14789962768555,71.28
NbPep18_NbThermo.00066,54.19768905639648,70.65
NbD4_NbThermo.00069,52.32853317260742,57.46
NbD3_NbThermo.00085,53.85889053344727,68.48
NbD2_NbThermo.00086,54.34455108642578,66.53
NbD5_NbThermo.00087,55.5943489074707,58.19
NbPep47_NbThermo.00095,50.49337387084961,67.06
NbPep50_NbThermo.00096,53.20667266845703,62.39
NbPep51_NbThermo.00097,51.70106887817383,72.45
NbPep52_NbThermo.00098,53.65462112426758,59.0
NbPep10_NbThermo.00058,54.13533782958984,84.58
NbPep11_NbThermo.00059,54.6877555847168,68.0
NbPep12_NbThermo.00060,53.121826171875,68.57
NbPep19_NbThermo.00067,53.12068939208984,71.43
NbD12_NbThermo.00070,54.09638595581055,61.46
NbPep21_NbThermo.00071,52.845516204833984,68.73
NbPep22_NbThermo.00072,56.30037689208984,69.54
NbPep23_NbThermo.00073,53.3418083190918,69.63
NbPep24_NbThermo.00074,53.18115615844727,76.09
NbPep25_NbThermo.00075,53.14847946166992,68.33
NbD10_NbThermo.00076,54.683868408203125,59.54
NbPep26_NbThermo.00077,54.121036529541016,72.88
NbPep27_NbThermo.00078,56.24968719482422,85.8
NbPep28_NbThermo.00079,53.15485763549805,63.9
NbPep29_NbThermo.00080,55.39356994628906,55.1
NbPep30_NbThermo.00081,52.26266479492188,75.95
NbPep31_NbThermo.00082,53.1431999206543,62.82
NbPep32_NbThermo.00083,53.07170486450195,58.85
NbPep33_NbThermo.00084,52.31547546386719,74.37
NbD11_NbThermo.00088,53.78510665893555,60.24
NbPep34_NbThermo.00089,53.41744613647461,71.37
NbPep35_NbThermo.00090,53.88127899169922,70.51
NbPep36_NbThermo.00091,55.01315689086914,74.55
NbPep37_NbThermo.00092,53.51127243041992,72.37
NbPep38_NbThermo.00093,55.45320129394531,79.74
NbPep39_NbThermo.00094,55.14628601074219,76.28
NbPep55_NbThermo.00101,52.301944732666016,75.68
NbPep57_NbThermo.00103,51.57322311401367,71.72
NbPep60_NbThermo.00104,53.00320816040039,79.41
NbPep61_NbThermo.00105,51.390438079833984,74.55
NbPep62_NbThermo.00106,52.28632736206055,74.65
NbPep64_NbThermo.00107,51.66606140136719,74.55
NbPep65_NbThermo.00108,52.09383010864258,73.88
NbPep66_NbThermo.00109,50.98259735107422,66.96
NbPep67,54.014156341552734,59.64
NbPep68_NbThermo.00110,52.12569427490234,68.23
NbPep69_NbThermo.00111,50.64657974243164,63.57
NbPep54_NbThermo.00100,54.69021224975586,76.58
NbPep56_NbThermo.00102,51.68917465209961,74.08
1.1yc7_NbThermo.00141_NbThermo.00149,49.83478927612305,70.94
2.4u05_NbThermo.00372,53.63145065307617,83.44
3.6ul4,53.98713684082031,70.59
4.Nb24,53.994930267333984,64.97
5.Nb24.H,54.34855651855469,68.38
6.Nb24.HR,54.29769515991211,72.1
7.Nb24.B,53.4336051940918,69.74
8.Nb24.BR,53.7462272644043,75.84
9.Nb24.L,54.1649055480957,66.87
10.mNb6.H,53.0504150390625,62.59
11.mNb6.B,52.57156753540039,60.6
12.mNb6.BR,51.57906723022461,61.8
14.mNb6.L2,51.35296249389648,55.42
15.C1.K,53.579837799072266,74.83
16.C1.I,52.73964309692383,73.58
17.aGFP_NbThermo.00144_NbThermo.00279,56.21239471435547,67.64
19.1mel.T28C,50.60050201416016,57.61
26.HET.A111C,52.96161651611328,75.13
27.HET.A112C,53.48073959350586,74.59
29.K9.A112C,53.65696334838867,74.05
30.PL,53.41374969482422,75.65
31.QP,54.67430877685547,77.74
32.aS49,52.67684555053711,75.72
33.aS46,52.54087066650391,77.59
34.P2,53.4399528503418,78.34
35.C1,53.385929107666016,77.06
36.mNb6,53.60881805419922,55.31
37.CT1,52.30409622192383,53.44
38.NB201,56.47807693481445,73.46
39.Nb24.G114C,53.860008239746094,56.4
40.P1T,54.00396347045898,82.41
43.C2T,54.036869049072266,78.69
44.T2T,54.25301742553711,78.38
45.D3,52.93332290649414,70.15
NbThermo.00001,55.47781753540039,67.5
NbThermo.00003,52.645050048828125,62.0
NbThermo.00005,54.23667526245117,70.0
NbThermo.00011,52.69213485717773,67.5
NbThermo.00015,56.68181991577149,54.4
NbThermo.00016,56.76224899291992,56.5
NbThermo.00017,53.24875259399414,62.1
