name,pred,exp_tm
WP_068424237.1,46.92609024047852,42.7
WP_229068674.1,48.60429763793945,67.3
MGYP001121581011,59.28184509277344,74.2
WP_085753242.1,48.226070404052734,49.3
WP_103564847.1,50.75592803955078,53.8
WP_240508704.1,50.19357681274414,57.4
RAY11579.1,49.561614990234375,69.4
WP_230616214.1,66.4718017578125,73.9
MGYP000271253724,54.4753303527832,63.4
NUT34383.1,41.91730117797852,48.7
WP_139580723.1,58.5161247253418,68.5
MBT8227529.1,54.5593376159668,47.5
MGYP001097842225,47.7745246887207,59.2
WP_242883606.1,51.76218032836914,69.1
WP_231775152.1,45.36791229248047,45.7
WP_231443412.1,47.55515670776367,42.7
WP_221382552.1,54.583274841308594,59.8
WP_218617243.1,54.61550521850586,60.1
OAA20861.1,49.23329544067383,43.0
WP_019629726.1,52.33085632324219,46.6
KAA1376628.1,46.6624641418457,35.8
MBX3624429.1,46.62516021728516,56.2
MGYP001149455765,45.88397979736328,68.8
WP_184682765.1,48.55140686035156,59.5
MBB5966108.1,46.14751815795898,39.1
WP_077315388.1,42.814579010009766,45.7
ACV09511,43.93247222900391,42.4
WP_085750434.1,43.23756790161133,47.8
WP_166054040.1,50.8442268371582,49.9
WP_042734330.1,46.14558410644531,60.4
WP_203674568.1,45.56161117553711,44.2
WP_084693247.1,69.9651870727539,68.8
TDP67440,50.95753860473633,46.9
WP_201805840.1,47.08963394165039,44.5
WP_233427406.1,51.77527618408203,40.3
MGYP001489421514,53.19856643676758,56.2
OKI36454.1,52.5727653503418,58.0
MBJ7347705.1,44.76032257080078,63.1
WP_119729924.1,46.422698974609375,43.9
WP_035284691,51.8736457824707,51.7
WP_187224800.1,48.50693130493164,49.6
MGYP000221121644,47.049591064453125,57.1
WP_129786244.1,55.75020599365234,52.0
WP_130342639,57.51536178588867,50.5
WP_199827708.1,47.19662857055664,66.1
WP_228771581.1,48.026145935058594,66.1
WP_194636445.1,54.24440002441406,47.5
WP_114422580.1,48.264766693115234,65.8
WP_203733135.1,47.326290130615234,61.9
WP_233872418.1,45.85831832885742,51.4
WP_103564314,54.50204849243164,46.9
WP_103935912.1,47.50578308105469,49.3
SCE72613.1,47.86764907836914,40.6
WP_261809161.1,50.11834335327149,46.3
WP_013736455.1,54.30927658081055,63.1
WP_164449727.1,57.40766525268555,62.8
MXX05622.1,67.16531372070312,52.3
MGYP002620941758,55.66790008544922,69.1
MBN1171866.1,57.88446807861328,64.3
MBO9569276.1,53.1359977722168,55.6
MGYP001498898836,64.53162384033203,67.6
MBN1575504.1,51.67205429077149,64.6
GGY18408.1,52.68925857543945,51.4
WP_151469820.1,55.93021774291992,33.4
GIG90696.1,55.02198791503906,60.4
WCH76321.1,46.98587417602539,73.9
WP_132265752.1,59.355125427246094,64.0
MGYP001195032839,60.00557708740234,30.7
WP_109639600.1,50.40074157714844,57.7
GGO06455.1,51.65861129760742,51.4
WP_132413760.1,51.86036682128906,69.7
MGYP001477358452,46.28505706787109,54.1
WP_260709492.1,56.64046859741211,60.7
WP_079085207.1,49.56036758422852,56.8
MGYP001369932055,42.38178253173828,69.1
MCB1670591.1,51.91382598876953,53.5
MGYP001481302102,49.51332473754883,53.8
MBN1366053.1,49.22106552124024,50.8
MGYP001473616946,45.29946899414063,69.1
WP_264933993.1,57.373779296875,61.0
MBP7765893.1,43.55423355102539,69.1
MBE1573625.1,50.12141036987305,40.6
MGYP000861817556,48.01240921020508,67.9
WP_071091307.1,47.2708854675293,40.3
MGYP006125138823,43.86113357543945,68.5
WP_256510026.1,58.01752853393555,54.4
WP_249044522.1,47.99531936645508,50.8
WP_119728035.1,49.23882675170898,46.9
WP_229874892.1,49.72340774536133,44.2
WP_086599340.1,58.84309005737305,64.6
MBN2738032.1,52.87603378295898,51.7
WP_225255694.1,49.01066970825195,41.5
WP_252811421.1,61.2050895690918,43.9
SOD43347.1,55.11672592163086,54.1
WP_236244959.1,54.374267578125,36.1
OLR94321.1,54.82898712158203,41.2
WP_212846608.1,53.25533676147461,50.2
GIU85371.1,55.41838455200195,67.0
QEV16333.1,51.71361923217773,50.2
MGYP000483234479,50.22128677368164,44.5
WP_254876803.1,54.675907135009766,60.4
WP_045318561.1,50.50229263305664,55.3
MGYP003582062575,43.25757598876953,25.3
WAU86704.1,47.63565826416016,53.5
NUT97030.1,50.36845016479492,42.1
WP_143590710.1,46.40398406982422,51.4
WP_221087162.1,55.79058456420898,57.1
WP_019633337.1,61.91054916381836,56.5
MBP2328848.1,53.80214309692383,61.6
GHA15288.1,57.94760894775391,40.0
MGYP001223859710,63.437313079833984,68.8
GAQ59813.1,55.28369522094727,68.5
WP_239095870.1,53.17358016967773,65.2
WP_239486438.1,56.655120849609375,54.7
WP_109361459.1,64.36478424072266,60.4
NUT53577.1,60.0280647277832,47.2
MGYP001126223609,60.94039916992188,55.9
MGYP002393323206,47.91543960571289,68.2
WP_250563816.1,67.97410583496094,50.8
WP_211769896.1,49.17339324951172,71.8
WP_260422593.1,55.96263885498047,63.1
WP_140175735.1,48.91362762451172,56.2
OLT30808.1,49.50482177734375,49.3
WP_253762837.1,42.55231094360352,52.0
NUS07026.1,43.67062759399414,46.6
WP_218517662.1,50.085933685302734,73.0
MGYP003403985752,54.302207946777344,44.2
WP_150070118.1,49.45689392089844,61.6
WP_256510519.1,47.48577880859375,64.0
WP_167521412.1,59.00789260864258,64.6
WP_132386942.1,53.70651245117188,61.3
WP_232326807.1,57.544315338134766,65.8
WP_246496818.1,60.93572998046875,59.8
GIU85367.1,53.93306350708008,82.3
WP_173061649.1,55.02021789550781,59.5
UAC02078.1,44.26244735717773,67.6
WP_229836555.1,45.02928161621094,68.5
KWV30420.1,62.79840469360352,62.2
WP_268945827.1,47.97747039794922,49.6
WP_158852571.1,48.85954284667969,57.4
WP_031525917.1,63.29837417602539,37.0
WP_266249215.1,60.5639533996582,54.4
WP_111214096.1,55.98559188842773,65.8
WP_197042608.1,66.29766845703125,57.1
NJC12853.1,53.95074081420898,62.2
WP_109037790.1,45.09274673461914,55.0
WP_239104322.1,51.55064010620117,62.5
MBP2707703.1,59.30273818969727,55.9
WBC00352.1,56.56851577758789,60.7
GGO08527.1,64.15082550048828,49.6
WP_273813526.1,47.52474212646485,51.7
WP_203777396.1,55.853248596191406,61.6
WP_203790592.1,49.09214401245117,58.6
WP_252811421.1,61.77058410644531,43.9
SCF49212.1,61.79154586791992,67.0
WP_204285002.1,59.728614807128906,59.8
WP_210157342.1,57.53314208984375,68.8
WP_132399348.1,60.31047439575195,73.3
MBX3621832.1,43.41295623779297,63.4
WP_085749238.1,41.754173278808594,62.8
MBF9135495.1,52.60988235473633,62.8
WP_181548579.1,56.01315689086914,63.4
WP_082536249.1,44.15582656860352,43.9
WP_239135698.1,43.830867767333984,65.2
WP_267938240.1,53.94417190551758,63.1
WP_234583022.1,57.68630599975586,59.2
WP_182904095.1,61.16240310668945,68.8
TWG17167.1,56.4240837097168,62.5
GHJ08786.1,53.749629974365234,64.6
WP_240522201.1,50.01505661010742,52.0
WP_257828484.1,46.86962890625,58.6
WP_260615299.1,61.85857772827149,59.2
WP_259405879.1,61.31105422973633,60.7
WP_211363689.1,50.54611587524414,55.0
WP_203822553.1,63.05183029174805,47.8
WP_156114969.1,47.44852828979492,55.3
TNH28703.1,55.91400146484375,63.7
MGYP000246415913,47.56503677368164,35.2
MBO4274871.1,49.27713394165039,62.8
WP_169980303.1,58.56069564819336,59.8
WP_192329846.1,46.260528564453125,49.6
GLI01021.1,51.793827056884766,63.1
WP_084261341.1,61.17079544067383,61.6
WP_252275389.1,47.46396255493164,52.0
WP_203990226.1,59.9902458190918,58.6
WP_220815207.1,46.325191497802734,56.5
WP_007455959.1,54.75810623168945,51.7
GFJ87714.1,56.71199417114258,53.8
WP_223093092.1,64.44898223876953,47.8
WP_204038550.1,52.00857162475586,67.9
WP_265247586.1,51.84334945678711,68.2
MGYP003703942659,41.152950286865234,53.5
WP_271190254.1,57.27960586547852,58.3
WP_203980609.1,51.05327987670898,62.2
MCF0091346.1,56.46215438842773,58.0
MGYP000278479948,43.38130187988281,69.7
WP_093473685.1,46.276145935058594,53.8
WP_160470043.1,51.55553436279297,39.1
WP_199199185.1,62.45354843139648,65.5
WP_033363749.1,43.40137100219727,67.9
WP_167975345.1,51.157989501953125,58.0
WP_130401777.1,53.10629653930664,56.2
WP_247056560.1,45.759422302246094,51.7
WP_203812622.1,50.47138595581055,40.6
NLY58972.1,47.54023742675781,49.0
WP_201805836.1,43.45872116088867,56.2
MBW4703769.1,56.80009078979492,58.6
PWR09075.1,46.26328659057617,61.0
WP_255830407.1,44.187381744384766,52.0
MTK05241.1,51.740909576416016,61.6
HEC53621.1,47.3420524597168,45.4
WP_086515000.1,66.45439910888672,44.5
WP_020639922.1,52.55562210083008,51.7
WP_039906502.1,58.36895751953125,61.3
MBQ1015012.1,54.32952117919922,55.9
WP_203906211.1,50.00860977172852,57.4
WP_091317053.1,47.6053352355957,55.3
MGYP000647205319,47.25294494628906,46.0
WP_257828480.1,49.24978256225586,47.5
WP_269740835.1,47.93723678588867,66.4
GGR16917.1,59.35269165039063,55.6
WP_239125827.1,46.97507095336914,50.2
WP_144022925.1,46.14450073242188,55.6
WP_090003781.1,48.04044723510742,43.0
WP_247684544.1,48.5847282409668,58.9
PYC64928.1,58.97883224487305,62.2
WP_261760582.1,46.83076477050781,68.8
WP_172899142.1,55.54378890991211,63.1
MBT9528079.1,48.53245544433594,61.3
WP_239086781.1,45.06840896606445,54.4
MGYP002388512850,45.82547378540039,70.0
unknown,49.66554641723633,93.6
