name,pred,sp,exp_tm
P61500_recA,73.25912475585938,T.thermophilus,72.06
Q72G97_recG,69.62905883789062,T.thermophilus,72.153
P62662_rpsB,69.19036865234375,T.thermophilus,72.216
Q746P0_TT_P0013,69.82768249511719,T.thermophilus,72.228
Q746N8_cbiX,59.847774505615234,T.thermophilus,72.234
Q72H90_soj,67.35658264160156,T.thermophilus,72.258
Q72LP8_TT_C0010,50.89581298828125,T.thermophilus,72.269
Q72JA0_minD,67.02820587158203,T.thermophilus,72.273
Q72L65_hflX,54.50374603271485,T.thermophilus,72.276
Q72L52_TT_C0211,71.52196502685547,T.thermophilus,72.283
Q72JN6_TT_C0734,68.00997924804688,T.thermophilus,72.316
Q72I41_TT_C1291,66.87655639648438,T.thermophilus,72.328
Q72JQ4_TT_C0714,64.46753692626953,T.thermophilus,72.33
Q72JG1_rimO,68.94764709472656,T.thermophilus,72.356
Q72KY6_TT_C0279,49.924800872802734,T.thermophilus,72.378
Q72LK3_TT_C0056,71.36852264404297,T.thermophilus,72.379
Q72LH6_livF,67.08113861083984,T.thermophilus,72.441
Q72J57_TT_C0922,70.86829376220703,T.thermophilus,72.471
Q72GX5_pstB,52.10195541381836,T.thermophilus,72.472
Q72HC1_rlmN,52.90996170043945,T.thermophilus,72.512
Q72IH8_TT_C1154,70.66962432861328,T.thermophilus,72.547
Q72IZ8_TT_C0983,69.21849060058594,T.thermophilus,72.562
Q72I16_rplE,69.89114379882812,T.thermophilus,72.567
P61941_rpsL,50.82530212402344,T.thermophilus,72.573
P62663_rpsC,60.72748947143555,T.thermophilus,72.621
Q72KA4_TT_C0543,58.23807907104492,T.thermophilus,72.621
Q72LA0_TT_C0159,63.970211029052734,T.thermophilus,72.623
Q72J11_livF,66.11302947998047,T.thermophilus,72.658
P61537_ruvB,66.48664855957031,T.thermophilus,72.665
Q72L33_TT_C0230,72.82154083251953,T.thermophilus,72.691
Q72J12_livG,65.0101547241211,T.thermophilus,72.734
Q72GG8_TT_C1880,53.03293991088867,T.thermophilus,72.752
Q72IJ8_TT_C1134,71.94268035888672,T.thermophilus,72.86
Q72J51_ftsE,56.80852890014648,T.thermophilus,72.886
Q72J39_miaB,68.04969024658203,T.thermophilus,72.972
Q72KZ4_TT_C0271,57.57188415527344,T.thermophilus,73.132
Q72I11_rplP,69.2710189819336,T.thermophilus,73.157
Q72GI4_dcd,78.25064086914062,T.thermophilus,73.294
Q72I12_rpmC,68.11592102050781,T.thermophilus,73.338
Q72KT1_TT_C0411,65.83895874023438,T.thermophilus,73.343
Q72L15_clpP,70.146240234375,T.thermophilus,73.347
Q72HM2_mreB,66.71556091308594,T.thermophilus,73.349
Q72IY3_TT_C0998,67.50723266601562,T.thermophilus,73.418
Q72HV0_plsX,76.53829193115234,T.thermophilus,73.469
Q72KC1_TT_C0526,70.74566650390625,T.thermophilus,73.486
Q72L74_plsY,71.99200439453125,T.thermophilus,73.558
Q745Z3_TT_P0162,76.28978729248047,T.thermophilus,73.594
Q72K96_TT_C0551,70.6447525024414,T.thermophilus,73.624
Q72I53_metK,69.48099517822266,T.thermophilus,73.648
Q72IN7_TT_C1095,67.22096252441406,T.thermophilus,73.667
Q72GJ7_phoU,73.30264282226562,T.thermophilus,73.693
Q72I54_TT_C1278,54.01961898803711,T.thermophilus,73.702
Q72JC6_TT_C0852,80.59135437011719,T.thermophilus,73.707
Q72K93_rnr,69.67314910888672,T.thermophilus,73.717
P62657_rpsO,72.83534240722656,T.thermophilus,73.801
Q72JC7_TT_C0851,54.68472671508789,T.thermophilus,73.932
Q72HG4_TT_C1523,69.70567321777344,T.thermophilus,74.007
P62668_rpsH,72.9236831665039,T.thermophilus,74.105
Q72LF7_appF,66.38433837890625,T.thermophilus,74.211
