name,pred,sp,exp_tm
P61500_recA,45.2454948425293,T.thermophilus,72.06
Q72G97_recG,69.76243591308594,T.thermophilus,72.153
P62662_rpsB,47.68276596069336,T.thermophilus,72.216
Q746P0_TT_P0013,52.75629806518555,T.thermophilus,72.228
Q746N8_cbiX,50.91011428833008,T.thermophilus,72.234
Q72H90_soj,50.89889907836914,T.thermophilus,72.258
Q72LP8_TT_C0010,50.17154312133789,T.thermophilus,72.269
Q72JA0_minD,50.78242874145508,T.thermophilus,72.273
Q72L65_hflX,47.93459701538086,T.thermophilus,72.276
Q72L52_TT_C0211,43.79199600219727,T.thermophilus,72.283
Q72JN6_TT_C0734,50.35969543457031,T.thermophilus,72.316
Q72I41_TT_C1291,49.36927795410156,T.thermophilus,72.328
Q72JQ4_TT_C0714,53.255130767822266,T.thermophilus,72.33
Q72JG1_rimO,49.15114212036133,T.thermophilus,72.356
Q72KY6_TT_C0279,47.189090728759766,T.thermophilus,72.378
Q72LK3_TT_C0056,66.25215911865234,T.thermophilus,72.379
Q72LH6_livF,69.52690124511719,T.thermophilus,72.441
Q72J57_TT_C0922,51.44907760620117,T.thermophilus,72.471
Q72GX5_pstB,52.23283767700195,T.thermophilus,72.472
Q72HC1_rlmN,46.23213577270508,T.thermophilus,72.512
Q72IH8_TT_C1154,49.23373794555664,T.thermophilus,72.547
Q72IZ8_TT_C0983,70.49313354492188,T.thermophilus,72.562
Q72I16_rplE,45.52297592163086,T.thermophilus,72.567
P61941_rpsL,50.12186813354492,T.thermophilus,72.573
P62663_rpsC,48.17881393432617,T.thermophilus,72.621
Q72KA4_TT_C0543,48.6890869140625,T.thermophilus,72.621
Q72LA0_TT_C0159,50.23887252807617,T.thermophilus,72.623
Q72J11_livF,46.15496444702149,T.thermophilus,72.658
P61537_ruvB,57.80184555053711,T.thermophilus,72.665
Q72L33_TT_C0230,51.7182731628418,T.thermophilus,72.691
Q72J12_livG,46.71045303344727,T.thermophilus,72.734
Q72GG8_TT_C1880,42.3349609375,T.thermophilus,72.752
Q72IJ8_TT_C1134,51.8985481262207,T.thermophilus,72.86
Q72J51_ftsE,48.08061599731445,T.thermophilus,72.886
Q72J39_miaB,52.66435623168945,T.thermophilus,72.972
Q72KZ4_TT_C0271,52.63266372680664,T.thermophilus,73.132
Q72I11_rplP,47.18881988525391,T.thermophilus,73.157
Q72GI4_dcd,52.83160400390625,T.thermophilus,73.294
Q72I12_rpmC,45.70208358764648,T.thermophilus,73.338
Q72KT1_TT_C0411,49.20141220092773,T.thermophilus,73.343
Q72L15_clpP,50.46231460571289,T.thermophilus,73.347
Q72HM2_mreB,54.12606430053711,T.thermophilus,73.349
Q72IY3_TT_C0998,57.62750625610352,T.thermophilus,73.418
Q72HV0_plsX,48.54941177368164,T.thermophilus,73.469
Q72KC1_TT_C0526,52.25593566894531,T.thermophilus,73.486
Q72L74_plsY,62.48019409179688,T.thermophilus,73.558
Q745Z3_TT_P0162,47.20943069458008,T.thermophilus,73.594
Q72K96_TT_C0551,45.2657470703125,T.thermophilus,73.624
Q72I53_metK,51.0837516784668,T.thermophilus,73.648
Q72IN7_TT_C1095,66.79733276367188,T.thermophilus,73.667
Q72GJ7_phoU,51.607032775878906,T.thermophilus,73.693
Q72I54_TT_C1278,48.50656127929688,T.thermophilus,73.702
Q72JC6_TT_C0852,46.98311996459961,T.thermophilus,73.707
Q72K93_rnr,51.50291442871094,T.thermophilus,73.717
P62657_rpsO,51.005008697509766,T.thermophilus,73.801
Q72JC7_TT_C0851,42.46335983276367,T.thermophilus,73.932
Q72HG4_TT_C1523,52.946537017822266,T.thermophilus,74.007
P62668_rpsH,66.76106262207031,T.thermophilus,74.105
Q72LF7_appF,51.11580276489258,T.thermophilus,74.211
Q72KN4_TT_C0377,49.05813980102539,T.thermophilus,74.219
Q72JH7_TT_C0795,49.51593399047852,T.thermophilus,74.223
Q72HQ8_TT_C1428,44.79887771606445,T.thermophilus,74.253
Q72GX4_pstA,50.47311782836914,T.thermophilus,74.329
Q72J58_TT_C0921,51.88901519775391,T.thermophilus,74.333
Q72K85_mnmE,46.16573715209961,T.thermophilus,74.34
P61989_cbiD,50.46877670288086,T.thermophilus,74.514
Q72HI3_TT_C1504,45.82027053833008,T.thermophilus,74.517
Q72J29_TT_C0952,45.13637161254883,T.thermophilus,74.567
Q746D0_TT_P0125,50.345157623291016,T.thermophilus,74.57
Q72IW1_aroB,51.69416046142578,T.thermophilus,74.594
Q72IH2_glyA,49.19865417480469,T.thermophilus,74.619
Q72JU9_rplS,46.242923736572266,T.thermophilus,74.62
Q72G84_rpmB,50.61009979248047,T.thermophilus,74.63
Q72GX1_mnmA,51.81935501098633,T.thermophilus,74.642
Q746A1_TT_P0154,49.47492218017578,T.thermophilus,74.656
Q72KB4_mfd,51.41085815429688,T.thermophilus,74.665
Q72JZ8_nadA,48.58937454223633,T.thermophilus,74.775
Q72H76_purM,54.86808776855469,T.thermophilus,74.781
Q72I07_rplB,45.90967178344727,T.thermophilus,74.798
Q72LH3_TT_C0086,50.71235275268555,T.thermophilus,74.877
Q72L86_clpA,56.07118988037109,T.thermophilus,74.889
Q72KZ7_chlI,47.34047317504883,T.thermophilus,74.892
Q72I20_rplR,44.88984680175781,T.thermophilus,74.903
Q72I04_rplC,50.790035247802734,T.thermophilus,74.907
Q72GJ8_phoB,59.19188690185547,T.thermophilus,74.914
Q72JK8_TT_C0764,52.68402862548828,T.thermophilus,74.928
Q72GE4_murE,50.895050048828125,T.thermophilus,74.998
Q72LQ3_TT_C0005,49.34550094604492,T.thermophilus,75.017
Q72KR6_mqnE,45.84897232055664,T.thermophilus,75.087
Q72HT7_TT_C1399,54.1640739440918,T.thermophilus,75.133
Q72J77_recG,50.85093307495117,T.thermophilus,75.135
Q72HA7_TT_C1588,54.16166687011719,T.thermophilus,75.154
Q72IN1_rplM,49.97444152832031,T.thermophilus,75.174
Q72L56_TT_C0207,50.50772857666016,T.thermophilus,75.207
P62667_rpsG,52.1639289855957,T.thermophilus,75.21
Q72J09_dppB,47.2740364074707,T.thermophilus,75.231
Q72KY9_TT_C0276,52.436622619628906,T.thermophilus,75.235
Q72HJ5_TT_C1492,52.20872497558594,T.thermophilus,75.237
