name,pred,exp_tm
CSP_ind_0,48.45670318603516,40.0
CSP_ind_1,72.87109375,81.5
CSP_ind_2,64.88520050048828,79.0
CSP_ind_3,45.84466552734375,60.0
CSP_ind_4,48.03535842895508,62.0
CSP_ind_5,45.87328720092773,53.8
CSP_ind_6,67.80213928222656,76.9
CSP_ind_7,43.32149505615234,58.4
CSP_ind_8,43.06319808959961,61.0
CSP_ind_9,45.1294059753418,59.8
CSP_ind_10,55.71905899047852,76.0
CSP_ind_12,47.97366714477539,64.2
CSP_ind_13,47.75652694702149,77.0
CSP_ind_14,47.1945915222168,69.5
CSP_ind_15,47.57091522216797,83.7
CSP_ind_16,45.89641189575195,61.1
CSP_ind_17,48.055084228515625,75.7
CSP_ind_18,48.53498458862305,85.0
CSP_ind_19,46.18943405151367,74.7
CSP_ind_20,47.887149810791016,50.7
CSP_ind_21,53.375919342041016,82.2
CSP_ind_22,46.54816055297852,70.1
CSP_ind_23,48.16833114624024,75.1
CSP_ind_24,44.20083236694336,63.1
CSP_ind_25,45.80630493164063,70.4
CSP_ind_26,56.0644645690918,69.6
CSP_ind_27,43.7130012512207,64.0
CSP_ind_28,44.49482727050781,64.6
CSP_ind_29,43.969669342041016,49.1
CSP_ind_30,43.8376579284668,51.3
CSP_ind_31,43.95255279541016,60.2
CSP_ind_32,44.27374267578125,65.6
CSP_ind_33,44.42619705200195,61.9
CSP_ind_34,43.59646224975586,57.1
CSP_ind_35,50.74932861328125,74.6
CSP_ind_36,44.99534225463867,69.2
CSP_ind_37,44.10294342041016,73.2
CSP_ind_38,44.77762222290039,71.8
CSP_ind_39,58.42154312133789,74.5
CSP_ind_40,45.59856796264648,78.1
CSP_ind_41,50.63588333129883,70.8
CSP_ind_42,48.405311584472656,85.6
CSP_ind_43,44.91972351074219,69.3
CSP_ind_44,44.125518798828125,54.7
CSP_ind_45,48.662052154541016,70.7
CSP_ind_46,45.611961364746094,71.2
CSP_ind_47,43.546756744384766,69.4
CSP_ind_48,47.7255973815918,69.9
CSP_ind_49,47.03999328613281,48.6
CSP_ind_50,45.39322280883789,62.2
CSP_ind_51,46.1369743347168,57.9
CSP_ind_52,45.7313346862793,67.6
CSP_ind_53,51.91163635253906,69.7
CSP_ind_54,50.66818618774414,77.0
CSP_ind_55,45.56936264038086,61.5
CSP_ind_56,50.04257583618164,62.7
CSP_ind_57,46.655311584472656,51.8
CSP_ind_58,47.06369400024414,59.9
CSP_ind_59,47.39296340942383,68.8
CSP_ind_60,46.38262939453125,62.4
CSP_ind_61,45.41275405883789,66.7
CSP_ind_62,46.555301666259766,66.4
CSP_ind_63,46.119083404541016,64.4
CSP_ind_64,47.450233459472656,66.8
CSP_ind_65,67.49359893798828,73.5
CSP_ind_66,66.94976043701172,74.0
CSP_ind_67,67.52333068847656,75.4
CSP_ind_68,69.31951904296875,77.7
CSP_ind_69,65.91014099121094,76.0
CSP_ind_70,62.26396560668945,73.5
CSP_ind_71,67.33008575439453,74.4
CSP_ind_72,45.261478424072266,63.0
CSP_ind_73,45.94961929321289,56.0
CSP_ind_74,45.51420211791992,63.0
CSP_ind_75,68.65404510498047,80.9
CSP_ind_76,47.33532333374024,59.1
CSP_ind_77,46.81789016723633,60.0
CSP_ind_78,48.28609085083008,64.6
CSP_ind_79,48.28964614868164,44.6
CSP_ind_80,48.06898498535156,50.3
CSP_ind_81,44.92760467529297,70.9
CSP_ind_82,47.48483276367188,76.1
CSP_ind_83,47.28501892089844,64.9
CSP_ind_84,67.05704498291016,79.2
CSP_ind_85,67.0684585571289,76.7
CSP_ind_86,65.47433471679688,75.0
CSP_ind_87,56.220497131347656,74.7
CSP_ind_88,57.69762802124024,75.9
CSP_ind_89,64.97943115234375,77.8
CSP_ind_90,67.59368133544922,77.8
CSP_ind_91,67.4940414428711,75.4
CSP_ind_92,68.92769622802734,68.0
CSP_ind_93,65.26844787597656,75.0
CSP_ind_94,64.7860107421875,76.1
CSP_ind_95,68.24158477783203,75.1
CSP_ind_96,66.15861511230469,66.6
CSP_ind_97,69.15478515625,68.9
CSP_ind_98,65.54312896728516,76.9
