name,pred,exp_tm
6IBB,56.91980743408203,72.12
5MP2,57.82894515991211,70.27
6XW6,58.3426399230957,66.07
7BC6,58.78777694702149,63.0
5MY6,57.721954345703125,74.28
6SC5,57.03220748901367,65.24
6RTW,56.06816482543945,64.21
1ZVY,52.96790313720703,65.1
7DSS,53.87142562866211,67.53
7AZB,57.10433197021485,59.91
5IP4,56.40014266967773,63.24
3K81,54.91102981567383,64.1
3QXV,56.89052963256836,67.24
6RL7,56.82197952270508,72.09
5L21,53.24145126342773,66.86
6DBD,55.29289627075195,65.6
7NQA,53.68703842163086,65.87
6UI1,57.12234115600586,67.83
6X05,56.04449462890625,66.67
7B27,55.41688919067383,65.74
1BZQ_NbThermo.00491,57.0642204284668,70.11
1JTO_NbThermo.00112,54.97919845581055,67.01
1KXT,57.11372756958008,57.85
1KXV,56.33658218383789,56.99
1QD0,55.91102981567383,66.56
1RI8,54.408050537109375,78.14
2BSE,56.69811630249024,75.23
2X6M,57.85993576049805,67.13
3DWT_NbThermo.00113_NbThermo.00133,56.42231369018555,77.72
3EBA,56.97688293457031,86.21
3G9A,57.207767486572266,66.55
3J69,55.892879486083984,66.03
3J6A,56.598819732666016,69.02
3P9W,57.72962188720703,60.0
3SN6,58.41188430786133,60.26
4B5E,59.21271133422852,61.66
4C57,55.40512847900391,63.78
4I0C,56.57963180541992,75.79
4I13,54.646114349365234,65.39
4IDL,54.27652359008789,53.76
4LJP,55.56502532958984,71.72
4LJS,58.740264892578125,72.49
4QGY,57.85089111328125,74.65
4YGA,55.47724151611328,73.41
4Z9K_NbThermo.00231,56.75455093383789,73.49
5C1M,54.70320892333984,61.35
5FOJ,55.41830825805664,70.81
5J56,55.23878860473633,73.74
5KU2,57.60572052001953,55.16
5M2M,57.195613861083984,74.98
5NM0,55.63222885131836,72.73
5O03,60.65093612670898,69.2
5OCL,58.79756546020508,71.69
5OVW,54.357688903808594,76.47
5TD8,55.370487213134766,66.55
5TJW,55.23964309692383,66.25
5U64,56.94852828979492,73.39
5VLV,53.90430450439453,69.62
5VM4,56.41154479980469,72.93
5VXK,55.7602653503418,65.75
6CK8,56.90578842163086,66.66
6EQI,55.51503372192383,62.47
6FYU,56.47540664672852,64.58
6GWN,55.87114334106445,64.42
6HEQ,57.26813507080078,60.61
6HHU,52.61280059814453,70.29
6I2G,55.97686767578125,61.03
6I8H,57.38252639770508,66.04
6ITP,56.98134994506836,68.38
6KNM,59.14998626708984,69.42
6KSN,58.2640266418457,63.03
6OBC,53.29540252685547,64.04
6OQ5,53.34494018554688,65.81
6OS1,56.71901321411133,71.54
6QKD,58.75917434692383,69.2
6QV1,57.65057373046875,63.83
6RAF,57.46680068969727,86.19
6U12,55.85876083374024,61.28
6U50,54.24625778198242,57.07
6U53,56.46065139770508,65.19
6X02,58.56452560424805,76.46
6X03,56.52176284790039,66.97
6XXN,56.86314010620117,80.66
7B18,57.2876205444336,66.14
7E9G,55.6701545715332,59.28
7JVB_NbThermo.00028,58.6700439453125,72.91
7KBI,59.07867813110352,63.45
7MJH,56.181297302246094,59.64
7MY3,54.66840744018555,60.89
7NQK,55.34548568725586,66.46
7OAN,54.84318923950195,67.55
7OAP,58.243072509765625,69.0
7OLZ,57.6370735168457,68.79
sdAb.4875,56.32390594482422,84.2
7KGJ,56.6579704284668,61.6
NbPep1_NbThermo.00045,59.0579948425293,71.86
NbPep2_NbThermo.00046,58.1456413269043,76.13
NbD1_NbThermo.00047,56.008731842041016,65.94
NbPep3_NbThermo.00048,55.23567962646485,60.68
NbPep4_NbThermo.00049,53.99764251708984,67.33
NbD9_NbThermo.00050,54.82828140258789,63.12
NbD8_NbThermo.00051,56.834716796875,57.2
NbPep5_NbThermo.00052,57.807743072509766,70.44
NbPep7_NbThermo.00054,56.10543823242188,68.49
NbD6_NbThermo.00056,56.77095031738281,70.75
NbPep9_NbThermo.00057,57.41674423217773,72.41
NbPep13_NbThermo.00061,57.368465423583984,69.19
NbPep14_NbThermo.00062,56.58080291748047,72.02
NbPep15_NbThermo.00063,54.42477798461914,67.08
NbPep16_NbThermo.00064,57.22348785400391,74.44
NbPep17_NbThermo.00065,56.20987319946289,71.28
NbPep18_NbThermo.00066,58.30428695678711,70.65
NbD4_NbThermo.00069,55.62994766235352,57.46
NbD3_NbThermo.00085,57.44629287719727,68.48
NbD2_NbThermo.00086,56.22410202026367,66.53
NbD5_NbThermo.00087,57.18456268310547,58.19
NbPep47_NbThermo.00095,55.66296005249024,67.06
