name,pred,exp_tm
WP_068424237.1,42.78097534179688,42.7
WP_229068674.1,54.72114181518555,67.3
MGYP001121581011,57.20320510864258,74.2
WP_085753242.1,44.37176132202149,49.3
WP_103564847.1,45.995849609375,53.8
WP_240508704.1,50.06462478637695,57.4
RAY11579.1,48.0046501159668,69.4
WP_230616214.1,47.26649475097656,73.9
MGYP000271253724,64.43714904785156,63.4
NUT34383.1,44.65687942504883,48.7
WP_139580723.1,63.60515975952149,68.5
MBT8227529.1,54.70439529418945,47.5
MGYP001097842225,48.09952926635742,59.2
WP_242883606.1,65.54347229003906,69.1
WP_231775152.1,46.17036056518555,45.7
WP_231443412.1,43.93416213989258,42.7
WP_221382552.1,55.23545455932617,59.8
WP_218617243.1,55.66427993774414,60.1
OAA20861.1,45.852481842041016,43.0
WP_019629726.1,51.38317108154297,46.6
KAA1376628.1,46.10794448852539,35.8
MBX3624429.1,46.78873443603516,56.2
MGYP001149455765,46.98870468139648,68.8
WP_184682765.1,46.76457595825195,59.5
MBB5966108.1,51.09888458251953,39.1
WP_077315388.1,43.599552154541016,45.7
ACV09511,40.6309928894043,42.4
WP_085750434.1,47.01008224487305,47.8
WP_166054040.1,47.59277725219727,49.9
WP_042734330.1,47.9848518371582,60.4
WP_203674568.1,48.15063095092773,44.2
WP_084693247.1,62.30027770996094,68.8
TDP67440,47.23376083374024,46.9
WP_201805840.1,50.90789794921875,44.5
WP_233427406.1,54.55710983276367,40.3
MGYP001489421514,59.36467361450195,56.2
OKI36454.1,49.9678840637207,58.0
MBJ7347705.1,47.17877960205078,63.1
WP_119729924.1,49.676082611083984,43.9
WP_035284691,49.72147750854492,51.7
WP_187224800.1,49.14247512817383,49.6
MGYP000221121644,46.5670166015625,57.1
WP_129786244.1,49.84711837768555,52.0
WP_130342639,44.58565521240234,50.5
WP_199827708.1,48.64486312866211,66.1
WP_228771581.1,46.93804168701172,66.1
WP_194636445.1,56.95022201538086,47.5
WP_114422580.1,46.42692947387695,65.8
WP_203733135.1,48.71911239624024,61.9
WP_233872418.1,47.35406494140625,51.4
WP_103564314,56.05785751342773,46.9
WP_103935912.1,46.19028091430664,49.3
SCE72613.1,51.456539154052734,40.6
WP_261809161.1,46.14203643798828,46.3
WP_013736455.1,55.441104888916016,63.1
WP_164449727.1,52.51583862304688,62.8
MXX05622.1,57.97751235961914,52.3
MGYP002620941758,63.49525833129883,69.1
MBN1171866.1,56.5718879699707,64.3
MBO9569276.1,49.5845832824707,55.6
MGYP001498898836,56.30398178100586,67.6
MBN1575504.1,52.88497543334961,64.6
GGY18408.1,53.22446060180664,51.4
WP_151469820.1,52.33332824707031,33.4
GIG90696.1,56.1308479309082,60.4
WCH76321.1,50.357120513916016,73.9
WP_132265752.1,53.68886947631836,64.0
MGYP001195032839,54.162864685058594,30.7
WP_109639600.1,49.01933670043945,57.7
GGO06455.1,52.94076156616211,51.4
WP_132413760.1,49.26774978637695,69.7
MGYP001477358452,43.54889297485352,54.1
WP_260709492.1,58.54313278198242,60.7
WP_079085207.1,54.16671371459961,56.8
MGYP001369932055,45.35963821411133,69.1
MCB1670591.1,45.44801712036133,53.5
MGYP001481302102,52.12326431274414,53.8
MBN1366053.1,47.54021072387695,50.8
MGYP001473616946,44.30304336547852,69.1
WP_264933993.1,61.49225234985352,61.0
MBP7765893.1,43.3493766784668,69.1
MBE1573625.1,50.734710693359375,40.6
MGYP000861817556,50.29816055297852,67.9
WP_071091307.1,46.029563903808594,40.3
MGYP006125138823,45.37255859375,68.5
WP_256510026.1,55.38056564331055,54.4
WP_249044522.1,45.89509201049805,50.8
WP_119728035.1,49.94221878051758,46.9
WP_229874892.1,52.05912780761719,44.2
WP_086599340.1,64.56985473632812,64.6
MBN2738032.1,51.38155746459961,51.7
WP_225255694.1,49.912086486816406,41.5
WP_252811421.1,60.28592300415039,43.9
SOD43347.1,54.90243148803711,54.1
WP_236244959.1,55.80622482299805,36.1
OLR94321.1,50.590667724609375,41.2
WP_212846608.1,57.439090728759766,50.2
GIU85371.1,50.01987075805664,67.0
QEV16333.1,51.571407318115234,50.2
MGYP000483234479,48.55591583251953,44.5
WP_254876803.1,55.43142318725586,60.4
WP_045318561.1,45.34259414672852,55.3
MGYP003582062575,44.4675407409668,25.3
WAU86704.1,47.89461517333984,53.5
NUT97030.1,48.889984130859375,42.1
WP_143590710.1,47.00951385498047,51.4
WP_221087162.1,57.095340728759766,57.1
WP_019633337.1,51.614871978759766,56.5
MBP2328848.1,55.29610824584961,61.6
GHA15288.1,51.23677444458008,40.0
MGYP001223859710,58.79965972900391,68.8
GAQ59813.1,52.81186676025391,68.5
WP_239095870.1,50.562347412109375,65.2
WP_239486438.1,59.51558303833008,54.7
WP_109361459.1,55.53142929077149,60.4
NUT53577.1,50.1806640625,47.2
MGYP001126223609,66.98600006103516,55.9
MGYP002393323206,53.31758499145508,68.2
WP_250563816.1,52.6279296875,50.8
WP_211769896.1,57.0845832824707,71.8
WP_260422593.1,51.87371444702149,63.1
WP_140175735.1,49.40340805053711,56.2
OLT30808.1,55.28267288208008,49.3
WP_253762837.1,44.69318389892578,52.0
NUS07026.1,47.66252517700195,46.6
WP_218517662.1,48.52425384521485,73.0
MGYP003403985752,46.52620315551758,44.2
WP_150070118.1,48.92877578735352,61.6
WP_256510519.1,47.54172134399414,64.0
WP_167521412.1,65.90586853027344,64.6
WP_132386942.1,58.32008743286133,61.3
WP_232326807.1,64.5584487915039,65.8
WP_246496818.1,55.54036712646485,59.8
GIU85367.1,59.21226501464844,82.3
WP_173061649.1,51.97063827514648,59.5
UAC02078.1,47.4107666015625,67.6
WP_229836555.1,47.98305130004883,68.5
KWV30420.1,54.25113296508789,62.2
WP_268945827.1,47.517845153808594,49.6
WP_158852571.1,46.66852569580078,57.4
WP_031525917.1,66.56141662597656,37.0
WP_266249215.1,57.325809478759766,54.4
WP_111214096.1,54.44604110717773,65.8
WP_197042608.1,55.46186447143555,57.1
NJC12853.1,55.70071029663086,62.2
WP_109037790.1,48.92160034179688,55.0
WP_239104322.1,51.847686767578125,62.5
MBP2707703.1,53.86579513549805,55.9
WBC00352.1,55.734004974365234,60.7
GGO08527.1,65.0668716430664,49.6
WP_273813526.1,45.24312210083008,51.7
WP_203777396.1,65.94007110595703,61.6
WP_203790592.1,51.00712966918945,58.6
WP_252811421.1,60.08539962768555,43.9
SCF49212.1,59.60161972045898,67.0
WP_204285002.1,55.533321380615234,59.8
WP_210157342.1,57.48154067993164,68.8
WP_132399348.1,58.417667388916016,73.3
MBX3621832.1,46.02531433105469,63.4
WP_085749238.1,44.19123840332031,62.8
MBF9135495.1,53.50224685668945,62.8
WP_181548579.1,53.55130386352539,63.4
WP_082536249.1,44.64406204223633,43.9
WP_239135698.1,46.19994354248047,65.2
WP_267938240.1,61.55832290649414,63.1
WP_234583022.1,56.65372085571289,59.2
WP_182904095.1,68.31510925292969,68.8
TWG17167.1,52.293582916259766,62.5
GHJ08786.1,64.11023712158203,64.6
WP_240522201.1,52.66042709350586,52.0
WP_257828484.1,48.11056137084961,58.6
WP_260615299.1,57.107059478759766,59.2
WP_259405879.1,58.46422958374024,60.7
WP_211363689.1,47.19096374511719,55.0
WP_203822553.1,62.0583610534668,47.8
WP_156114969.1,44.59843826293945,55.3
TNH28703.1,52.19185256958008,63.7
MGYP000246415913,49.959381103515625,35.2
MBO4274871.1,55.81252670288086,62.8
WP_169980303.1,59.1208381652832,59.8
WP_192329846.1,46.17289352416992,49.6
GLI01021.1,53.69736862182617,63.1
WP_084261341.1,61.26041030883789,61.6
WP_252275389.1,46.24728393554688,52.0
WP_203990226.1,60.56048202514648,58.6
WP_220815207.1,45.413719177246094,56.5
WP_007455959.1,60.80854415893555,51.7
GFJ87714.1,55.86952209472656,53.8
WP_223093092.1,62.148738861083984,47.8
WP_204038550.1,52.83116912841797,67.9
WP_265247586.1,53.003604888916016,68.2
MGYP003703942659,44.18075180053711,53.5
WP_271190254.1,63.934513092041016,58.3
WP_203980609.1,52.922489166259766,62.2
MCF0091346.1,62.86001968383789,58.0
MGYP000278479948,46.18325424194336,69.7
WP_093473685.1,44.9393424987793,53.8
WP_160470043.1,52.261348724365234,39.1
WP_199199185.1,55.14152526855469,65.5
WP_033363749.1,47.3289909362793,67.9
WP_167975345.1,46.48847579956055,58.0
WP_130401777.1,51.32267379760742,56.2
WP_247056560.1,47.86559295654297,51.7
WP_203812622.1,48.76049423217773,40.6
NLY58972.1,46.78178024291992,49.0
WP_201805836.1,46.8773307800293,56.2
MBW4703769.1,55.10599899291992,58.6
PWR09075.1,48.13278579711914,61.0
WP_255830407.1,42.73188400268555,52.0
MTK05241.1,51.72432708740234,61.6
HEC53621.1,47.9571647644043,45.4
WP_086515000.1,59.30258560180664,44.5
WP_020639922.1,52.0873908996582,51.7
WP_039906502.1,57.02114486694336,61.3
MBQ1015012.1,53.95016860961914,55.9
WP_203906211.1,50.778438568115234,57.4
WP_091317053.1,48.120113372802734,55.3
MGYP000647205319,47.055301666259766,46.0
WP_257828480.1,54.01486587524414,47.5
WP_269740835.1,45.5147705078125,66.4
GGR16917.1,59.55046463012695,55.6
WP_239125827.1,52.66569137573242,50.2
WP_144022925.1,44.30873489379883,55.6
WP_090003781.1,44.08876037597656,43.0
WP_247684544.1,48.99271774291992,58.9
PYC64928.1,57.5071907043457,62.2
WP_261760582.1,50.33940887451172,68.8
WP_172899142.1,55.480804443359375,63.1
MBT9528079.1,48.63650131225586,61.3
WP_239086781.1,46.75551223754883,54.4
MGYP002388512850,48.5051155090332,70.0
unknown,58.42790603637695,93.6
