name,pred,exp_tm
CSP_ind_0,48.61175155639648,40.0
CSP_ind_1,71.9547348022461,81.5
CSP_ind_2,70.90879821777344,79.0
CSP_ind_3,63.725494384765625,60.0
CSP_ind_4,64.23075103759766,62.0
CSP_ind_5,49.49874114990234,53.8
CSP_ind_6,58.192291259765625,76.9
CSP_ind_7,68.08592224121094,58.4
CSP_ind_8,70.94975280761719,61.0
CSP_ind_9,74.07950592041016,59.8
CSP_ind_10,73.76329803466797,76.0
CSP_ind_12,49.54004669189453,64.2
CSP_ind_13,52.4927864074707,77.0
CSP_ind_14,49.73480224609375,69.5
CSP_ind_15,52.7731819152832,83.7
CSP_ind_16,50.39183044433594,61.1
CSP_ind_17,50.47296142578125,75.7
CSP_ind_18,51.24757385253906,85.0
CSP_ind_19,50.75373077392578,74.7
CSP_ind_20,50.44865798950195,50.7
CSP_ind_21,57.4409294128418,82.2
CSP_ind_22,50.52315139770508,70.1
CSP_ind_23,58.65533828735352,75.1
CSP_ind_24,47.88663101196289,63.1
CSP_ind_25,51.40428924560547,70.4
CSP_ind_26,54.078392028808594,69.6
CSP_ind_27,48.83173370361328,64.0
CSP_ind_28,50.162017822265625,64.6
CSP_ind_29,47.89036178588867,49.1
CSP_ind_30,49.11052322387695,51.3
CSP_ind_31,48.69697570800781,60.2
CSP_ind_32,48.9118766784668,65.6
CSP_ind_33,48.58370208740234,61.9
CSP_ind_34,47.80362701416016,57.1
CSP_ind_35,52.08253479003906,74.6
CSP_ind_36,57.78463745117188,69.2
CSP_ind_37,49.503814697265625,73.2
CSP_ind_38,50.20133209228516,71.8
CSP_ind_39,57.46051025390625,74.5
CSP_ind_40,55.50772857666016,78.1
CSP_ind_41,50.31823348999024,70.8
CSP_ind_42,54.364776611328125,85.6
CSP_ind_43,50.38499450683594,69.3
CSP_ind_44,48.14836883544922,54.7
CSP_ind_45,53.056861877441406,70.7
CSP_ind_46,58.05657196044922,71.2
CSP_ind_47,50.44938659667969,69.4
CSP_ind_48,51.10563659667969,69.9
CSP_ind_49,48.08933639526367,48.6
CSP_ind_50,48.0179443359375,62.2
CSP_ind_51,47.96573638916016,57.9
CSP_ind_52,57.50490188598633,67.6
CSP_ind_53,59.24895477294922,69.7
CSP_ind_54,53.49546432495117,77.0
CSP_ind_55,54.89981842041016,61.5
CSP_ind_56,58.09200286865234,62.7
CSP_ind_57,50.4974365234375,51.8
CSP_ind_58,59.43135833740234,59.9
CSP_ind_59,55.45093536376953,68.8
CSP_ind_60,51.55270004272461,62.4
CSP_ind_61,49.506629943847656,66.7
CSP_ind_62,49.64862823486328,66.4
CSP_ind_63,50.043216705322266,64.4
CSP_ind_64,52.10059356689453,66.8
CSP_ind_65,59.623626708984375,73.5
CSP_ind_66,51.0118522644043,74.0
CSP_ind_67,60.90956115722656,75.4
CSP_ind_68,56.126373291015625,77.7
CSP_ind_69,65.63572692871094,76.0
CSP_ind_70,55.04505157470703,73.5
CSP_ind_71,55.87374114990234,74.4
CSP_ind_72,63.70285034179688,63.0
CSP_ind_73,65.20671081542969,56.0
CSP_ind_74,64.56523132324219,63.0
CSP_ind_75,65.29784393310547,80.9
CSP_ind_76,49.803016662597656,59.1
CSP_ind_77,50.756385803222656,60.0
CSP_ind_78,51.26346969604492,64.6
CSP_ind_79,47.34522247314453,44.6
CSP_ind_80,51.96475982666016,50.3
CSP_ind_81,50.28971099853516,70.9
CSP_ind_82,56.03707885742188,76.1
CSP_ind_83,52.12843322753906,64.9
CSP_ind_84,57.61427307128906,79.2
CSP_ind_85,56.08691787719727,76.7
CSP_ind_86,55.84249877929688,75.0
CSP_ind_87,57.4707260131836,74.7
CSP_ind_88,52.74224090576172,75.9
CSP_ind_89,51.00440979003906,77.8
CSP_ind_90,57.833614349365234,77.8
CSP_ind_91,55.75801467895508,75.4
CSP_ind_92,60.79552459716797,68.0
CSP_ind_93,55.30474853515625,75.0
CSP_ind_94,55.58409881591797,76.1
CSP_ind_95,56.95845031738281,75.1
CSP_ind_96,61.016639709472656,66.6
CSP_ind_97,60.697513580322266,68.9
CSP_ind_98,56.31695938110352,76.9
