name,pred,exp_tm
6IBB,56.00243377685547,72.12
5MP2,54.8226203918457,70.27
6XW6,56.99139404296875,66.07
7BC6,59.39601135253906,63.0
5MY6,56.73716354370117,74.28
6SC5,59.51318359375,65.24
6RTW,57.34453582763672,64.21
1ZVY,54.46339797973633,65.1
7DSS,59.35889053344727,67.53
7AZB,57.302207946777344,59.91
5IP4,55.66139602661133,63.24
3K81,57.07918548583984,64.1
3QXV,56.26352691650391,67.24
6RL7,56.023414611816406,72.09
5L21,55.548606872558594,66.86
6DBD,55.24794006347656,65.6
7NQA,55.713172912597656,65.87
6UI1,55.898193359375,67.83
6X05,55.51264190673828,66.67
7B27,58.991249084472656,65.74
1BZQ_NbThermo.00491,58.06966400146485,70.11
1JTO_NbThermo.00112,57.87717819213867,67.01
1KXT,57.18817901611328,57.85
1KXV,55.83604049682617,56.99
1QD0,54.42246627807617,66.56
1RI8,55.65800857543945,78.14
2BSE,56.69888305664063,75.23
2X6M,55.178958892822266,67.13
3DWT_NbThermo.00113_NbThermo.00133,56.95962524414063,77.72
3EBA,56.056785583496094,86.21
3G9A,56.78482437133789,66.55
3J69,59.36155319213867,66.03
3J6A,56.11231231689453,69.02
3P9W,57.874629974365234,60.0
3SN6,58.40739440917969,60.26
4B5E,56.72589111328125,61.66
4C57,57.80175018310547,63.78
4I0C,55.41260528564453,75.79
4I13,56.16134643554688,65.39
4IDL,55.32415771484375,53.76
4LJP,56.35975646972656,71.72
4LJS,57.98426818847656,72.49
4QGY,56.67576599121094,74.65
4YGA,57.12434387207031,73.41
4Z9K_NbThermo.00231,56.179779052734375,73.49
5C1M,55.58810043334961,61.35
5FOJ,55.92560958862305,70.81
5J56,56.30597686767578,73.74
5KU2,58.09054946899414,55.16
5M2M,57.74868774414063,74.98
5NM0,56.47623825073242,72.73
5O03,57.63030242919922,69.2
5OCL,56.66839599609375,71.69
5OVW,54.91492462158203,76.47
5TD8,55.971473693847656,66.55
5TJW,57.18092346191406,66.25
5U64,56.85403060913086,73.39
5VLV,56.656036376953125,69.62
5VM4,56.72486877441406,72.93
5VXK,55.98817443847656,65.75
6CK8,55.8509635925293,66.66
6EQI,56.62953567504883,62.47
6FYU,54.45517349243164,64.58
6GWN,56.97124481201172,64.42
6HEQ,57.96207046508789,60.61
6HHU,56.14020919799805,70.29
6I2G,56.83724212646485,61.03
6I8H,59.040924072265625,66.04
6ITP,58.630279541015625,68.38
6KNM,56.44599151611328,69.42
6KSN,56.82692337036133,63.03
6OBC,54.951881408691406,64.04
6OQ5,55.918087005615234,65.81
6OS1,56.037628173828125,71.54
6QKD,58.15342712402344,69.2
6QV1,55.20647430419922,63.83
