name,pred,exp_tm
WP_068424237.1,50.49676132202149,42.7
WP_229068674.1,47.91260528564453,67.3
MGYP001121581011,55.49192428588867,74.2
WP_085753242.1,42.12534332275391,49.3
WP_103564847.1,55.6486701965332,53.8
WP_240508704.1,52.269676208496094,57.4
RAY11579.1,54.44895553588867,69.4
WP_230616214.1,70.81348419189453,73.9
MGYP000271253724,54.06361770629883,63.4
NUT34383.1,47.72624969482422,48.7
WP_139580723.1,53.88054275512695,68.5
MBT8227529.1,53.38235855102539,47.5
MGYP001097842225,45.730560302734375,59.2
WP_242883606.1,56.75741195678711,69.1
WP_231775152.1,50.67509460449219,45.7
WP_231443412.1,51.78477096557617,42.7
WP_221382552.1,54.19765472412109,59.8
WP_218617243.1,51.32299423217773,60.1
OAA20861.1,46.50148010253906,43.0
WP_019629726.1,49.71798706054688,46.6
KAA1376628.1,44.04601287841797,35.8
MBX3624429.1,46.27812957763672,56.2
MGYP001149455765,47.95660400390625,68.8
WP_184682765.1,51.67617034912109,59.5
MBB5966108.1,48.64778137207031,39.1
WP_077315388.1,45.26480865478516,45.7
ACV09511,43.32785034179688,42.4
WP_085750434.1,46.837005615234375,47.8
WP_166054040.1,51.76580810546875,49.9
WP_042734330.1,46.5859489440918,60.4
WP_203674568.1,47.88190078735352,44.2
WP_084693247.1,66.4460678100586,68.8
TDP67440,48.45606231689453,46.9
WP_201805840.1,47.04052734375,44.5
WP_233427406.1,55.865478515625,40.3
MGYP001489421514,47.48576736450195,56.2
OKI36454.1,52.5587158203125,58.0
MBJ7347705.1,46.302833557128906,63.1
WP_119729924.1,51.32118988037109,43.9
WP_035284691,50.41520690917969,51.7
WP_187224800.1,50.595951080322266,49.6
MGYP000221121644,51.44271087646485,57.1
WP_129786244.1,43.96476745605469,52.0
WP_130342639,50.39130783081055,50.5
WP_199827708.1,51.25674819946289,66.1
WP_228771581.1,54.472259521484375,66.1
WP_194636445.1,53.23123550415039,47.5
WP_114422580.1,51.62614822387695,65.8
WP_203733135.1,46.565826416015625,61.9
WP_233872418.1,41.216400146484375,51.4
WP_103564314,52.58178329467773,46.9
WP_103935912.1,49.25617980957031,49.3
SCE72613.1,54.37960815429688,40.6
WP_261809161.1,45.64341735839844,46.3
WP_013736455.1,52.95215225219727,63.1
WP_164449727.1,54.168113708496094,62.8
MXX05622.1,47.1234130859375,52.3
MGYP002620941758,55.757057189941406,69.1
MBN1171866.1,51.67851638793945,64.3
MBO9569276.1,53.083740234375,55.6
MGYP001498898836,56.908233642578125,67.6
MBN1575504.1,60.35309982299805,64.6
GGY18408.1,58.48418045043945,51.4
WP_151469820.1,58.661041259765625,33.4
GIG90696.1,53.724422454833984,60.4
WCH76321.1,42.57206726074219,73.9
WP_132265752.1,52.1077995300293,64.0
MGYP001195032839,48.55643081665039,30.7
WP_109639600.1,51.33895111083984,57.7
GGO06455.1,52.19058990478516,51.4
WP_132413760.1,53.96288299560547,69.7
MGYP001477358452,49.677734375,54.1
WP_260709492.1,52.841796875,60.7
WP_079085207.1,53.80144119262695,56.8
MGYP001369932055,48.748565673828125,69.1
MCB1670591.1,47.32645797729492,53.5
MGYP001481302102,48.53673553466797,53.8
MBN1366053.1,54.27592849731445,50.8
MGYP001473616946,45.45280456542969,69.1
WP_264933993.1,54.96689224243164,61.0
MBP7765893.1,44.01703643798828,69.1
MBE1573625.1,50.94731140136719,40.6
MGYP000861817556,47.989234924316406,67.9
WP_071091307.1,48.630279541015625,40.3
MGYP006125138823,58.69767761230469,68.5
WP_256510026.1,54.6662483215332,54.4
WP_249044522.1,50.63698196411133,50.8
WP_119728035.1,51.020301818847656,46.9
WP_229874892.1,49.60731506347656,44.2
WP_086599340.1,56.20360565185547,64.6
MBN2738032.1,52.29124450683594,51.7
WP_225255694.1,51.47774505615234,41.5
WP_252811421.1,55.383880615234375,43.9
SOD43347.1,57.17509460449219,54.1
WP_236244959.1,52.43574523925781,36.1
OLR94321.1,55.93358612060547,41.2
WP_212846608.1,56.042518615722656,50.2
GIU85371.1,52.82502365112305,67.0
QEV16333.1,53.78142547607422,50.2
MGYP000483234479,49.62950134277344,44.5
WP_254876803.1,53.15351867675781,60.4
WP_045318561.1,53.68951034545898,55.3
MGYP003582062575,44.9002799987793,25.3
WAU86704.1,49.84295654296875,53.5
NUT97030.1,47.62255096435547,42.1
WP_143590710.1,48.37761688232422,51.4
WP_221087162.1,53.64448547363281,57.1
WP_019633337.1,60.80852508544922,56.5
MBP2328848.1,51.85284423828125,61.6
GHA15288.1,54.36436462402344,40.0
MGYP001223859710,48.74633026123047,68.8
GAQ59813.1,57.42419052124024,68.5
WP_239095870.1,49.15674209594727,65.2
WP_239486438.1,56.46297836303711,54.7
WP_109361459.1,56.2659912109375,60.4
NUT53577.1,52.93451690673828,47.2
MGYP001126223609,45.32841110229492,55.9
MGYP002393323206,45.083457946777344,68.2
WP_250563816.1,61.23588180541992,50.8
WP_211769896.1,48.74683380126953,71.8
WP_260422593.1,53.52444839477539,63.1
WP_140175735.1,52.37583923339844,56.2
OLT30808.1,51.81330490112305,49.3
WP_253762837.1,48.10704040527344,52.0
NUS07026.1,48.752567291259766,46.6
WP_218517662.1,53.4555778503418,73.0
MGYP003403985752,50.54576110839844,44.2
WP_150070118.1,48.03150177001953,61.6
WP_256510519.1,53.59028625488281,64.0
WP_167521412.1,57.05030822753906,64.6
WP_132386942.1,52.25786972045898,61.3
WP_232326807.1,54.32154846191406,65.8
WP_246496818.1,54.790260314941406,59.8
GIU85367.1,55.83429336547852,82.3
WP_173061649.1,51.98252868652344,59.5
UAC02078.1,47.62657928466797,67.6
WP_229836555.1,52.21583557128906,68.5
KWV30420.1,55.421875,62.2
WP_268945827.1,49.600341796875,49.6
WP_158852571.1,51.751495361328125,57.4
WP_031525917.1,53.88618087768555,37.0
WP_266249215.1,54.96470642089844,54.4
WP_111214096.1,54.53651428222656,65.8
WP_197042608.1,51.65308380126953,57.1
NJC12853.1,53.53142547607422,62.2
WP_109037790.1,50.725223541259766,55.0
WP_239104322.1,53.60082244873047,62.5
MBP2707703.1,52.60346603393555,55.9
WBC00352.1,56.93659973144531,60.7
GGO08527.1,52.82477569580078,49.6
WP_273813526.1,50.574684143066406,51.7
WP_203777396.1,57.02043151855469,61.6
WP_203790592.1,53.40779113769531,58.6
WP_252811421.1,54.93317413330078,43.9
SCF49212.1,54.61857223510742,67.0
WP_204285002.1,53.871578216552734,59.8
WP_210157342.1,55.75594329833984,68.8
WP_132399348.1,53.48048400878906,73.3
MBX3621832.1,47.3994026184082,63.4
WP_085749238.1,45.18848419189453,62.8
MBF9135495.1,53.570457458496094,62.8
WP_181548579.1,52.05845642089844,63.4
WP_082536249.1,44.9830436706543,43.9
WP_239135698.1,49.01445388793945,65.2
WP_267938240.1,57.9232063293457,63.1
WP_234583022.1,57.368309020996094,59.2
WP_182904095.1,53.565372467041016,68.8
TWG17167.1,52.226261138916016,62.5
GHJ08786.1,53.94520568847656,64.6
WP_240522201.1,53.24431991577149,52.0
WP_257828484.1,48.31193542480469,58.6
WP_260615299.1,52.36931991577149,59.2
WP_259405879.1,51.37692642211914,60.7
WP_211363689.1,52.88648986816406,55.0
WP_203822553.1,54.71025466918945,47.8
WP_156114969.1,51.75746536254883,55.3
TNH28703.1,53.20088195800781,63.7
MGYP000246415913,45.993263244628906,35.2
MBO4274871.1,55.76309967041016,62.8
WP_169980303.1,51.49710464477539,59.8
WP_192329846.1,48.45304870605469,49.6
GLI01021.1,51.272560119628906,63.1
WP_084261341.1,53.814064025878906,61.6
WP_252275389.1,50.0908432006836,52.0
WP_203990226.1,55.4235725402832,58.6
WP_220815207.1,53.31218338012695,56.5
WP_007455959.1,57.57448959350586,51.7
GFJ87714.1,53.59612274169922,53.8
WP_223093092.1,56.81906509399414,47.8
WP_204038550.1,51.776309967041016,67.9
WP_265247586.1,51.86138153076172,68.2
MGYP003703942659,45.77405548095703,53.5
WP_271190254.1,55.39445495605469,58.3
WP_203980609.1,52.74753189086914,62.2
MCF0091346.1,53.275787353515625,58.0
MGYP000278479948,43.22818374633789,69.7
WP_093473685.1,43.82896041870117,53.8
WP_160470043.1,59.48915481567383,39.1
WP_199199185.1,58.60929107666016,65.5
WP_033363749.1,49.94871520996094,67.9
WP_167975345.1,49.71669387817383,58.0
WP_130401777.1,53.11090850830078,56.2
WP_247056560.1,50.57791519165039,51.7
WP_203812622.1,52.09825897216797,40.6
NLY58972.1,46.84897232055664,49.0
WP_201805836.1,48.779579162597656,56.2
MBW4703769.1,53.096439361572266,58.6
PWR09075.1,49.782325744628906,61.0
WP_255830407.1,46.69813537597656,52.0
MTK05241.1,46.29380798339844,61.6
HEC53621.1,46.48670959472656,45.4
WP_086515000.1,57.61608505249024,44.5
WP_020639922.1,52.523719787597656,51.7
WP_039906502.1,53.33441162109375,61.3
MBQ1015012.1,50.490684509277344,55.9
WP_203906211.1,46.78840637207031,57.4
WP_091317053.1,51.46281433105469,55.3
MGYP000647205319,49.46344757080078,46.0
WP_257828480.1,48.15369415283203,47.5
WP_269740835.1,48.06175231933594,66.4
GGR16917.1,53.41361999511719,55.6
WP_239125827.1,48.35968017578125,50.2
WP_144022925.1,49.19285202026367,55.6
WP_090003781.1,51.463844299316406,43.0
WP_247684544.1,47.55870819091797,58.9
PYC64928.1,52.97260665893555,62.2
WP_261760582.1,48.20359802246094,68.8
WP_172899142.1,52.38848876953125,63.1
MBT9528079.1,44.16630935668945,61.3
WP_239086781.1,51.4907455444336,54.4
MGYP002388512850,42.532981872558594,70.0
unknown,48.53670120239258,93.6
