name,pred,sp,exp_tm
P61500_recA,71.87439727783203,T.thermophilus,72.06
Q72G97_recG,87.0718765258789,T.thermophilus,72.153
P62662_rpsB,75.4493408203125,T.thermophilus,72.216
Q746P0_TT_P0013,80.70360565185547,T.thermophilus,72.228
Q746N8_cbiX,89.1390380859375,T.thermophilus,72.234
Q72H90_soj,75.66069030761719,T.thermophilus,72.258
Q72LP8_TT_C0010,77.4123764038086,T.thermophilus,72.269
Q72JA0_minD,75.94385528564453,T.thermophilus,72.273
Q72L65_hflX,82.76421356201172,T.thermophilus,72.276
Q72L52_TT_C0211,57.80126190185547,T.thermophilus,72.283
Q72JN6_TT_C0734,68.18305969238281,T.thermophilus,72.316
Q72I41_TT_C1291,74.95761108398438,T.thermophilus,72.328
Q72JQ4_TT_C0714,69.5865478515625,T.thermophilus,72.33
Q72JG1_rimO,65.8165512084961,T.thermophilus,72.356
Q72KY6_TT_C0279,58.79281234741211,T.thermophilus,72.378
Q72LK3_TT_C0056,83.82157897949219,T.thermophilus,72.379
Q72LH6_livF,67.21769714355469,T.thermophilus,72.441
Q72J57_TT_C0922,82.21839141845703,T.thermophilus,72.471
Q72GX5_pstB,52.00010299682617,T.thermophilus,72.472
Q72HC1_rlmN,70.37322235107422,T.thermophilus,72.512
Q72IH8_TT_C1154,83.56453704833984,T.thermophilus,72.547
Q72IZ8_TT_C0983,66.27803802490234,T.thermophilus,72.562
Q72I16_rplE,70.5185546875,T.thermophilus,72.567
P61941_rpsL,77.54586791992188,T.thermophilus,72.573
P62663_rpsC,53.43054962158203,T.thermophilus,72.621
Q72KA4_TT_C0543,78.36360168457031,T.thermophilus,72.621
Q72LA0_TT_C0159,81.36740112304688,T.thermophilus,72.623
Q72J11_livF,70.48744201660156,T.thermophilus,72.658
P61537_ruvB,71.53564453125,T.thermophilus,72.665
Q72L33_TT_C0230,84.11038970947266,T.thermophilus,72.691
Q72J12_livG,50.89311981201172,T.thermophilus,72.734
Q72GG8_TT_C1880,69.33183288574219,T.thermophilus,72.752
Q72IJ8_TT_C1134,80.1452865600586,T.thermophilus,72.86
Q72J51_ftsE,41.90142059326172,T.thermophilus,72.886
Q72J39_miaB,72.43428039550781,T.thermophilus,72.972
Q72KZ4_TT_C0271,84.00054168701172,T.thermophilus,73.132
Q72I11_rplP,75.66156005859375,T.thermophilus,73.157
Q72GI4_dcd,79.43081665039062,T.thermophilus,73.294
Q72I12_rpmC,73.34333038330078,T.thermophilus,73.338
