name,pred,sp,exp_tm
P61500_recA,70.83515167236328,T.thermophilus,72.06
Q72G97_recG,83.0497817993164,T.thermophilus,72.153
P62662_rpsB,51.1397705078125,T.thermophilus,72.216
Q746P0_TT_P0013,56.3961181640625,T.thermophilus,72.228
Q746N8_cbiX,67.56242370605469,T.thermophilus,72.234
Q72H90_soj,71.46737670898438,T.thermophilus,72.258
Q72LP8_TT_C0010,73.9190444946289,T.thermophilus,72.269
Q72JA0_minD,74.38053131103516,T.thermophilus,72.273
Q72L65_hflX,72.34322357177734,T.thermophilus,72.276
Q72L52_TT_C0211,69.27794647216797,T.thermophilus,72.283
Q72JN6_TT_C0734,79.0366439819336,T.thermophilus,72.316
Q72I41_TT_C1291,72.14363098144531,T.thermophilus,72.328
Q72JQ4_TT_C0714,81.53914642333984,T.thermophilus,72.33
Q72JG1_rimO,70.36133575439453,T.thermophilus,72.356
Q72KY6_TT_C0279,44.42887115478516,T.thermophilus,72.378
Q72LK3_TT_C0056,80.7389144897461,T.thermophilus,72.379
Q72LH6_livF,75.91311645507812,T.thermophilus,72.441
Q72J57_TT_C0922,49.07347869873047,T.thermophilus,72.471
Q72GX5_pstB,50.93988037109375,T.thermophilus,72.472
Q72HC1_rlmN,45.35823059082031,T.thermophilus,72.512
Q72IH8_TT_C1154,70.47855377197266,T.thermophilus,72.547
Q72IZ8_TT_C0983,71.15361022949219,T.thermophilus,72.562
Q72I16_rplE,57.3997802734375,T.thermophilus,72.567
P61941_rpsL,50.89714813232422,T.thermophilus,72.573
P62663_rpsC,69.8708267211914,T.thermophilus,72.621
Q72KA4_TT_C0543,48.234352111816406,T.thermophilus,72.621
Q72LA0_TT_C0159,77.12105560302734,T.thermophilus,72.623
Q72J11_livF,65.4561767578125,T.thermophilus,72.658
P61537_ruvB,79.7990493774414,T.thermophilus,72.665
Q72L33_TT_C0230,62.85674285888672,T.thermophilus,72.691
Q72J12_livG,59.55686950683594,T.thermophilus,72.734
Q72GG8_TT_C1880,46.99337768554688,T.thermophilus,72.752
Q72IJ8_TT_C1134,82.29589080810547,T.thermophilus,72.86
Q72J51_ftsE,67.56175994873047,T.thermophilus,72.886
Q72J39_miaB,50.58171081542969,T.thermophilus,72.972
Q72KZ4_TT_C0271,48.756378173828125,T.thermophilus,73.132
Q72I11_rplP,47.597633361816406,T.thermophilus,73.157
Q72GI4_dcd,47.35478210449219,T.thermophilus,73.294
Q72I12_rpmC,54.92152786254883,T.thermophilus,73.338
Q72KT1_TT_C0411,73.17034149169922,T.thermophilus,73.343
Q72L15_clpP,53.866844177246094,T.thermophilus,73.347
Q72HM2_mreB,73.34354400634766,T.thermophilus,73.349
Q72IY3_TT_C0998,78.63117218017578,T.thermophilus,73.418
Q72HV0_plsX,69.5831527709961,T.thermophilus,73.469
Q72KC1_TT_C0526,78.58342742919922,T.thermophilus,73.486
Q72L74_plsY,76.14876556396484,T.thermophilus,73.558
Q745Z3_TT_P0162,43.23957061767578,T.thermophilus,73.594
Q72K96_TT_C0551,79.29048919677734,T.thermophilus,73.624
Q72I53_metK,75.82372283935547,T.thermophilus,73.648
Q72IN7_TT_C1095,77.41873168945312,T.thermophilus,73.667
