name,pred,exp_tm
6IBB,49.596282958984375,72.12
5MP2,52.53326797485352,70.27
6XW6,51.28572082519531,66.07
7BC6,54.88143157958984,63.0
5MY6,52.44847869873047,74.28
6SC5,52.89253616333008,65.24
6RTW,52.23490524291992,64.21
1ZVY,48.33568954467773,65.1
7DSS,50.08809280395508,67.53
7AZB,52.73101043701172,59.91
5IP4,52.208892822265625,63.24
3K81,51.299583435058594,64.1
3QXV,48.1946907043457,67.24
6RL7,50.81018829345703,72.09
5L21,51.665809631347656,66.86
6DBD,51.907501220703125,65.6
7NQA,51.964447021484375,65.87
6UI1,56.07176971435547,67.83
6X05,49.94430923461914,66.67
7B27,50.291046142578125,65.74
1BZQ_NbThermo.00491,51.4462890625,70.11
1JTO_NbThermo.00112,46.77108383178711,67.01
1KXT,52.68926239013672,57.85
1KXV,53.88082885742188,56.99
1QD0,48.65983581542969,66.56
1RI8,50.632110595703125,78.14
2BSE,50.37520599365234,75.23
2X6M,51.67774200439453,67.13
3DWT_NbThermo.00113_NbThermo.00133,51.217803955078125,77.72
3EBA,52.20658874511719,86.21
3G9A,48.60871505737305,66.55
3J69,53.78173828125,66.03
3J6A,49.52033996582031,69.02
3P9W,52.51749420166016,60.0
3SN6,51.63587188720703,60.26
4B5E,52.14435577392578,61.66
4C57,53.10418701171875,63.78
4I0C,50.319671630859375,75.79
4I13,50.339168548583984,65.39
4IDL,51.23664093017578,53.76
4LJP,53.21015167236328,71.72
4LJS,52.74517822265625,72.49
4QGY,50.01407241821289,74.65
4YGA,51.88712310791016,73.41
4Z9K_NbThermo.00231,54.12370681762695,73.49
5C1M,49.00015258789063,61.35
5FOJ,48.680152893066406,70.81
5J56,51.59612274169922,73.74
5KU2,49.60416030883789,55.16
5M2M,51.04601287841797,74.98
5NM0,51.70054626464844,72.73
5O03,50.14496612548828,69.2
5OCL,50.73027038574219,71.69
5OVW,49.45075988769531,76.47
5TD8,52.08809661865234,66.55
5TJW,50.7192268371582,66.25
5U64,51.88682556152344,73.39
5VLV,49.05027770996094,69.62
5VM4,51.54951095581055,72.93
5VXK,50.9805908203125,65.75
6CK8,49.81153869628906,66.66
6EQI,51.70106506347656,62.47
6FYU,53.80587005615234,64.58
6GWN,49.45698547363281,64.42
6HEQ,52.71508026123047,60.61
6HHU,49.71183395385742,70.29
6I2G,50.29806900024414,61.03
6I8H,51.45285034179688,66.04
6ITP,55.53239440917969,68.38
6KNM,52.046180725097656,69.42
6KSN,50.35958099365234,63.03
6OBC,52.33134460449219,64.04
6OQ5,52.82320022583008,65.81
6OS1,52.70466613769531,71.54
6QKD,49.18007659912109,69.2
6QV1,48.90903472900391,63.83
6RAF,50.04269409179688,86.19
6U12,52.165184020996094,61.28
6U50,53.0816535949707,57.07
6U53,52.10060501098633,65.19
6X02,46.93296813964844,76.46
6X03,49.19950866699219,66.97
6XXN,51.29375457763672,80.66
7B18,54.88476943969727,66.14
7E9G,53.67285919189453,59.28
7JVB_NbThermo.00028,53.07170104980469,72.91
7KBI,51.968299865722656,63.45
7MJH,51.962493896484375,59.64
7MY3,50.34944152832031,60.89
7NQK,51.45195007324219,66.46
7OAN,49.91279220581055,67.55
7OAP,50.62858581542969,69.0
7OLZ,52.38181686401367,68.79
sdAb.4875,52.46455764770508,84.2
7KGJ,53.09362030029297,61.6
NbPep1_NbThermo.00045,52.04772567749024,71.86
NbPep2_NbThermo.00046,51.16279983520508,76.13
NbD1_NbThermo.00047,52.79353332519531,65.94
NbPep3_NbThermo.00048,51.43035888671875,60.68
NbPep4_NbThermo.00049,50.33438873291016,67.33
NbD9_NbThermo.00050,53.8924446105957,63.12
NbD8_NbThermo.00051,52.454925537109375,57.2
NbPep5_NbThermo.00052,53.850982666015625,70.44
NbPep7_NbThermo.00054,51.87339019775391,68.49
NbD6_NbThermo.00056,48.43260955810547,70.75
NbPep9_NbThermo.00057,55.62269592285156,72.41
NbPep13_NbThermo.00061,52.02605819702149,69.19
NbPep14_NbThermo.00062,51.05955123901367,72.02
NbPep15_NbThermo.00063,50.915157318115234,67.08
NbPep16_NbThermo.00064,52.57997512817383,74.44
NbPep17_NbThermo.00065,51.96004486083984,71.28
NbPep18_NbThermo.00066,50.73864364624024,70.65
NbD4_NbThermo.00069,49.69559860229492,57.46
NbD3_NbThermo.00085,53.28959655761719,68.48
NbD2_NbThermo.00086,50.49094009399414,66.53
NbD5_NbThermo.00087,52.55699157714844,58.19
NbPep47_NbThermo.00095,51.63017272949219,67.06
NbPep50_NbThermo.00096,52.6672248840332,62.39
NbPep51_NbThermo.00097,51.16672134399414,72.45
NbPep52_NbThermo.00098,50.42378234863281,59.0
NbPep10_NbThermo.00058,52.09268951416016,84.58
NbPep11_NbThermo.00059,51.0245361328125,68.0
NbPep12_NbThermo.00060,50.53623962402344,68.57
NbPep19_NbThermo.00067,51.48702239990234,71.43
NbD12_NbThermo.00070,52.76013946533203,61.46
NbPep21_NbThermo.00071,51.73249053955078,68.73
NbPep22_NbThermo.00072,49.75280380249024,69.54
NbPep23_NbThermo.00073,51.910400390625,69.63
NbPep24_NbThermo.00074,51.74011993408203,76.09
NbPep25_NbThermo.00075,51.35274124145508,68.33
NbD10_NbThermo.00076,52.696380615234375,59.54
NbPep26_NbThermo.00077,50.7462272644043,72.88
NbPep27_NbThermo.00078,51.73793029785156,85.8
NbPep28_NbThermo.00079,55.52851867675781,63.9
NbPep29_NbThermo.00080,52.496212005615234,55.1
NbPep30_NbThermo.00081,52.07178115844727,75.95
NbPep31_NbThermo.00082,50.9871826171875,62.82
NbPep32_NbThermo.00083,53.878177642822266,58.85
NbPep33_NbThermo.00084,51.02505874633789,74.37
NbD11_NbThermo.00088,53.95315933227539,60.24
NbPep34_NbThermo.00089,55.61392211914063,71.37
NbPep35_NbThermo.00090,49.220848083496094,70.51
NbPep36_NbThermo.00091,52.956275939941406,74.55
NbPep37_NbThermo.00092,50.77124786376953,72.37
NbPep38_NbThermo.00093,51.28335189819336,79.74
NbPep39_NbThermo.00094,51.54449081420898,76.28
NbPep55_NbThermo.00101,48.5247802734375,75.68
NbPep57_NbThermo.00103,50.82412338256836,71.72
NbPep60_NbThermo.00104,50.9071159362793,79.41
NbPep61_NbThermo.00105,50.42684173583984,74.55
NbPep62_NbThermo.00106,48.90062713623047,74.65
NbPep64_NbThermo.00107,52.320011138916016,74.55
NbPep65_NbThermo.00108,49.81235885620117,73.88
NbPep66_NbThermo.00109,52.54353332519531,66.96
NbPep67,52.659427642822266,59.64
NbPep68_NbThermo.00110,52.526004791259766,68.23
NbPep69_NbThermo.00111,50.98445129394531,63.57
NbPep54_NbThermo.00100,50.43343353271485,76.58
NbPep56_NbThermo.00102,52.37926864624024,74.08
1.1yc7_NbThermo.00141_NbThermo.00149,52.5169677734375,70.94
2.4u05_NbThermo.00372,50.30463409423828,83.44
3.6ul4,51.03015899658203,70.59
4.Nb24,50.29451751708984,64.97
5.Nb24.H,49.73970031738281,68.38
6.Nb24.HR,50.002471923828125,72.1
7.Nb24.B,50.87192535400391,69.74
8.Nb24.BR,50.83839797973633,75.84
9.Nb24.L,51.554718017578125,66.87
10.mNb6.H,51.53751754760742,62.59
11.mNb6.B,50.890995025634766,60.6
12.mNb6.BR,52.79593276977539,61.8
14.mNb6.L2,52.935035705566406,55.42
15.C1.K,50.89292907714844,74.83
16.C1.I,50.95537185668945,73.58
17.aGFP_NbThermo.00144_NbThermo.00279,54.228553771972656,67.64
19.1mel.T28C,47.365699768066406,57.61
26.HET.A111C,52.87670135498047,75.13
27.HET.A112C,52.62149429321289,74.59
29.K9.A112C,55.30970764160156,74.05
30.PL,53.53468322753906,75.65
31.QP,53.17222595214844,77.74
32.aS49,54.285064697265625,75.72
33.aS46,55.06456756591797,77.59
34.P2,53.65648651123047,78.34
35.C1,51.05002212524414,77.06
36.mNb6,51.40591812133789,55.31
37.CT1,50.11642456054688,53.44
38.NB201,53.4524040222168,73.46
39.Nb24.G114C,50.36981964111328,56.4
40.P1T,53.03309631347656,82.41
43.C2T,52.83835983276367,78.69
44.T2T,54.42747497558594,78.38
45.D3,51.06751251220703,70.15
NbThermo.00001,55.18382263183594,67.5
NbThermo.00003,52.07374572753906,62.0
NbThermo.00005,50.73900604248047,70.0
NbThermo.00011,50.54405975341797,67.5
NbThermo.00015,54.22692108154297,54.4
NbThermo.00016,54.197452545166016,56.5
NbThermo.00017,52.83501052856445,62.1
NbThermo.00018,54.38981628417969,78.4
NbThermo.00019,51.30204391479492,72.3
NbThermo.00020,50.71909332275391,75.44
NbThermo.00021,51.2003173828125,73.37
NbThermo.00022,52.01495361328125,78.98
NbThermo.00023,51.23223114013672,71.26
NbThermo.00024,52.00626373291016,98.23
NbThermo.00025,51.19965744018555,71.07
NbThermo.00026,52.24678802490234,66.9
NbThermo.00027,52.65121841430664,67.6
NbThermo.00029,53.03453826904297,72.8
NbThermo.00030,51.75799560546875,65.9
NbThermo.00031,49.98834228515625,74.4
NbThermo.00032,51.643821716308594,57.9
NbThermo.00033,52.92560958862305,57.9
NbThermo.00034,52.84587097167969,49.6
NbThermo.00035,51.61827850341797,75.6
NbThermo.00036,56.552024841308594,51.8
NbThermo.00039,50.08615112304688,54.5
NbThermo.00040,55.24603271484375,58.0
NbThermo.00041,50.64176940917969,58.0
NbThermo.00042,49.75787353515625,53.0
NbThermo.00043,48.68698120117188,58.0
NbThermo.00044,52.81229019165039,68.0
NbThermo.00099,52.21256256103516,69.47366501
NbThermo.00114,51.19889831542969,62.0
NbThermo.00115,54.07049560546875,68.0
NbThermo.00116_NbThermo.00130,52.22129821777344,77.85
NbThermo.00117,50.55142211914063,60.0
NbThermo.00118,51.79617691040039,84.2
NbThermo.00119,51.87275695800781,76.2
NbThermo.00120,52.473541259765625,79.4
NbThermo.00121,52.08080673217773,82.5
NbThermo.00122,51.949668884277344,78.4
NbThermo.00123,52.85820007324219,79.5
NbThermo.00124,51.77849197387695,70.0
NbThermo.00125,52.69692611694336,79.9
NbThermo.00126,51.42673110961914,79.6
NbThermo.00127,51.57044219970703,72.0
NbThermo.00128,51.29963684082031,74.3
NbThermo.00129,53.04637908935547,63.4
