name,pred,exp_tm
WP_068424237.1,50.769439697265625,42.7
WP_229068674.1,55.345497131347656,67.3
MGYP001121581011,68.85368347167969,74.2
WP_085753242.1,47.46186065673828,49.3
WP_103564847.1,55.438941955566406,53.8
WP_240508704.1,56.74121475219727,57.4
RAY11579.1,54.91633987426758,69.4
WP_230616214.1,60.82261276245117,73.9
MGYP000271253724,53.540557861328125,63.4
NUT34383.1,50.452430725097656,48.7
WP_139580723.1,61.46674346923828,68.5
MBT8227529.1,53.41381072998047,47.5
MGYP001097842225,54.184452056884766,59.2
WP_242883606.1,56.02313995361328,69.1
WP_231775152.1,59.61475372314453,45.7
WP_231443412.1,56.15663909912109,42.7
WP_221382552.1,57.64302444458008,59.8
WP_218617243.1,55.73209762573242,60.1
OAA20861.1,49.15518569946289,43.0
WP_019629726.1,58.22139739990234,46.6
KAA1376628.1,48.495582580566406,35.8
MBX3624429.1,50.38844680786133,56.2
MGYP001149455765,49.097686767578125,68.8
WP_184682765.1,56.0888900756836,59.5
MBB5966108.1,50.86198043823242,39.1
WP_077315388.1,48.30839538574219,45.7
ACV09511,46.01564025878906,42.4
WP_085750434.1,49.88751220703125,47.8
WP_166054040.1,55.12947463989258,49.9
WP_042734330.1,51.57421112060547,60.4
WP_203674568.1,56.35676574707031,44.2
WP_084693247.1,72.31922149658203,68.8
TDP67440,56.080787658691406,46.9
WP_201805840.1,53.32407379150391,44.5
WP_233427406.1,55.55273818969727,40.3
MGYP001489421514,58.41883850097656,56.2
OKI36454.1,63.34857177734375,58.0
MBJ7347705.1,50.925071716308594,63.1
WP_119729924.1,55.19878005981445,43.9
WP_035284691,53.100830078125,51.7
WP_187224800.1,63.855587005615234,49.6
MGYP000221121644,53.61809158325195,57.1
WP_129786244.1,51.63728332519531,52.0
WP_130342639,48.81730270385742,50.5
WP_199827708.1,52.61544799804688,66.1
WP_228771581.1,58.58121490478516,66.1
WP_194636445.1,56.505958557128906,47.5
WP_114422580.1,54.2740592956543,65.8
WP_203733135.1,52.16818618774414,61.9
WP_233872418.1,46.56102752685547,51.4
WP_103564314,59.13370513916016,46.9
WP_103935912.1,53.95504760742188,49.3
SCE72613.1,59.421024322509766,40.6
WP_261809161.1,46.08900451660156,46.3
WP_013736455.1,57.7617416381836,63.1
WP_164449727.1,59.69532012939453,62.8
MXX05622.1,51.07842254638672,52.3
MGYP002620941758,54.351524353027344,69.1
MBN1171866.1,62.77593231201172,64.3
MBO9569276.1,56.579833984375,55.6
MGYP001498898836,58.89517593383789,67.6
MBN1575504.1,61.11423873901367,64.6
GGY18408.1,56.475379943847656,51.4
WP_151469820.1,55.05424880981445,33.4
GIG90696.1,60.02702713012695,60.4
WCH76321.1,51.277305603027344,73.9
WP_132265752.1,68.82294464111328,64.0
MGYP001195032839,52.04029083251953,30.7
WP_109639600.1,56.6143913269043,57.7
GGO06455.1,55.25567626953125,51.4
WP_132413760.1,56.26069259643555,69.7
MGYP001477358452,52.67557907104492,54.1
WP_260709492.1,56.61975860595703,60.7
WP_079085207.1,58.40834426879883,56.8
MGYP001369932055,53.10724639892578,69.1
MCB1670591.1,51.21188354492188,53.5
MGYP001481302102,59.564334869384766,53.8
MBN1366053.1,54.26336288452149,50.8
MGYP001473616946,62.84197616577149,69.1
WP_264933993.1,58.1737174987793,61.0
MBP7765893.1,49.34076690673828,69.1
MBE1573625.1,58.46208572387695,40.6
