name,pred,exp_tm
CSP_ind_0,43.41242599487305,40.0
CSP_ind_1,55.0668830871582,81.5
CSP_ind_2,50.7110481262207,79.0
CSP_ind_3,50.59418869018555,60.0
CSP_ind_4,49.832462310791016,62.0
CSP_ind_5,50.563114166259766,53.8
CSP_ind_6,53.170597076416016,76.9
CSP_ind_7,49.206298828125,58.4
CSP_ind_8,49.70690155029297,61.0
CSP_ind_9,53.68597030639648,59.8
CSP_ind_10,50.0961799621582,76.0
CSP_ind_12,43.80465316772461,64.2
CSP_ind_13,44.2729377746582,77.0
CSP_ind_14,47.2802848815918,69.5
CSP_ind_15,50.08427810668945,83.7
CSP_ind_16,46.50198745727539,61.1
CSP_ind_17,52.57136154174805,75.7
CSP_ind_18,52.776214599609375,85.0
CSP_ind_19,52.682987213134766,74.7
CSP_ind_20,48.37199783325195,50.7
CSP_ind_21,50.54085922241211,82.2
CSP_ind_22,45.70222854614258,70.1
CSP_ind_23,48.21596145629883,75.1
CSP_ind_24,44.94618606567383,63.1
CSP_ind_25,47.648624420166016,70.4
CSP_ind_26,47.07791519165039,69.6
CSP_ind_27,46.88301086425781,64.0
CSP_ind_28,47.43680953979492,64.6
CSP_ind_29,43.73569107055664,49.1
CSP_ind_30,45.65900039672852,51.3
CSP_ind_31,45.201602935791016,60.2
CSP_ind_32,43.668941497802734,65.6
CSP_ind_33,44.237979888916016,61.9
CSP_ind_34,43.8655891418457,57.1
CSP_ind_35,45.15703201293945,74.6
CSP_ind_36,45.10973739624024,69.2
CSP_ind_37,45.58012771606445,73.2
CSP_ind_38,51.60055160522461,71.8
CSP_ind_39,49.50753402709961,74.5
CSP_ind_40,46.165164947509766,78.1
CSP_ind_41,48.14126586914063,70.8
CSP_ind_42,50.9161376953125,85.6
CSP_ind_43,47.339656829833984,69.3
CSP_ind_44,48.74620819091797,54.7
CSP_ind_45,48.959102630615234,70.7
CSP_ind_46,49.11969757080078,71.2
CSP_ind_47,49.23833465576172,69.4
CSP_ind_48,47.44944381713867,69.9
CSP_ind_49,50.5057487487793,48.6
CSP_ind_50,50.09102630615234,62.2
CSP_ind_51,50.25490951538086,57.9
CSP_ind_52,50.24541473388672,67.6
CSP_ind_53,49.327823638916016,69.7
CSP_ind_54,45.714134216308594,77.0
CSP_ind_55,48.98776626586914,61.5
CSP_ind_56,47.96671676635742,62.7
CSP_ind_57,45.99252700805664,51.8
CSP_ind_58,47.663028717041016,59.9
CSP_ind_59,47.02174758911133,68.8
CSP_ind_60,51.70523834228516,62.4
CSP_ind_61,49.10353469848633,66.7
CSP_ind_62,45.506141662597656,66.4
CSP_ind_63,45.36575698852539,64.4
CSP_ind_64,47.30757522583008,66.8
CSP_ind_65,49.84504699707031,73.5
CSP_ind_66,53.30325698852539,74.0
CSP_ind_67,50.645286560058594,75.4
CSP_ind_68,55.19123840332031,77.7
CSP_ind_69,52.71528244018555,76.0
CSP_ind_70,54.28017044067383,73.5
CSP_ind_71,53.23039627075195,74.4
CSP_ind_72,48.539695739746094,63.0
CSP_ind_73,47.43864822387695,56.0
CSP_ind_74,50.64925765991211,63.0
CSP_ind_75,53.9682846069336,80.9
CSP_ind_76,52.66310501098633,59.1
CSP_ind_77,53.30402755737305,60.0
CSP_ind_78,53.462703704833984,64.6
CSP_ind_79,51.52239608764648,44.6
CSP_ind_80,52.22754669189453,50.3
CSP_ind_81,48.54484939575195,70.9
CSP_ind_82,52.44710159301758,76.1
CSP_ind_83,51.50774002075195,64.9
CSP_ind_84,53.053070068359375,79.2
CSP_ind_85,52.41591644287109,76.7
CSP_ind_86,53.67757415771485,75.0
CSP_ind_87,53.186641693115234,74.7
CSP_ind_88,52.69976425170898,75.9
CSP_ind_89,52.001014709472656,77.8
CSP_ind_90,52.077449798583984,77.8
CSP_ind_91,53.16102981567383,75.4
CSP_ind_92,51.80239868164063,68.0
CSP_ind_93,54.04826736450195,75.0
CSP_ind_94,52.7969970703125,76.1
CSP_ind_95,52.74126052856445,75.1
CSP_ind_96,50.785926818847656,66.6
CSP_ind_97,51.351863861083984,68.9
CSP_ind_98,53.46013259887695,76.9
