name,pred,exp_tm
WP_068424237.1,44.59614944458008,42.7
WP_229068674.1,50.35172653198242,67.3
MGYP001121581011,53.66973114013672,74.2
WP_085753242.1,42.95554733276367,49.3
WP_103564847.1,43.35881805419922,53.8
WP_240508704.1,43.05443954467773,57.4
RAY11579.1,50.46671295166016,69.4
WP_230616214.1,50.482120513916016,73.9
MGYP000271253724,49.48882675170898,63.4
NUT34383.1,48.49407577514648,48.7
WP_139580723.1,52.01552963256836,68.5
MBT8227529.1,56.22547149658203,47.5
MGYP001097842225,42.72091674804688,59.2
WP_242883606.1,46.63891220092773,69.1
WP_231775152.1,46.09535598754883,45.7
WP_231443412.1,48.19500350952149,42.7
WP_221382552.1,46.828495025634766,59.8
WP_218617243.1,43.38895034790039,60.1
OAA20861.1,48.05218505859375,43.0
WP_019629726.1,46.73634719848633,46.6
KAA1376628.1,48.59445571899414,35.8
MBX3624429.1,50.433841705322266,56.2
MGYP001149455765,42.79739761352539,68.8
WP_184682765.1,48.530609130859375,59.5
MBB5966108.1,46.68042755126953,39.1
WP_077315388.1,45.76902770996094,45.7
ACV09511,38.54940414428711,42.4
WP_085750434.1,44.155269622802734,47.8
WP_166054040.1,48.64418029785156,49.9
WP_042734330.1,44.41464614868164,60.4
WP_203674568.1,49.20834732055664,44.2
WP_084693247.1,49.16106414794922,68.8
TDP67440,45.49782180786133,46.9
WP_201805840.1,50.6460189819336,44.5
WP_233427406.1,52.74422073364258,40.3
MGYP001489421514,42.67024612426758,56.2
OKI36454.1,51.48359298706055,58.0
MBJ7347705.1,48.601688385009766,63.1
WP_119729924.1,51.04450607299805,43.9
WP_035284691,47.87193298339844,51.7
WP_187224800.1,42.757232666015625,49.6
MGYP000221121644,45.75756454467773,57.1
WP_129786244.1,46.84542846679688,52.0
WP_130342639,46.62505340576172,50.5
WP_199827708.1,48.21037673950195,66.1
WP_228771581.1,43.56529235839844,66.1
WP_194636445.1,38.013919830322266,47.5
WP_114422580.1,46.690460205078125,65.8
WP_203733135.1,48.07868576049805,61.9
WP_233872418.1,44.5101432800293,51.4
WP_103564314,52.95060729980469,46.9
WP_103935912.1,50.12456130981445,49.3
SCE72613.1,58.595741271972656,40.6
WP_261809161.1,41.33332061767578,46.3
WP_013736455.1,49.161808013916016,63.1
WP_164449727.1,48.972312927246094,62.8
MXX05622.1,69.90994262695312,52.3
MGYP002620941758,55.02947616577149,69.1
MBN1171866.1,53.5086555480957,64.3
MBO9569276.1,42.97344207763672,55.6
MGYP001498898836,44.73268508911133,67.6
MBN1575504.1,43.43403244018555,64.6
GGY18408.1,53.52268600463867,51.4
WP_151469820.1,53.69560241699219,33.4
GIG90696.1,48.71070098876953,60.4
WCH76321.1,46.44519805908203,73.9
WP_132265752.1,50.34384536743164,64.0
MGYP001195032839,59.8922004699707,30.7
WP_109639600.1,43.67063522338867,57.7
GGO06455.1,57.9684944152832,51.4
WP_132413760.1,46.43557357788086,69.7
MGYP001477358452,49.2767219543457,54.1
WP_260709492.1,48.01208114624024,60.7
WP_079085207.1,47.90548324584961,56.8
MGYP001369932055,52.9567756652832,69.1
MCB1670591.1,73.1471939086914,53.5
MGYP001481302102,49.05668640136719,53.8
MBN1366053.1,47.21847915649414,50.8
MGYP001473616946,50.97279739379883,69.1
WP_264933993.1,51.46258163452149,61.0
MBP7765893.1,48.63447952270508,69.1
MBE1573625.1,48.568824768066406,40.6
MGYP000861817556,49.88163757324219,67.9
WP_071091307.1,47.015472412109375,40.3
MGYP006125138823,45.21843338012695,68.5
WP_256510026.1,46.39522933959961,54.4
WP_249044522.1,45.5156478881836,50.8
WP_119728035.1,45.7973747253418,46.9
WP_229874892.1,45.99486541748047,44.2
WP_086599340.1,45.75287628173828,64.6
MBN2738032.1,44.98823928833008,51.7
WP_225255694.1,62.98741912841797,41.5
WP_252811421.1,55.27787399291992,43.9
SOD43347.1,48.54947662353516,54.1
WP_236244959.1,55.12949752807617,36.1
OLR94321.1,40.21184539794922,41.2
WP_212846608.1,47.18428421020508,50.2
GIU85371.1,48.8013916015625,67.0
QEV16333.1,51.78306198120117,50.2
MGYP000483234479,45.31776809692383,44.5
WP_254876803.1,47.31173706054688,60.4
WP_045318561.1,40.94685363769531,55.3
MGYP003582062575,46.86051559448242,25.3
WAU86704.1,46.60943222045898,53.5
NUT97030.1,44.416770935058594,42.1
WP_143590710.1,51.59111404418945,51.4
WP_221087162.1,45.5108757019043,57.1
WP_019633337.1,50.66901779174805,56.5
MBP2328848.1,47.65520095825195,61.6
GHA15288.1,51.40451431274414,40.0
MGYP001223859710,71.3133316040039,68.8
GAQ59813.1,53.32175827026367,68.5
WP_239095870.1,49.29012680053711,65.2
WP_239486438.1,50.69580078125,54.7
WP_109361459.1,46.38064956665039,60.4
NUT53577.1,50.76269912719727,47.2
MGYP001126223609,58.428260803222656,55.9
MGYP002393323206,47.017311096191406,68.2
WP_250563816.1,62.01276016235352,50.8
WP_211769896.1,44.55665588378906,71.8
WP_260422593.1,47.19083023071289,63.1
WP_140175735.1,45.03215408325195,56.2
OLT30808.1,54.50968551635742,49.3
WP_253762837.1,49.19239807128906,52.0
NUS07026.1,43.8580436706543,46.6
WP_218517662.1,48.38375854492188,73.0
MGYP003403985752,49.01187133789063,44.2
WP_150070118.1,47.3849983215332,61.6
WP_256510519.1,37.785400390625,64.0
WP_167521412.1,47.41155624389648,64.6
WP_132386942.1,49.87803268432617,61.3
WP_232326807.1,49.54841232299805,65.8
WP_246496818.1,50.88909530639648,59.8
GIU85367.1,49.22463607788086,82.3
WP_173061649.1,48.1921501159668,59.5
UAC02078.1,46.393341064453125,67.6
WP_229836555.1,44.66298675537109,68.5
KWV30420.1,51.5412712097168,62.2
WP_268945827.1,44.870059967041016,49.6
WP_158852571.1,49.10320663452149,57.4
WP_031525917.1,50.022193908691406,37.0
WP_266249215.1,51.28190994262695,54.4
WP_111214096.1,47.52239990234375,65.8
WP_197042608.1,51.572853088378906,57.1
NJC12853.1,48.215091705322266,62.2
WP_109037790.1,41.901702880859375,55.0
WP_239104322.1,48.54302215576172,62.5
MBP2707703.1,52.86928939819336,55.9
WBC00352.1,54.45216751098633,60.7
GGO08527.1,52.9474983215332,49.6
WP_273813526.1,41.58552932739258,51.7
WP_203777396.1,45.13834381103516,61.6
WP_203790592.1,47.58842468261719,58.6
WP_252811421.1,54.83921813964844,43.9
SCF49212.1,52.0229377746582,67.0
WP_204285002.1,52.93592071533203,59.8
WP_210157342.1,51.8798713684082,68.8
WP_132399348.1,49.51176071166992,73.3
MBX3621832.1,49.701393127441406,63.4
WP_085749238.1,47.47358322143555,62.8
MBF9135495.1,46.994728088378906,62.8
WP_181548579.1,45.05107498168945,63.4
WP_082536249.1,43.75115966796875,43.9
WP_239135698.1,45.11636734008789,65.2
WP_267938240.1,49.68544387817383,63.1
WP_234583022.1,52.14112091064453,59.2
WP_182904095.1,49.6803092956543,68.8
TWG17167.1,47.64831161499024,62.5
GHJ08786.1,49.2216682434082,64.6
WP_240522201.1,49.22990417480469,52.0
WP_257828484.1,46.69206619262695,58.6
WP_260615299.1,53.18337631225586,59.2
WP_259405879.1,53.41268539428711,60.7
WP_211363689.1,45.60310745239258,55.0
WP_203822553.1,53.73429489135742,47.8
WP_156114969.1,45.04141616821289,55.3
TNH28703.1,49.10187149047852,63.7
MGYP000246415913,41.72061538696289,35.2
MBO4274871.1,48.08824920654297,62.8
WP_169980303.1,52.94829177856445,59.8
WP_192329846.1,43.27007675170898,49.6
GLI01021.1,40.88143539428711,63.1
WP_084261341.1,47.9465446472168,61.6
WP_252275389.1,46.73370742797852,52.0
WP_203990226.1,52.1172981262207,58.6
WP_220815207.1,43.142276763916016,56.5
WP_007455959.1,52.721134185791016,51.7
GFJ87714.1,49.29805755615234,53.8
WP_223093092.1,52.63660430908203,47.8
WP_204038550.1,45.50632095336914,67.9
WP_265247586.1,42.3028678894043,68.2
MGYP003703942659,44.851444244384766,53.5
WP_271190254.1,50.70347213745117,58.3
WP_203980609.1,45.00575256347656,62.2
MCF0091346.1,48.28826522827149,58.0
MGYP000278479948,46.222286224365234,69.7
WP_093473685.1,48.475433349609375,53.8
WP_160470043.1,44.40959548950195,39.1
WP_199199185.1,49.11574172973633,65.5
WP_033363749.1,42.59413528442383,67.9
WP_167975345.1,46.73667907714844,58.0
WP_130401777.1,46.4350814819336,56.2
WP_247056560.1,46.5970344543457,51.7
WP_203812622.1,46.37442398071289,40.6
NLY58972.1,42.42649841308594,49.0
WP_201805836.1,45.68963623046875,56.2
MBW4703769.1,45.93558120727539,58.6
PWR09075.1,47.03903579711914,61.0
WP_255830407.1,49.316871643066406,52.0
MTK05241.1,50.23435592651367,61.6
HEC53621.1,45.9107780456543,45.4
WP_086515000.1,46.195194244384766,44.5
WP_020639922.1,46.28815841674805,51.7
WP_039906502.1,47.19736862182617,61.3
MBQ1015012.1,44.92597579956055,55.9
WP_203906211.1,41.33658981323242,57.4
WP_091317053.1,51.00314712524414,55.3
MGYP000647205319,50.3291244506836,46.0
WP_257828480.1,49.55428695678711,47.5
