name,pred,sp,exp_tm
P61500_recA,80.03632354736328,T.thermophilus,72.06
Q72G97_recG,52.41372299194336,T.thermophilus,72.153
P62662_rpsB,71.60725402832031,T.thermophilus,72.216
Q746P0_TT_P0013,51.86286163330078,T.thermophilus,72.228
Q746N8_cbiX,58.23664855957031,T.thermophilus,72.234
Q72H90_soj,48.72183227539063,T.thermophilus,72.258
Q72LP8_TT_C0010,49.328369140625,T.thermophilus,72.269
Q72JA0_minD,49.85531234741211,T.thermophilus,72.273
Q72L65_hflX,50.084617614746094,T.thermophilus,72.276
Q72L52_TT_C0211,69.93124389648438,T.thermophilus,72.283
Q72JN6_TT_C0734,50.64376449584961,T.thermophilus,72.316
Q72I41_TT_C1291,63.549617767333984,T.thermophilus,72.328
Q72JQ4_TT_C0714,55.69353103637695,T.thermophilus,72.33
Q72JG1_rimO,56.96729278564453,T.thermophilus,72.356
Q72KY6_TT_C0279,43.95147705078125,T.thermophilus,72.378
Q72LK3_TT_C0056,54.20760345458984,T.thermophilus,72.379
Q72LH6_livF,68.3023910522461,T.thermophilus,72.441
Q72J57_TT_C0922,68.68936920166016,T.thermophilus,72.471
Q72GX5_pstB,50.35916519165039,T.thermophilus,72.472
Q72HC1_rlmN,55.29949951171875,T.thermophilus,72.512
Q72IH8_TT_C1154,73.82007598876953,T.thermophilus,72.547
Q72IZ8_TT_C0983,53.541542053222656,T.thermophilus,72.562
Q72I16_rplE,57.51382064819336,T.thermophilus,72.567
P61941_rpsL,67.72048950195312,T.thermophilus,72.573
P62663_rpsC,63.804630279541016,T.thermophilus,72.621
Q72KA4_TT_C0543,54.70307922363281,T.thermophilus,72.621
Q72LA0_TT_C0159,68.99356079101562,T.thermophilus,72.623
Q72J11_livF,62.36465835571289,T.thermophilus,72.658
P61537_ruvB,58.28293228149414,T.thermophilus,72.665
Q72L33_TT_C0230,62.42288589477539,T.thermophilus,72.691
Q72J12_livG,49.1422233581543,T.thermophilus,72.734
Q72GG8_TT_C1880,50.872188568115234,T.thermophilus,72.752
Q72IJ8_TT_C1134,62.59968185424805,T.thermophilus,72.86
Q72J51_ftsE,51.93348693847656,T.thermophilus,72.886
Q72J39_miaB,54.92403793334961,T.thermophilus,72.972
Q72KZ4_TT_C0271,65.83722686767578,T.thermophilus,73.132
Q72I11_rplP,62.4113655090332,T.thermophilus,73.157
Q72GI4_dcd,71.25780487060547,T.thermophilus,73.294
Q72I12_rpmC,56.43152618408203,T.thermophilus,73.338
Q72KT1_TT_C0411,57.8253173828125,T.thermophilus,73.343
Q72L15_clpP,51.840065002441406,T.thermophilus,73.347
Q72HM2_mreB,76.25089263916016,T.thermophilus,73.349
Q72IY3_TT_C0998,56.1554069519043,T.thermophilus,73.418
Q72HV0_plsX,68.7784194946289,T.thermophilus,73.469
Q72KC1_TT_C0526,71.41210174560547,T.thermophilus,73.486
Q72L74_plsY,54.04737091064453,T.thermophilus,73.558
Q745Z3_TT_P0162,62.86590194702149,T.thermophilus,73.594
Q72K96_TT_C0551,69.20564270019531,T.thermophilus,73.624
Q72I53_metK,47.582279205322266,T.thermophilus,73.648
Q72IN7_TT_C1095,51.74101257324219,T.thermophilus,73.667
Q72GJ7_phoU,64.47264862060547,T.thermophilus,73.693
Q72I54_TT_C1278,55.58611679077149,T.thermophilus,73.702
Q72JC6_TT_C0852,79.22779083251953,T.thermophilus,73.707
Q72K93_rnr,70.85594940185547,T.thermophilus,73.717
P62657_rpsO,61.84635162353516,T.thermophilus,73.801
Q72JC7_TT_C0851,50.26689529418945,T.thermophilus,73.932
