name,pred,sp,exp_tm
P61500_recA,54.72790145874024,T.thermophilus,72.06
Q72G97_recG,54.863800048828125,T.thermophilus,72.153
P62662_rpsB,68.89677429199219,T.thermophilus,72.216
Q746P0_TT_P0013,58.70478057861328,T.thermophilus,72.228
Q746N8_cbiX,52.2884407043457,T.thermophilus,72.234
Q72H90_soj,69.05985260009766,T.thermophilus,72.258
Q72LP8_TT_C0010,70.65186309814453,T.thermophilus,72.269
Q72JA0_minD,67.0551528930664,T.thermophilus,72.273
Q72L65_hflX,46.53987503051758,T.thermophilus,72.276
Q72L52_TT_C0211,67.52224731445312,T.thermophilus,72.283
Q72JN6_TT_C0734,59.26041030883789,T.thermophilus,72.316
Q72I41_TT_C1291,59.78866958618164,T.thermophilus,72.328
Q72JQ4_TT_C0714,59.14912796020508,T.thermophilus,72.33
Q72JG1_rimO,65.9284439086914,T.thermophilus,72.356
Q72KY6_TT_C0279,48.0102767944336,T.thermophilus,72.378
Q72LK3_TT_C0056,66.22279357910156,T.thermophilus,72.379
Q72LH6_livF,64.22767639160156,T.thermophilus,72.441
Q72J57_TT_C0922,60.86822891235352,T.thermophilus,72.471
Q72GX5_pstB,50.893062591552734,T.thermophilus,72.472
Q72HC1_rlmN,51.227577209472656,T.thermophilus,72.512
Q72IH8_TT_C1154,69.96219635009766,T.thermophilus,72.547
Q72IZ8_TT_C0983,64.86406707763672,T.thermophilus,72.562
Q72I16_rplE,46.3040657043457,T.thermophilus,72.567
P61941_rpsL,51.34678268432617,T.thermophilus,72.573
P62663_rpsC,60.9373893737793,T.thermophilus,72.621
Q72KA4_TT_C0543,49.02234649658203,T.thermophilus,72.621
Q72LA0_TT_C0159,62.359561920166016,T.thermophilus,72.623
Q72J11_livF,69.16303253173828,T.thermophilus,72.658
P61537_ruvB,64.21267700195312,T.thermophilus,72.665
Q72L33_TT_C0230,55.272705078125,T.thermophilus,72.691
Q72J12_livG,60.78596115112305,T.thermophilus,72.734
Q72GG8_TT_C1880,45.95972442626953,T.thermophilus,72.752
Q72IJ8_TT_C1134,67.47212219238281,T.thermophilus,72.86
Q72J51_ftsE,52.86240768432617,T.thermophilus,72.886
Q72J39_miaB,56.1717643737793,T.thermophilus,72.972
Q72KZ4_TT_C0271,50.597145080566406,T.thermophilus,73.132
Q72I11_rplP,55.93247604370117,T.thermophilus,73.157
Q72GI4_dcd,52.26386642456055,T.thermophilus,73.294
Q72I12_rpmC,50.74245834350586,T.thermophilus,73.338
Q72KT1_TT_C0411,47.70988082885742,T.thermophilus,73.343
Q72L15_clpP,43.918701171875,T.thermophilus,73.347
Q72HM2_mreB,67.3075180053711,T.thermophilus,73.349
Q72IY3_TT_C0998,59.3819694519043,T.thermophilus,73.418
Q72HV0_plsX,59.24972534179688,T.thermophilus,73.469
Q72KC1_TT_C0526,66.91288757324219,T.thermophilus,73.486
Q72L74_plsY,56.42857360839844,T.thermophilus,73.558
Q745Z3_TT_P0162,53.069637298583984,T.thermophilus,73.594
Q72K96_TT_C0551,60.01682662963867,T.thermophilus,73.624
Q72I53_metK,61.66104888916016,T.thermophilus,73.648
Q72IN7_TT_C1095,72.76588439941406,T.thermophilus,73.667
Q72GJ7_phoU,65.73580169677734,T.thermophilus,73.693
Q72I54_TT_C1278,66.4258804321289,T.thermophilus,73.702
Q72JC6_TT_C0852,69.47676849365234,T.thermophilus,73.707
Q72K93_rnr,56.71979904174805,T.thermophilus,73.717
P62657_rpsO,48.83310317993164,T.thermophilus,73.801
Q72JC7_TT_C0851,51.29800033569336,T.thermophilus,73.932
Q72HG4_TT_C1523,49.21635818481445,T.thermophilus,74.007
P62668_rpsH,67.4369125366211,T.thermophilus,74.105
Q72LF7_appF,65.84819030761719,T.thermophilus,74.211
Q72KN4_TT_C0377,62.20619583129883,T.thermophilus,74.219
Q72JH7_TT_C0795,55.43010330200195,T.thermophilus,74.223
Q72HQ8_TT_C1428,50.5248908996582,T.thermophilus,74.253
Q72GX4_pstA,66.01145935058594,T.thermophilus,74.329
Q72J58_TT_C0921,53.02939987182617,T.thermophilus,74.333
Q72K85_mnmE,67.69475555419922,T.thermophilus,74.34
P61989_cbiD,73.61002349853516,T.thermophilus,74.514
Q72HI3_TT_C1504,51.0528450012207,T.thermophilus,74.517
Q72J29_TT_C0952,68.12071228027344,T.thermophilus,74.567
Q746D0_TT_P0125,49.13415145874024,T.thermophilus,74.57
Q72IW1_aroB,59.49864959716797,T.thermophilus,74.594
Q72IH2_glyA,67.94829559326172,T.thermophilus,74.619
Q72JU9_rplS,50.34942626953125,T.thermophilus,74.62
Q72G84_rpmB,52.299312591552734,T.thermophilus,74.63
Q72GX1_mnmA,51.48414611816406,T.thermophilus,74.642
Q746A1_TT_P0154,43.78895568847656,T.thermophilus,74.656
Q72KB4_mfd,54.95074081420898,T.thermophilus,74.665
Q72JZ8_nadA,57.78538131713867,T.thermophilus,74.775
Q72H76_purM,69.82717895507812,T.thermophilus,74.781
Q72I07_rplB,47.160980224609375,T.thermophilus,74.798
Q72LH3_TT_C0086,49.7565803527832,T.thermophilus,74.877
Q72L86_clpA,65.77123260498047,T.thermophilus,74.889
Q72KZ7_chlI,55.478172302246094,T.thermophilus,74.892
Q72I20_rplR,50.111087799072266,T.thermophilus,74.903
Q72I04_rplC,50.991695404052734,T.thermophilus,74.907
Q72GJ8_phoB,53.34489440917969,T.thermophilus,74.914
Q72JK8_TT_C0764,61.68061828613281,T.thermophilus,74.928
Q72GE4_murE,57.84245681762695,T.thermophilus,74.998
Q72LQ3_TT_C0005,54.82655334472656,T.thermophilus,75.017
Q72KR6_mqnE,62.47675323486328,T.thermophilus,75.087
Q72HT7_TT_C1399,59.5284309387207,T.thermophilus,75.133
Q72J77_recG,60.56386947631836,T.thermophilus,75.135
Q72HA7_TT_C1588,54.092655181884766,T.thermophilus,75.154
Q72IN1_rplM,48.00294876098633,T.thermophilus,75.174
Q72L56_TT_C0207,46.76999282836914,T.thermophilus,75.207
P62667_rpsG,45.46619415283203,T.thermophilus,75.21
Q72J09_dppB,51.42439651489258,T.thermophilus,75.231
Q72KY9_TT_C0276,54.30125045776367,T.thermophilus,75.235
Q72HJ5_TT_C1492,50.85812759399414,T.thermophilus,75.237
Q72HJ9_TT_C1488,67.32044982910156,T.thermophilus,75.326
Q72K53_ftsK,64.38939666748047,T.thermophilus,75.37
Q72GD9_TT_C1909,48.285400390625,T.thermophilus,75.385
P62664_rpsD,38.80245590209961,T.thermophilus,75.488
Q72JP5_ftsA,67.07441711425781,T.thermophilus,75.507
Q72L14_clpX,58.0378303527832,T.thermophilus,75.523
P62655_rpsM,67.33234405517578,T.thermophilus,75.534
Q72JU4_ffh,58.05447769165039,T.thermophilus,75.536
Q72KY0_TT_C0285,57.214481353759766,T.thermophilus,75.605
Q746M7_TT_P0026,51.58245468139648,T.thermophilus,75.606
Q8VUS5_lysK,65.06243133544922,T.thermophilus,75.641
Q746Q1_TT_P0001,57.43316268920898,T.thermophilus,75.659
Q72I09_rplV,60.4228630065918,T.thermophilus,75.696
Q72J94_TT_C0885,58.29312515258789,T.thermophilus,75.875
Q72LC8_clR,56.1783561706543,T.thermophilus,75.901
Q72JB3_leuC,63.97100067138672,T.thermophilus,75.903
Q72KF5_phzF,65.20045471191406,T.thermophilus,76.134
Q72I14_rplN,49.82350540161133,T.thermophilus,76.136
Q72GC0_TT_C1928,68.7520980834961,T.thermophilus,76.15
Q72K88_TT_C0559,58.42644500732422,T.thermophilus,76.174
P61671_mutS,49.5683708190918,T.thermophilus,76.259
Q8VRK4_dprA,51.55788803100586,T.thermophilus,76.297
Q72JP4_ftsZ,68.72058868408203,T.thermophilus,76.303
Q72JR8_rho,53.8452377319336,T.thermophilus,76.319
Q746N0_cobQ,54.69354248046875,T.thermophilus,76.361
Q72GQ3_TT_C1795,65.64301300048828,T.thermophilus,76.378
Q72HX7_TT_C1355,48.75563430786133,T.thermophilus,76.415
P62665_rpsE,64.63703918457031,T.thermophilus,76.438
Q72I58_prs,62.51889419555664,T.thermophilus,76.466
Q72GU0_rlmH,66.43243408203125,T.thermophilus,76.489
Q72KI6_TT_C0489,63.78428268432617,T.thermophilus,76.489
Q72IB2_TT_C1220,66.71631622314453,T.thermophilus,76.505
Q72JP1_mqnC,66.82823944091797,T.thermophilus,76.545
Q72GH2_TT_C1876,50.87827682495117,T.thermophilus,76.703
Q746H1_parA,54.08232879638672,T.thermophilus,76.764
Q746B7_fdhD,48.7015495300293,T.thermophilus,76.772
Q72GF3_TT_C1895,59.88691329956055,T.thermophilus,76.795
Q72L10_TT_C0255,59.3823471069336,T.thermophilus,76.834
