name,pred,sp,exp_tm
P61500_recA,69.704,T.thermophilus,72.06
Q72G97_recG,76.598,T.thermophilus,72.153
P62662_rpsB,69.717,T.thermophilus,72.216
Q746P0_TT_P0013,81.041,T.thermophilus,72.228
Q746N8_cbiX,73.72,T.thermophilus,72.234
Q72H90_soj,79.35,T.thermophilus,72.258
Q72LP8_TT_C0010,79.565,T.thermophilus,72.269
Q72JA0_minD,64.188,T.thermophilus,72.273
Q72L65_hflX,77.604,T.thermophilus,72.276
Q72L52_TT_C0211,60.539,T.thermophilus,72.283
Q72JN6_TT_C0734,72.994,T.thermophilus,72.316
Q72I41_TT_C1291,72.96,T.thermophilus,72.328
Q72JQ4_TT_C0714,73.818,T.thermophilus,72.33
Q72JG1_rimO,78.643,T.thermophilus,72.356
Q72KY6_TT_C0279,70.968,T.thermophilus,72.378
Q72LK3_TT_C0056,77.298,T.thermophilus,72.379
Q72LH6_livF,77.273,T.thermophilus,72.441
Q72J57_TT_C0922,73.222,T.thermophilus,72.471
Q72GX5_pstB,64.952,T.thermophilus,72.472
Q72HC1_rlmN,62.33,T.thermophilus,72.512
Q72IH8_TT_C1154,71.608,T.thermophilus,72.547
Q72IZ8_TT_C0983,80.403,T.thermophilus,72.562
Q72I16_rplE,79.196,T.thermophilus,72.567
P61941_rpsL,73.572,T.thermophilus,72.573
P62663_rpsC,70.336,T.thermophilus,72.621
Q72KA4_TT_C0543,76.043,T.thermophilus,72.621
Q72LA0_TT_C0159,77.463,T.thermophilus,72.623
Q72J11_livF,72.707,T.thermophilus,72.658
P61537_ruvB,66.28,T.thermophilus,72.665
Q72L33_TT_C0230,80.296,T.thermophilus,72.691
Q72J12_livG,59.555,T.thermophilus,72.734
Q72GG8_TT_C1880,81.674,T.thermophilus,72.752
Q72IJ8_TT_C1134,71.863,T.thermophilus,72.86
Q72J51_ftsE,54.129,T.thermophilus,72.886
Q72J39_miaB,83.622,T.thermophilus,72.972
Q72KZ4_TT_C0271,68.285,T.thermophilus,73.132
Q72I11_rplP,73.481,T.thermophilus,73.157
Q72GI4_dcd,74.315,T.thermophilus,73.294
Q72I12_rpmC,75.294,T.thermophilus,73.338
Q72KT1_TT_C0411,77.29,T.thermophilus,73.343
Q72L15_clpP,58.485,T.thermophilus,73.347
Q72HM2_mreB,73.809,T.thermophilus,73.349
Q72IY3_TT_C0998,83.667,T.thermophilus,73.418
Q72HV0_plsX,79.542,T.thermophilus,73.469
Q72KC1_TT_C0526,76.069,T.thermophilus,73.486
Q72L74_plsY,83.849,T.thermophilus,73.558
Q745Z3_TT_P0162,79.108,T.thermophilus,73.594
Q72K96_TT_C0551,73.313,T.thermophilus,73.624
Q72I53_metK,78.616,T.thermophilus,73.648
Q72IN7_TT_C1095,80.727,T.thermophilus,73.667
Q72GJ7_phoU,57.65,T.thermophilus,73.693
Q72I54_TT_C1278,76.74,T.thermophilus,73.702
Q72JC6_TT_C0852,83.401,T.thermophilus,73.707
Q72K93_rnr,76.0,T.thermophilus,73.717
P62657_rpsO,67.93,T.thermophilus,73.801
Q72JC7_TT_C0851,63.114,T.thermophilus,73.932
Q72HG4_TT_C1523,80.146,T.thermophilus,74.007
P62668_rpsH,75.007,T.thermophilus,74.105
Q72LF7_appF,76.55,T.thermophilus,74.211
Q72KN4_TT_C0377,78.814,T.thermophilus,74.219
Q72JH7_TT_C0795,64.808,T.thermophilus,74.223
Q72HQ8_TT_C1428,67.486,T.thermophilus,74.253
Q72GX4_pstA,67.786,T.thermophilus,74.329
Q72J58_TT_C0921,77.369,T.thermophilus,74.333
Q72K85_mnmE,80.571,T.thermophilus,74.34
P61989_cbiD,63.836,T.thermophilus,74.514
Q72HI3_TT_C1504,85.382,T.thermophilus,74.517
Q72J29_TT_C0952,85.963,T.thermophilus,74.567
Q746D0_TT_P0125,79.395,T.thermophilus,74.57
Q72IW1_aroB,81.232,T.thermophilus,74.594
Q72IH2_glyA,63.017,T.thermophilus,74.619
Q72JU9_rplS,70.549,T.thermophilus,74.62
Q72G84_rpmB,71.128,T.thermophilus,74.63
Q72GX1_mnmA,77.549,T.thermophilus,74.642
Q746A1_TT_P0154,64.218,T.thermophilus,74.656
Q72KB4_mfd,78.752,T.thermophilus,74.665
Q72JZ8_nadA,80.503,T.thermophilus,74.775
Q72H76_purM,63.1,T.thermophilus,74.781
