name,pred,sp,exp_tm
P61500_recA,79.235,T.thermophilus,72.06
Q72G97_recG,80.302,T.thermophilus,72.153
P62662_rpsB,66.101,T.thermophilus,72.216
Q746P0_TT_P0013,79.521,T.thermophilus,72.228
Q746N8_cbiX,80.768,T.thermophilus,72.234
Q72H90_soj,72.513,T.thermophilus,72.258
Q72LP8_TT_C0010,91.442,T.thermophilus,72.269
Q72JA0_minD,74.64,T.thermophilus,72.273
Q72L65_hflX,78.158,T.thermophilus,72.276
Q72L52_TT_C0211,74.36,T.thermophilus,72.283
Q72JN6_TT_C0734,59.652,T.thermophilus,72.316
Q72I41_TT_C1291,76.484,T.thermophilus,72.328
Q72JQ4_TT_C0714,80.625,T.thermophilus,72.33
Q72JG1_rimO,79.355,T.thermophilus,72.356
Q72KY6_TT_C0279,72.005,T.thermophilus,72.378
Q72LK3_TT_C0056,82.657,T.thermophilus,72.379
Q72LH6_livF,80.004,T.thermophilus,72.441
Q72J57_TT_C0922,75.483,T.thermophilus,72.471
Q72GX5_pstB,69.753,T.thermophilus,72.472
Q72HC1_rlmN,69.579,T.thermophilus,72.512
Q72IH8_TT_C1154,61.212,T.thermophilus,72.547
Q72IZ8_TT_C0983,85.542,T.thermophilus,72.562
Q72I16_rplE,69.849,T.thermophilus,72.567
P61941_rpsL,61.567,T.thermophilus,72.573
P62663_rpsC,75.049,T.thermophilus,72.621
Q72KA4_TT_C0543,76.339,T.thermophilus,72.621
Q72LA0_TT_C0159,82.32,T.thermophilus,72.623
Q72J11_livF,68.881,T.thermophilus,72.658
P61537_ruvB,73.827,T.thermophilus,72.665
Q72L33_TT_C0230,84.369,T.thermophilus,72.691
Q72J12_livG,74.015,T.thermophilus,72.734
Q72GG8_TT_C1880,60.19,T.thermophilus,72.752
Q72IJ8_TT_C1134,81.878,T.thermophilus,72.86
Q72J51_ftsE,71.191,T.thermophilus,72.886
Q72J39_miaB,71.642,T.thermophilus,72.972
Q72KZ4_TT_C0271,66.605,T.thermophilus,73.132
Q72I11_rplP,74.958,T.thermophilus,73.157
Q72GI4_dcd,79.241,T.thermophilus,73.294
Q72I12_rpmC,50.388,T.thermophilus,73.338
Q72KT1_TT_C0411,81.738,T.thermophilus,73.343
Q72L15_clpP,74.397,T.thermophilus,73.347
Q72HM2_mreB,77.564,T.thermophilus,73.349
Q72IY3_TT_C0998,77.042,T.thermophilus,73.418
