name,pred,sp,exp_tm
P61500_recA,56.405,T.thermophilus,72.06
Q72G97_recG,82.336,T.thermophilus,72.153
P62662_rpsB,55.672,T.thermophilus,72.216
Q746P0_TT_P0013,78.562,T.thermophilus,72.228
Q746N8_cbiX,75.062,T.thermophilus,72.234
Q72H90_soj,68.644,T.thermophilus,72.258
Q72LP8_TT_C0010,73.914,T.thermophilus,72.269
Q72JA0_minD,53.255,T.thermophilus,72.273
Q72L65_hflX,74.676,T.thermophilus,72.276
Q72L52_TT_C0211,76.756,T.thermophilus,72.283
Q72JN6_TT_C0734,75.09,T.thermophilus,72.316
Q72I41_TT_C1291,73.457,T.thermophilus,72.328
Q72JQ4_TT_C0714,86.305,T.thermophilus,72.33
Q72JG1_rimO,63.42,T.thermophilus,72.356
Q72KY6_TT_C0279,63.873,T.thermophilus,72.378
Q72LK3_TT_C0056,85.39,T.thermophilus,72.379
Q72LH6_livF,78.279,T.thermophilus,72.441
Q72J57_TT_C0922,59.741,T.thermophilus,72.471
Q72GX5_pstB,52.099,T.thermophilus,72.472
Q72HC1_rlmN,63.543,T.thermophilus,72.512
Q72IH8_TT_C1154,70.507,T.thermophilus,72.547
Q72IZ8_TT_C0983,82.802,T.thermophilus,72.562
Q72I16_rplE,67.494,T.thermophilus,72.567
P61941_rpsL,55.811,T.thermophilus,72.573
P62663_rpsC,53.296,T.thermophilus,72.621
Q72KA4_TT_C0543,62.629,T.thermophilus,72.621
Q72LA0_TT_C0159,80.577,T.thermophilus,72.623
Q72J11_livF,58.812,T.thermophilus,72.658
P61537_ruvB,67.289,T.thermophilus,72.665
Q72L33_TT_C0230,65.644,T.thermophilus,72.691
Q72J12_livG,61.185,T.thermophilus,72.734
Q72GG8_TT_C1880,55.892,T.thermophilus,72.752
Q72IJ8_TT_C1134,68.477,T.thermophilus,72.86
Q72J51_ftsE,74.044,T.thermophilus,72.886
Q72J39_miaB,69.174,T.thermophilus,72.972
Q72KZ4_TT_C0271,60.318,T.thermophilus,73.132
Q72I11_rplP,63.552,T.thermophilus,73.157
Q72GI4_dcd,74.594,T.thermophilus,73.294
Q72I12_rpmC,47.314,T.thermophilus,73.338
Q72KT1_TT_C0411,83.587,T.thermophilus,73.343
Q72L15_clpP,50.055,T.thermophilus,73.347
Q72HM2_mreB,79.483,T.thermophilus,73.349
Q72IY3_TT_C0998,78.865,T.thermophilus,73.418
Q72HV0_plsX,73.797,T.thermophilus,73.469
Q72KC1_TT_C0526,72.518,T.thermophilus,73.486
Q72L74_plsY,86.007,T.thermophilus,73.558
Q745Z3_TT_P0162,50.294,T.thermophilus,73.594
Q72K96_TT_C0551,70.745,T.thermophilus,73.624
Q72I53_metK,71.362,T.thermophilus,73.648
Q72IN7_TT_C1095,83.661,T.thermophilus,73.667
Q72GJ7_phoU,50.574,T.thermophilus,73.693
Q72I54_TT_C1278,80.06,T.thermophilus,73.702
Q72JC6_TT_C0852,71.903,T.thermophilus,73.707
Q72K93_rnr,79.983,T.thermophilus,73.717
P62657_rpsO,51.519,T.thermophilus,73.801
Q72JC7_TT_C0851,47.737,T.thermophilus,73.932
Q72HG4_TT_C1523,80.92,T.thermophilus,74.007
P62668_rpsH,82.09,T.thermophilus,74.105
Q72LF7_appF,77.463,T.thermophilus,74.211
Q72KN4_TT_C0377,67.413,T.thermophilus,74.219
Q72JH7_TT_C0795,55.715,T.thermophilus,74.223
Q72HQ8_TT_C1428,52.769,T.thermophilus,74.253
Q72GX4_pstA,78.463,T.thermophilus,74.329
Q72J58_TT_C0921,67.319,T.thermophilus,74.333
Q72K85_mnmE,81.512,T.thermophilus,74.34
P61989_cbiD,75.906,T.thermophilus,74.514
Q72HI3_TT_C1504,84.63,T.thermophilus,74.517
Q72J29_TT_C0952,79.975,T.thermophilus,74.567
Q746D0_TT_P0125,80.323,T.thermophilus,74.57
Q72IW1_aroB,81.156,T.thermophilus,74.594
Q72IH2_glyA,54.626,T.thermophilus,74.619
Q72JU9_rplS,61.451,T.thermophilus,74.62
Q72G84_rpmB,53.866,T.thermophilus,74.63
Q72GX1_mnmA,70.231,T.thermophilus,74.642
Q746A1_TT_P0154,55.512,T.thermophilus,74.656
Q72KB4_mfd,78.385,T.thermophilus,74.665
Q72JZ8_nadA,52.193,T.thermophilus,74.775
Q72H76_purM,79.664,T.thermophilus,74.781
Q72I07_rplB,52.208,T.thermophilus,74.798
Q72LH3_TT_C0086,60.808,T.thermophilus,74.877
Q72L86_clpA,46.734,T.thermophilus,74.889
Q72KZ7_chlI,63.92,T.thermophilus,74.892
Q72I20_rplR,53.219,T.thermophilus,74.903
Q72I04_rplC,65.127,T.thermophilus,74.907
Q72GJ8_phoB,77.839,T.thermophilus,74.914
Q72JK8_TT_C0764,71.739,T.thermophilus,74.928
Q72GE4_murE,64.433,T.thermophilus,74.998
Q72LQ3_TT_C0005,71.305,T.thermophilus,75.017
Q72KR6_mqnE,66.258,T.thermophilus,75.087
Q72HT7_TT_C1399,63.619,T.thermophilus,75.133
Q72J77_recG,77.666,T.thermophilus,75.135
Q72HA7_TT_C1588,63.567,T.thermophilus,75.154
Q72IN1_rplM,52.824,T.thermophilus,75.174
Q72L56_TT_C0207,83.202,T.thermophilus,75.207
P62667_rpsG,52.743,T.thermophilus,75.21
Q72J09_dppB,74.939,T.thermophilus,75.231
Q72KY9_TT_C0276,52.649,T.thermophilus,75.235
Q72HJ5_TT_C1492,62.775,T.thermophilus,75.237
Q72HJ9_TT_C1488,56.888,T.thermophilus,75.326
Q72K53_ftsK,81.624,T.thermophilus,75.37
Q72GD9_TT_C1909,77.39,T.thermophilus,75.385
P62664_rpsD,52.817,T.thermophilus,75.488
Q72JP5_ftsA,49.159,T.thermophilus,75.507
Q72L14_clpX,52.944,T.thermophilus,75.523
