name,pred,exp_tm
CSP_ind_0,54.684,40.0
CSP_ind_1,49.53,81.5
CSP_ind_2,59.836,79.0
CSP_ind_3,45.11,60.0
CSP_ind_4,42.081,62.0
CSP_ind_5,47.793,53.8
CSP_ind_6,46.528,76.9
CSP_ind_7,45.064,58.4
CSP_ind_8,46.436,61.0
CSP_ind_9,46.347,59.8
CSP_ind_10,60.441,76.0
CSP_ind_12,47.995,64.2
CSP_ind_13,46.89,77.0
CSP_ind_14,46.142,69.5
CSP_ind_15,47.364,83.7
CSP_ind_16,45.701,61.1
CSP_ind_17,46.327,75.7
CSP_ind_18,47.006,85.0
CSP_ind_19,46.01,74.7
CSP_ind_20,47.365,50.7
CSP_ind_21,50.251,82.2
CSP_ind_22,47.589,70.1
CSP_ind_23,50.132,75.1
CSP_ind_24,47.5,63.1
CSP_ind_25,46.965,70.4
CSP_ind_26,47.658,69.6
CSP_ind_27,46.901,64.0
CSP_ind_28,45.786,64.6
CSP_ind_29,48.362,49.1
CSP_ind_30,46.652,51.3
CSP_ind_31,47.889,60.2
CSP_ind_32,47.441,65.6
CSP_ind_33,47.513,61.9
CSP_ind_34,46.971,57.1
CSP_ind_35,46.93,74.6
CSP_ind_36,48.237,69.2
CSP_ind_37,47.684,73.2
CSP_ind_38,46.015,71.8
CSP_ind_39,45.576,74.5
CSP_ind_40,49.484,78.1
CSP_ind_41,44.942,70.8
CSP_ind_42,49.415,85.6
CSP_ind_43,44.091,69.3
CSP_ind_44,46.541,54.7
CSP_ind_45,44.789,70.7
CSP_ind_46,44.502,71.2
CSP_ind_47,44.629,69.4
CSP_ind_48,44.807,69.9
CSP_ind_49,47.873,48.6
CSP_ind_50,47.228,62.2
CSP_ind_51,47.057,57.9
CSP_ind_52,45.274,67.6
CSP_ind_53,45.487,69.7
CSP_ind_54,44.842,77.0
CSP_ind_55,45.659,61.5
CSP_ind_56,46.355,62.7
CSP_ind_57,48.869,51.8
CSP_ind_58,48.748,59.9
CSP_ind_59,49.84,68.8
CSP_ind_60,47.874,62.4
CSP_ind_61,46.061,66.7
CSP_ind_62,47.002,66.4
CSP_ind_63,48.454,64.4
CSP_ind_64,47.131,66.8
CSP_ind_65,46.17,73.5
CSP_ind_66,45.88,74.0
CSP_ind_67,45.938,75.4
CSP_ind_68,47.651,77.7
CSP_ind_69,50.074,76.0
CSP_ind_70,45.541,73.5
CSP_ind_71,47.162,74.4
CSP_ind_72,45.878,63.0
CSP_ind_73,44.327,56.0
CSP_ind_74,45.088,63.0
CSP_ind_75,47.287,80.9
CSP_ind_76,46.083,59.1
CSP_ind_77,46.777,60.0
CSP_ind_78,45.97,64.6
CSP_ind_79,46.951,44.6
CSP_ind_80,47.101,50.3
CSP_ind_81,46.11,70.9
CSP_ind_82,45.989,76.1
CSP_ind_83,45.78,64.9
CSP_ind_84,46.142,79.2
CSP_ind_85,46.442,76.7
CSP_ind_86,47.635,75.0
CSP_ind_87,46.266,74.7
CSP_ind_88,46.309,75.9
CSP_ind_89,46.095,77.8
CSP_ind_90,46.364,77.8
CSP_ind_91,46.807,75.4
CSP_ind_92,47.79,68.0
CSP_ind_93,46.843,75.0
CSP_ind_94,46.471,76.1
CSP_ind_95,46.165,75.1
CSP_ind_96,46.416,66.6
CSP_ind_97,47.506,68.9
CSP_ind_98,46.741,76.9
