name,pred,exp_tm
6IBB,55.084,72.12
5MP2,53.474,70.27
6XW6,53.047,66.07
7BC6,52.597,63.0
5MY6,54.407,74.28
6SC5,52.159,65.24
6RTW,52.355,64.21
1ZVY,53.804,65.1
7DSS,53.482,67.53
7AZB,52.995,59.91
5IP4,52.108,63.24
3K81,52.892,64.1
3QXV,52.237,67.24
6RL7,53.382,72.09
5L21,53.531,66.86
6DBD,55.499,65.6
7NQA,54.85,65.87
6UI1,54.555,67.83
6X05,55.162,66.67
7B27,54.952,65.74
1BZQ_NbThermo.00491,53.264,70.11
1JTO_NbThermo.00112,51.94,67.01
1KXT,52.784,57.85
1KXV,53.447,56.99
1QD0,53.015,66.56
1RI8,54.564,78.14
2BSE,54.48,75.23
2X6M,53.439,67.13
3DWT_NbThermo.00113_NbThermo.00133,51.967,77.72
3EBA,52.595,86.21
3G9A,52.933,66.55
3J69,53.94,66.03
3J6A,51.639,69.02
3P9W,51.316,60.0
3SN6,51.834,60.26
4B5E,53.443,61.66
4C57,52.864,63.78
4I0C,52.234,75.79
4I13,54.04,65.39
4IDL,54.698,53.76
4LJP,54.442,71.72
4LJS,53.153,72.49
4QGY,52.442,74.65
4YGA,54.081,73.41
4Z9K_NbThermo.00231,54.284,73.49
5C1M,54.072,61.35
5FOJ,53.974,70.81
5J56,52.987,73.74
5KU2,53.176,55.16
5M2M,51.759,74.98
5NM0,52.131,72.73
5O03,50.144,69.2
5OCL,53.015,71.69
5OVW,54.469,76.47
5TD8,52.92,66.55
5TJW,53.624,66.25
5U64,55.111,73.39
5VLV,53.77,69.62
5VM4,55.48,72.93
5VXK,53.367,65.75
6CK8,52.646,66.66
6EQI,54.203,62.47
6FYU,53.352,64.58
6GWN,53.164,64.42
6HEQ,52.717,60.61
6HHU,52.936,70.29
6I2G,54.011,61.03
6I8H,52.969,66.04
6ITP,52.53,68.38
6KNM,52.422,69.42
6KSN,52.334,63.03
6OBC,54.854,64.04
6OQ5,54.835,65.81
6OS1,55.114,71.54
6QKD,53.143,69.2
6QV1,52.446,63.83
6RAF,53.419,86.19
6U12,53.978,61.28
6U50,55.012,57.07
6U53,53.938,65.19
6X02,52.722,76.46
6X03,53.925,66.97
6XXN,52.792,80.66
7B18,53.741,66.14
7E9G,51.446,59.28
7JVB_NbThermo.00028,53.44,72.91
7KBI,54.517,63.45
7MJH,52.24,59.64
7MY3,55.134,60.89
7NQK,54.549,66.46
7OAN,53.955,67.55
7OAP,54.53,69.0
7OLZ,51.57,68.79
sdAb.4875,53.454,84.2
7KGJ,52.384,61.6
NbPep1_NbThermo.00045,54.255,71.86
NbPep2_NbThermo.00046,54.875,76.13
NbD1_NbThermo.00047,52.979,65.94
NbPep3_NbThermo.00048,51.209,60.68
NbPep4_NbThermo.00049,53.713,67.33
NbD9_NbThermo.00050,51.973,63.12
NbD8_NbThermo.00051,53.875,57.2
NbPep5_NbThermo.00052,53.015,70.44
NbPep7_NbThermo.00054,53.131,68.49
NbD6_NbThermo.00056,53.58,70.75
