name,pred,exp_tm
WP_068424237.1,65.514,42.7
WP_229068674.1,69.297,67.3
MGYP001121581011,71.154,74.2
WP_085753242.1,63.947,49.3
WP_103564847.1,69.907,53.8
WP_240508704.1,64.992,57.4
RAY11579.1,65.914,69.4
WP_230616214.1,80.435,73.9
MGYP000271253724,72.472,63.4
NUT34383.1,62.031,48.7
WP_139580723.1,68.304,68.5
MBT8227529.1,61.673,47.5
MGYP001097842225,67.456,59.2
WP_242883606.1,79.882,69.1
WP_231775152.1,66.927,45.7
WP_231443412.1,64.868,42.7
WP_221382552.1,65.816,59.8
WP_218617243.1,68.712,60.1
OAA20861.1,67.562,43.0
WP_019629726.1,69.466,46.6
KAA1376628.1,62.172,35.8
MBX3624429.1,62.138,56.2
MGYP001149455765,60.793,68.8
WP_184682765.1,62.546,59.5
MBB5966108.1,64.882,39.1
WP_077315388.1,62.161,45.7
ACV09511,65.79,42.4
WP_085750434.1,65.359,47.8
WP_166054040.1,65.926,49.9
WP_042734330.1,58.062,60.4
WP_203674568.1,67.477,44.2
WP_084693247.1,78.437,68.8
TDP67440,65.994,46.9
WP_201805840.1,56.274,44.5
WP_233427406.1,74.641,40.3
MGYP001489421514,58.61,56.2
OKI36454.1,66.323,58.0
MBJ7347705.1,63.079,63.1
WP_119729924.1,65.25,43.9
WP_035284691,72.518,51.7
WP_187224800.1,69.072,49.6
MGYP000221121644,65.662,57.1
WP_129786244.1,70.777,52.0
WP_130342639,68.656,50.5
WP_199827708.1,65.869,66.1
WP_228771581.1,67.973,66.1
WP_194636445.1,69.444,47.5
WP_114422580.1,61.341,65.8
WP_203733135.1,59.765,61.9
WP_233872418.1,59.299,51.4
WP_103564314,70.673,46.9
WP_103935912.1,60.913,49.3
SCE72613.1,64.674,40.6
WP_261809161.1,66.752,46.3
WP_013736455.1,66.275,63.1
WP_164449727.1,65.866,62.8
MXX05622.1,72.854,52.3
MGYP002620941758,76.843,69.1
MBN1171866.1,64.818,64.3
MBO9569276.1,63.692,55.6
MGYP001498898836,75.409,67.6
MBN1575504.1,65.94,64.6
GGY18408.1,70.119,51.4
WP_151469820.1,53.875,33.4
GIG90696.1,67.582,60.4
WCH76321.1,59.919,73.9
WP_132265752.1,71.521,64.0
MGYP001195032839,69.117,30.7
WP_109639600.1,68.019,57.7
GGO06455.1,61.724,51.4
WP_132413760.1,68.552,69.7
MGYP001477358452,63.661,54.1
WP_260709492.1,64.778,60.7
WP_079085207.1,70.396,56.8
MGYP001369932055,52.026,69.1
MCB1670591.1,76.649,53.5
MGYP001481302102,57.479,53.8
MBN1366053.1,60.541,50.8
MGYP001473616946,54.231,69.1
WP_264933993.1,72.929,61.0
MBP7765893.1,66.461,69.1
MBE1573625.1,66.819,40.6
MGYP000861817556,64.971,67.9
WP_071091307.1,66.339,40.3
MGYP006125138823,57.905,68.5
WP_256510026.1,73.872,54.4
WP_249044522.1,67.106,50.8
WP_119728035.1,60.866,46.9
WP_229874892.1,57.079,44.2
WP_086599340.1,70.719,64.6
MBN2738032.1,60.751,51.7
WP_225255694.1,74.191,41.5
WP_252811421.1,66.894,43.9
SOD43347.1,72.511,54.1
WP_236244959.1,60.293,36.1
OLR94321.1,67.791,41.2
WP_212846608.1,67.043,50.2
GIU85371.1,76.549,67.0
QEV16333.1,56.554,50.2
MGYP000483234479,73.071,44.5
WP_254876803.1,66.532,60.4
WP_045318561.1,67.931,55.3
MGYP003582062575,54.018,25.3
WAU86704.1,55.292,53.5
NUT97030.1,54.666,42.1
WP_143590710.1,63.685,51.4
WP_221087162.1,66.749,57.1
WP_019633337.1,73.641,56.5
MBP2328848.1,71.175,61.6
GHA15288.1,55.356,40.0
MGYP001223859710,65.994,68.8
GAQ59813.1,71.644,68.5
WP_239095870.1,64.868,65.2
WP_239486438.1,66.541,54.7
WP_109361459.1,73.039,60.4
NUT53577.1,61.542,47.2
MGYP001126223609,73.035,55.9
MGYP002393323206,69.508,68.2
WP_250563816.1,67.8,50.8
WP_211769896.1,68.173,71.8
WP_260422593.1,67.433,63.1
WP_140175735.1,63.185,56.2
OLT30808.1,70.738,49.3
WP_253762837.1,59.989,52.0
NUS07026.1,60.131,46.6
WP_218517662.1,65.85,73.0
MGYP003403985752,66.681,44.2
WP_150070118.1,64.952,61.6
WP_256510519.1,69.055,64.0
WP_167521412.1,69.11,64.6
WP_132386942.1,69.037,61.3
WP_232326807.1,69.654,65.8
WP_246496818.1,67.176,59.8
GIU85367.1,73.2,82.3
WP_173061649.1,66.712,59.5
UAC02078.1,63.58,67.6
WP_229836555.1,62.947,68.5
KWV30420.1,68.326,62.2
WP_268945827.1,60.246,49.6
WP_158852571.1,65.096,57.4
WP_031525917.1,65.665,37.0
WP_266249215.1,68.676,54.4
WP_111214096.1,66.583,65.8
WP_197042608.1,69.791,57.1
NJC12853.1,65.828,62.2
WP_109037790.1,64.565,55.0
WP_239104322.1,69.209,62.5
MBP2707703.1,65.446,55.9
WBC00352.1,71.62,60.7
GGO08527.1,69.168,49.6
WP_273813526.1,57.72,51.7
WP_203777396.1,68.277,61.6
WP_203790592.1,70.936,58.6
WP_252811421.1,69.238,43.9
SCF49212.1,71.072,67.0
WP_204285002.1,67.287,59.8
WP_210157342.1,70.854,68.8
WP_132399348.1,70.995,73.3
MBX3621832.1,60.699,63.4
WP_085749238.1,61.114,62.8
MBF9135495.1,69.264,62.8
WP_181548579.1,65.338,63.4
WP_082536249.1,64.138,43.9
WP_239135698.1,63.374,65.2
WP_267938240.1,69.18,63.1
WP_234583022.1,69.578,59.2
WP_182904095.1,67.811,68.8
TWG17167.1,64.936,62.5
GHJ08786.1,68.251,64.6
WP_240522201.1,68.81,52.0
WP_257828484.1,59.829,58.6
WP_260615299.1,68.54,59.2
WP_259405879.1,67.661,60.7
WP_211363689.1,66.932,55.0
WP_203822553.1,69.66,47.8
WP_156114969.1,58.289,55.3
TNH28703.1,64.709,63.7
MGYP000246415913,67.004,35.2
MBO4274871.1,69.646,62.8
WP_169980303.1,68.091,59.8
WP_192329846.1,58.38,49.6
GLI01021.1,69.819,63.1
WP_084261341.1,68.785,61.6
WP_252275389.1,60.976,52.0
WP_203990226.1,71.499,58.6
WP_220815207.1,60.64,56.5
WP_007455959.1,68.851,51.7
GFJ87714.1,68.105,53.8
WP_223093092.1,72.563,47.8
WP_204038550.1,71.777,67.9
WP_265247586.1,68.3,68.2
MGYP003703942659,66.697,53.5
WP_271190254.1,68.798,58.3
WP_203980609.1,68.763,62.2
MCF0091346.1,63.517,58.0
MGYP000278479948,64.46,69.7
WP_093473685.1,63.36,53.8
WP_160470043.1,65.78,39.1
WP_199199185.1,74.233,65.5
WP_033363749.1,63.955,67.9
WP_167975345.1,65.386,58.0
WP_130401777.1,64.494,56.2
WP_247056560.1,57.695,51.7
WP_203812622.1,54.979,40.6
NLY58972.1,66.236,49.0
WP_201805836.1,59.202,56.2
MBW4703769.1,67.611,58.6
PWR09075.1,65.12,61.0
WP_255830407.1,63.146,52.0
MTK05241.1,63.198,61.6
HEC53621.1,62.847,45.4
WP_086515000.1,62.89,44.5
WP_020639922.1,69.134,51.7
WP_039906502.1,64.455,61.3
MBQ1015012.1,61.784,55.9
WP_203906211.1,63.291,57.4
WP_091317053.1,55.516,55.3
MGYP000647205319,74.766,46.0
WP_257828480.1,59.389,47.5
WP_269740835.1,67.106,66.4
GGR16917.1,65.971,55.6
WP_239125827.1,62.041,50.2
WP_144022925.1,65.376,55.6
WP_090003781.1,63.858,43.0
WP_247684544.1,67.92,58.9
PYC64928.1,63.992,62.2
WP_261760582.1,62.562,68.8
WP_172899142.1,65.579,63.1
MBT9528079.1,50.639,61.3
WP_239086781.1,60.837,54.4
MGYP002388512850,65.485,70.0
nan,63.073,93.6
