name,pred,exp_tm
1,63.614,34.8
2,49.103,39.8
3,50.311,41.5
4,47.142,41.6
5,48.247,42.1
6,51.253,43.2
7,52.506,43.7
8,39.186,44.2
9,49.804,44.5
10,45.119,44.6
11,48.281,45.0
12,50.289,45.8
13,52.314,46.0
14,48.858,46.5
15,59.226,46.7
16,49.842,47.0
17,49.475,47.6
18,44.675,47.8
19,50.873,48.0
20,43.67,48.3
21,46.737,49.2
22,56.307,49.2
23,48.105,49.3
24,45.118,49.3
25,51.202,49.6
26,56.212,50.4
27,58.0,50.5
28,58.452,51.0
29,45.549,51.0
30,64.945,51.0
31,51.488,51.0
32,54.732,52.5
33,49.394,51.4
34,54.186,51.5
35,48.234,51.5
36,48.45,51.5
37,45.508,51.9
38,47.152,52.0
39,52.382,52.1
40,47.234,52.1
41,47.886,52.3
42,48.541,52.5
43,47.388,52.6
44,41.266,52.6
45,48.271,52.7
46,46.483,52.9
47,49.072,53.0
48,76.349,53.0
49,47.5,53.2
50,47.669,53.6
51,50.063,53.6
52,48.663,53.7
53,47.793,53.8
54,52.418,53.9
55,51.56,53.9
56,50.856,54.0
57,46.326,54.0
58,46.811,54.4
59,54.326,54.6
60,53.156,54.6
61,72.894,55.0
62,55.936,56.0
63,48.703,56.2
64,51.879,56.5
65,48.585,56.7
66,45.265,56.9
67,56.849,57.0
68,49.173,57.1
69,49.917,57.1
70,50.713,57.1
71,56.603,57.2
72,56.352,57.3
73,42.533,57.4
74,51.416,57.5
75,50.775,57.5
76,63.335,57.7
77,53.088,57.8
78,46.552,57.9
79,47.2,58.0
80,49.725,58.0
81,48.127,58.5
82,50.384,58.9
83,48.745,59.0
84,49.758,59.0
85,47.818,59.0
86,51.827,59.0
88,49.239,59.5
89,50.327,60.0
90,50.309,60.0
91,49.286,60.6
92,50.096,60.9
93,48.999,61.0
94,56.062,61.2
95,44.7,61.4
96,45.114,61.4
97,49.356,62.0
98,49.8,62.2
99,47.632,62.5
100,51.182,62.7
101,55.247,63.0
102,46.935,63.1
103,49.459,63.2
104,54.919,63.5
105,50.274,63.6
106,69.617,63.7
107,50.617,64.0
108,48.759,64.3
109,46.681,64.4
110,53.656,64.6
111,51.753,64.7
112,50.662,64.9
113,49.241,64.9
114,50.934,64.9
115,47.024,65.0
116,48.872,65.0
117,48.127,65.0
118,47.458,65.1
119,48.952,65.2
120,43.763,65.5
121,61.239,66.0
122,55.472,66.0
123,49.881,66.0
124,63.444,66.2
125,56.016,66.2
126,47.834,66.4
127,51.937,66.6
128,49.936,66.7
129,52.122,66.9
130,55.25,67.0
131,48.862,67.0
132,52.357,67.2
133,44.558,67.6
134,59.536,67.7
135,46.679,68.5
137,56.346,68.7
138,55.221,68.9
139,51.759,69.0
140,45.85,69.0
141,56.061,69.8
142,44.924,69.2
143,49.614,69.6
144,52.406,70.0
145,54.13,70.0
146,46.324,70.0
147,50.812,70.2
148,48.856,70.2
149,57.955,70.4
150,56.112,70.6
151,49.985,70.7
152,51.356,71.0
153,50.266,71.2
154,53.424,71.2
155,50.196,72.0
156,66.948,72.4
157,49.739,72.9
158,50.461,73.0
159,49.052,73.3
160,50.816,73.9
161,57.65,74.0
162,50.813,74.3
163,60.521,75.5
164,48.446,76.0
165,56.182,76.8
166,46.528,76.9
167,51.619,77.6
168,48.13,78.0
169,46.914,78.0
170,49.132,78.3
171,55.522,79.4
172,64.14,79.4
173,47.058,79.4
174,48.554,79.5
175,48.489,80.1
176,48.644,80.2
177,50.835,80.2
178,54.697,80.8
179,55.812,81.6
180,49.679,82.0
181,50.704,82.2
182,59.795,84.3
183,49.674,84.8
184,49.234,85.2
185,73.481,85.2
186,50.731,85.8
187,56.102,85.9
188,68.446,86.0
189,50.8,86.0
190,46.821,86.5
191,52.406,87.5
192,53.003,87.5
193,40.431,87.8
194,52.775,88.0
195,84.801,88.0
196,47.407,88.3
197,83.509,89.0
198,51.98,90.0
199,49.87,90.0
200,44.07,90.1
201,49.442,90.3
202,70.857,90.3
203,66.474,91.0
204,64.79,91.0
205,76.184,93.8
206,61.768,94.9
207,58.551,98.6
208,63.625,99.0
209,68.573,99.0
210,67.72,100.8
211,58.018,100.9
212,71.433,104.3
213,62.265,104.5
214,62.916,108.0
215,60.496,108.0
216,76.214,111.5
217,79.256,112.7
218,72.172,114.5
219,74.657,120.1
220,48.231,121.6
221,70.147,143.8
222,70.49,148.5
1MBG,45.006,39.3
1DO9,49.028,48.5
1CX1,72.31,49.4
1PRR,62.07,52.6
1ACP,47.154,52.7
1LS4,45.192,53.0
1APC,59.326,54.0
1EXG,59.965,56.4
1BUJ,51.988,56.5
1AG4,45.973,57.9
1BUY,48.171,60.6
1HCD,47.309,61.7
1LCD,59.813,65.0
1QND,46.949,70.5
1OTR,48.84,71.2
1HYW,51.398,71.7
1BTA,51.404,72.0
1TIT,50.905,73.0
1DEC,53.529,74.0
2M3T,51.186,75.0
1K42,66.415,75.8
3AIT,70.929,81.6
1G6P,49.53,82.0
1COK,40.385,93.5
1DVC,46.617,94.5
1BFM,69.926,101.0
