name,pred
P61500_recA,70.1875
Q72G97_recG,67.625
P62662_rpsB,63.25
Q746P0_TT_P0013,66.0
Q746N8_cbiX,68.8125
Q72H90_soj,67.8125
Q72LP8_TT_C0010,65.0
Q72JA0_minD,53.625
Q72L65_hflX,58.90625
Q72L52_TT_C0211,38.09375
Q72JN6_TT_C0734,55.34375
Q72I41_TT_C1291,42.375
Q72JQ4_TT_C0714,58.71875
Q72JG1_rimO,57.6875
Q72KY6_TT_C0279,32.59375
Q72LK3_TT_C0056,68.75
Q72LH6_livF,67.125
Q72J57_TT_C0922,63.40625
Q72GX5_pstB,36.5625
Q72HC1_rlmN,33.28125
Q72IH8_TT_C1154,61.0
Q72IZ8_TT_C0983,36.40625
Q72I16_rplE,66.125
P61941_rpsL,72.875
P62663_rpsC,39.25
Q72KA4_TT_C0543,44.375
Q72LA0_TT_C0159,63.53125
Q72J11_livF,57.03125
P61537_ruvB,55.53125
Q72L33_TT_C0230,69.0
Q72J12_livG,55.40625
Q72GG8_TT_C1880,64.0
Q72IJ8_TT_C1134,47.71875
Q72J51_ftsE,34.71875
Q72J39_miaB,75.0625
Q72KZ4_TT_C0271,46.53125
Q72I11_rplP,63.46875
Q72GI4_dcd,74.8125
Q72I12_rpmC,64.9375
Q72KT1_TT_C0411,69.1875
Q72L15_clpP,60.21875
Q72HM2_mreB,41.5
Q72IY3_TT_C0998,60.46875
Q72HV0_plsX,59.625
Q72KC1_TT_C0526,65.4375
Q72L74_plsY,67.5
Q745Z3_TT_P0162,86.1875
Q72K96_TT_C0551,67.5
Q72I53_metK,33.375
Q72IN7_TT_C1095,67.6875
Q72GJ7_phoU,59.84375
Q72I54_TT_C1278,31.546875
Q72JC6_TT_C0852,68.625
Q72K93_rnr,67.5625
P62657_rpsO,68.75
Q72JC7_TT_C0851,34.96875
Q72HG4_TT_C1523,58.09375
P62668_rpsH,67.875
Q72LF7_appF,36.125
Q72KN4_TT_C0377,34.125
Q72JH7_TT_C0795,56.84375
Q72HQ8_TT_C1428,77.0
Q72GX4_pstA,31.21875
Q72J58_TT_C0921,64.9375
Q72K85_mnmE,64.75
P61989_cbiD,64.8125
Q72HI3_TT_C1504,66.0625
Q72J29_TT_C0952,67.0
Q746D0_TT_P0125,59.5625
Q72IW1_aroB,67.5625
Q72IH2_glyA,37.9375
Q72JU9_rplS,67.625
Q72G84_rpmB,72.1875
Q72GX1_mnmA,61.46875
Q746A1_TT_P0154,68.875
Q72KB4_mfd,68.1875
Q72JZ8_nadA,59.78125
Q72H76_purM,61.53125
Q72I07_rplB,31.140625
Q72LH3_TT_C0086,67.8125
Q72L86_clpA,63.3125
Q72KZ7_chlI,41.46875
Q72I20_rplR,66.0
Q72I04_rplC,34.4375
Q72GJ8_phoB,67.5625
Q72JK8_TT_C0764,74.75
Q72GE4_murE,67.5
Q72LQ3_TT_C0005,64.6875
Q72KR6_mqnE,71.75
Q72HT7_TT_C1399,65.875
Q72J77_recG,67.6875
Q72HA7_TT_C1588,52.40625
Q72IN1_rplM,68.5625
Q72L56_TT_C0207,51.28125
P62667_rpsG,58.09375
Q72J09_dppB,71.75
Q72KY9_TT_C0276,61.28125
Q72HJ5_TT_C1492,65.8125
Q72HJ9_TT_C1488,32.53125
Q72K53_ftsK,68.0625
Q72GD9_TT_C1909,39.46875
P62664_rpsD,51.03125
Q72JP5_ftsA,52.21875
Q72L14_clpX,32.5
P62655_rpsM,63.90625
Q72JU4_ffh,75.5
Q72KY0_TT_C0285,41.75
Q746M7_TT_P0026,67.375
Q8VUS5_lysK,59.84375
Q746Q1_TT_P0001,65.8125
Q72I09_rplV,57.625
Q72J94_TT_C0885,67.5625
Q72LC8_clR,66.25
Q72JB3_leuC,30.109375
Q72KF5_phzF,58.0625
Q72I14_rplN,59.21875
Q72GC0_TT_C1928,59.875
Q72K88_TT_C0559,67.9375
P61671_mutS,67.0625
Q8VRK4_dprA,67.875
Q72JP4_ftsZ,39.9375
Q72JR8_rho,37.53125
Q746N0_cobQ,67.875
Q72GQ3_TT_C1795,66.5625
Q72HX7_TT_C1355,54.25
P62665_rpsE,56.21875
Q72I58_prs,51.625
Q72GU0_rlmH,67.8125
Q72KI6_TT_C0489,67.8125
Q72IB2_TT_C1220,67.4375
Q72JP1_mqnC,53.6875
Q72GH2_TT_C1876,59.59375
Q746H1_parA,76.3125
Q746B7_fdhD,63.46875
Q72GF3_TT_C1895,38.90625
Q72L10_TT_C0255,68.9375
Q72L76_rplT,57.0
Q72LF3_TT_C0106,65.9375
Q72GT5_TT_C1763,50.3125
Q745U7_TT_P0210,63.4375
Q72I55_speA,67.875
Q72J43_TT_C0938,54.25
Q745T7_TT_P0220,66.625
Q72GJ0_TT_C1858,67.3125
Q72KK6_TT_C0305,69.75
P16608_trpA,67.9375
Q72KK5_TT_C0443,73.75
Q72KE4_TT_C0502,71.625
Q72KK0_TT_C0448,55.5
Q72IE4_TT_C1188,67.4375
Q72KU0_pyrB,65.0625
Q72KN5_TT_C0373,67.125
Q72IB8_TT_C1214,67.5
Q72IX8_TT_C1003,65.5625
Q72GV3_TT_C1745,67.1875
Q72JQ1_murD,68.125
Q72LB4_TT_C0145,63.875
Q72KM1_TT_C0312,68.75
Q72LI0_TT_C0079,52.1875
Q72ID0_TT_C1202,66.75
P62476_rsmH,55.21875
Q72GY1_TT_C1717,67.0625
Q8VRL0_pilT,41.40625
Q72KU3_pyrD,67.0625
Q72IC8_TT_C1204,68.5
Q72JP9_murG,67.875
Q745Y8_TT_P0167,61.25
Q72I66_sfuC,68.3125
Q72GD3_TT_C1915,29.0
Q72HR2_rplU,63.21875
Q746I9_TT_P0066,65.625
Q72HR7_lytR,47.90625
Q72K18_livF,59.40625
Q72IC7_TT_C1205,60.875
Q72G65_ispH,67.3125
Q72JF0_ychF,42.90625
Q8VRL3_pilC,55.59375
Q746L5_TT_P0038,66.8125
Q745V7_TT_P0198,54.125
Q72J00_TT_C0981,44.25
Q72K73_TT_C0298,67.375
Q72J67_TT_C0912,67.1875
Q72GJ2_TT_C1856,66.375
Q72KF9_TT_C0354,67.6875
Q72IH7_purL,63.21875
P62653_rpsJ,57.03125
Q72JS9_TT_C0689,52.53125
Q72LF8_appD,76.4375
Q72KS4_lon1,52.6875
Q72J92_secA,47.53125
Q72KX7_TT_C0288,52.75
Q72JZ9_TT_C0619,67.625
Q72GE1_nuoN,36.875
Q72GP3_TT_C1805,69.8125
Q72KY3_TT_C0282,48.09375
Q746E4_TT_P0111,56.375
Q72GS6_TT_C1772,67.8125
Q72JK5_TT_C0767,54.0625
Q72K69_prkA,29.921875
Q72KG6_TT_C0369,66.8125
Q72I19_rplF,77.8125
Q72LC7_merR,62.71875
Q72KK7_TT_C0304,45.75
P62658_rpsQ,64.75
Q72K11_paaB,53.46875
Q72KW2_TT_C0402,31.609375
Q72IA1_TT_C1231,64.625
Q72KK1_TT_C0447,64.875
Q72HJ6_trpD,75.4375
Q72HN7_TT_C1449,68.8125
Q72KI0_TT_C0480,60.34375
Q72HU3_TT_C1391,66.5625
Q72GY8_TT_C1708,57.5
Q72H32_fmt,67.5
Q72IA2_TT_C1230,65.5
Q72JX0_TT_C0648,68.8125
Q8KPZ1_comZ,62.53125
Q72JF5_TT_C0817,38.25
Q72KV9_TT_C0405,62.84375
Q72HW1_TT_C1371,30.609375
Q72HP4_TT_C1442,67.3125
Q72LE8_TT_C0111,67.0625
Q60050_proB,69.6875
Q72JD1_TT_C0847,58.5
Q72K32_TT_C0586,70.3125
Q72JV3_TT_C0665,66.1875
Q72GX7_recF,67.75
Q72KQ7_TT_C0461,68.125
Q72IQ1_TT_C1081,42.3125
Q72J83_dnaG,66.4375
Q72JY5_TT_C0633,54.46875
Q72HU8_TT_C1386,57.875
Q72GA8_TT_C1940,61.0
Q72IN0_pyrG,30.921875
Q72I91_TT_C1241,67.3125
Q72L54_TT_C0209,66.5625
Q72IK4_ftsH,52.0625
Q72LL5_TT_C0044,63.1875
Q72GV9_rplA,64.0
Q72HS1_pilT,62.15625
Q72H81_dxs,39.1875
Q72HX4_pacS,68.625
Q72LK5_TT_C0054,60.78125
Q72HW6_TT_C1366,67.625
Q9ZNE0_hacA,36.0625
Q746J9_TT_P0054,68.625
Q72L67_TT_C0196,67.875
Q72KL0_TT_C0301,36.375
Q72HC8_TT_C1567,58.40625
Q72GH1_TT_C1877,42.59375
Q72HD6_TT_C1557,52.84375
Q72GW9_pepA,22.765625
Q72IJ3_TT_C1139,67.25
Q72IH6_purF,57.65625
Q72KR3_TT_C0455,59.0
Q72HE1_TT_C1552,65.5
O87197_uppS,69.4375
Q72LD4_vapC,76.25
Q72L21_bioB,67.5
Q72IU4_ccmF,66.3125
Q72HK4_glnQ,56.09375
Q72I06_rplW,66.8125
Q72KF6_TT_C0357,71.75
Q72KF8_pdxT,75.875
Q72GV4_TT_C1744,62.78125
Q72LD2_glcF,69.875
Q72J06_TT_C0975,67.25
Q72H31_TT_C1664,68.125
Q72JV5_TT_C0663,30.265625
Q72KW8_TT_C0332,67.5
Q72LB2_TT_C0147,53.3125
Q72I50_mutS,72.625
Q72IG3_TT_C1169,63.875
Q72H62_TT_C1633,66.125
Q72JP7_murB,67.375
Q72LA1_TT_C0158,76.375
Q72K10_paaA,66.3125
Q72HL0_TT_C1477,67.875
P62356_hisA,67.5625
Q72HP7_TT_C1439,62.53125
Q72IB7_gntR,67.9375
P61707_alaS,53.78125
Q72GJ4_murA,65.125
Q72HQ7_TT_C1429,29.625
Q72JS1_ribA,61.46875
Q72GT2_TT_C1766,53.75
Q72G82_TT_C1966,67.5625
Q72JX9_TT_C0639,66.5625
Q72JZ6_TT_C0622,58.4375
Q72L12_TT_C0253,68.5
Q72HJ4_TT_C1493,63.6875
Q72H70_surE1,34.21875
Q72JV2_TT_C0666,64.375
Q746H0_TT_P0085,31.1875
Q72KM6_TT_C0382,32.34375
Q72IM0_TT_C1112,69.75
Q72GW4_tuf1,42.5625
Q72HR4_obg,36.65625
Q72HL8_TT_C1469,67.5
Q72H18_ispG,51.1875
Q72JH2_TT_C0800,76.0625
Q72KP4_TT_C0321,66.3125
Q72H71_TT_C1624,28.75
Q72JS7_glmM,45.34375
Q72I05_rplD,63.59375
Q72GS1_rplJ,65.4375
Q72GM0_TT_C1828,68.125
Q72KY5_TT_C0280,33.5
Q72JJ4_TT_C0778,57.125
Q72GS0_TT_C1778,35.5625
O50147_lysZ,70.8125
Q72JY0_TT_C0638,65.3125
Q746I1_aidB,32.53125
Q72HX1_phoR,60.5
Q72IB3_TT_C1219,70.8125
Q84B24_mpgS,30.453125
Q72LQ2_vdcC,34.875
Q72HQ6_TT_C1430,30.625
Q72KP6_thiC,55.0625
Q746C7_TT_P0128,67.5625
Q72HL4_TT_C1473,46.875
Q72J56_sbcD,63.8125
Q72J63_TT_C0916,67.625
Q72HY6_TT_C1346,69.3125
Q72K64_TT_C0463,47.9375
Q72HM7_TT_C1459,67.375
Q746A8_TT_P0147,31.921875
Q72JH8_TT_C0794,58.3125
Q72IB0_gyrB,58.03125
Q72HX9_TT_C1353,31.40625
Q72HF6_uvrB,43.3125
Q72K76_TT_C0295,66.5625
Q72G73_TT_C1975,67.625
Q72IW2_aroK,65.3125
Q72IY8_TT_C0993,67.625
Q72G66_nifR,43.96875
Q72IR0_TT_C1072,66.75
Q72I24_secY,57.75
Q745T2_TT_P0225,54.15625
Q72HK1_TT_C1486,57.15625
Q72KE6_TT_C0499,65.9375
Q72I42_TT_C1290,65.8125
Q72IV6_der,56.40625
Q72L01_hslU,64.625
Q746E5_TT_P0110,66.875
Q72H27_TT_C1668,67.3125
Q72HH9_TT_C1508,62.84375
Q72II9_hemD,61.90625
Q72HJ8_TT_C1489,63.96875
Q72IU9_TT_C1032,68.25
Q72LD7_TT_C0122,65.75
Q72JY9_TT_C0629,67.1875
Q72J33_TT_C0948,63.53125
Q72K70_asnC,66.875
Q72KX8_wbpB,30.6875
Q72K60_TT_C0467,42.3125
Q72GB8_TT_C1930,35.96875
Q72IG5_truD,66.8125
Q72J90_TT_C0889,67.625
Q72I83_TT_C1249,67.9375
Q8RQU3_pilM,57.8125
Q746C9_TT_P0126,61.375
Q72H73_pilF,55.59375
Q93HR1_gyrB,34.4375
Q72J05_TT_C0976,32.6875
P61488_ask,53.28125
Q72K25_TT_C0593,68.4375
Q72L88_TT_C0172,67.6875
Q72JA3_potA,49.5625
Q72HL3_TT_C1474,67.3125
Q72GC8_nuoA,61.25
Q72HG1_TT_C1526,67.25
Q72HM9_TT_C1457,63.09375
Q72KT3_TT_C0434,65.6875
Q72IE0_TT_C1192,31.46875
Q72K92_TT_C0555,76.8125
Q72HL7_TT_C1470,67.0
Q72IQ7_uvrA,35.5625
Q72IM8_TT_C1104,31.96875
Q746H8_TT_P0077,43.03125
Q72J04_TT_C0977,61.65625
Q72LB6_TT_C0143,57.71875
Q72JX4_TT_C0644,67.6875
Q72IZ5_TT_C0986,75.0
Q72HC0_TT_C1575,59.78125
Q72GX0_TT_C1728,67.8125
Q72LJ1_tsY,72.3125
Q72L35_TT_C0228,69.125
Q72GQ4_TT_C1794,64.0
Q72GD4_TT_C1914,54.53125
Q72G70_TT_C1978,67.1875
Q72L97_TT_C0162,65.6875
Q72IE5_guaA,64.8125
Q72L41_TT_C0222,69.75
Q72KV3_TT_C0388,67.875
Q72GV1_lipA,42.4375
Q72GV2_lipB,69.0
Q72KV2_lepA,59.28125
Q8GR85_gdhA-2,29.78125
Q72GX8_TT_C1720,67.1875
Q72IY0_TT_C1001,63.03125
Q72LK2_TT_C0057,75.8125
Q72GN3_ispD,67.875
Q72HP0_TT_C1446,67.8125
Q8VRL6_pilO,63.375
Q72LI7_TT_C0072,64.5625
Q746N9_cbiG,58.28125
Q72KI3_acuB,75.5625
Q72IJ4_TT_C1138,56.40625
Q72HH0_folE,65.0625
Q8KLI7_udgb,54.03125
Q72H39_TT_C1656,63.875
Q72G64_TT_C1984,71.3125
Q72GC7_rsmA,42.84375
Q72KD5_mutT,67.3125
Q8GR84_,73.1875
Q72HK5_TT_C1482,67.5625
Q745T6_TT_P0221,66.375
Q72IH1_TT_C1161,67.125
Q72G62_TT_C1986,63.09375
Q72KQ5_TT_C0333,63.96875
Q72IR7_TT_C1065,68.1875
Q72KJ3_TT_C0441,58.6875
Q72HT2_TT_C1404,67.5625
P62666_rpsF,67.4375
Q72HD7_TT_C1556,67.5
Q72GM5_TT_C1823,67.625
Q72IA0_TT_C1232,29.640625
Q72K91_TT_C0556,72.0
Q72IH5_TT_C1157,67.875
Q72GX9_TT_C1719,66.8125
Q72GB5_vanW,67.5625
O87198_lys20,34.40625
Q72KX0_TT_C0330,46.1875
Q72GR3_TT_C1785,63.28125
Q746H7_TT_P0078,30.421875
Q72GN5_TT_C1813,67.0625
Q72JF8_TT_C0814,67.875
Q8GR86_gdhA-1,78.3125
Q72LC5_TT_C0134,67.4375
Q72HF3_TT_C1534,66.8125
Q72JF3_TT_C0819,41.34375
Q72GT7_birA,64.125
Q72GG2_TT_C1886,70.9375
Q746F3_TT_P0102,67.3125
Q72GC1_TT_C1927,67.5625
Q72HF0_TT_C1537,67.4375
Q72HA4_TT_C1591,67.3125
Q72GP2_TT_C1806,61.09375
Q72KN3_TT_C0374,30.578125
Q72H86_TT_C1609,60.90625
Q72GH0_TT_C1878,31.53125
Q72H51_TT_C1644,67.375
Q72I62_dppB,55.03125
Q72HA3_TT_C1592,67.5
Q72JF7_TT_C0815,67.5
Q72G96_TT_C1952,63.375
Q72HK0_TT_C1487,63.875
Q72JS0_TT_C0698,67.8125
Q72IV3_thrB,67.6875
Q72KP1_exbD,66.125
P61526_argG,58.28125
Q72HT1_TT_C1405,61.90625
Q72JG9_ecJ,67.0625
Q72H42_TT_C1653,68.375
Q9ZND9_hacB,57.78125
Q72JC9_leuA,50.21875
Q72K16_TT_C0602,67.9375
Q72KL8_thiE,65.5625
Q72L37_TT_C0226,68.1875
Q72K62_TT_C0465,68.375
Q746K1_TT_P0052,42.28125
Q72GL7_TT_C1831,67.625
Q72GQ9_TT_C1789,70.125
Q72JS5_queA,68.5625
Q72H19_tgt,64.875
Q72IQ5_trmFO,49.96875
P61661_hisB,60.0625
Q72LL0_fabH,38.78125
Q72JT0_aroE,66.5625
Q745V1_vapC,68.875
Q72K09_tetR,49.6875
Q72KR7_mqnA,66.6875
Q72JP8_TT_C0720,35.25
Q72H61_TT_C1634,65.5625
Q746F4_cas2b,68.3125
Q72JZ1_TT_C0627,39.1875
Q72KB7_rfaG,66.375
Q72L85_glyQS,31.71875
Q745V6_TT_P0199,65.0
Q72KR9_TT_C0422,67.125
Q72IZ9_nfi,67.8125
Q72GK0_TT_C1848,54.375
Q72JA4_potB,66.625
Q745Z0_TT_P0165,66.9375
Q72LA7_TT_C0152,63.5625
P96495_carB,31.234375
Q72JV1_TT_C0667,30.578125
Q8KZT3_icd,39.1875
Q72L61_TT_C0202,68.125
Q72GU1_TT_C1757,59.875
Q72JM8_TT_C0744,43.59375
Q72JV0_TT_C0668,69.1875
Q72IZ3_TT_C0988,69.0625
Q72LI4_yidC,68.3125
Q72H46_TT_C1649,57.84375
Q72HM0_TT_C1467,67.5625
Q72K74_prmA,65.875
Q72HN8_TT_C1448,60.90625
Q72GI8_nrdR,69.1875
Q72JJ3_TT_C0779,69.5
P61781_hisH,68.5
Q746L7_TT_P0036,75.3125
Q72K01_TT_C0617,76.875
Q72IJ9_TT_C1133,70.3125
Q72GP4_TT_C1804,67.0
Q72IC9_mqnD,66.9375
Q72IH9_purQ,67.75
Q746J6_TT_P0059,67.25
Q72L79_TT_C0181,35.75
Q745V3_TT_P0204,63.4375
Q72G93_TT_C1955,66.25
Q72J13_livM,56.9375
Q72KZ1_TT_C0274,53.71875
Q72JU7_rimM,68.75
Q72I26_map,62.625
Q72KN1_TT_C0376,58.65625
Q72GH8_TT_C1870,55.875
Q9WX77_,53.90625
Q72GU2_TT_C1756,63.78125
Q72JM0_TT_C0752,66.6875
Q72H98_pfkA,56.59375
Q72GZ0_carA,35.28125
Q72LL2_TT_C0047,53.6875
Q9F0S9_tmpR,67.1875
Q72HH6_TT_C1511,62.65625
Q72K12_paaC,41.5
Q72IY4_TT_C0997,50.90625
Q72KV7_TT_C0408,33.90625
Q72KW3_TT_C0401,67.8125
Q745U6_TT_P0211,57.84375
Q72JT2_TT_C0686,54.9375
Q746P7_cobT,52.90625
Q72LF6_acuB,76.0625
Q72KV5_TT_C0386,67.125
Q72IZ1_gyrA,61.59375
Q72II1_purC,59.0
Q72JE2_TT_C0830,61.46875
Q72HF4_glmS,32.625
Q72HM1_rny,67.625
Q72H23_TT_C1672,61.96875
Q72KT9_pyrR,52.40625
Q72GV7_TT_C1741,61.875
Q72L46_TT_C0217,66.75
Q72JU6_TT_C0672,67.5
Q72IA3_TT_C1229,66.5
Q72HZ3_TT_C1339,55.03125
Q72IF1_TT_C1181,68.0625
Q72KL4_TT_C0307,56.0
Q746H2_parB,67.8125
Q72L59_miaA,67.125
Q72K14_paaZ,53.625
Q72IP2_TT_C1090,56.28125
Q72KE3_TT_C0503,61.84375
Q746P6_TT_P0006,65.4375
Q72JE0_TT_C0832,67.375
Q72JI1_merR,70.5625
Q72GA4_TT_C1944,67.0625
Q746H9_TT_P0076,59.84375
Q72L63_TT_C0200,67.5
Q72LF5_TT_C0104,57.0
Q72KJ6_TT_C0438,68.3125
Q72GW5_TT_C1733,69.375
Q72HA9_argB,67.625
Q745X6_hmuT,50.625
Q746B8_TT_P0137,51.6875
Q746J3_TT_P0062,65.8125
Q72LI5_TT_C0074,68.9375
Q72J35_upp,55.5625
Q72J47_rpiA,67.25
Q72JU0_czrB,65.875
Q846D0_,68.5
Q72LD0_TT_C0129,67.1875
Q72KN9_thiG,48.65625
Q72LD1_glcE,66.75
P61494_leuB,57.4375
Q746G0_msrA,33.4375
Q72KC4_TT_C0523,67.4375
P62374_hisS,33.1875
Q72KN7_TT_C0371,63.59375
Q72LH0_cmk,67.125
Q72HZ7_ebsC,67.875
Q72J91_tsaD,66.75
Q746N6_TT_P0017,68.125
Q72KY1_TT_C0284,59.9375
Q72HZ2_TT_C1340,67.3125
Q72IX5_TT_C1006,68.375
Q72JG2_trkA,61.96875
Q72LC4_TT_C0135,56.96875
Q72KT0_TT_C0412,67.125
Q72L20_TT_C0243,65.9375
Q72JI7_TT_C0785,69.375
Q72IY1_TT_C1000,66.9375
Q72KR1_TT_C0457,59.71875
Q72LN8_TT_C0020,58.6875
Q72IA7_rplY,66.6875
Q72H54_TT_C1641,67.6875
Q72L70_TT_C0193,68.0625
Q72LK6_TT_C0053,67.9375
Q72IG1_TT_C1171,68.25
Q72KU1_pyrC,66.9375
Q72HL6_TT_C1471,67.375
Q746C2_cas5d,68.25
Q72JY1_TT_C0637,39.78125
Q72GZ6_TT_C1699,51.75
Q72J36_TT_C0945,70.625
Q72GF9_proS,52.53125
Q72I94_TT_C1238,59.375
Q72GI5_TT_C1863,66.3125
Q72GN0_TT_C1818,56.53125
Q72L82_TT_C0178,67.6875
Q72J40_TT_C0941,67.4375
Q72J55_TT_C0924,67.375
Q72KH0_TT_C0365,67.3125
Q72HY9_TT_C1343,67.0
Q746A0_TT_P0155,67.3125
Q746C0_TT_P0135,67.125
Q72HH2_phaN,64.75
Q72LP6_TT_C0012,77.5
Q72I90_TT_C1242,66.375
Q745W2_vapC,67.1875
Q72GZ7_TT_C1698,51.75
Q72L25_TT_C0238,67.5625
Q72GF2_TT_C1896,36.0625
Q72LM2_TT_C0036,69.0625
Q745V5_TT_P0200,69.0
Q745V4_TT_P0201,65.9375
Q72L24_tetR,66.3125
Q72GB7_topA,29.8125
Q8GBB2_trmI,67.0625
Q72IP3_TT_C1089,67.1875
P61496_phr,67.625
Q72GY9_fhs,84.9375
Q72H45_TT_C1650,61.71875
Q72GR1_TT_C1787,67.75
Q72I40_TT_C1292,58.71875
Q72IZ4_TT_C0987,52.46875
Q746F8_vapC,67.4375
Q72IH0_TT_C1162,66.3125
Q72IX9_TT_C1002,67.0625
Q72JJ7_rnj,36.0625
Q72KD3_TT_C0513,63.8125
Q72KB1_TT_C0536,72.0
Q72LA2_TT_C0157,65.75
Q72IE1_rnhA,61.34375
Q72GF4_moeA,66.6875
Q72G88_TT_C1960,62.90625
Q72HS0_panC,60.6875
Q72L05_ppc,66.25
Q72JB2_leuD,77.375
Q72GZ9_ruvA,68.3125
Q72JK2_TT_C0770,76.125
Q72L06_TT_C0259,67.25
Q72GB6_TT_C1932,68.5
Q72J73_atpB,59.6875
Q72KE2_dxr,68.5625
Q72H91_spo0C,44.875
Q93R93_lysJ,58.5625
Q72K24_TT_C0594,44.0
Q72II3_TT_C1149,57.5
Q72J86_TT_C0893,68.375
Q72JR3_TT_C0705,66.5
Q72JG3_trkG,67.5
P62453_hisF,38.46875
Q72JC8_ilvC,67.625
Q72IT6_soxC,66.75
Q72LQ1_TT_C0007,51.8125
Q72L68_ylmE,68.0
Q746C1_TT_P0134,69.75
Q72HV2_TT_C1382,69.0
Q72L58_gatA,67.5
Q72I39_rex,33.46875
Q72HK2_TT_C1485,68.4375
Q72JK7_TT_C0765,68.4375
Q72JM6_lon2,33.125
Q746P3_TT_P0010,67.5625
Q72KP8_TT_C0340,69.1875
Q72KT6_TT_C0431,67.4375
Q72IS8_TT_C1054,64.25
Q72L19_TT_C0245,65.5
Q746M9_TT_P0024,67.125
Q72J72_atpA,47.03125
Q72IL3_TT_C1119,66.4375
Q72JF4_trmJ,69.5
Q72L83_asd,64.375
Q72KB8_TT_C0529,51.3125
Q72KV8_TT_C0406,65.8125
Q72LJ6_TT_C0063,75.0625
