name,pred,sp,exp_tm
P61500_recA,55.75,T.thermophilus,72.06
Q72G97_recG,70.5,T.thermophilus,72.153
P62662_rpsB,32.34375,T.thermophilus,72.216
Q746P0_TT_P0013,21.765625,T.thermophilus,72.228
Q746N8_cbiX,68.25,T.thermophilus,72.234
Q72H90_soj,30.859375,T.thermophilus,72.258
Q72LP8_TT_C0010,40.03125,T.thermophilus,72.269
Q72JA0_minD,30.59375,T.thermophilus,72.273
Q72L65_hflX,40.5625,T.thermophilus,72.276
Q72L52_TT_C0211,31.90625,T.thermophilus,72.283
Q72JN6_TT_C0734,28.703125,T.thermophilus,72.316
Q72I41_TT_C1291,36.0625,T.thermophilus,72.328
Q72JQ4_TT_C0714,44.0625,T.thermophilus,72.33
Q72JG1_rimO,81.875,T.thermophilus,72.356
Q72KY6_TT_C0279,29.484375,T.thermophilus,72.378
Q72LK3_TT_C0056,67.375,T.thermophilus,72.379
Q72LH6_livF,89.25,T.thermophilus,72.441
Q72J57_TT_C0922,61.65625,T.thermophilus,72.471
Q72GX5_pstB,29.390625,T.thermophilus,72.472
Q72HC1_rlmN,33.96875,T.thermophilus,72.512
Q72IH8_TT_C1154,29.171875,T.thermophilus,72.547
Q72IZ8_TT_C0983,58.96875,T.thermophilus,72.562
Q72I16_rplE,29.96875,T.thermophilus,72.567
P61941_rpsL,22.46875,T.thermophilus,72.573
P62663_rpsC,62.9375,T.thermophilus,72.621
Q72KA4_TT_C0543,70.9375,T.thermophilus,72.621
Q72LA0_TT_C0159,72.875,T.thermophilus,72.623
Q72J11_livF,35.09375,T.thermophilus,72.658
P61537_ruvB,43.875,T.thermophilus,72.665
Q72L33_TT_C0230,66.5625,T.thermophilus,72.691
Q72J12_livG,40.34375,T.thermophilus,72.734
Q72GG8_TT_C1880,28.265625,T.thermophilus,72.752
Q72IJ8_TT_C1134,63.84375,T.thermophilus,72.86
Q72J51_ftsE,29.84375,T.thermophilus,72.886
Q72J39_miaB,29.609375,T.thermophilus,72.972
Q72KZ4_TT_C0271,32.40625,T.thermophilus,73.132
Q72I11_rplP,33.90625,T.thermophilus,73.157
Q72GI4_dcd,74.0625,T.thermophilus,73.294
Q72I12_rpmC,36.125,T.thermophilus,73.338
Q72KT1_TT_C0411,79.0,T.thermophilus,73.343
Q72L15_clpP,40.3125,T.thermophilus,73.347
Q72HM2_mreB,68.875,T.thermophilus,73.349
Q72IY3_TT_C0998,45.625,T.thermophilus,73.418
Q72HV0_plsX,28.921875,T.thermophilus,73.469
Q72KC1_TT_C0526,29.640625,T.thermophilus,73.486
Q72L74_plsY,68.1875,T.thermophilus,73.558
Q745Z3_TT_P0162,29.46875,T.thermophilus,73.594
Q72K96_TT_C0551,32.8125,T.thermophilus,73.624
Q72I53_metK,55.03125,T.thermophilus,73.648
Q72IN7_TT_C1095,66.1875,T.thermophilus,73.667
Q72GJ7_phoU,61.5,T.thermophilus,73.693
Q72I54_TT_C1278,62.34375,T.thermophilus,73.702
Q72JC6_TT_C0852,66.875,T.thermophilus,73.707
Q72K93_rnr,79.8125,T.thermophilus,73.717
P62657_rpsO,33.625,T.thermophilus,73.801
Q72JC7_TT_C0851,28.8125,T.thermophilus,73.932
Q72HG4_TT_C1523,72.5,T.thermophilus,74.007
P62668_rpsH,50.75,T.thermophilus,74.105
Q72LF7_appF,35.3125,T.thermophilus,74.211
Q72KN4_TT_C0377,54.15625,T.thermophilus,74.219
Q72JH7_TT_C0795,40.21875,T.thermophilus,74.223
Q72HQ8_TT_C1428,57.4375,T.thermophilus,74.253
Q72GX4_pstA,37.96875,T.thermophilus,74.329
Q72J58_TT_C0921,53.6875,T.thermophilus,74.333
Q72K85_mnmE,80.0,T.thermophilus,74.34
P61989_cbiD,24.8125,T.thermophilus,74.514
Q72HI3_TT_C1504,60.6875,T.thermophilus,74.517
Q72J29_TT_C0952,78.25,T.thermophilus,74.567
Q746D0_TT_P0125,66.6875,T.thermophilus,74.57
Q72IW1_aroB,72.625,T.thermophilus,74.594
Q72IH2_glyA,66.8125,T.thermophilus,74.619
Q72JU9_rplS,30.1875,T.thermophilus,74.62
Q72G84_rpmB,33.96875,T.thermophilus,74.63
Q72GX1_mnmA,78.0625,T.thermophilus,74.642
Q746A1_TT_P0154,40.3125,T.thermophilus,74.656
Q72KB4_mfd,70.5,T.thermophilus,74.665
Q72JZ8_nadA,21.78125,T.thermophilus,74.775
Q72H76_purM,37.53125,T.thermophilus,74.781
Q72I07_rplB,28.40625,T.thermophilus,74.798
Q72LH3_TT_C0086,25.609375,T.thermophilus,74.877
Q72L86_clpA,70.5625,T.thermophilus,74.889
Q72KZ7_chlI,43.96875,T.thermophilus,74.892
