name,pred,exp_tm
CSP_ind_0,29.34375,40.0
CSP_ind_1,74.25,81.5
CSP_ind_2,66.3125,79.0
CSP_ind_3,31.03125,60.0
CSP_ind_4,33.375,62.0
CSP_ind_5,32.5,53.8
CSP_ind_6,48.625,76.9
CSP_ind_7,33.25,58.4
CSP_ind_8,32.53125,61.0
CSP_ind_9,33.03125,59.8
CSP_ind_10,66.25,76.0
CSP_ind_12,32.78125,64.2
CSP_ind_13,34.8125,77.0
CSP_ind_14,33.40625,69.5
CSP_ind_15,32.375,83.7
CSP_ind_16,33.8125,61.1
CSP_ind_17,31.609375,75.7
CSP_ind_18,31.890625,85.0
CSP_ind_19,31.4375,74.7
CSP_ind_20,31.75,50.7
CSP_ind_21,39.1875,82.2
CSP_ind_22,32.5625,70.1
CSP_ind_23,32.0625,75.1
CSP_ind_24,33.40625,63.1
CSP_ind_25,34.78125,70.4
CSP_ind_26,35.75,69.6
CSP_ind_27,33.46875,64.0
CSP_ind_28,33.90625,64.6
CSP_ind_29,32.65625,49.1
CSP_ind_30,34.4375,51.3
CSP_ind_31,34.4375,60.2
CSP_ind_32,34.875,65.6
CSP_ind_33,34.125,61.9
CSP_ind_34,33.65625,57.1
CSP_ind_35,36.1875,74.6
CSP_ind_36,33.40625,69.2
CSP_ind_37,34.15625,73.2
CSP_ind_38,31.5625,71.8
CSP_ind_39,41.21875,74.5
CSP_ind_40,33.4375,78.1
CSP_ind_41,44.25,70.8
CSP_ind_42,37.34375,85.6
CSP_ind_43,35.375,69.3
CSP_ind_44,32.40625,54.7
CSP_ind_45,35.5,70.7
CSP_ind_46,35.875,71.2
CSP_ind_47,34.28125,69.4
CSP_ind_48,34.71875,69.9
CSP_ind_49,31.6875,48.6
CSP_ind_50,32.90625,62.2
CSP_ind_51,31.75,57.9
CSP_ind_52,35.34375,67.6
CSP_ind_53,36.5,69.7
CSP_ind_54,44.5,77.0
CSP_ind_55,33.71875,61.5
CSP_ind_56,34.03125,62.7
CSP_ind_57,34.5,51.8
CSP_ind_58,32.21875,59.9
CSP_ind_59,32.375,68.8
CSP_ind_60,30.484375,62.4
CSP_ind_61,33.21875,66.7
CSP_ind_62,33.6875,66.4
CSP_ind_63,33.375,64.4
CSP_ind_64,33.09375,66.8
CSP_ind_65,40.21875,73.5
CSP_ind_66,48.90625,74.0
CSP_ind_67,52.875,75.4
CSP_ind_68,56.78125,77.7
CSP_ind_69,43.84375,76.0
CSP_ind_70,49.78125,73.5
CSP_ind_71,56.8125,74.4
CSP_ind_72,30.953125,63.0
CSP_ind_73,32.8125,56.0
CSP_ind_74,30.90625,63.0
CSP_ind_75,54.65625,80.9
CSP_ind_76,31.578125,59.1
CSP_ind_77,32.03125,60.0
CSP_ind_78,32.59375,64.6
CSP_ind_79,31.828125,44.6
CSP_ind_80,32.28125,50.3
CSP_ind_81,33.03125,70.9
CSP_ind_82,36.90625,76.1
CSP_ind_83,32.6875,64.9
CSP_ind_84,52.625,79.2
CSP_ind_85,37.4375,76.7
CSP_ind_86,44.90625,75.0
CSP_ind_87,42.3125,74.7
CSP_ind_88,39.0,75.9
CSP_ind_89,41.6875,77.8
CSP_ind_90,47.5625,77.8
CSP_ind_91,37.71875,75.4
CSP_ind_92,37.25,68.0
CSP_ind_93,42.34375,75.0
CSP_ind_94,43.28125,76.1
CSP_ind_95,42.84375,75.1
CSP_ind_96,37.96875,66.6
CSP_ind_97,41.09375,68.9
CSP_ind_98,52.90625,76.9
