name,pred,exp_tm
6IBB,34.375,72.12
5MP2,36.21875,70.27
6XW6,36.125,66.07
7BC6,36.15625,63.0
5MY6,35.375,74.28
6SC5,36.21875,65.24
6RTW,36.03125,64.21
1ZVY,34.625,65.1
7DSS,35.53125,67.53
7AZB,35.59375,59.91
5IP4,35.9375,63.24
3K81,38.46875,64.1
3QXV,35.8125,67.24
6RL7,35.96875,72.09
5L21,35.4375,66.86
6DBD,34.90625,65.6
7NQA,33.9375,65.87
6UI1,34.03125,67.83
6X05,35.625,66.67
7B27,35.5625,65.74
1BZQ_NbThermo.00491,36.0625,70.11
1JTO_NbThermo.00112,35.53125,67.01
1KXT,35.625,57.85
1KXV,31.015625,56.99
1QD0,36.09375,66.56
1RI8,36.78125,78.14
2BSE,35.71875,75.23
2X6M,35.34375,67.13
3DWT_NbThermo.00113_NbThermo.00133,35.875,77.72
3EBA,36.5625,86.21
3G9A,33.3125,66.55
3J69,34.9375,66.03
3J6A,35.96875,69.02
3P9W,36.78125,60.0
3SN6,36.53125,60.26
4B5E,36.53125,61.66
4C57,33.71875,63.78
4I0C,34.40625,75.79
4I13,35.9375,65.39
4IDL,35.21875,53.76
4LJP,35.15625,71.72
4LJS,36.09375,72.49
4QGY,36.375,74.65
4YGA,34.8125,73.41
4Z9K_NbThermo.00231,35.96875,73.49
5C1M,35.09375,61.35
5FOJ,33.96875,70.81
5J56,36.0625,73.74
5KU2,34.3125,55.16
5M2M,36.0,74.98
5NM0,35.0,72.73
5O03,36.3125,69.2
5OCL,36.75,71.69
5OVW,35.34375,76.47
5TD8,36.34375,66.55
5TJW,35.96875,66.25
5U64,36.28125,73.39
5VLV,34.5625,69.62
5VM4,32.84375,72.93
5VXK,36.125,65.75
6CK8,35.75,66.66
6EQI,35.90625,62.47
6FYU,36.5625,64.58
6GWN,36.0625,64.42
6HEQ,35.75,60.61
6HHU,36.21875,70.29
6I2G,35.28125,61.03
6I8H,35.28125,66.04
6ITP,34.96875,68.38
6KNM,35.625,69.42
6KSN,35.75,63.03
6OBC,35.96875,64.04
6OQ5,36.15625,65.81
6OS1,35.96875,71.54
6QKD,35.9375,69.2
6QV1,36.09375,63.83
6RAF,35.6875,86.19
6U12,34.78125,61.28
6U50,35.59375,57.07
6U53,35.6875,65.19
6X02,35.65625,76.46
6X03,33.96875,66.97
6XXN,36.46875,80.66
7B18,36.59375,66.14
7E9G,36.0,59.28
7JVB_NbThermo.00028,35.9375,72.91
7KBI,36.28125,63.45
7MJH,35.9375,59.64
7MY3,35.15625,60.89
7NQK,35.96875,66.46
7OAN,34.4375,67.55
7OAP,35.53125,69.0
7OLZ,35.96875,68.79
sdAb.4875,34.875,84.2
7KGJ,38.71875,61.6
NbPep1_NbThermo.00045,36.1875,71.86
NbPep2_NbThermo.00046,35.625,76.13
NbD1_NbThermo.00047,35.1875,65.94
NbPep3_NbThermo.00048,35.75,60.68
NbPep4_NbThermo.00049,34.65625,67.33
NbD9_NbThermo.00050,36.03125,63.12
NbD8_NbThermo.00051,36.25,57.2
NbPep5_NbThermo.00052,36.625,70.44
NbPep7_NbThermo.00054,36.03125,68.49
NbD6_NbThermo.00056,34.1875,70.75
NbPep9_NbThermo.00057,36.65625,72.41
NbPep13_NbThermo.00061,35.40625,69.19
NbPep14_NbThermo.00062,35.8125,72.02
NbPep15_NbThermo.00063,33.15625,67.08
NbPep16_NbThermo.00064,36.15625,74.44
NbPep17_NbThermo.00065,35.78125,71.28
NbPep18_NbThermo.00066,34.5,70.65
NbD4_NbThermo.00069,35.21875,57.46
NbD3_NbThermo.00085,34.5,68.48
NbD2_NbThermo.00086,36.21875,66.53
NbD5_NbThermo.00087,36.40625,58.19
NbPep47_NbThermo.00095,36.3125,67.06
NbPep50_NbThermo.00096,36.21875,62.39
NbPep51_NbThermo.00097,34.28125,72.45
NbPep52_NbThermo.00098,35.21875,59.0
NbPep10_NbThermo.00058,35.15625,84.58
NbPep11_NbThermo.00059,35.8125,68.0
NbPep12_NbThermo.00060,36.59375,68.57
NbPep19_NbThermo.00067,36.125,71.43
NbD12_NbThermo.00070,36.28125,61.46
NbPep21_NbThermo.00071,36.625,68.73
NbPep22_NbThermo.00072,35.71875,69.54
NbPep23_NbThermo.00073,34.6875,69.63
NbPep24_NbThermo.00074,34.0,76.09
NbPep25_NbThermo.00075,34.4375,68.33
NbD10_NbThermo.00076,35.21875,59.54
NbPep26_NbThermo.00077,36.03125,72.88
NbPep27_NbThermo.00078,36.5,85.8
NbPep28_NbThermo.00079,35.90625,63.9
NbPep29_NbThermo.00080,35.03125,55.1
NbPep30_NbThermo.00081,33.8125,75.95
NbPep31_NbThermo.00082,36.3125,62.82
NbPep32_NbThermo.00083,33.46875,58.85
NbPep33_NbThermo.00084,34.625,74.37
NbD11_NbThermo.00088,33.71875,60.24
NbPep34_NbThermo.00089,34.03125,71.37
NbPep35_NbThermo.00090,36.40625,70.51
NbPep36_NbThermo.00091,36.5625,74.55
NbPep37_NbThermo.00092,36.34375,72.37
NbPep38_NbThermo.00093,35.125,79.74
NbPep39_NbThermo.00094,36.1875,76.28
NbPep55_NbThermo.00101,36.5,75.68
NbPep57_NbThermo.00103,34.96875,71.72
NbPep60_NbThermo.00104,36.78125,79.41
NbPep61_NbThermo.00105,36.3125,74.55
NbPep62_NbThermo.00106,36.1875,74.65
NbPep64_NbThermo.00107,35.5625,74.55
NbPep65_NbThermo.00108,36.46875,73.88
NbPep66_NbThermo.00109,36.375,66.96
NbPep67,36.34375,59.64
NbPep68_NbThermo.00110,35.875,68.23
NbPep69_NbThermo.00111,36.125,63.57
NbPep54_NbThermo.00100,36.46875,76.58
NbPep56_NbThermo.00102,36.28125,74.08
1.1yc7_NbThermo.00141_NbThermo.00149,36.0625,70.94
2.4u05_NbThermo.00372,36.375,83.44
3.6ul4,34.4375,70.59
4.Nb24,35.65625,64.97
5.Nb24.H,36.46875,68.38
6.Nb24.HR,36.71875,72.1
7.Nb24.B,36.46875,69.74
8.Nb24.BR,36.71875,75.84
9.Nb24.L,36.46875,66.87
10.mNb6.H,36.78125,62.59
11.mNb6.B,37.0,60.6
12.mNb6.BR,37.15625,61.8
14.mNb6.L2,36.71875,55.42
15.C1.K,36.5,74.83
16.C1.I,36.46875,73.58
17.aGFP_NbThermo.00144_NbThermo.00279,36.40625,67.64
19.1mel.T28C,35.5,57.61
26.HET.A111C,37.96875,75.13
27.HET.A112C,38.8125,74.59
29.K9.A112C,38.03125,74.05
30.PL,36.84375,75.65
31.QP,36.78125,77.74
32.aS49,37.65625,75.72
33.aS46,37.78125,77.59
34.P2,36.71875,78.34
35.C1,36.46875,77.06
36.mNb6,36.625,55.31
37.CT1,36.53125,53.44
38.NB201,37.0,73.46
39.Nb24.G114C,35.78125,56.4
40.P1T,36.4375,82.41
43.C2T,36.53125,78.69
44.T2T,36.46875,78.38
45.D3,36.15625,70.15
NbThermo.00001,36.96875,67.5
NbThermo.00003,36.96875,62.0
NbThermo.00005,35.125,70.0
NbThermo.00011,36.0625,67.5
NbThermo.00015,36.84375,54.4
NbThermo.00016,40.09375,56.5
NbThermo.00017,38.09375,62.1
NbThermo.00018,36.8125,78.4
NbThermo.00019,35.8125,72.3
NbThermo.00020,36.53125,75.44
NbThermo.00021,35.90625,73.37
NbThermo.00022,35.375,78.98
NbThermo.00023,36.625,71.26
NbThermo.00024,36.53125,98.23
NbThermo.00025,36.8125,71.07
NbThermo.00026,36.75,66.9
NbThermo.00027,36.625,67.6
NbThermo.00029,36.375,72.8
NbThermo.00030,34.46875,65.9
NbThermo.00031,36.1875,74.4
NbThermo.00032,35.5625,57.9
NbThermo.00033,33.9375,57.9
NbThermo.00034,34.34375,49.6
NbThermo.00035,34.375,75.6
NbThermo.00036,33.5625,51.8
NbThermo.00039,35.71875,54.5
NbThermo.00040,36.28125,58.0
NbThermo.00041,34.75,58.0
NbThermo.00042,35.1875,53.0
NbThermo.00043,35.375,58.0
NbThermo.00044,36.5625,68.0
NbThermo.00099,35.28125,69.47366501
NbThermo.00114,35.375,62.0
NbThermo.00115,30.953125,68.0
NbThermo.00116_NbThermo.00130,35.75,77.85
NbThermo.00117,36.625,60.0
