name,pred,exp_tm
WP_068424237.1,28.125,42.7
WP_229068674.1,29.1875,67.3
MGYP001121581011,40.15625,74.2
WP_085753242.1,28.859375,49.3
WP_103564847.1,28.546875,53.8
WP_240508704.1,28.796875,57.4
RAY11579.1,30.421875,69.4
WP_230616214.1,28.421875,73.9
MGYP000271253724,28.9375,63.4
NUT34383.1,28.171875,48.7
WP_139580723.1,29.125,68.5
MBT8227529.1,28.75,47.5
MGYP001097842225,29.515625,59.2
WP_242883606.1,28.484375,69.1
WP_231775152.1,28.640625,45.7
WP_231443412.1,29.296875,42.7
WP_221382552.1,29.4375,59.8
WP_218617243.1,29.015625,60.1
OAA20861.1,28.390625,43.0
WP_019629726.1,27.859375,46.6
KAA1376628.1,28.234375,35.8
MBX3624429.1,29.0,56.2
MGYP001149455765,30.890625,68.8
WP_184682765.1,29.453125,59.5
MBB5966108.1,28.828125,39.1
WP_077315388.1,29.90625,45.7
ACV09511,30.875,42.4
WP_085750434.1,30.828125,47.8
WP_166054040.1,28.0625,49.9
WP_042734330.1,25.25,60.4
WP_203674568.1,28.421875,44.2
WP_084693247.1,30.46875,68.8
TDP67440,28.90625,46.9
WP_201805840.1,29.25,44.5
WP_233427406.1,28.546875,40.3
MGYP001489421514,28.984375,56.2
OKI36454.1,27.859375,58.0
MBJ7347705.1,28.171875,63.1
WP_119729924.1,29.65625,43.9
WP_035284691,28.15625,51.7
WP_187224800.1,28.375,49.6
MGYP000221121644,29.609375,57.1
WP_129786244.1,28.734375,52.0
WP_130342639,28.0625,50.5
WP_199827708.1,29.046875,66.1
WP_228771581.1,28.421875,66.1
WP_194636445.1,28.8125,47.5
WP_114422580.1,27.96875,65.8
WP_203733135.1,27.390625,61.9
WP_233872418.1,30.515625,51.4
WP_103564314,27.796875,46.9
WP_103935912.1,28.671875,49.3
SCE72613.1,28.140625,40.6
WP_261809161.1,32.46875,46.3
WP_013736455.1,30.453125,63.1
WP_164449727.1,29.578125,62.8
MXX05622.1,31.84375,52.3
MGYP002620941758,28.609375,69.1
MBN1171866.1,28.734375,64.3
MBO9569276.1,28.484375,55.6
MGYP001498898836,29.234375,67.6
MBN1575504.1,37.5625,64.6
GGY18408.1,28.625,51.4
WP_151469820.1,28.453125,33.4
GIG90696.1,29.328125,60.4
WCH76321.1,29.328125,73.9
WP_132265752.1,28.453125,64.0
MGYP001195032839,29.40625,30.7
WP_109639600.1,28.203125,57.7
GGO06455.1,29.015625,51.4
WP_132413760.1,28.296875,69.7
MGYP001477358452,30.515625,54.1
WP_260709492.1,28.09375,60.7
WP_079085207.1,28.0,56.8
MGYP001369932055,20.3125,69.1
MCB1670591.1,29.03125,53.5
MGYP001481302102,29.0,53.8
MBN1366053.1,33.96875,50.8
MGYP001473616946,18.859375,69.1
WP_264933993.1,28.3125,61.0
MBP7765893.1,29.125,69.1
MBE1573625.1,28.046875,40.6
MGYP000861817556,29.0625,67.9
WP_071091307.1,28.5,40.3
MGYP006125138823,20.15625,68.5
WP_256510026.1,28.703125,54.4
WP_249044522.1,27.859375,50.8
WP_119728035.1,28.125,46.9
WP_229874892.1,29.171875,44.2
WP_086599340.1,28.390625,64.6
MBN2738032.1,35.96875,51.7
WP_225255694.1,28.578125,41.5
WP_252811421.1,29.078125,43.9
SOD43347.1,28.71875,54.1
WP_236244959.1,28.453125,36.1
