name,pred,exp_tm
1,28.0625,34.8
2,30.765625,39.8
3,28.1875,41.5
4,36.71875,41.6
5,34.25,42.1
6,27.421875,43.2
7,31.09375,43.7
8,31.09375,44.2
9,30.71875,44.5
10,29.5,44.6
11,28.578125,45.0
12,21.828125,45.8
13,35.75,46.0
14,35.6875,46.5
15,28.578125,46.7
16,29.453125,47.0
17,30.515625,47.6
18,34.25,47.8
19,28.359375,48.0
20,28.625,48.3
21,25.90625,49.2
22,32.28125,49.2
23,35.78125,49.3
24,27.015625,49.3
25,33.15625,49.6
26,33.71875,50.4
27,27.375,50.5
28,29.359375,51.0
29,35.875,51.0
30,33.125,51.0
31,29.390625,51.0
32,35.875,52.5
33,27.0,51.4
34,28.234375,51.5
35,36.53125,51.5
36,35.03125,51.5
37,26.34375,51.9
38,23.578125,52.0
39,24.59375,52.1
40,35.84375,52.1
41,35.90625,52.3
42,22.59375,52.5
43,29.0625,52.6
44,28.890625,52.6
45,36.6875,52.7
46,33.65625,52.9
47,33.34375,53.0
48,28.28125,53.0
49,34.875,53.2
50,20.109375,53.6
51,35.6875,53.6
52,29.078125,53.7
53,32.5,53.8
54,24.828125,53.9
55,34.5625,53.9
56,22.59375,54.0
57,29.703125,54.0
58,25.5625,54.4
59,24.953125,54.6
60,35.875,54.6
61,28.59375,55.0
62,29.6875,56.0
63,23.9375,56.2
64,29.0625,56.5
65,36.8125,56.7
66,33.21875,56.9
67,36.46875,57.0
68,25.625,57.1
69,35.28125,57.1
70,32.6875,57.1
71,35.875,57.2
72,28.875,57.3
73,24.53125,57.4
74,29.6875,57.5
75,34.25,57.5
76,24.296875,57.7
77,27.953125,57.8
78,35.53125,57.9
79,35.8125,58.0
80,35.625,58.0
81,30.03125,58.5
82,28.109375,58.9
83,28.515625,59.0
84,20.796875,59.0
85,30.203125,59.0
86,25.703125,59.0
88,35.84375,59.5
89,20.796875,60.0
90,22.8125,60.0
91,35.0,60.6
92,27.34375,60.9
93,36.4375,61.0
94,36.25,61.2
95,29.140625,61.4
96,36.46875,61.4
97,28.453125,62.0
98,36.25,62.2
99,24.421875,62.5
100,24.421875,62.7
101,35.78125,63.0
102,28.203125,63.1
103,33.375,63.2
104,32.25,63.5
105,28.421875,63.6
106,38.875,63.7
107,25.4375,64.0
108,29.859375,64.3
109,23.328125,64.4
110,36.9375,64.6
111,33.28125,64.7
112,27.390625,64.9
113,25.375,64.9
114,37.53125,64.9
115,29.796875,65.0
116,30.34375,65.0
117,30.03125,65.0
118,32.34375,65.1
119,35.625,65.2
120,30.6875,65.5
121,32.625,66.0
122,36.3125,66.0
123,28.4375,66.0
124,57.03125,66.2
125,37.71875,66.2
126,35.71875,66.4
127,26.203125,66.6
128,31.671875,66.7
129,25.25,66.9
130,30.4375,67.0
131,24.0,67.0
132,29.296875,67.2
133,35.625,67.6
134,30.625,67.7
135,33.71875,68.5
137,28.5625,68.7
138,41.34375,68.9
139,34.4375,69.0
140,33.03125,69.0
141,29.875,69.8
142,30.203125,69.2
143,27.53125,69.6
144,31.875,70.0
145,58.8125,70.0
146,24.921875,70.0
147,35.53125,70.2
148,31.671875,70.2
149,58.0625,70.4
150,35.1875,70.6
151,34.625,70.7
152,23.875,71.0
153,34.96875,71.2
154,29.125,71.2
155,28.71875,72.0
156,37.34375,72.4
157,54.25,72.9
158,34.6875,73.0
159,31.34375,73.3
160,36.03125,73.9
161,34.65625,74.0
162,32.8125,74.3
163,30.765625,75.5
164,25.8125,76.0
165,35.65625,76.8
166,48.625,76.9
167,38.375,77.6
168,28.125,78.0
169,32.40625,78.0
170,25.578125,78.3
171,36.125,79.4
172,66.0625,79.4
173,36.9375,79.4
174,35.59375,79.5
175,29.8125,80.1
176,30.296875,80.2
177,36.25,80.2
178,49.78125,80.8
179,26.96875,81.6
180,34.25,82.0
181,24.65625,82.2
182,35.1875,84.3
183,24.125,84.8
184,26.390625,85.2
185,80.75,85.2
186,29.53125,85.8
187,35.90625,85.9
188,75.375,86.0
189,36.21875,86.0
190,30.09375,86.5
191,53.0625,87.5
192,30.65625,87.5
193,28.5,87.8
194,33.6875,88.0
195,67.125,88.0
196,36.46875,88.3
197,66.75,89.0
198,23.15625,90.0
199,29.234375,90.0
200,25.390625,90.1
201,35.5,90.3
202,77.125,90.3
203,69.9375,91.0
204,53.875,91.0
205,83.0,93.8
206,72.0625,94.9
207,76.125,98.6
208,77.5625,99.0
209,80.8125,99.0
210,77.5,100.8
211,68.25,100.9
212,36.875,104.3
213,35.28125,104.5
214,37.21875,108.0
215,30.78125,108.0
216,82.0625,111.5
217,70.8125,112.7
218,84.6875,114.5
219,83.1875,120.1
220,34.25,121.6
221,79.1875,143.8
222,80.375,148.5
1MBG,28.9375,39.3
1DO9,23.515625,48.5
1CX1,29.265625,49.4
1PRR,29.625,52.6
1ACP,35.65625,52.7
1LS4,32.53125,53.0
1APC,36.0625,54.0
1EXG,30.28125,56.4
1BUJ,29.765625,56.5
1AG4,29.46875,57.9
1BUY,36.8125,60.6
1HCD,26.390625,61.7
1LCD,31.96875,65.0
1QND,24.5625,70.5
1OTR,27.078125,71.2
1HYW,35.15625,71.7
1BTA,31.0625,72.0
1TIT,28.8125,73.0
1DEC,25.296875,74.0
2M3T,30.5625,75.0
1K42,46.90625,75.8
3AIT,28.515625,81.6
1G6P,74.25,82.0
1COK,25.84375,93.5
1DVC,28.265625,94.5
1BFM,77.6875,101.0
