name,pred,exp_tm
CSP_ind_0,49.98738098144531,40.0
CSP_ind_1,57.61160659790039,81.5
CSP_ind_2,54.265018463134766,79.0
CSP_ind_3,48.69919967651367,60.0
CSP_ind_4,51.357260386149086,62.0
CSP_ind_5,50.62533950805664,53.8
CSP_ind_6,52.84507242838541,76.9
CSP_ind_7,56.60888926188151,58.4
CSP_ind_8,63.08966573079427,61.0
CSP_ind_9,63.19472885131836,59.8
CSP_ind_10,62.44591267903646,76.0
CSP_ind_12,54.25260798136393,64.2
CSP_ind_13,53.69898859659831,77.0
CSP_ind_14,54.111184438069664,69.5
CSP_ind_15,55.2391611735026,83.7
CSP_ind_16,53.410420735677086,61.1
CSP_ind_17,54.87089538574219,75.7
CSP_ind_18,55.485575358072914,85.0
CSP_ind_19,54.453024546305336,74.7
CSP_ind_20,52.70207977294922,50.7
CSP_ind_21,54.36245091756185,82.2
CSP_ind_22,53.13400522867838,70.1
CSP_ind_23,54.62806701660156,75.1
CSP_ind_24,49.99984995524088,63.1
CSP_ind_25,49.59049987792969,70.4
CSP_ind_26,52.01271438598633,69.6
CSP_ind_27,50.27820078531901,64.0
CSP_ind_28,49.36797459920248,64.6
CSP_ind_29,50.79362487792969,49.1
CSP_ind_30,51.10964075724284,51.3
CSP_ind_31,50.36851119995117,60.2
CSP_ind_32,50.612894694010414,65.6
CSP_ind_33,50.16947937011719,61.9
CSP_ind_34,51.32948303222656,57.1
CSP_ind_35,52.857014973958336,74.6
CSP_ind_36,50.97196451822917,69.2
CSP_ind_37,50.88725662231445,73.2
CSP_ind_38,50.25781885782877,71.8
CSP_ind_39,53.974500020345054,74.5
CSP_ind_40,52.009020487467446,78.1
CSP_ind_41,55.27466837565104,70.8
CSP_ind_42,51.50073496500651,85.6
CSP_ind_43,50.31851069132487,69.3
CSP_ind_44,50.328739166259766,54.7
CSP_ind_45,52.34125773111979,70.7
CSP_ind_46,50.96378453572592,71.2
CSP_ind_47,50.77598826090495,69.4
CSP_ind_48,52.03351847330729,69.9
CSP_ind_49,50.34330622355143,48.6
CSP_ind_50,50.03384908040365,62.2
CSP_ind_51,49.94555028279623,57.9
CSP_ind_52,50.82760111490885,67.6
CSP_ind_53,52.986114501953125,69.7
CSP_ind_54,54.45279057820638,77.0
CSP_ind_55,50.956286112467446,61.5
CSP_ind_56,52.38576889038086,62.7
CSP_ind_57,52.45425287882487,51.8
CSP_ind_58,51.76486333211263,59.9
CSP_ind_59,52.96574020385742,68.8
CSP_ind_60,51.40969594319662,62.4
CSP_ind_61,50.40692901611328,66.7
CSP_ind_62,51.05404408772787,66.4
CSP_ind_63,51.23616282145182,64.4
CSP_ind_64,51.09887568155924,66.8
CSP_ind_65,52.33444341023763,73.5
CSP_ind_66,52.61326217651367,74.0
CSP_ind_67,52.60536702473959,75.4
CSP_ind_68,53.68372599283854,77.7
CSP_ind_69,52.46559143066406,76.0
CSP_ind_70,53.59401067097982,73.5
CSP_ind_71,52.43459955851237,74.4
CSP_ind_72,49.83257675170898,63.0
CSP_ind_73,48.76159159342448,56.0
CSP_ind_74,48.75740178426107,63.0
CSP_ind_75,53.91409683227539,80.9
CSP_ind_76,51.35763168334961,59.1
CSP_ind_77,52.14476776123047,60.0
CSP_ind_78,51.65681711832682,64.6
CSP_ind_79,49.491004943847656,44.6
CSP_ind_80,49.74970118204752,50.3
CSP_ind_81,50.10039520263672,70.9
CSP_ind_82,50.79440434773763,76.1
CSP_ind_83,50.59073130289713,64.9
CSP_ind_84,53.18295160929362,79.2
CSP_ind_85,52.21587244669596,76.7
CSP_ind_86,52.90100606282552,75.0
CSP_ind_87,51.20396296183268,74.7
CSP_ind_88,51.261895497639976,75.9
CSP_ind_89,52.88470331827799,77.8
CSP_ind_90,52.29236857096354,77.8
CSP_ind_91,52.4365603129069,75.4
CSP_ind_92,50.70690663655599,68.0
CSP_ind_93,52.48715845743815,75.0
CSP_ind_94,53.49198277791341,76.1
CSP_ind_95,52.241676330566406,75.1
CSP_ind_96,51.9391975402832,66.6
CSP_ind_97,51.06089655558268,68.9
CSP_ind_98,53.00472895304362,76.9
