name,pred,exp_tm
6IBB,54.51104482014974,72.12
5MP2,53.056723276774086,70.27
6XW6,52.668932596842446,66.07
7BC6,53.59049479166666,63.0
5MY6,53.95287195841471,74.28
6SC5,53.411492665608726,65.24
6RTW,52.87574513753256,64.21
1ZVY,52.359029134114586,65.1
7DSS,52.90106455485026,67.53
7AZB,52.75903574625651,59.91
5IP4,52.98711013793945,63.24
3K81,52.9789187113444,64.1
3QXV,54.30156326293945,67.24
6RL7,54.73975372314453,72.09
5L21,52.91886647542318,66.86
6DBD,52.556396484375,65.6
7NQA,53.51504389444987,65.87
6UI1,52.95829772949219,67.83
6X05,53.32356262207031,66.67
7B27,53.57598622639974,65.74
1BZQ_NbThermo.00491,53.066122690836586,70.11
1JTO_NbThermo.00112,52.66014607747396,67.01
1KXT,53.43830362955729,57.85
1KXV,52.27246602376302,56.99
1QD0,54.0484619140625,66.56
1RI8,51.643995920817055,78.14
2BSE,53.57499186197917,75.23
2X6M,52.995855967203774,67.13
3DWT_NbThermo.00113_NbThermo.00133,53.70613225301107,77.72
3EBA,52.78121566772461,86.21
3G9A,53.33089065551758,66.55
3J69,52.96698633829752,66.03
3J6A,53.14746729532877,69.02
3P9W,53.59927876790365,60.0
3SN6,54.121826171875,60.26
4B5E,54.22201410929362,61.66
4C57,52.52405293782552,63.78
4I0C,54.10117721557617,75.79
4I13,53.26775360107422,65.39
4IDL,50.887072245279946,53.76
4LJP,53.5571543375651,71.72
4LJS,52.6736577351888,72.49
4QGY,52.8466059366862,74.65
4YGA,53.33744812011719,73.41
4Z9K_NbThermo.00231,53.57192993164063,73.49
5C1M,52.68048350016276,61.35
5FOJ,53.0238037109375,70.81
5J56,53.09970982869466,73.74
5KU2,52.15362040201823,55.16
5M2M,52.88981374104818,74.98
5NM0,53.135178883870445,72.73
5O03,53.583937327067055,69.2
5OCL,53.2917734781901,71.69
5OVW,52.84202194213867,76.47
5TD8,53.96755599975586,66.55
5TJW,53.30717976888021,66.25
5U64,53.55936940511068,73.39
5VLV,50.162353515625,69.62
5VM4,51.9969736735026,72.93
5VXK,54.11848449707031,65.75
6CK8,53.62409464518229,66.66
6EQI,52.694427490234375,62.47
6FYU,53.38161977132162,64.58
6GWN,53.96644846598307,64.42
6HEQ,52.92743682861328,60.61
6HHU,53.476027170817055,70.29
6I2G,53.42101542154948,61.03
6I8H,53.10761642456055,66.04
6ITP,53.04369608561198,68.38
6KNM,53.78338495890299,69.42
6KSN,54.43159612019857,63.03
6OBC,54.03976821899414,64.04
6OQ5,52.900683085123696,65.81
6OS1,53.34986368815104,71.54
6QKD,52.74126180013021,69.2
6QV1,53.751224517822266,63.83
6RAF,53.78384145100912,86.19
6U12,52.57449213663737,61.28
6U50,52.9176139831543,57.07
6U53,51.77486673990885,65.19
6X02,52.53546015421549,76.46
6X03,53.10622278849284,66.97
6XXN,53.17682902018229,80.66
7B18,53.98444620768229,66.14
7E9G,52.535380045572914,59.28
7JVB_NbThermo.00028,53.62492370605469,72.91
7KBI,54.5145517985026,63.45
7MJH,52.24315516153971,59.64
7MY3,53.684454600016274,60.89
7NQK,53.79928080240885,66.46
7OAN,52.20426559448242,67.55
7OAP,53.40492502848307,69.0
7OLZ,53.6442756652832,68.79
sdAb.4875,53.835713704427086,84.2
7KGJ,53.63820521036784,61.6
NbPep1_NbThermo.00045,53.90710576375326,71.86
NbPep2_NbThermo.00046,53.7577387491862,76.13
NbD1_NbThermo.00047,53.42655944824219,65.94
NbPep3_NbThermo.00048,52.75357055664063,60.68
NbPep4_NbThermo.00049,52.66004180908203,67.33
NbD9_NbThermo.00050,52.45039749145508,63.12
NbD8_NbThermo.00051,52.457784016927086,57.2
NbPep5_NbThermo.00052,52.65685780843099,70.44
NbPep7_NbThermo.00054,52.78227996826172,68.49
NbD6_NbThermo.00056,52.03260040283203,70.75
NbPep9_NbThermo.00057,52.733689626057945,72.41
NbPep13_NbThermo.00061,52.53276189168295,69.19
NbPep14_NbThermo.00062,52.6805165608724,72.02
NbPep15_NbThermo.00063,53.23399225870768,67.08
NbPep16_NbThermo.00064,52.85468292236328,74.44
NbPep17_NbThermo.00065,52.3842035929362,71.28
NbPep18_NbThermo.00066,53.19585800170898,70.65
NbD4_NbThermo.00069,51.99401346842448,57.46
NbD3_NbThermo.00085,52.40543874104818,68.48
NbD2_NbThermo.00086,54.21502939860026,66.53
NbD5_NbThermo.00087,52.52773284912109,58.19
NbPep47_NbThermo.00095,54.18375651041666,67.06
NbPep50_NbThermo.00096,51.856614430745445,62.39
NbPep51_NbThermo.00097,52.54019546508789,72.45
NbPep52_NbThermo.00098,53.021966298421226,59.0
NbPep10_NbThermo.00058,52.87883504231771,84.58
NbPep11_NbThermo.00059,53.81274286905924,68.0
NbPep12_NbThermo.00060,54.59832000732422,68.57
NbPep19_NbThermo.00067,53.69883473714193,71.43
NbD12_NbThermo.00070,52.59788386027018,61.46
NbPep21_NbThermo.00071,52.65227254231771,68.73
NbPep22_NbThermo.00072,53.74478530883789,69.54
NbPep23_NbThermo.00073,53.59264119466146,69.63
NbPep24_NbThermo.00074,52.824883778889976,76.09
NbPep25_NbThermo.00075,53.04432805379232,68.33
NbD10_NbThermo.00076,52.60017013549805,59.54
NbPep26_NbThermo.00077,53.21896107991537,72.88
NbPep27_NbThermo.00078,54.17413075764974,85.8
NbPep28_NbThermo.00079,53.15999984741211,63.9
NbPep29_NbThermo.00080,54.65237935384115,55.1
NbPep30_NbThermo.00081,53.38205591837565,75.95
NbPep31_NbThermo.00082,52.7015635172526,62.82
NbPep32_NbThermo.00083,52.82213592529297,58.85
NbPep33_NbThermo.00084,53.3868522644043,74.37
NbD11_NbThermo.00088,52.34968948364258,60.24
NbPep34_NbThermo.00089,52.51147715250651,71.37
NbPep35_NbThermo.00090,52.61159642537435,70.51
NbPep36_NbThermo.00091,54.41515604654948,74.55
NbPep37_NbThermo.00092,52.6652577718099,72.37
NbPep38_NbThermo.00093,52.81930287679037,79.74
NbPep39_NbThermo.00094,52.92041269938151,76.28
NbPep55_NbThermo.00101,52.09276835123698,75.68
NbPep57_NbThermo.00103,52.81200917561849,71.72
NbPep60_NbThermo.00104,52.67870839436849,79.41
NbPep61_NbThermo.00105,52.14992904663086,74.55
NbPep62_NbThermo.00106,52.52972539265951,74.65
NbPep64_NbThermo.00107,53.21965662638346,74.55
NbPep65_NbThermo.00108,54.06699244181315,73.88
NbPep66_NbThermo.00109,52.11921564737956,66.96
NbPep67,51.99517186482748,59.64
NbPep68_NbThermo.00110,53.81161753336588,68.23
NbPep69_NbThermo.00111,52.24998474121094,63.57
NbPep54_NbThermo.00100,53.27424112955729,76.58
NbPep56_NbThermo.00102,52.75813547770182,74.08
1.1yc7_NbThermo.00141_NbThermo.00149,54.0518658955892,70.94
2.4u05_NbThermo.00372,50.88653310139974,83.44
3.6ul4,53.3166135152181,70.59
4.Nb24,53.7864850362142,64.97
5.Nb24.H,54.10323079427084,68.38
6.Nb24.HR,53.91369501749674,72.1
7.Nb24.B,53.87577565511068,69.74
8.Nb24.BR,54.08898671468099,75.84
9.Nb24.L,54.19064585367838,66.87
10.mNb6.H,53.52657572428385,62.59
11.mNb6.B,53.45895004272461,60.6
12.mNb6.BR,53.51107660929362,61.8
14.mNb6.L2,53.80716959635416,55.42
15.C1.K,53.7457160949707,74.83
16.C1.I,53.61263656616211,73.58
17.aGFP_NbThermo.00144_NbThermo.00279,53.02894846598307,67.64
19.1mel.T28C,53.4067268371582,57.61
26.HET.A111C,53.65728123982748,75.13
27.HET.A112C,53.67890930175781,74.59
29.K9.A112C,54.17938486735026,74.05
30.PL,54.26320521036784,75.65
31.QP,54.212415059407554,77.74
32.aS49,53.99493153889974,75.72
33.aS46,53.78676732381185,77.59
34.P2,53.7363510131836,78.34
35.C1,53.68324025472005,77.06
36.mNb6,53.51195398966471,55.31
37.CT1,55.11788813273112,53.44
38.NB201,53.63124465942383,73.46
39.Nb24.G114C,54.00228627522787,56.4
40.P1T,54.19683456420898,82.41
43.C2T,53.65241622924805,78.69
44.T2T,53.39877065022787,78.38
45.D3,53.62626139322917,70.15
NbThermo.00001,53.48245747884115,67.5
NbThermo.00003,53.097311655680336,62.0
NbThermo.00005,52.72744369506836,70.0
NbThermo.00011,53.61993662516276,67.5
NbThermo.00015,53.60456720987956,54.4
NbThermo.00016,52.82166035970052,56.5
NbThermo.00017,53.609293619791664,62.1
NbThermo.00018,53.72109858194987,78.4
NbThermo.00019,53.64695231119792,72.3
NbThermo.00020,55.2834218343099,75.44
NbThermo.00021,53.76102193196615,73.37
NbThermo.00022,53.446145375569664,78.98
NbThermo.00023,52.51953379313151,71.26
NbThermo.00024,53.52431615193685,98.23
NbThermo.00025,52.96192932128906,71.07
NbThermo.00026,53.49223200480143,66.9
NbThermo.00027,53.53863906860352,67.6
NbThermo.00029,53.55146026611328,72.8
NbThermo.00030,52.789798736572266,65.9
NbThermo.00031,53.74783452351888,74.4
NbThermo.00032,52.38497543334961,57.9
NbThermo.00033,53.14226531982422,57.9
NbThermo.00034,52.93287150065104,49.6
NbThermo.00035,55.222771962483726,75.6
NbThermo.00036,53.5694834391276,51.8
NbThermo.00039,53.17528788248698,54.5
NbThermo.00040,53.56311670939128,58.0
NbThermo.00041,53.02434921264648,58.0
NbThermo.00042,54.14606475830078,53.0
NbThermo.00043,53.334981282552086,58.0
NbThermo.00044,53.16690444946289,68.0
NbThermo.00099,53.20828755696615,69.47366501
NbThermo.00114,53.2397575378418,62.0
NbThermo.00115,53.20305506388346,68.0
NbThermo.00116_NbThermo.00130,53.20972696940104,77.85
NbThermo.00117,54.42505900065104,60.0
NbThermo.00118,53.18221282958984,84.2
NbThermo.00119,53.56491088867188,76.2
NbThermo.00120,53.61772918701172,79.4
NbThermo.00121,53.06036376953125,82.5
NbThermo.00122,53.15925725301107,78.4
NbThermo.00123,53.1456553141276,79.5
NbThermo.00124,52.99990717569987,70.0
NbThermo.00125,52.97898737589518,79.9
NbThermo.00126,53.949615478515625,79.6
NbThermo.00127,54.81031290690104,72.0
NbThermo.00128,54.643699645996094,74.3
NbThermo.00129,53.58103307088216,63.4
NbThermo.00131,53.712111155192055,51.5
NbThermo.00132,53.756028493245445,61.9
NbThermo.00134,51.2709108988444,60.2
NbThermo.00135,53.97236760457357,87.0
NbThermo.00136,53.2205441792806,70.0
NbThermo.00137,54.03835805257162,82.0
NbThermo.00138,53.58695602416992,65.6
NbThermo.00139,54.16076914469401,90.0
NbThermo.00140,53.96914037068685,71.4
NbThermo.00142,54.1459108988444,90.0
NbThermo.00143,54.15105946858724,89.0
NbThermo.00145,53.05389277140299,60.3
NbThermo.00146,52.84651947021485,75.7
NbThermo.00147,53.527103424072266,76.2
NbThermo.00148,53.579715728759766,85.0
NbThermo.00150,53.421573638916016,61.0
NbThermo.00151,53.30628077189128,60.0
NbThermo.00152,53.67364883422852,61.0
NbThermo.00153,54.092875162760414,59.0
NbThermo.00154,53.63598251342773,62.0
NbThermo.00155,53.82547505696615,57.0
NbThermo.00156,53.224806467692055,60.0
NbThermo.00158,52.49885940551758,53.0
NbThermo.00159,52.41341781616211,53.0
NbThermo.00160,52.48507563273112,57.0
NbThermo.00161,52.56392161051432,53.0
NbThermo.00162,52.67692947387695,51.0
NbThermo.00163,52.355551401774086,53.0
NbThermo.00164,52.85854721069336,59.0
NbThermo.00165,54.32069905598959,78.0
NbThermo.00166,53.08323542277018,67.0
NbThermo.00167,54.134647369384766,63.0
NbThermo.00168,53.5452880859375,69.0
NbThermo.00169,53.8090082804362,70.0
NbThermo.00170,54.14137140909831,78.0
NbThermo.00171,53.42608133951823,71.0
NbThermo.00172,53.48789596557617,69.0
NbThermo.00173,53.23707071940104,74.0
NbThermo.00174,53.40728505452474,69.0
NbThermo.00175,53.09588241577149,70.0
NbThermo.00176,53.11324818929037,72.0
NbThermo.00177,54.36229960123698,66.0
NbThermo.00178,53.38699086507162,79.0
NbThermo.00179,53.09774525960287,66.0
NbThermo.00180,52.8696543375651,74.0
NbThermo.00184,52.85469818115234,66.0
NbThermo.00185,52.15003967285156,65.0
NbThermo.00186,52.33116404215495,61.0
NbThermo.00187,52.59407043457031,69.0
NbThermo.00188,52.44647725423177,69.0
NbThermo.00189,52.51337687174479,58.0
NbThermo.00190,53.08485794067383,49.0
NbThermo.00191,51.94917805989584,46.0
NbThermo.00192,52.8558209737142,70.0
NbThermo.00193,52.83308664957682,65.0
NbThermo.00194,53.131463368733726,70.0
NbThermo.00195,52.95556513468424,65.0
NbThermo.00196,53.13725153605143,64.0
NbThermo.00197,52.86061350504557,72.0
NbThermo.00198,52.830954233805336,62.0
NbThermo.00199,53.1501210530599,43.38
NbThermo.00200,53.47753016153971,57.47
NbThermo.00201,53.693915049235024,60.59
NbThermo.00202,53.71598688761393,60.01
NbThermo.00203,53.29265848795573,43.08
NbThermo.00204,53.54961649576823,51.16
NbThermo.00205,53.65825780232748,48.91
NbThermo.00206,53.42044576009115,50.74
NbThermo.00207,53.16282018025717,66.0
NbThermo.00208,52.73717753092448,52.35
NbThermo.00209,52.498443603515625,47.25
NbThermo.00210,53.015506744384766,46.8
NbThermo.00211,52.120304107666016,47.02
NbThermo.00212,53.237169901529946,51.0
NbThermo.00213,53.27168782552084,50.0
NbThermo.00214,52.577020009358726,75.0
NbThermo.00215,52.60816446940104,60.0
NbThermo.00216,53.38139343261719,72.0
NbThermo.00217,52.56447092692057,54.0
NbThermo.00218,52.334503173828125,43.0
NbThermo.00219,53.625938415527344,54.0
NbThermo.00220,52.90396626790365,67.0
NbThermo.00221,52.98853937784831,68.0
NbThermo.00222,52.879638671875,60.0
NbThermo.00224,54.18401845296224,60.0
NbThermo.00225,52.95801035563151,62.0
NbThermo.00226,53.84772491455078,46.0
NbThermo.00227,53.03178151448568,61.0
NbThermo.00228,52.90738169352213,62.0
NbThermo.00229,53.13177235921224,66.0
NbThermo.00230,54.01918029785156,65.0
NbThermo.00232,51.78744379679362,74.0
NbThermo.00233,52.13654581705729,70.0
NbThermo.00234,52.095200856526695,85.0
NbThermo.00235,50.76725260416666,85.0
NbThermo.00236,53.186988830566406,65.0
NbThermo.00237,53.96918360392253,65.0
NbThermo.00238,53.003456115722656,50.75
NbThermo.00239,52.349480946858726,59.0
NbThermo.00240,52.02431488037109,60.0
NbThermo.00241,53.07002512613932,48.0
NbThermo.00242,53.236592610677086,64.0
NbThermo.00243,53.10056432088216,63.0
NbThermo.00244,52.757425944010414,64.0
NbThermo.00245,53.33392206827799,65.0
NbThermo.00246,52.90985616048177,66.0
NbThermo.00247,53.6452522277832,79.1
NbThermo.00248,53.51606750488281,77.2
NbThermo.00249,53.356438954671226,81.4
NbThermo.00250,53.54413604736328,78.5
NbThermo.00251,53.493465423583984,75.5
NbThermo.00252,53.4301643371582,76.9
NbThermo.00253,53.49365234375,76.5
NbThermo.00254,53.49924341837565,77.4
NbThermo.00255,53.87631098429362,77.6
NbThermo.00256,53.61576843261719,77.5
