name,pred,exp_tm
WP_068424237.1,52.77650705973307,42.7
WP_229068674.1,56.45873133341471,67.3
MGYP001121581011,61.248434702555336,74.2
WP_085753242.1,48.37246068318685,49.3
WP_103564847.1,62.91881815592448,53.8
WP_240508704.1,52.35708872477213,57.4
RAY11579.1,53.38373565673828,69.4
WP_230616214.1,67.27208455403645,73.9
MGYP000271253724,57.53783416748047,63.4
NUT34383.1,53.190598805745445,48.7
WP_139580723.1,54.658494313557945,68.5
MBT8227529.1,55.22000249226888,47.5
MGYP001097842225,56.24893442789713,59.2
WP_242883606.1,69.8328628540039,69.1
WP_231775152.1,60.04517618815104,45.7
WP_231443412.1,50.38508224487305,42.7
WP_221382552.1,52.91148376464844,59.8
WP_218617243.1,52.12339782714844,60.1
OAA20861.1,48.53292719523112,43.0
WP_019629726.1,51.64121754964193,46.6
KAA1376628.1,54.24234008789063,35.8
MBX3624429.1,50.81764094034831,56.2
MGYP001149455765,50.69971084594727,68.8
WP_184682765.1,48.93606821695963,59.5
MBB5966108.1,48.73218663533529,39.1
WP_077315388.1,44.90657043457031,45.7
ACV09511,50.82189051310221,42.4
WP_085750434.1,46.53905995686849,47.8
WP_166054040.1,52.13751602172852,49.9
WP_042734330.1,47.39918772379557,60.4
WP_203674568.1,52.80941263834635,44.2
WP_084693247.1,73.80403391520183,68.8
TDP67440,57.41174189249674,46.9
WP_201805840.1,49.313069661458336,44.5
WP_233427406.1,61.22434870402018,40.3
MGYP001489421514,53.391290028889976,56.2
OKI36454.1,55.29427591959635,58.0
MBJ7347705.1,48.5488026936849,63.1
WP_119729924.1,56.07476298014323,43.9
WP_035284691,59.69123077392578,51.7
WP_187224800.1,59.22492599487305,49.6
MGYP000221121644,53.280354817708336,57.1
WP_129786244.1,58.114114125569664,52.0
WP_130342639,52.59047826131185,50.5
WP_199827708.1,54.981971740722656,66.1
WP_228771581.1,58.26537577311198,66.1
WP_194636445.1,55.44070943196615,47.5
WP_114422580.1,52.93017705281576,65.8
WP_203733135.1,49.78688685099284,61.9
WP_233872418.1,47.16359329223633,51.4
WP_103564314,59.95428721110026,46.9
WP_103935912.1,55.32000986735026,49.3
SCE72613.1,57.295972188313804,40.6
WP_261809161.1,48.47447713216146,46.3
WP_013736455.1,53.66145324707031,63.1
WP_164449727.1,52.53215535481771,62.8
MXX05622.1,57.67835744222005,52.3
MGYP002620941758,67.40488942464192,69.1
MBN1171866.1,52.66894276936849,64.3
MBO9569276.1,56.62331517537435,55.6
MGYP001498898836,66.32880147298177,67.6
MBN1575504.1,49.25481796264648,64.6
GGY18408.1,59.39178466796875,51.4
WP_151469820.1,54.08753331502279,33.4
GIG90696.1,53.47821299235026,60.4
WCH76321.1,48.84620157877604,73.9
WP_132265752.1,59.9234987894694,64.0
MGYP001195032839,54.90130106608073,30.7
WP_109639600.1,50.37852223714193,57.7
GGO06455.1,53.3095957438151,51.4
WP_132413760.1,49.201009114583336,69.7
MGYP001477358452,51.14204788208008,54.1
WP_260709492.1,50.99039967854818,60.7
WP_079085207.1,51.78156534830729,56.8
MGYP001369932055,48.78570302327474,69.1
MCB1670591.1,62.236175537109375,53.5
MGYP001481302102,50.04540252685547,53.8
MBN1366053.1,45.47812143961588,50.8
MGYP001473616946,47.59021123250326,69.1
WP_264933993.1,53.05220413208008,61.0
MBP7765893.1,53.22926457722982,69.1
MBE1573625.1,55.8156483968099,40.6
MGYP000861817556,53.76561482747396,67.9
WP_071091307.1,51.468292236328125,40.3
MGYP006125138823,47.72526041666666,68.5
WP_256510026.1,56.90765253702799,54.4
WP_249044522.1,51.62677383422852,50.8
WP_119728035.1,51.67889277140299,46.9
WP_229874892.1,50.141595204671226,44.2
WP_086599340.1,53.02593231201172,64.6
MBN2738032.1,45.90188852945963,51.7
WP_225255694.1,59.4855219523112,41.5
WP_252811421.1,57.20012919108073,43.9
SOD43347.1,54.75715637207031,54.1
WP_236244959.1,55.64039866129557,36.1
OLR94321.1,53.33226903279623,41.2
WP_212846608.1,52.7236442565918,50.2
GIU85371.1,57.56543223063151,67.0
QEV16333.1,59.538944244384766,50.2
MGYP000483234479,62.22174199422201,44.5
WP_254876803.1,52.808685302734375,60.4
WP_045318561.1,50.063720703125,55.3
MGYP003582062575,46.74242401123047,25.3
WAU86704.1,47.69702911376953,53.5
NUT97030.1,49.144823710123696,42.1
WP_143590710.1,51.98955790201823,51.4
WP_221087162.1,53.250223795572914,57.1
WP_019633337.1,63.18752415974935,56.5
MBP2328848.1,52.59299341837565,61.6
GHA15288.1,55.61349232991537,40.0
MGYP001223859710,58.22889963785807,68.8
GAQ59813.1,60.43260955810547,68.5
WP_239095870.1,53.270799001057945,65.2
WP_239486438.1,56.66179911295573,54.7
WP_109361459.1,57.408084869384766,60.4
NUT53577.1,50.3518180847168,47.2
MGYP001126223609,63.978555043538414,55.9
MGYP002393323206,55.58756637573242,68.2
WP_250563816.1,63.79369227091471,50.8
WP_211769896.1,54.03382619222005,71.8
WP_260422593.1,53.020267486572266,63.1
WP_140175735.1,52.23294576009115,56.2
OLT30808.1,54.83055877685547,49.3
WP_253762837.1,52.23705037434896,52.0
NUS07026.1,50.39455540974935,46.6
WP_218517662.1,54.255558013916016,73.0
MGYP003403985752,52.2418098449707,44.2
WP_150070118.1,57.94312413533529,61.6
WP_256510519.1,52.600912729899086,64.0
WP_167521412.1,55.69722112019857,64.6
WP_132386942.1,58.09077707926432,61.3
WP_232326807.1,58.005289713541664,65.8
WP_246496818.1,53.95840962727865,59.8
GIU85367.1,61.79968007405599,82.3
WP_173061649.1,51.95063018798828,59.5
UAC02078.1,52.34307861328125,67.6
WP_229836555.1,50.68889617919922,68.5
KWV30420.1,57.14954376220703,62.2
WP_268945827.1,50.601975758870445,49.6
WP_158852571.1,55.491049448649086,57.4
WP_031525917.1,55.05889765421549,37.0
WP_266249215.1,58.88816324869792,54.4
WP_111214096.1,52.70858383178711,65.8
WP_197042608.1,58.32772318522135,57.1
NJC12853.1,54.242331186930336,62.2
WP_109037790.1,52.2996940612793,55.0
WP_239104322.1,53.74440638224284,62.5
MBP2707703.1,54.93802134195963,55.9
WBC00352.1,57.61838022867838,60.7
GGO08527.1,56.79975891113281,49.6
WP_273813526.1,50.357714335123696,51.7
WP_203777396.1,54.68361790974935,61.6
WP_203790592.1,59.63794199625651,58.6
WP_252811421.1,57.75264104207357,43.9
SCF49212.1,60.77463022867838,67.0
WP_204285002.1,55.60982894897461,59.8
WP_210157342.1,60.597153981526695,68.8
WP_132399348.1,59.75069936116537,73.3
MBX3621832.1,48.44512939453125,63.4
WP_085749238.1,48.76901499430338,62.8
MBF9135495.1,53.33473332722982,62.8
WP_181548579.1,54.09513219197592,63.4
WP_082536249.1,53.80864079793295,43.9
WP_239135698.1,50.76559321085612,65.2
WP_267938240.1,60.8220952351888,63.1
WP_234583022.1,57.2311642964681,59.2
WP_182904095.1,53.960076649983726,68.8
TWG17167.1,53.6421864827474,62.5
GHJ08786.1,54.25093332926432,64.6
WP_240522201.1,47.58012262980143,52.0
WP_257828484.1,49.24076588948568,58.6
WP_260615299.1,54.98355102539063,59.2
WP_259405879.1,55.61498769124349,60.7
WP_211363689.1,55.21924209594727,55.0
WP_203822553.1,63.96150588989258,47.8
WP_156114969.1,50.19669723510742,55.3
TNH28703.1,54.28463236490885,63.7
MGYP000246415913,56.879590352376304,35.2
MBO4274871.1,54.21016438802084,62.8
WP_169980303.1,57.72933451334635,59.8
WP_192329846.1,48.56263732910156,49.6
GLI01021.1,56.37956746419271,63.1
WP_084261341.1,54.38413747151693,61.6
WP_252275389.1,49.973758697509766,52.0
WP_203990226.1,57.10816446940104,58.6
WP_220815207.1,50.73766581217448,56.5
WP_007455959.1,59.091729482014976,51.7
GFJ87714.1,56.1730588277181,53.8
WP_223093092.1,65.02504221598308,47.8
WP_204038550.1,53.403316497802734,67.9
WP_265247586.1,56.934078216552734,68.2
MGYP003703942659,53.35529454549154,53.5
WP_271190254.1,53.29683176676432,58.3
WP_203980609.1,52.22554651896159,62.2
MCF0091346.1,54.43935775756836,58.0
MGYP000278479948,49.02439244588216,69.7
WP_093473685.1,47.51918029785156,53.8
WP_160470043.1,55.07954025268555,39.1
WP_199199185.1,57.94903945922852,65.5
WP_033363749.1,51.10496266682943,67.9
WP_167975345.1,52.39449818929037,58.0
WP_130401777.1,52.17965189615885,56.2
WP_247056560.1,49.57079315185547,51.7
WP_203812622.1,52.52953974405924,40.6
NLY58972.1,50.62904485066732,49.0
WP_201805836.1,47.54866154988607,56.2
MBW4703769.1,53.77219899495443,58.6
PWR09075.1,53.23436609903971,61.0
WP_255830407.1,49.40094884236654,52.0
MTK05241.1,53.07453155517578,61.6
HEC53621.1,48.25857162475587,45.4
WP_086515000.1,55.57503890991211,44.5
WP_020639922.1,53.65758514404297,51.7
WP_039906502.1,53.59925842285156,61.3
MBQ1015012.1,53.066219329833984,55.9
WP_203906211.1,52.44744364420573,57.4
WP_091317053.1,50.24089813232422,55.3
