name,pred,exp_tm
1,57.13631439208984,34.8
2,53.02676900227865,39.8
3,50.00174077351888,41.5
4,52.808204650878906,41.6
5,46.46277109781901,42.1
6,51.64818954467773,43.2
7,46.80371348063151,43.7
8,49.68555450439453,44.2
9,48.13081741333008,44.5
10,48.50835673014323,44.6
11,53.80847422281901,45.0
12,52.92718251546224,45.8
13,51.1726811726888,46.0
14,75.7997538248698,46.5
15,52.174452463785805,46.7
16,44.00415547688802,47.0
17,57.03282674153646,47.6
18,45.85962168375651,47.8
19,48.08130772908529,48.0
20,52.86280314127604,48.3
21,54.62621943155924,49.2
22,53.6994997660319,49.2
23,47.72390111287435,49.3
24,52.43848164876302,49.3
25,52.74654134114584,49.6
26,60.75077438354492,50.4
27,48.67752583821615,50.5
28,46.522074381510414,51.0
29,46.20856221516927,51.0
30,63.33808517456055,51.0
31,59.557352701822914,51.0
32,51.5361557006836,52.5
33,48.062538146972656,51.4
34,64.28359731038411,51.5
35,53.7193349202474,51.5
36,54.498425801595054,51.5
37,52.14373397827149,51.9
38,55.10900370279948,52.0
39,47.72569020589193,52.1
40,59.83008321126302,52.1
41,54.44126764933268,52.3
42,49.92459996541341,52.5
43,52.81491724650065,52.6
44,50.620409647623696,52.6
45,43.59676869710287,52.7
46,51.757789611816406,52.9
47,52.63596852620443,53.0
48,56.27150599161784,53.0
49,68.98468017578125,53.2
50,53.934942881266274,53.6
51,57.17691548665365,53.6
52,52.75547409057617,53.7
53,50.62533187866211,53.8
54,50.1740976969401,53.9
55,53.238348642985024,53.9
56,53.00741322835287,54.0
57,51.48899205525717,54.0
58,53.98408889770508,54.4
59,46.81303532918295,54.6
60,51.90462493896485,54.6
61,74.25213114420573,55.0
62,69.27472686767578,56.0
63,50.70982996622721,56.2
64,44.98723602294922,56.5
65,47.34103139241537,56.7
66,49.09220759073893,56.9
67,46.41245269775391,57.0
68,52.770267486572266,57.1
69,64.66562016805013,57.1
70,48.68582280476888,57.1
71,62.38720703125,57.2
72,57.22222010294596,57.3
73,46.60077031453451,57.4
74,51.59906133015951,57.5
75,59.46271514892578,57.5
76,56.72755432128906,57.7
77,45.98663202921549,57.8
78,48.59411112467448,57.9
79,61.0338617960612,58.0
80,58.22754542032877,58.0
81,55.862649281819664,58.5
82,50.56852467854818,58.9
83,51.71619542439779,59.0
84,53.68841044108073,59.0
85,45.24188105265299,59.0
86,50.52553685506185,59.0
88,49.817264556884766,59.5
89,53.4252675374349,60.0
90,57.10633087158203,60.0
91,46.688961029052734,60.6
92,49.87418619791666,60.9
93,52.77647399902344,61.0
94,54.84270350138346,61.2
95,56.27220026652018,61.4
96,48.7045644124349,61.4
97,56.647542317708336,62.0
98,52.49542617797852,62.2
99,49.93730799357096,62.5
100,48.267181396484375,62.7
101,45.367926279703774,63.0
102,57.58119455973307,63.1
103,49.27851994832357,63.2
104,49.94602711995443,63.5
105,48.2798080444336,63.6
106,59.504302978515625,63.7
107,53.8485221862793,64.0
108,54.71880340576172,64.3
109,55.08514658610026,64.4
110,67.08677164713542,64.6
111,59.758626302083336,64.7
112,42.213446299235024,64.9
113,54.90519332885742,64.9
114,58.33681233723959,64.9
115,47.29573822021485,65.0
116,52.701761881510414,65.0
117,55.862649281819664,65.0
118,54.016151428222656,65.1
119,51.3199946085612,65.2
120,53.70331954956055,65.5
121,56.88977686564128,66.0
122,50.9995346069336,66.0
123,57.338748931884766,66.0
124,68.49649047851562,66.2
125,53.51398595174154,66.2
126,47.60482406616211,66.4
127,54.89350891113281,66.6
128,54.54371007283529,66.7
129,53.10272471110026,66.9
130,58.03739929199219,67.0
131,56.199511210123696,67.0
132,52.95357131958008,67.2
133,57.31865310668945,67.6
134,58.94173049926758,67.7
135,52.32565053304037,68.5
137,53.74780019124349,68.7
138,44.73736953735352,68.9
139,58.48879623413086,69.0
140,52.53784942626953,69.0
141,46.48429870605469,69.8
142,47.6299196879069,69.2
143,51.12467447916666,69.6
144,53.99542999267578,70.0
145,54.688219706217446,70.0
146,51.4203135172526,70.0
147,53.56329600016276,70.2
148,48.60803095499674,70.2
149,56.45044708251953,70.4
150,64.88566207885742,70.6
151,50.16498311360677,70.7
152,50.15047963460288,71.0
153,59.1314582824707,71.2
154,59.19568125406901,71.2
155,55.88448588053385,72.0
156,56.61990102132162,72.4
157,69.10151926676433,72.9
158,65.0856424967448,73.0
159,50.201802571614586,73.3
160,56.61495590209961,73.9
161,55.82158788045248,74.0
162,54.04672114054362,74.3
163,58.23232014973959,75.5
164,56.97991180419922,76.0
165,49.07751083374024,76.8
166,52.84508768717448,76.9
167,48.786688486735024,77.6
168,48.31686782836914,78.0
169,52.37552388509115,78.0
170,55.84601084391276,78.3
171,53.99109649658203,79.4
172,66.09105555216472,79.4
173,52.25191879272461,79.4
174,56.01711781819662,79.5
175,56.45853042602539,80.1
176,49.50848515828451,80.2
177,49.34182612101237,80.2
178,48.76111094156901,80.8
179,57.45485178629557,81.6
180,50.92311731974284,82.0
181,57.48502095540365,82.2
182,60.54775619506836,84.3
183,52.21196111043295,84.8
184,54.38241195678711,85.2
185,73.69311014811198,85.2
186,59.623120625813804,85.8
187,49.2332394917806,85.9
188,68.3436991373698,86.0
189,49.52923838297526,86.0
190,56.0245221455892,86.5
191,64.04260381062825,87.5
192,50.49083201090495,87.5
193,52.0629628499349,87.8
194,55.2662836710612,88.0
195,76.33359273274739,88.0
196,54.214246114095054,88.3
197,76.51885986328125,89.0
198,52.99993515014648,90.0
199,52.08009338378906,90.0
200,60.97626749674479,90.1
201,66.29874801635742,90.3
202,74.53588612874348,90.3
203,73.53987375895183,91.0
204,76.39834849039714,91.0
205,69.05195871988933,93.8
206,67.66301727294922,94.9
207,59.11569213867188,98.6
208,70.52570088704427,99.0
209,72.26436360677083,99.0
210,71.78880564371745,100.8
211,61.55978647867838,100.9
212,55.1005376180013,104.3
213,58.04538981119792,104.5
214,74.57798767089844,108.0
215,60.88203557332357,108.0
216,78.07489522298177,111.5
217,81.44444274902344,112.7
218,77.6085917154948,114.5
219,75.93168640136719,120.1
220,57.67765553792318,121.6
221,59.05443827311198,143.8
222,78.98051452636719,148.5
1MBG,63.0795529683431,39.3
1DO9,55.9797108968099,48.5
1CX1,61.11640294392904,49.4
1PRR,57.91193135579427,52.6
1ACP,70.50467173258464,52.7
1LS4,53.37168248494466,53.0
1APC,60.09065500895182,54.0
1EXG,59.90840657552084,56.4
1BUJ,45.01448440551758,56.5
1AG4,54.53978983561198,57.9
1BUY,52.36471048990885,60.6
1HCD,53.213766733805336,61.7
1LCD,59.710723876953125,65.0
1QND,58.757311503092446,70.5
1OTR,50.68231455485026,71.2
1HYW,65.02102279663086,71.7
1BTA,53.86940892537435,72.0
1TIT,51.200477600097656,73.0
1DEC,56.26589330037435,74.0
2M3T,52.82574590047201,75.0
1K42,60.37453333536784,75.8
3AIT,54.236227671305336,81.6
1G6P,57.61163330078125,82.0
1COK,54.36428197224935,93.5
1DVC,55.90808232625326,94.5
1BFM,73.04075113932292,101.0
