name,pred
P61500_recA,90.0
Q72G97_recG,72.5
P62662_rpsB,77.5
Q746P0_TT_P0013,90.0
Q746N8_cbiX,72.5
Q72H90_soj,72.5
Q72LP8_TT_C0010,77.5
Q72JA0_minD,72.5
Q72L65_hflX,72.5
Q72L52_TT_C0211,90.0
Q72JN6_TT_C0734,72.5
Q72I41_TT_C1291,77.5
Q72JQ4_TT_C0714,72.5
Q72JG1_rimO,72.5
Q72KY6_TT_C0279,67.5
Q72LK3_TT_C0056,90.0
Q72LH6_livF,90.0
Q72J57_TT_C0922,72.5
Q72GX5_pstB,62.5
Q72HC1_rlmN,62.5
Q72IH8_TT_C1154,72.5
Q72IZ8_TT_C0983,62.5
Q72I16_rplE,72.5
P61941_rpsL,90.0
P62663_rpsC,62.5
Q72KA4_TT_C0543,72.5
Q72LA0_TT_C0159,77.5
Q72J11_livF,72.5
P61537_ruvB,72.5
Q72L33_TT_C0230,72.5
Q72J12_livG,77.5
Q72GG8_TT_C1880,72.5
Q72IJ8_TT_C1134,67.5
Q72J51_ftsE,72.5
Q72J39_miaB,81.25
Q72KZ4_TT_C0271,72.5
Q72I11_rplP,72.5
Q72GI4_dcd,90.0
Q72I12_rpmC,90.0
Q72KT1_TT_C0411,90.0
Q72L15_clpP,90.0
Q72HM2_mreB,90.0
Q72IY3_TT_C0998,72.5
Q72HV0_plsX,72.5
Q72KC1_TT_C0526,81.25
Q72L74_plsY,77.5
Q745Z3_TT_P0162,90.0
Q72K96_TT_C0551,72.5
Q72I53_metK,72.5
Q72IN7_TT_C1095,90.0
Q72GJ7_phoU,72.5
Q72I54_TT_C1278,51.25
Q72JC6_TT_C0852,90.0
Q72K93_rnr,72.5
P62657_rpsO,72.5
Q72JC7_TT_C0851,57.5
Q72HG4_TT_C1523,72.5
P62668_rpsH,72.5
Q72LF7_appF,67.5
Q72KN4_TT_C0377,90.0
Q72JH7_TT_C0795,72.5
Q72HQ8_TT_C1428,90.0
Q72GX4_pstA,57.5
Q72J58_TT_C0921,72.5
Q72K85_mnmE,90.0
P61989_cbiD,81.25
Q72HI3_TT_C1504,72.5
Q72J29_TT_C0952,90.0
Q746D0_TT_P0125,72.5
Q72IW1_aroB,90.0
Q72IH2_glyA,90.0
Q72JU9_rplS,72.5
Q72G84_rpmB,90.0
Q72GX1_mnmA,72.5
Q746A1_TT_P0154,81.25
Q72KB4_mfd,72.5
Q72JZ8_nadA,72.5
Q72H76_purM,90.0
Q72I07_rplB,72.5
Q72LH3_TT_C0086,72.5
Q72L86_clpA,62.5
Q72KZ7_chlI,90.0
Q72I20_rplR,77.5
Q72I04_rplC,72.5
Q72GJ8_phoB,72.5
Q72JK8_TT_C0764,90.0
Q72GE4_murE,72.5
Q72LQ3_TT_C0005,72.5
Q72KR6_mqnE,90.0
Q72HT7_TT_C1399,72.5
Q72J77_recG,72.5
Q72HA7_TT_C1588,72.5
Q72IN1_rplM,77.5
Q72L56_TT_C0207,72.5
P62667_rpsG,72.5
Q72J09_dppB,72.5
Q72KY9_TT_C0276,72.5
Q72HJ5_TT_C1492,72.5
Q72HJ9_TT_C1488,90.0
Q72K53_ftsK,72.5
Q72GD9_TT_C1909,72.5
P62664_rpsD,90.0
Q72JP5_ftsA,72.5
Q72L14_clpX,72.5
P62655_rpsM,90.0
Q72JU4_ffh,72.5
Q72KY0_TT_C0285,81.25
Q746M7_TT_P0026,72.5
Q8VUS5_lysK,72.5
Q746Q1_TT_P0001,72.5
Q72I09_rplV,90.0
Q72J94_TT_C0885,72.5
Q72LC8_clR,72.5
Q72JB3_leuC,62.5
Q72KF5_phzF,81.25
Q72I14_rplN,67.5
Q72GC0_TT_C1928,72.5
Q72K88_TT_C0559,77.5
P61671_mutS,81.25
Q8VRK4_dprA,72.5
Q72JP4_ftsZ,77.5
Q72JR8_rho,72.5
Q746N0_cobQ,90.0
Q72GQ3_TT_C1795,72.5
Q72HX7_TT_C1355,72.5
P62665_rpsE,77.5
Q72I58_prs,62.5
Q72GU0_rlmH,72.5
Q72KI6_TT_C0489,81.25
Q72IB2_TT_C1220,72.5
Q72JP1_mqnC,72.5
Q72GH2_TT_C1876,72.5
Q746H1_parA,90.0
Q746B7_fdhD,72.5
Q72GF3_TT_C1895,62.5
Q72L10_TT_C0255,90.0
Q72L76_rplT,77.5
Q72LF3_TT_C0106,72.5
Q72GT5_TT_C1763,72.5
Q745U7_TT_P0210,62.5
Q72I55_speA,72.5
Q72J43_TT_C0938,72.5
Q745T7_TT_P0220,72.5
Q72GJ0_TT_C1858,90.0
Q72KK6_TT_C0305,72.5
P16608_trpA,72.5
Q72KK5_TT_C0443,90.0
Q72KE4_TT_C0502,90.0
Q72KK0_TT_C0448,72.5
Q72IE4_TT_C1188,72.5
Q72KU0_pyrB,62.5
Q72KN5_TT_C0373,81.25
Q72IB8_TT_C1214,72.5
Q72IX8_TT_C1003,90.0
Q72GV3_TT_C1745,72.5
Q72JQ1_murD,72.5
Q72LB4_TT_C0145,72.5
Q72KM1_TT_C0312,90.0
Q72LI0_TT_C0079,72.5
Q72ID0_TT_C1202,72.5
P62476_rsmH,72.5
Q72GY1_TT_C1717,72.5
Q8VRL0_pilT,81.25
Q72KU3_pyrD,72.5
Q72IC8_TT_C1204,77.5
Q72JP9_murG,72.5
Q745Y8_TT_P0167,72.5
Q72I66_sfuC,77.5
Q72GD3_TT_C1915,62.5
Q72HR2_rplU,72.5
Q746I9_TT_P0066,72.5
Q72HR7_lytR,90.0
Q72K18_livF,72.5
Q72IC7_TT_C1205,81.25
Q72G65_ispH,81.25
Q72JF0_ychF,72.5
Q8VRL3_pilC,72.5
Q746L5_TT_P0038,72.5
Q745V7_TT_P0198,72.5
Q72J00_TT_C0981,72.5
Q72K73_TT_C0298,90.0
Q72J67_TT_C0912,72.5
Q72GJ2_TT_C1856,72.5
Q72KF9_TT_C0354,72.5
Q72IH7_purL,90.0
P62653_rpsJ,77.5
Q72JS9_TT_C0689,50.0
Q72LF8_appD,90.0
Q72KS4_lon1,72.5
Q72J92_secA,77.5
Q72KX7_TT_C0288,72.5
Q72JZ9_TT_C0619,72.5
Q72GE1_nuoN,72.5
Q72GP3_TT_C1805,72.5
Q72KY3_TT_C0282,90.0
Q746E4_TT_P0111,81.25
Q72GS6_TT_C1772,72.5
Q72JK5_TT_C0767,90.0
Q72K69_prkA,72.5
Q72KG6_TT_C0369,72.5
Q72I19_rplF,90.0
Q72LC7_merR,72.5
Q72KK7_TT_C0304,72.5
P62658_rpsQ,90.0
Q72K11_paaB,72.5
Q72KW2_TT_C0402,81.25
Q72IA1_TT_C1231,72.5
Q72KK1_TT_C0447,72.5
Q72HJ6_trpD,90.0
Q72HN7_TT_C1449,90.0
Q72KI0_TT_C0480,72.5
Q72HU3_TT_C1391,90.0
Q72GY8_TT_C1708,77.5
Q72H32_fmt,72.5
Q72IA2_TT_C1230,67.5
Q72JX0_TT_C0648,72.5
Q8KPZ1_comZ,90.0
Q72JF5_TT_C0817,72.5
Q72KV9_TT_C0405,90.0
Q72HW1_TT_C1371,62.5
Q72HP4_TT_C1442,72.5
Q72LE8_TT_C0111,72.5
Q60050_proB,72.5
Q72JD1_TT_C0847,72.5
Q72K32_TT_C0586,90.0
Q72JV3_TT_C0665,72.5
Q72GX7_recF,72.5
Q72KQ7_TT_C0461,72.5
Q72IQ1_TT_C1081,72.5
Q72J83_dnaG,72.5
Q72JY5_TT_C0633,72.5
Q72HU8_TT_C1386,62.5
Q72GA8_TT_C1940,90.0
Q72IN0_pyrG,90.0
Q72I91_TT_C1241,72.5
Q72L54_TT_C0209,72.5
Q72IK4_ftsH,62.5
Q72LL5_TT_C0044,72.5
Q72GV9_rplA,72.5
Q72HS1_pilT,72.5
Q72H81_dxs,77.5
Q72HX4_pacS,90.0
Q72LK5_TT_C0054,72.5
Q72HW6_TT_C1366,72.5
Q9ZNE0_hacA,90.0
Q746J9_TT_P0054,72.5
Q72L67_TT_C0196,72.5
Q72KL0_TT_C0301,57.5
Q72HC8_TT_C1567,72.5
Q72GH1_TT_C1877,90.0
Q72HD6_TT_C1557,72.5
Q72GW9_pepA,72.5
Q72IJ3_TT_C1139,72.5
Q72IH6_purF,72.5
Q72KR3_TT_C0455,67.5
Q72HE1_TT_C1552,72.5
O87197_uppS,90.0
Q72LD4_vapC,90.0
Q72L21_bioB,72.5
Q72IU4_ccmF,72.5
Q72HK4_glnQ,72.5
Q72I06_rplW,77.5
Q72KF6_TT_C0357,90.0
Q72KF8_pdxT,90.0
Q72GV4_TT_C1744,72.5
Q72LD2_glcF,62.5
Q72J06_TT_C0975,72.5
Q72H31_TT_C1664,72.5
Q72JV5_TT_C0663,57.5
Q72KW8_TT_C0332,72.5
Q72LB2_TT_C0147,90.0
Q72I50_mutS,90.0
Q72IG3_TT_C1169,72.5
Q72H62_TT_C1633,72.5
Q72JP7_murB,90.0
Q72LA1_TT_C0158,90.0
Q72K10_paaA,81.25
Q72HL0_TT_C1477,72.5
P62356_hisA,72.5
Q72HP7_TT_C1439,72.5
Q72IB7_gntR,72.5
P61707_alaS,90.0
Q72GJ4_murA,72.5
Q72HQ7_TT_C1429,62.5
Q72JS1_ribA,81.25
Q72GT2_TT_C1766,62.5
Q72G82_TT_C1966,90.0
Q72JX9_TT_C0639,72.5
Q72JZ6_TT_C0622,72.5
Q72L12_TT_C0253,90.0
Q72HJ4_TT_C1493,90.0
Q72H70_surE1,72.5
Q72JV2_TT_C0666,72.5
Q746H0_TT_P0085,57.5
Q72KM6_TT_C0382,72.5
Q72IM0_TT_C1112,90.0
Q72GW4_tuf1,57.5
Q72HR4_obg,62.5
Q72HL8_TT_C1469,72.5
Q72H18_ispG,72.5
Q72JH2_TT_C0800,90.0
Q72KP4_TT_C0321,72.5
Q72H71_TT_C1624,62.5
Q72JS7_glmM,72.5
Q72I05_rplD,72.5
Q72GS1_rplJ,72.5
Q72GM0_TT_C1828,90.0
Q72KY5_TT_C0280,90.0
Q72JJ4_TT_C0778,72.5
Q72GS0_TT_C1778,67.5
O50147_lysZ,90.0
Q72JY0_TT_C0638,77.5
Q746I1_aidB,67.5
Q72HX1_phoR,72.5
Q72IB3_TT_C1219,90.0
Q84B24_mpgS,73.75
Q72LQ2_vdcC,72.5
Q72HQ6_TT_C1430,30.0
Q72KP6_thiC,77.5
Q746C7_TT_P0128,90.0
Q72HL4_TT_C1473,72.5
Q72J56_sbcD,72.5
Q72J63_TT_C0916,72.5
Q72HY6_TT_C1346,72.5
Q72K64_TT_C0463,72.5
Q72HM7_TT_C1459,72.5
Q746A8_TT_P0147,67.5
Q72JH8_TT_C0794,81.25
Q72IB0_gyrB,81.25
Q72HX9_TT_C1353,46.25
Q72HF6_uvrB,90.0
Q72K76_TT_C0295,72.5
Q72G73_TT_C1975,72.5
Q72IW2_aroK,72.5
Q72IY8_TT_C0993,72.5
Q72G66_nifR,67.5
Q72IR0_TT_C1072,72.5
Q72I24_secY,77.5
Q745T2_TT_P0225,72.5
Q72HK1_TT_C1486,72.5
Q72KE6_TT_C0499,72.5
Q72I42_TT_C1290,72.5
Q72IV6_der,90.0
Q72L01_hslU,90.0
Q746E5_TT_P0110,90.0
Q72H27_TT_C1668,72.5
Q72HH9_TT_C1508,72.5
Q72II9_hemD,81.25
Q72HJ8_TT_C1489,90.0
Q72IU9_TT_C1032,90.0
Q72LD7_TT_C0122,90.0
Q72JY9_TT_C0629,72.5
Q72J33_TT_C0948,81.25
Q72K70_asnC,72.5
Q72KX8_wbpB,72.5
Q72K60_TT_C0467,81.25
Q72GB8_TT_C1930,90.0
Q72IG5_truD,90.0
Q72J90_TT_C0889,72.5
Q72I83_TT_C1249,90.0
Q8RQU3_pilM,72.5
Q746C9_TT_P0126,72.5
Q72H73_pilF,72.5
Q93HR1_gyrB,52.5
Q72J05_TT_C0976,72.5
P61488_ask,72.5
Q72K25_TT_C0593,90.0
Q72L88_TT_C0172,72.5
Q72JA3_potA,67.5
Q72HL3_TT_C1474,77.5
Q72GC8_nuoA,67.5
Q72HG1_TT_C1526,72.5
Q72HM9_TT_C1457,77.5
Q72KT3_TT_C0434,72.5
Q72IE0_TT_C1192,72.5
Q72K92_TT_C0555,90.0
Q72HL7_TT_C1470,90.0
Q72IQ7_uvrA,72.5
Q72IM8_TT_C1104,81.25
Q746H8_TT_P0077,62.5
Q72J04_TT_C0977,72.5
Q72LB6_TT_C0143,90.0
Q72JX4_TT_C0644,72.5
Q72IZ5_TT_C0986,90.0
Q72HC0_TT_C1575,72.5
Q72GX0_TT_C1728,72.5
Q72LJ1_tsY,90.0
Q72L35_TT_C0228,90.0
Q72GQ4_TT_C1794,90.0
Q72GD4_TT_C1914,90.0
Q72G70_TT_C1978,72.5
Q72L97_TT_C0162,72.5
Q72IE5_guaA,72.5
Q72L41_TT_C0222,72.5
Q72KV3_TT_C0388,72.5
Q72GV1_lipA,72.5
Q72GV2_lipB,72.5
Q72KV2_lepA,72.5
Q8GR85_gdhA-2,67.5
Q72GX8_TT_C1720,72.5
Q72IY0_TT_C1001,72.5
Q72LK2_TT_C0057,90.0
Q72GN3_ispD,72.5
Q72HP0_TT_C1446,72.5
Q8VRL6_pilO,72.5
Q72LI7_TT_C0072,72.5
Q746N9_cbiG,72.5
Q72KI3_acuB,72.5
Q72IJ4_TT_C1138,72.5
Q72HH0_folE,72.5
Q8KLI7_udgb,62.5
Q72H39_TT_C1656,72.5
Q72G64_TT_C1984,77.5
Q72GC7_rsmA,72.5
Q72KD5_mutT,90.0
Q8GR84_,90.0
Q72HK5_TT_C1482,77.5
Q745T6_TT_P0221,72.5
Q72IH1_TT_C1161,72.5
Q72G62_TT_C1986,72.5
Q72KQ5_TT_C0333,72.5
Q72IR7_TT_C1065,72.5
Q72KJ3_TT_C0441,90.0
Q72HT2_TT_C1404,72.5
P62666_rpsF,72.5
Q72HD7_TT_C1556,72.5
Q72GM5_TT_C1823,72.5
Q72IA0_TT_C1232,72.5
Q72K91_TT_C0556,90.0
Q72IH5_TT_C1157,72.5
Q72GX9_TT_C1719,77.5
Q72GB5_vanW,72.5
O87198_lys20,90.0
Q72KX0_TT_C0330,62.5
Q72GR3_TT_C1785,72.5
Q746H7_TT_P0078,46.25
Q72GN5_TT_C1813,72.5
Q72JF8_TT_C0814,72.5
Q8GR86_gdhA-1,90.0
Q72LC5_TT_C0134,72.5
Q72HF3_TT_C1534,72.5
Q72JF3_TT_C0819,72.5
Q72GT7_birA,72.5
Q72GG2_TT_C1886,90.0
Q746F3_TT_P0102,72.5
Q72GC1_TT_C1927,72.5
Q72HF0_TT_C1537,90.0
Q72HA4_TT_C1591,90.0
Q72GP2_TT_C1806,72.5
Q72KN3_TT_C0374,81.25
Q72H86_TT_C1609,72.5
Q72GH0_TT_C1878,62.5
Q72H51_TT_C1644,72.5
Q72I62_dppB,90.0
Q72HA3_TT_C1592,90.0
Q72JF7_TT_C0815,72.5
Q72G96_TT_C1952,72.5
Q72HK0_TT_C1487,72.5
Q72JS0_TT_C0698,90.0
Q72IV3_thrB,90.0
Q72KP1_exbD,72.5
P61526_argG,90.0
Q72HT1_TT_C1405,72.5
Q72JG9_ecJ,72.5
Q72H42_TT_C1653,90.0
Q9ZND9_hacB,90.0
Q72JC9_leuA,72.5
Q72K16_TT_C0602,72.5
Q72KL8_thiE,72.5
Q72L37_TT_C0226,72.5
Q72K62_TT_C0465,72.5
Q746K1_TT_P0052,72.5
Q72GL7_TT_C1831,90.0
Q72GQ9_TT_C1789,90.0
Q72JS5_queA,81.25
Q72H19_tgt,62.5
Q72IQ5_trmFO,72.5
P61661_hisB,72.5
Q72LL0_fabH,72.5
Q72JT0_aroE,72.5
Q745V1_vapC,72.5
Q72K09_tetR,72.5
Q72KR7_mqnA,77.5
Q72JP8_TT_C0720,72.5
Q72H61_TT_C1634,72.5
Q746F4_cas2b,77.5
Q72JZ1_TT_C0627,67.5
Q72KB7_rfaG,72.5
Q72L85_glyQS,52.5
Q745V6_TT_P0199,90.0
Q72KR9_TT_C0422,72.5
Q72IZ9_nfi,72.5
Q72GK0_TT_C1848,72.5
Q72JA4_potB,81.25
Q745Z0_TT_P0165,72.5
Q72LA7_TT_C0152,81.25
P96495_carB,67.5
Q72JV1_TT_C0667,57.5
Q8KZT3_icd,90.0
Q72L61_TT_C0202,72.5
Q72GU1_TT_C1757,72.5
Q72JM8_TT_C0744,72.5
Q72JV0_TT_C0668,90.0
Q72IZ3_TT_C0988,77.5
Q72LI4_yidC,90.0
Q72H46_TT_C1649,72.5
Q72HM0_TT_C1467,77.5
Q72K74_prmA,72.5
Q72HN8_TT_C1448,72.5
Q72GI8_nrdR,72.5
Q72JJ3_TT_C0779,90.0
P61781_hisH,72.5
Q746L7_TT_P0036,90.0
Q72K01_TT_C0617,90.0
Q72IJ9_TT_C1133,90.0
Q72GP4_TT_C1804,72.5
Q72IC9_mqnD,72.5
Q72IH9_purQ,90.0
Q746J6_TT_P0059,72.5
Q72L79_TT_C0181,72.5
Q745V3_TT_P0204,72.5
Q72G93_TT_C1955,72.5
Q72J13_livM,90.0
Q72KZ1_TT_C0274,72.5
Q72JU7_rimM,90.0
Q72I26_map,72.5
Q72KN1_TT_C0376,72.5
Q72GH8_TT_C1870,72.5
Q9WX77_,72.5
Q72GU2_TT_C1756,72.5
Q72JM0_TT_C0752,72.5
Q72H98_pfkA,72.5
Q72GZ0_carA,90.0
Q72LL2_TT_C0047,72.5
Q9F0S9_tmpR,72.5
Q72HH6_TT_C1511,90.0
Q72K12_paaC,62.5
Q72IY4_TT_C0997,72.5
Q72KV7_TT_C0408,77.5
Q72KW3_TT_C0401,90.0
Q745U6_TT_P0211,72.5
Q72JT2_TT_C0686,72.5
Q746P7_cobT,72.5
Q72LF6_acuB,90.0
Q72KV5_TT_C0386,72.5
Q72IZ1_gyrA,67.5
Q72II1_purC,90.0
Q72JE2_TT_C0830,90.0
Q72HF4_glmS,57.5
Q72HM1_rny,72.5
Q72H23_TT_C1672,67.5
Q72KT9_pyrR,72.5
Q72GV7_TT_C1741,57.5
Q72L46_TT_C0217,72.5
Q72JU6_TT_C0672,90.0
Q72IA3_TT_C1229,72.5
