name,pred,sp,exp_tm
P61500_recA,90.0,T.thermophilus,72.06
Q72G97_recG,90.0,T.thermophilus,72.153
P62662_rpsB,90.0,T.thermophilus,72.216
Q746P0_TT_P0013,90.0,T.thermophilus,72.228
Q746N8_cbiX,90.0,T.thermophilus,72.234
Q72H90_soj,72.5,T.thermophilus,72.258
Q72LP8_TT_C0010,81.25,T.thermophilus,72.269
Q72JA0_minD,90.0,T.thermophilus,72.273
Q72L65_hflX,72.5,T.thermophilus,72.276
Q72L52_TT_C0211,90.0,T.thermophilus,72.283
Q72JN6_TT_C0734,57.5,T.thermophilus,72.316
Q72I41_TT_C1291,90.0,T.thermophilus,72.328
Q72JQ4_TT_C0714,72.5,T.thermophilus,72.33
Q72JG1_rimO,90.0,T.thermophilus,72.356
Q72KY6_TT_C0279,57.5,T.thermophilus,72.378
Q72LK3_TT_C0056,90.0,T.thermophilus,72.379
Q72LH6_livF,90.0,T.thermophilus,72.441
Q72J57_TT_C0922,72.5,T.thermophilus,72.471
Q72GX5_pstB,90.0,T.thermophilus,72.472
Q72HC1_rlmN,90.0,T.thermophilus,72.512
Q72IH8_TT_C1154,30.0,T.thermophilus,72.547
Q72IZ8_TT_C0983,90.0,T.thermophilus,72.562
Q72I16_rplE,90.0,T.thermophilus,72.567
P61941_rpsL,60.0,T.thermophilus,72.573
P62663_rpsC,90.0,T.thermophilus,72.621
Q72KA4_TT_C0543,72.5,T.thermophilus,72.621
Q72LA0_TT_C0159,90.0,T.thermophilus,72.623
Q72J11_livF,90.0,T.thermophilus,72.658
P61537_ruvB,90.0,T.thermophilus,72.665
Q72L33_TT_C0230,90.0,T.thermophilus,72.691
Q72J12_livG,90.0,T.thermophilus,72.734
Q72GG8_TT_C1880,72.5,T.thermophilus,72.752
Q72IJ8_TT_C1134,90.0,T.thermophilus,72.86
Q72J51_ftsE,90.0,T.thermophilus,72.886
Q72J39_miaB,90.0,T.thermophilus,72.972
Q72KZ4_TT_C0271,90.0,T.thermophilus,73.132
Q72I11_rplP,57.5,T.thermophilus,73.157
Q72GI4_dcd,90.0,T.thermophilus,73.294
Q72I12_rpmC,90.0,T.thermophilus,73.338
Q72KT1_TT_C0411,90.0,T.thermophilus,73.343
Q72L15_clpP,90.0,T.thermophilus,73.347
Q72HM2_mreB,90.0,T.thermophilus,73.349
Q72IY3_TT_C0998,72.5,T.thermophilus,73.418
Q72HV0_plsX,90.0,T.thermophilus,73.469
Q72KC1_TT_C0526,90.0,T.thermophilus,73.486
Q72L74_plsY,90.0,T.thermophilus,73.558
Q745Z3_TT_P0162,68.75,T.thermophilus,73.594
Q72K96_TT_C0551,90.0,T.thermophilus,73.624
Q72I53_metK,90.0,T.thermophilus,73.648
Q72IN7_TT_C1095,90.0,T.thermophilus,73.667
Q72GJ7_phoU,90.0,T.thermophilus,73.693
Q72I54_TT_C1278,81.25,T.thermophilus,73.702
Q72JC6_TT_C0852,90.0,T.thermophilus,73.707
Q72K93_rnr,90.0,T.thermophilus,73.717
P62657_rpsO,76.25,T.thermophilus,73.801
Q72JC7_TT_C0851,90.0,T.thermophilus,73.932
Q72HG4_TT_C1523,90.0,T.thermophilus,74.007
P62668_rpsH,90.0,T.thermophilus,74.105
Q72LF7_appF,90.0,T.thermophilus,74.211
Q72KN4_TT_C0377,90.0,T.thermophilus,74.219
Q72JH7_TT_C0795,90.0,T.thermophilus,74.223
