name,pred
P61500_recA,90.0
Q72G97_recG,72.5
P62662_rpsB,90.0
Q746P0_TT_P0013,68.75
Q746N8_cbiX,77.5
Q72H90_soj,90.0
Q72LP8_TT_C0010,90.0
Q72JA0_minD,90.0
Q72L65_hflX,90.0
Q72L52_TT_C0211,90.0
Q72JN6_TT_C0734,90.0
Q72I41_TT_C1291,90.0
Q72JQ4_TT_C0714,90.0
Q72JG1_rimO,90.0
Q72KY6_TT_C0279,30.0
Q72LK3_TT_C0056,90.0
Q72LH6_livF,90.0
Q72J57_TT_C0922,72.5
Q72GX5_pstB,73.75
Q72HC1_rlmN,60.0
Q72IH8_TT_C1154,60.0
Q72IZ8_TT_C0983,90.0
Q72I16_rplE,66.25
P61941_rpsL,90.0
P62663_rpsC,67.5
Q72KA4_TT_C0543,77.5
Q72LA0_TT_C0159,90.0
Q72J11_livF,72.5
P61537_ruvB,90.0
Q72L33_TT_C0230,90.0
Q72J12_livG,60.0
Q72GG8_TT_C1880,51.25
Q72IJ8_TT_C1134,90.0
Q72J51_ftsE,42.5
Q72J39_miaB,30.0
Q72KZ4_TT_C0271,73.75
Q72I11_rplP,68.75
Q72GI4_dcd,90.0
Q72I12_rpmC,90.0
Q72KT1_TT_C0411,90.0
Q72L15_clpP,90.0
Q72HM2_mreB,90.0
Q72IY3_TT_C0998,72.5
Q72HV0_plsX,60.0
Q72KC1_TT_C0526,60.0
Q72L74_plsY,90.0
Q745Z3_TT_P0162,30.0
Q72K96_TT_C0551,90.0
Q72I53_metK,30.0
Q72IN7_TT_C1095,90.0
Q72GJ7_phoU,60.0
Q72I54_TT_C1278,90.0
Q72JC6_TT_C0852,90.0
Q72K93_rnr,90.0
P62657_rpsO,76.25
Q72JC7_TT_C0851,72.5
Q72HG4_TT_C1523,30.0
P62668_rpsH,90.0
Q72LF7_appF,90.0
Q72KN4_TT_C0377,90.0
Q72JH7_TT_C0795,90.0
Q72HQ8_TT_C1428,60.0
Q72GX4_pstA,90.0
Q72J58_TT_C0921,90.0
Q72K85_mnmE,67.5
P61989_cbiD,90.0
Q72HI3_TT_C1504,90.0
Q72J29_TT_C0952,90.0
Q746D0_TT_P0125,72.5
Q72IW1_aroB,90.0
Q72IH2_glyA,71.25
Q72JU9_rplS,62.5
Q72G84_rpmB,90.0
Q72GX1_mnmA,90.0
Q746A1_TT_P0154,67.5
Q72KB4_mfd,90.0
Q72JZ8_nadA,60.0
Q72H76_purM,90.0
Q72I07_rplB,90.0
Q72LH3_TT_C0086,66.25
Q72L86_clpA,66.25
Q72KZ7_chlI,90.0
Q72I20_rplR,90.0
Q72I04_rplC,90.0
Q72GJ8_phoB,90.0
Q72JK8_TT_C0764,51.25
Q72GE4_murE,90.0
Q72LQ3_TT_C0005,90.0
Q72KR6_mqnE,30.0
Q72HT7_TT_C1399,90.0
Q72J77_recG,72.5
Q72HA7_TT_C1588,90.0
Q72IN1_rplM,90.0
Q72L56_TT_C0207,72.5
P62667_rpsG,30.0
Q72J09_dppB,90.0
Q72KY9_TT_C0276,90.0
Q72HJ5_TT_C1492,90.0
Q72HJ9_TT_C1488,90.0
Q72K53_ftsK,72.5
Q72GD9_TT_C1909,90.0
P62664_rpsD,90.0
Q72JP5_ftsA,77.5
Q72L14_clpX,60.0
P62655_rpsM,90.0
Q72JU4_ffh,77.5
Q72KY0_TT_C0285,68.75
Q746M7_TT_P0026,90.0
Q8VUS5_lysK,41.25
Q746Q1_TT_P0001,90.0
Q72I09_rplV,73.75
Q72J94_TT_C0885,90.0
Q72LC8_clR,60.0
Q72JB3_leuC,60.0
Q72KF5_phzF,90.0
Q72I14_rplN,90.0
Q72GC0_TT_C1928,90.0
Q72K88_TT_C0559,90.0
P61671_mutS,77.5
Q8VRK4_dprA,90.0
Q72JP4_ftsZ,90.0
Q72JR8_rho,66.25
Q746N0_cobQ,67.5
Q72GQ3_TT_C1795,90.0
Q72HX7_TT_C1355,90.0
P62665_rpsE,77.5
Q72I58_prs,30.0
Q72GU0_rlmH,90.0
Q72KI6_TT_C0489,81.25
Q72IB2_TT_C1220,90.0
Q72JP1_mqnC,60.0
Q72GH2_TT_C1876,43.75
Q746H1_parA,90.0
Q746B7_fdhD,77.5
Q72GF3_TT_C1895,90.0
Q72L10_TT_C0255,77.5
Q72L76_rplT,60.0
Q72LF3_TT_C0106,60.0
Q72GT5_TT_C1763,90.0
Q745U7_TT_P0210,47.5
Q72I55_speA,46.25
Q72J43_TT_C0938,90.0
Q745T7_TT_P0220,90.0
Q72GJ0_TT_C1858,30.0
Q72KK6_TT_C0305,90.0
P16608_trpA,90.0
Q72KK5_TT_C0443,90.0
Q72KE4_TT_C0502,90.0
Q72KK0_TT_C0448,90.0
Q72IE4_TT_C1188,90.0
Q72KU0_pyrB,30.0
Q72KN5_TT_C0373,90.0
Q72IB8_TT_C1214,90.0
Q72IX8_TT_C1003,90.0
Q72GV3_TT_C1745,90.0
Q72JQ1_murD,90.0
Q72LB4_TT_C0145,90.0
Q72KM1_TT_C0312,67.5
Q72LI0_TT_C0079,90.0
Q72ID0_TT_C1202,90.0
P62476_rsmH,53.75
Q72GY1_TT_C1717,81.25
Q8VRL0_pilT,30.0
Q72KU3_pyrD,90.0
Q72IC8_TT_C1204,90.0
Q72JP9_murG,72.5
Q745Y8_TT_P0167,62.5
Q72I66_sfuC,90.0
Q72GD3_TT_C1915,90.0
Q72HR2_rplU,90.0
Q746I9_TT_P0066,90.0
Q72HR7_lytR,90.0
Q72K18_livF,71.25
Q72IC7_TT_C1205,30.0
Q72G65_ispH,90.0
Q72JF0_ychF,90.0
Q8VRL3_pilC,90.0
Q746L5_TT_P0038,90.0
Q745V7_TT_P0198,67.5
Q72J00_TT_C0981,90.0
Q72K73_TT_C0298,90.0
Q72J67_TT_C0912,90.0
Q72GJ2_TT_C1856,90.0
Q72KF9_TT_C0354,90.0
Q72IH7_purL,90.0
P62653_rpsJ,76.25
Q72JS9_TT_C0689,90.0
Q72LF8_appD,90.0
Q72KS4_lon1,90.0
Q72J92_secA,90.0
Q72KX7_TT_C0288,90.0
Q72JZ9_TT_C0619,57.5
Q72GE1_nuoN,90.0
Q72GP3_TT_C1805,73.75
Q72KY3_TT_C0282,90.0
Q746E4_TT_P0111,30.0
Q72GS6_TT_C1772,90.0
Q72JK5_TT_C0767,90.0
Q72K69_prkA,57.5
Q72KG6_TT_C0369,90.0
Q72I19_rplF,90.0
Q72LC7_merR,90.0
Q72KK7_TT_C0304,57.5
P62658_rpsQ,90.0
Q72K11_paaB,57.5
Q72KW2_TT_C0402,72.5
Q72IA1_TT_C1231,81.25
Q72KK1_TT_C0447,77.5
Q72HJ6_trpD,90.0
Q72HN7_TT_C1449,90.0
Q72KI0_TT_C0480,90.0
Q72HU3_TT_C1391,90.0
Q72GY8_TT_C1708,60.0
Q72H32_fmt,72.5
Q72IA2_TT_C1230,90.0
Q72JX0_TT_C0648,60.0
Q8KPZ1_comZ,60.0
Q72JF5_TT_C0817,90.0
Q72KV9_TT_C0405,81.25
Q72HW1_TT_C1371,60.0
Q72HP4_TT_C1442,60.0
Q72LE8_TT_C0111,90.0
Q60050_proB,60.0
Q72JD1_TT_C0847,68.75
Q72K32_TT_C0586,90.0
Q72JV3_TT_C0665,43.75
Q72GX7_recF,90.0
Q72KQ7_TT_C0461,71.25
Q72IQ1_TT_C1081,30.0
Q72J83_dnaG,72.5
Q72JY5_TT_C0633,90.0
Q72HU8_TT_C1386,90.0
Q72GA8_TT_C1940,77.5
Q72IN0_pyrG,90.0
Q72I91_TT_C1241,90.0
Q72L54_TT_C0209,90.0
Q72IK4_ftsH,30.0
Q72LL5_TT_C0044,62.5
Q72GV9_rplA,66.25
Q72HS1_pilT,68.75
Q72H81_dxs,60.0
Q72HX4_pacS,71.25
Q72LK5_TT_C0054,90.0
Q72HW6_TT_C1366,90.0
Q9ZNE0_hacA,90.0
Q746J9_TT_P0054,90.0
Q72L67_TT_C0196,90.0
Q72KL0_TT_C0301,60.0
Q72HC8_TT_C1567,90.0
Q72GH1_TT_C1877,30.0
Q72HD6_TT_C1557,72.5
Q72GW9_pepA,90.0
Q72IJ3_TT_C1139,90.0
Q72IH6_purF,62.5
Q72KR3_TT_C0455,62.5
Q72HE1_TT_C1552,90.0
O87197_uppS,70.0
Q72LD4_vapC,90.0
Q72L21_bioB,60.0
Q72IU4_ccmF,90.0
Q72HK4_glnQ,30.0
Q72I06_rplW,90.0
Q72KF6_TT_C0357,90.0
Q72KF8_pdxT,90.0
Q72GV4_TT_C1744,90.0
Q72LD2_glcF,60.0
Q72J06_TT_C0975,90.0
Q72H31_TT_C1664,90.0
Q72JV5_TT_C0663,71.25
Q72KW8_TT_C0332,90.0
Q72LB2_TT_C0147,71.25
Q72I50_mutS,77.5
Q72IG3_TT_C1169,90.0
Q72H62_TT_C1633,71.25
Q72JP7_murB,90.0
Q72LA1_TT_C0158,90.0
Q72K10_paaA,30.0
Q72HL0_TT_C1477,90.0
P62356_hisA,60.0
Q72HP7_TT_C1439,76.25
Q72IB7_gntR,62.5
P61707_alaS,62.5
Q72GJ4_murA,90.0
Q72HQ7_TT_C1429,30.0
Q72JS1_ribA,57.5
Q72GT2_TT_C1766,90.0
Q72G82_TT_C1966,90.0
Q72JX9_TT_C0639,90.0
Q72JZ6_TT_C0622,62.5
Q72L12_TT_C0253,60.0
Q72HJ4_TT_C1493,90.0
Q72H70_surE1,90.0
Q72JV2_TT_C0666,73.75
Q746H0_TT_P0085,62.5
Q72KM6_TT_C0382,90.0
Q72IM0_TT_C1112,90.0
Q72GW4_tuf1,90.0
Q72HR4_obg,90.0
Q72HL8_TT_C1469,90.0
Q72H18_ispG,90.0
Q72JH2_TT_C0800,90.0
Q72KP4_TT_C0321,60.0
Q72H71_TT_C1624,71.25
Q72JS7_glmM,71.25
Q72I05_rplD,77.5
Q72GS1_rplJ,60.0
Q72GM0_TT_C1828,62.5
Q72KY5_TT_C0280,68.75
Q72JJ4_TT_C0778,71.25
Q72GS0_TT_C1778,60.0
O50147_lysZ,90.0
Q72JY0_TT_C0638,90.0
Q746I1_aidB,62.5
Q72HX1_phoR,90.0
Q72IB3_TT_C1219,60.0
Q84B24_mpgS,90.0
Q72LQ2_vdcC,90.0
Q72HQ6_TT_C1430,30.0
Q72KP6_thiC,60.0
Q746C7_TT_P0128,67.5
Q72HL4_TT_C1473,66.25
Q72J56_sbcD,90.0
Q72J63_TT_C0916,66.25
Q72HY6_TT_C1346,90.0
Q72K64_TT_C0463,90.0
Q72HM7_TT_C1459,60.0
Q746A8_TT_P0147,30.0
Q72JH8_TT_C0794,68.75
Q72IB0_gyrB,71.25
Q72HX9_TT_C1353,30.0
Q72HF6_uvrB,90.0
Q72K76_TT_C0295,60.0
Q72G73_TT_C1975,90.0
Q72IW2_aroK,90.0
Q72IY8_TT_C0993,90.0
Q72G66_nifR,30.0
Q72IR0_TT_C1072,90.0
Q72I24_secY,90.0
Q745T2_TT_P0225,72.5
Q72HK1_TT_C1486,72.5
Q72KE6_TT_C0499,72.5
Q72I42_TT_C1290,90.0
Q72IV6_der,90.0
Q72L01_hslU,90.0
Q746E5_TT_P0110,90.0
Q72H27_TT_C1668,72.5
Q72HH9_TT_C1508,90.0
Q72II9_hemD,90.0
Q72HJ8_TT_C1489,51.25
Q72IU9_TT_C1032,90.0
Q72LD7_TT_C0122,60.0
Q72JY9_TT_C0629,67.5
Q72J33_TT_C0948,66.25
Q72K70_asnC,68.75
Q72KX8_wbpB,90.0
Q72K60_TT_C0467,90.0
Q72GB8_TT_C1930,53.75
Q72IG5_truD,90.0
Q72J90_TT_C0889,90.0
Q72I83_TT_C1249,90.0
Q8RQU3_pilM,90.0
Q746C9_TT_P0126,62.5
Q72H73_pilF,90.0
Q93HR1_gyrB,90.0
Q72J05_TT_C0976,90.0
P61488_ask,90.0
Q72K25_TT_C0593,90.0
Q72L88_TT_C0172,90.0
Q72JA3_potA,30.0
Q72HL3_TT_C1474,90.0
Q72GC8_nuoA,90.0
Q72HG1_TT_C1526,60.0
Q72HM9_TT_C1457,90.0
Q72KT3_TT_C0434,72.5
Q72IE0_TT_C1192,90.0
Q72K92_TT_C0555,90.0
Q72HL7_TT_C1470,90.0
Q72IQ7_uvrA,71.25
Q72IM8_TT_C1104,65.0
Q746H8_TT_P0077,77.5
Q72J04_TT_C0977,90.0
Q72LB6_TT_C0143,90.0
Q72JX4_TT_C0644,46.25
Q72IZ5_TT_C0986,30.0
Q72HC0_TT_C1575,90.0
Q72GX0_TT_C1728,90.0
Q72LJ1_tsY,60.0
Q72L35_TT_C0228,30.0
Q72GQ4_TT_C1794,90.0
Q72GD4_TT_C1914,60.0
Q72G70_TT_C1978,90.0
Q72L97_TT_C0162,90.0
Q72IE5_guaA,90.0
Q72L41_TT_C0222,90.0
Q72KV3_TT_C0388,90.0
Q72GV1_lipA,30.0
Q72GV2_lipB,90.0
Q72KV2_lepA,90.0
Q8GR85_gdhA-2,60.0
Q72GX8_TT_C1720,90.0
Q72IY0_TT_C1001,90.0
Q72LK2_TT_C0057,60.0
Q72GN3_ispD,60.0
Q72HP0_TT_C1446,90.0
Q8VRL6_pilO,72.5
Q72LI7_TT_C0072,90.0
Q746N9_cbiG,90.0
Q72KI3_acuB,60.0
Q72IJ4_TT_C1138,90.0
Q72HH0_folE,90.0
Q8KLI7_udgb,30.0
Q72H39_TT_C1656,30.0
Q72G64_TT_C1984,90.0
Q72GC7_rsmA,90.0
Q72KD5_mutT,90.0
Q8GR84_,90.0
Q72HK5_TT_C1482,90.0
Q745T6_TT_P0221,90.0
Q72IH1_TT_C1161,90.0
Q72G62_TT_C1986,72.5
Q72KQ5_TT_C0333,60.0
Q72IR7_TT_C1065,90.0
Q72KJ3_TT_C0441,90.0
Q72HT2_TT_C1404,62.5
P62666_rpsF,52.5
Q72HD7_TT_C1556,52.5
Q72GM5_TT_C1823,90.0
Q72IA0_TT_C1232,72.5
Q72K91_TT_C0556,90.0
Q72IH5_TT_C1157,48.75
Q72GX9_TT_C1719,41.25
Q72GB5_vanW,90.0
O87198_lys20,90.0
Q72KX0_TT_C0330,71.25
Q72GR3_TT_C1785,90.0
Q746H7_TT_P0078,30.0
Q72GN5_TT_C1813,30.0
Q72JF8_TT_C0814,90.0
Q8GR86_gdhA-1,30.0
Q72LC5_TT_C0134,68.75
Q72HF3_TT_C1534,90.0
Q72JF3_TT_C0819,90.0
Q72GT7_birA,90.0
Q72GG2_TT_C1886,43.75
Q746F3_TT_P0102,67.5
Q72GC1_TT_C1927,90.0
Q72HF0_TT_C1537,90.0
Q72HA4_TT_C1591,30.0
Q72GP2_TT_C1806,53.75
Q72KN3_TT_C0374,60.0
Q72H86_TT_C1609,57.5
Q72GH0_TT_C1878,71.25
Q72H51_TT_C1644,90.0
Q72I62_dppB,90.0
Q72HA3_TT_C1592,90.0
Q72JF7_TT_C0815,90.0
Q72G96_TT_C1952,76.25
Q72HK0_TT_C1487,66.25
Q72JS0_TT_C0698,51.25
Q72IV3_thrB,76.25
Q72KP1_exbD,60.0
P61526_argG,90.0
Q72HT1_TT_C1405,90.0
Q72JG9_ecJ,90.0
Q72H42_TT_C1653,90.0
Q9ZND9_hacB,90.0
Q72JC9_leuA,60.0
Q72K16_TT_C0602,90.0
Q72KL8_thiE,62.5
Q72L37_TT_C0226,90.0
Q72K62_TT_C0465,90.0
Q746K1_TT_P0052,76.25
Q72GL7_TT_C1831,90.0
Q72GQ9_TT_C1789,90.0
Q72JS5_queA,90.0
Q72H19_tgt,57.5
Q72IQ5_trmFO,60.0
P61661_hisB,71.25
Q72LL0_fabH,60.0
Q72JT0_aroE,60.0
Q745V1_vapC,66.25
Q72K09_tetR,90.0
Q72KR7_mqnA,90.0
Q72JP8_TT_C0720,30.0
Q72H61_TT_C1634,66.25
Q746F4_cas2b,90.0
Q72JZ1_TT_C0627,77.5
Q72KB7_rfaG,81.25
Q72L85_glyQS,62.5
Q745V6_TT_P0199,57.5
Q72KR9_TT_C0422,90.0
Q72IZ9_nfi,90.0
Q72GK0_TT_C1848,90.0
Q72JA4_potB,90.0
Q745Z0_TT_P0165,90.0
Q72LA7_TT_C0152,90.0
P96495_carB,90.0
Q72JV1_TT_C0667,43.75
Q8KZT3_icd,90.0
Q72L61_TT_C0202,67.5
Q72GU1_TT_C1757,60.0
Q72JM8_TT_C0744,90.0
Q72JV0_TT_C0668,90.0
Q72IZ3_TT_C0988,90.0
Q72LI4_yidC,90.0
Q72H46_TT_C1649,90.0
Q72HM0_TT_C1467,90.0
Q72K74_prmA,90.0
Q72HN8_TT_C1448,90.0
Q72GI8_nrdR,90.0
Q72JJ3_TT_C0779,90.0
P61781_hisH,90.0
Q746L7_TT_P0036,90.0
Q72K01_TT_C0617,90.0
Q72IJ9_TT_C1133,90.0
Q72GP4_TT_C1804,72.5
Q72IC9_mqnD,72.5
Q72IH9_purQ,90.0
Q746J6_TT_P0059,72.5
Q72L79_TT_C0181,73.75
Q745V3_TT_P0204,72.5
Q72G93_TT_C1955,90.0
Q72J13_livM,90.0
Q72KZ1_TT_C0274,90.0
Q72JU7_rimM,90.0
Q72I26_map,90.0
Q72KN1_TT_C0376,90.0
Q72GH8_TT_C1870,90.0
Q9WX77_,90.0
Q72GU2_TT_C1756,60.0
Q72JM0_TT_C0752,90.0
Q72H98_pfkA,55.0
Q72GZ0_carA,68.75
Q72LL2_TT_C0047,66.25
Q9F0S9_tmpR,90.0
Q72HH6_TT_C1511,90.0
Q72K12_paaC,30.0
Q72IY4_TT_C0997,71.25
Q72KV7_TT_C0408,30.0
Q72KW3_TT_C0401,30.0
Q745U6_TT_P0211,51.25
Q72JT2_TT_C0686,30.0
Q746P7_cobT,60.0
Q72LF6_acuB,90.0
Q72KV5_TT_C0386,90.0
Q72IZ1_gyrA,90.0
Q72II1_purC,90.0
Q72JE2_TT_C0830,90.0
Q72HF4_glmS,90.0
Q72HM1_rny,90.0
Q72H23_TT_C1672,90.0
Q72KT9_pyrR,60.0
Q72GV7_TT_C1741,30.0
Q72L46_TT_C0217,90.0
Q72JU6_TT_C0672,90.0
Q72IA3_TT_C1229,90.0
