name,pred,exp_tm
CSP_ind_0,30.0,40.0
CSP_ind_1,77.5,81.5
CSP_ind_2,72.5,79.0
CSP_ind_3,30.0,60.0
CSP_ind_4,30.0,62.0
CSP_ind_5,30.0,53.8
CSP_ind_6,72.5,76.9
CSP_ind_7,30.0,58.4
CSP_ind_8,57.5,61.0
CSP_ind_9,57.5,59.8
CSP_ind_10,62.5,76.0
CSP_ind_12,42.5,64.2
CSP_ind_13,62.5,77.0
CSP_ind_14,57.5,69.5
CSP_ind_15,57.5,83.7
CSP_ind_16,57.5,61.1
CSP_ind_17,52.5,75.7
CSP_ind_18,62.5,85.0
CSP_ind_19,57.5,74.7
CSP_ind_20,42.5,50.7
CSP_ind_21,72.5,82.2
CSP_ind_22,52.5,70.1
CSP_ind_23,62.5,75.1
CSP_ind_24,30.0,63.1
CSP_ind_25,57.5,70.4
CSP_ind_26,62.5,69.6
CSP_ind_27,30.0,64.0
CSP_ind_28,47.5,64.6
CSP_ind_29,30.0,49.1
CSP_ind_30,30.0,51.3
CSP_ind_31,30.0,60.2
CSP_ind_32,30.0,65.6
CSP_ind_33,30.0,61.9
CSP_ind_34,30.0,57.1
CSP_ind_35,57.5,74.6
CSP_ind_36,62.5,69.2
CSP_ind_37,38.75,73.2
CSP_ind_38,30.0,71.8
CSP_ind_39,62.5,74.5
CSP_ind_40,62.5,78.1
CSP_ind_41,62.5,70.8
CSP_ind_42,72.5,85.6
CSP_ind_43,57.5,69.3
CSP_ind_44,30.0,54.7
CSP_ind_45,47.5,70.7
CSP_ind_46,62.5,71.2
CSP_ind_47,57.5,69.4
CSP_ind_48,57.5,69.9
CSP_ind_49,30.0,48.6
CSP_ind_50,57.5,62.2
CSP_ind_51,30.0,57.9
CSP_ind_52,62.5,67.6
CSP_ind_53,62.5,69.7
CSP_ind_54,62.5,77.0
CSP_ind_55,47.5,61.5
CSP_ind_56,57.5,62.7
CSP_ind_57,30.0,51.8
CSP_ind_58,57.5,59.9
CSP_ind_59,62.5,68.8
CSP_ind_60,30.0,62.4
CSP_ind_61,47.5,66.7
CSP_ind_62,30.0,66.4
CSP_ind_63,30.0,64.4
CSP_ind_64,57.5,66.8
CSP_ind_65,72.5,73.5
CSP_ind_66,67.5,74.0
CSP_ind_67,72.5,75.4
CSP_ind_68,72.5,77.7
CSP_ind_69,72.5,76.0
CSP_ind_70,67.5,73.5
CSP_ind_71,72.5,74.4
CSP_ind_72,30.0,63.0
CSP_ind_73,30.0,56.0
CSP_ind_74,30.0,63.0
CSP_ind_75,72.5,80.9
CSP_ind_76,57.5,59.1
CSP_ind_77,47.5,60.0
CSP_ind_78,47.5,64.6
CSP_ind_79,30.0,44.6
CSP_ind_80,30.0,50.3
CSP_ind_81,57.5,70.9
CSP_ind_82,67.5,76.1
CSP_ind_83,57.5,64.9
CSP_ind_84,72.5,79.2
CSP_ind_85,72.5,76.7
CSP_ind_86,67.5,75.0
CSP_ind_87,67.5,74.7
CSP_ind_88,62.5,75.9
CSP_ind_89,72.5,77.8
CSP_ind_90,72.5,77.8
CSP_ind_91,62.5,75.4
CSP_ind_92,57.5,68.0
CSP_ind_93,57.5,75.0
CSP_ind_94,72.5,76.1
CSP_ind_95,72.5,75.1
CSP_ind_96,62.5,66.6
CSP_ind_97,62.5,68.9
CSP_ind_98,72.5,76.9
