name,pred,exp_tm
6IBB,30.0,72.12
5MP2,30.0,70.27
6XW6,30.0,66.07
7BC6,30.0,63.0
5MY6,30.0,74.28
6SC5,30.0,65.24
6RTW,30.0,64.21
1ZVY,30.0,65.1
7DSS,30.0,67.53
7AZB,30.0,59.91
5IP4,30.0,63.24
3K81,30.0,64.1
3QXV,30.0,67.24
6RL7,30.0,72.09
5L21,30.0,66.86
6DBD,30.0,65.6
7NQA,30.0,65.87
6UI1,30.0,67.83
6X05,30.0,66.67
7B27,30.0,65.74
1BZQ_NbThermo.00491,30.0,70.11
1JTO_NbThermo.00112,30.0,67.01
1KXT,30.0,57.85
1KXV,30.0,56.99
1QD0,30.0,66.56
1RI8,30.0,78.14
2BSE,30.0,75.23
2X6M,30.0,67.13
3DWT_NbThermo.00113_NbThermo.00133,30.0,77.72
3EBA,30.0,86.21
3G9A,30.0,66.55
3J69,30.0,66.03
3J6A,30.0,69.02
3P9W,30.0,60.0
3SN6,30.0,60.26
4B5E,30.0,61.66
4C57,30.0,63.78
4I0C,30.0,75.79
4I13,30.0,65.39
4IDL,30.0,53.76
4LJP,30.0,71.72
4LJS,30.0,72.49
4QGY,30.0,74.65
4YGA,30.0,73.41
4Z9K_NbThermo.00231,30.0,73.49
5C1M,30.0,61.35
5FOJ,30.0,70.81
5J56,30.0,73.74
5KU2,30.0,55.16
5M2M,30.0,74.98
5NM0,30.0,72.73
5O03,30.0,69.2
5OCL,30.0,71.69
5OVW,30.0,76.47
5TD8,30.0,66.55
5TJW,30.0,66.25
5U64,30.0,73.39
5VLV,30.0,69.62
5VM4,30.0,72.93
5VXK,30.0,65.75
6CK8,30.0,66.66
6EQI,30.0,62.47
6FYU,30.0,64.58
6GWN,30.0,64.42
6HEQ,30.0,60.61
6HHU,30.0,70.29
6I2G,30.0,61.03
6I8H,30.0,66.04
6ITP,30.0,68.38
6KNM,30.0,69.42
6KSN,30.0,63.03
6OBC,30.0,64.04
6OQ5,30.0,65.81
6OS1,30.0,71.54
6QKD,30.0,69.2
6QV1,30.0,63.83
6RAF,30.0,86.19
6U12,30.0,61.28
6U50,30.0,57.07
6U53,30.0,65.19
6X02,30.0,76.46
6X03,30.0,66.97
6XXN,30.0,80.66
7B18,30.0,66.14
7E9G,30.0,59.28
7JVB_NbThermo.00028,30.0,72.91
7KBI,30.0,63.45
7MJH,30.0,59.64
7MY3,30.0,60.89
7NQK,30.0,66.46
7OAN,30.0,67.55
7OAP,30.0,69.0
7OLZ,30.0,68.79
sdAb.4875,30.0,84.2
7KGJ,30.0,61.6
NbPep1_NbThermo.00045,30.0,71.86
NbPep2_NbThermo.00046,30.0,76.13
NbD1_NbThermo.00047,30.0,65.94
NbPep3_NbThermo.00048,30.0,60.68
NbPep4_NbThermo.00049,30.0,67.33
NbD9_NbThermo.00050,30.0,63.12
NbD8_NbThermo.00051,30.0,57.2
NbPep5_NbThermo.00052,30.0,70.44
NbPep7_NbThermo.00054,30.0,68.49
NbD6_NbThermo.00056,30.0,70.75
NbPep9_NbThermo.00057,30.0,72.41
NbPep13_NbThermo.00061,30.0,69.19
NbPep14_NbThermo.00062,30.0,72.02
NbPep15_NbThermo.00063,30.0,67.08
NbPep16_NbThermo.00064,30.0,74.44
NbPep17_NbThermo.00065,30.0,71.28
NbPep18_NbThermo.00066,30.0,70.65
NbD4_NbThermo.00069,30.0,57.46
NbD3_NbThermo.00085,30.0,68.48
NbD2_NbThermo.00086,30.0,66.53
NbD5_NbThermo.00087,30.0,58.19
NbPep47_NbThermo.00095,30.0,67.06
NbPep50_NbThermo.00096,30.0,62.39
NbPep51_NbThermo.00097,30.0,72.45
NbPep52_NbThermo.00098,30.0,59.0
NbPep10_NbThermo.00058,30.0,84.58
NbPep11_NbThermo.00059,30.0,68.0
NbPep12_NbThermo.00060,30.0,68.57
NbPep19_NbThermo.00067,30.0,71.43
NbD12_NbThermo.00070,30.0,61.46
NbPep21_NbThermo.00071,30.0,68.73
NbPep22_NbThermo.00072,30.0,69.54
NbPep23_NbThermo.00073,30.0,69.63
NbPep24_NbThermo.00074,30.0,76.09
NbPep25_NbThermo.00075,30.0,68.33
NbD10_NbThermo.00076,30.0,59.54
NbPep26_NbThermo.00077,30.0,72.88
NbPep27_NbThermo.00078,30.0,85.8
NbPep28_NbThermo.00079,30.0,63.9
