name,pred,exp_tm
WP_068424237.1,30.0,42.7
WP_229068674.1,30.0,67.3
MGYP001121581011,30.0,74.2
WP_085753242.1,30.0,49.3
WP_103564847.1,30.0,53.8
WP_240508704.1,47.5,57.4
RAY11579.1,62.5,69.4
WP_230616214.1,47.5,73.9
MGYP000271253724,30.0,63.4
NUT34383.1,30.0,48.7
WP_139580723.1,30.0,68.5
MBT8227529.1,30.0,47.5
MGYP001097842225,42.5,59.2
WP_242883606.1,38.75,69.1
WP_231775152.1,30.0,45.7
WP_231443412.1,30.0,42.7
WP_221382552.1,30.0,59.8
WP_218617243.1,30.0,60.1
OAA20861.1,42.5,43.0
WP_019629726.1,30.0,46.6
KAA1376628.1,30.0,35.8
MBX3624429.1,30.0,56.2
MGYP001149455765,57.5,68.8
WP_184682765.1,30.0,59.5
MBB5966108.1,30.0,39.1
WP_077315388.1,30.0,45.7
ACV09511,42.5,42.4
WP_085750434.1,47.5,47.8
WP_166054040.1,30.0,49.9
WP_042734330.1,30.0,60.4
WP_203674568.1,30.0,44.2
WP_084693247.1,57.5,68.8
TDP67440,52.5,46.9
WP_201805840.1,30.0,44.5
WP_233427406.1,30.0,40.3
MGYP001489421514,52.5,56.2
OKI36454.1,30.0,58.0
MBJ7347705.1,30.0,63.1
WP_119729924.1,47.5,43.9
WP_035284691,30.0,51.7
WP_187224800.1,30.0,49.6
MGYP000221121644,30.0,57.1
WP_129786244.1,30.0,52.0
WP_130342639,30.0,50.5
WP_199827708.1,42.5,66.1
WP_228771581.1,62.5,66.1
WP_194636445.1,30.0,47.5
WP_114422580.1,30.0,65.8
WP_203733135.1,30.0,61.9
WP_233872418.1,30.0,51.4
WP_103564314,30.0,46.9
WP_103935912.1,30.0,49.3
SCE72613.1,47.5,40.6
WP_261809161.1,30.0,46.3
WP_013736455.1,30.0,63.1
WP_164449727.1,30.0,62.8
MXX05622.1,62.5,52.3
MGYP002620941758,57.5,69.1
MBN1171866.1,30.0,64.3
MBO9569276.1,30.0,55.6
