name,pred,exp_tm
1,30.0,34.8
2,30.0,39.8
3,42.5,41.5
4,30.0,41.6
5,42.5,42.1
6,30.0,43.2
7,30.0,43.7
8,30.0,44.2
9,30.0,44.5
10,30.0,44.6
11,30.0,45.0
12,30.0,45.8
13,30.0,46.0
14,42.5,46.5
15,30.0,46.7
16,30.0,47.0
17,30.0,47.6
18,30.0,47.8
19,30.0,48.0
20,38.75,48.3
21,60.0,49.2
22,30.0,49.2
23,30.0,49.3
24,30.0,49.3
25,30.0,49.6
26,30.0,50.4
27,30.0,50.5
28,30.0,51.0
29,30.0,51.0
30,30.0,51.0
31,30.0,51.0
32,30.0,52.5
33,38.75,51.4
34,30.0,51.5
35,30.0,51.5
36,30.0,51.5
37,30.0,51.9
38,30.0,52.0
39,30.0,52.1
40,30.0,52.1
41,30.0,52.3
42,30.0,52.5
43,30.0,52.6
44,30.0,52.6
45,30.0,52.7
46,30.0,52.9
47,30.0,53.0
48,30.0,53.0
49,30.0,53.2
50,30.0,53.6
51,30.0,53.6
52,30.0,53.7
53,30.0,53.8
54,30.0,53.9
55,42.5,53.9
56,30.0,54.0
57,30.0,54.0
58,42.5,54.4
59,30.0,54.6
60,30.0,54.6
61,30.0,55.0
62,30.0,56.0
63,30.0,56.2
64,30.0,56.5
65,30.0,56.7
66,30.0,56.9
67,30.0,57.0
68,30.0,57.1
69,30.0,57.1
70,30.0,57.1
71,30.0,57.2
72,30.0,57.3
73,47.5,57.4
74,30.0,57.5
75,30.0,57.5
76,30.0,57.7
77,30.0,57.8
78,30.0,57.9
79,30.0,58.0
80,30.0,58.0
81,42.5,58.5
82,30.0,58.9
83,30.0,59.0
84,30.0,59.0
85,68.75,59.0
86,30.0,59.0
88,30.0,59.5
89,30.0,60.0
90,30.0,60.0
91,52.5,60.6
92,30.0,60.9
93,30.0,61.0
94,52.5,61.2
95,42.5,61.4
96,30.0,61.4
97,42.5,62.0
98,30.0,62.2
99,30.0,62.5
100,30.0,62.7
101,55.0,63.0
102,30.0,63.1
103,66.25,63.2
104,42.5,63.5
105,30.0,63.6
106,50.0,63.7
107,30.0,64.0
108,47.5,64.3
109,38.75,64.4
110,30.0,64.6
111,30.0,64.7
112,62.5,64.9
113,30.0,64.9
114,47.5,64.9
115,30.0,65.0
116,30.0,65.0
117,42.5,65.0
118,30.0,65.1
119,30.0,65.2
120,30.0,65.5
121,47.5,66.0
122,30.0,66.0
123,47.5,66.0
124,62.5,66.2
125,30.0,66.2
126,38.75,66.4
127,30.0,66.6
128,30.0,66.7
129,30.0,66.9
130,30.0,67.0
131,57.5,67.0
132,42.5,67.2
133,47.5,67.6
134,52.5,67.7
135,53.75,68.5
137,76.25,68.7
138,52.5,68.9
139,30.0,69.0
140,30.0,69.0
141,42.5,69.8
142,30.0,69.2
143,30.0,69.6
144,46.25,70.0
145,62.5,70.0
146,30.0,70.0
147,30.0,70.2
148,30.0,70.2
149,62.5,70.4
150,52.5,70.6
151,30.0,70.7
152,30.0,71.0
153,62.5,71.2
154,30.0,71.2
155,30.0,72.0
156,30.0,72.4
157,62.5,72.9
158,42.5,73.0
159,30.0,73.3
160,30.0,73.9
161,30.0,74.0
162,30.0,74.3
163,30.0,75.5
164,30.0,76.0
165,30.0,76.8
166,72.5,76.9
167,57.5,77.6
168,30.0,78.0
169,30.0,78.0
170,68.75,78.3
171,30.0,79.4
172,72.5,79.4
173,73.75,79.4
174,30.0,79.5
175,62.5,80.1
176,30.0,80.2
177,30.0,80.2
178,62.5,80.8
179,47.5,81.6
180,30.0,82.0
181,68.75,82.2
182,76.25,84.3
183,30.0,84.8
184,30.0,85.2
185,90.0,85.2
186,30.0,85.8
187,90.0,85.9
188,62.5,86.0
189,30.0,86.0
190,30.0,86.5
191,62.5,87.5
192,30.0,87.5
193,60.0,87.8
194,30.0,88.0
195,72.5,88.0
196,52.5,88.3
197,81.25,89.0
198,30.0,90.0
199,42.5,90.0
200,60.0,90.1
201,30.0,90.3
202,90.0,90.3
203,90.0,91.0
204,62.5,91.0
205,90.0,93.8
206,90.0,94.9
207,77.5,98.6
208,90.0,99.0
209,90.0,99.0
210,90.0,100.8
211,90.0,100.9
212,90.0,104.3
213,62.5,104.5
214,77.5,108.0
215,30.0,108.0
216,90.0,111.5
217,72.5,112.7
218,90.0,114.5
219,90.0,120.1
220,30.0,121.6
221,90.0,143.8
222,90.0,148.5
1MBG,72.5,39.3
1DO9,57.5,48.5
1CX1,30.0,49.4
1PRR,52.5,52.6
1ACP,30.0,52.7
1LS4,47.5,53.0
1APC,30.0,54.0
1EXG,30.0,56.4
1BUJ,30.0,56.5
1AG4,30.0,57.9
1BUY,50.0,60.6
1HCD,42.5,61.7
1LCD,30.0,65.0
1QND,57.5,70.5
1OTR,30.0,71.2
1HYW,30.0,71.7
1BTA,30.0,72.0
1TIT,47.5,73.0
1DEC,52.5,74.0
2M3T,30.0,75.0
1K42,57.5,75.8
3AIT,30.0,81.6
1G6P,77.5,82.0
1COK,30.0,93.5
1DVC,30.0,94.5
1BFM,90.0,101.0
