name,pred,sp,exp_tm
P61500_recA,70.56453704833984,T.thermophilus,72.06
Q72G97_recG,84.65181732177734,T.thermophilus,72.153
P62662_rpsB,75.89778137207031,T.thermophilus,72.216
Q746P0_TT_P0013,84.68221282958984,T.thermophilus,72.228
Q746N8_cbiX,84.7773666381836,T.thermophilus,72.234
Q72H90_soj,84.72852325439453,T.thermophilus,72.258
Q72LP8_TT_C0010,57.804046630859375,T.thermophilus,72.269
Q72JA0_minD,82.2943344116211,T.thermophilus,72.273
Q72L65_hflX,84.72891998291016,T.thermophilus,72.276
Q72L52_TT_C0211,65.49574279785156,T.thermophilus,72.283
Q72JN6_TT_C0734,71.45926666259766,T.thermophilus,72.316
Q72I41_TT_C1291,78.41468811035156,T.thermophilus,72.328
Q72JQ4_TT_C0714,84.72891998291016,T.thermophilus,72.33
Q72JG1_rimO,66.55744171142578,T.thermophilus,72.356
Q72KY6_TT_C0279,73.055419921875,T.thermophilus,72.378
Q72LK3_TT_C0056,84.79930877685547,T.thermophilus,72.379
Q72LH6_livF,81.09913635253906,T.thermophilus,72.441
Q72J57_TT_C0922,81.3046646118164,T.thermophilus,72.471
Q72GX5_pstB,57.54389190673828,T.thermophilus,72.472
Q72HC1_rlmN,71.79962921142578,T.thermophilus,72.512
Q72IH8_TT_C1154,84.26964569091797,T.thermophilus,72.547
Q72IZ8_TT_C0983,83.45858001708984,T.thermophilus,72.562
Q72I16_rplE,70.8236083984375,T.thermophilus,72.567
P61941_rpsL,76.8879623413086,T.thermophilus,72.573
P62663_rpsC,73.10902404785156,T.thermophilus,72.621
Q72KA4_TT_C0543,77.94950103759766,T.thermophilus,72.621
Q72LA0_TT_C0159,78.54055786132812,T.thermophilus,72.623
Q72J11_livF,73.86567687988281,T.thermophilus,72.658
P61537_ruvB,69.91686248779297,T.thermophilus,72.665
Q72L33_TT_C0230,84.6555404663086,T.thermophilus,72.691
Q72J12_livG,77.33810424804688,T.thermophilus,72.734
Q72GG8_TT_C1880,66.24456787109375,T.thermophilus,72.752
Q72IJ8_TT_C1134,77.55233764648438,T.thermophilus,72.86
Q72J51_ftsE,48.53531646728516,T.thermophilus,72.886
Q72J39_miaB,76.83748626708984,T.thermophilus,72.972
Q72KZ4_TT_C0271,73.68389892578125,T.thermophilus,73.132
Q72I11_rplP,56.52807235717773,T.thermophilus,73.157
Q72GI4_dcd,73.9084701538086,T.thermophilus,73.294
Q72I12_rpmC,68.89275360107422,T.thermophilus,73.338
Q72KT1_TT_C0411,84.72762298583984,T.thermophilus,73.343
Q72L15_clpP,69.48009490966797,T.thermophilus,73.347
Q72HM2_mreB,70.04053497314453,T.thermophilus,73.349
Q72IY3_TT_C0998,84.71935272216797,T.thermophilus,73.418
Q72HV0_plsX,76.63833618164062,T.thermophilus,73.469
Q72KC1_TT_C0526,83.95490264892578,T.thermophilus,73.486
Q72L74_plsY,84.64891815185547,T.thermophilus,73.558
Q745Z3_TT_P0162,77.72745513916016,T.thermophilus,73.594
Q72K96_TT_C0551,84.02338409423828,T.thermophilus,73.624
Q72I53_metK,55.34701919555664,T.thermophilus,73.648
Q72IN7_TT_C1095,80.70417785644531,T.thermophilus,73.667
Q72GJ7_phoU,82.21487426757812,T.thermophilus,73.693
Q72I54_TT_C1278,70.19842529296875,T.thermophilus,73.702
Q72JC6_TT_C0852,82.40271759033203,T.thermophilus,73.707
Q72K93_rnr,84.27588653564453,T.thermophilus,73.717
P62657_rpsO,75.05168914794922,T.thermophilus,73.801
Q72JC7_TT_C0851,54.82944488525391,T.thermophilus,73.932
Q72HG4_TT_C1523,84.62348175048828,T.thermophilus,74.007
P62668_rpsH,71.76057434082031,T.thermophilus,74.105
Q72LF7_appF,70.8416519165039,T.thermophilus,74.211
Q72KN4_TT_C0377,69.9426498413086,T.thermophilus,74.219
Q72JH7_TT_C0795,74.50188446044922,T.thermophilus,74.223
Q72HQ8_TT_C1428,82.36236572265625,T.thermophilus,74.253
Q72GX4_pstA,58.97685241699219,T.thermophilus,74.329
Q72J58_TT_C0921,84.79473114013672,T.thermophilus,74.333
Q72K85_mnmE,78.32608795166016,T.thermophilus,74.34
P61989_cbiD,75.56681060791016,T.thermophilus,74.514
Q72HI3_TT_C1504,84.76944732666016,T.thermophilus,74.517
Q72J29_TT_C0952,84.79932403564453,T.thermophilus,74.567
