name,pred,sp,exp_tm
P61500_recA,82.77272033691406,T.thermophilus,72.06
Q72G97_recG,84.79932403564453,T.thermophilus,72.153
P62662_rpsB,45.84239959716797,T.thermophilus,72.216
Q746P0_TT_P0013,84.79932403564453,T.thermophilus,72.228
Q746N8_cbiX,84.79932403564453,T.thermophilus,72.234
Q72H90_soj,84.79935455322266,T.thermophilus,72.258
Q72LP8_TT_C0010,84.79932403564453,T.thermophilus,72.269
Q72JA0_minD,83.68074798583984,T.thermophilus,72.273
Q72L65_hflX,84.79932403564453,T.thermophilus,72.276
Q72L52_TT_C0211,70.87079620361328,T.thermophilus,72.283
Q72JN6_TT_C0734,84.5019302368164,T.thermophilus,72.316
Q72I41_TT_C1291,84.79911041259766,T.thermophilus,72.328
Q72JQ4_TT_C0714,84.79932403564453,T.thermophilus,72.33
Q72JG1_rimO,84.59989166259766,T.thermophilus,72.356
Q72KY6_TT_C0279,77.45668029785156,T.thermophilus,72.378
Q72LK3_TT_C0056,84.79932403564453,T.thermophilus,72.379
Q72LH6_livF,84.00569915771484,T.thermophilus,72.441
Q72J57_TT_C0922,84.79932403564453,T.thermophilus,72.471
Q72GX5_pstB,48.28754425048828,T.thermophilus,72.472
Q72HC1_rlmN,76.16000366210938,T.thermophilus,72.512
Q72IH8_TT_C1154,83.95336151123047,T.thermophilus,72.547
Q72IZ8_TT_C0983,82.73409271240234,T.thermophilus,72.562
Q72I16_rplE,72.28627014160156,T.thermophilus,72.567
P61941_rpsL,44.52262878417969,T.thermophilus,72.573
P62663_rpsC,84.24260711669922,T.thermophilus,72.621
Q72KA4_TT_C0543,84.79932403564453,T.thermophilus,72.621
Q72LA0_TT_C0159,84.79932403564453,T.thermophilus,72.623
Q72J11_livF,69.92366790771484,T.thermophilus,72.658
P61537_ruvB,84.79932403564453,T.thermophilus,72.665
Q72L33_TT_C0230,84.79932403564453,T.thermophilus,72.691
Q72J12_livG,71.70210266113281,T.thermophilus,72.734
Q72GG8_TT_C1880,71.8144302368164,T.thermophilus,72.752
Q72IJ8_TT_C1134,84.79943084716797,T.thermophilus,72.86
Q72J51_ftsE,73.12303924560547,T.thermophilus,72.886
Q72J39_miaB,61.19902801513672,T.thermophilus,72.972
Q72KZ4_TT_C0271,70.31761169433594,T.thermophilus,73.132
Q72I11_rplP,57.65876770019531,T.thermophilus,73.157
Q72GI4_dcd,66.7958755493164,T.thermophilus,73.294
Q72I12_rpmC,51.54578399658203,T.thermophilus,73.338
Q72KT1_TT_C0411,84.79932403564453,T.thermophilus,73.343
Q72L15_clpP,58.91841125488281,T.thermophilus,73.347
Q72HM2_mreB,74.33895111083984,T.thermophilus,73.349
Q72IY3_TT_C0998,84.79932403564453,T.thermophilus,73.418
Q72HV0_plsX,84.79932403564453,T.thermophilus,73.469
Q72KC1_TT_C0526,84.50370025634766,T.thermophilus,73.486
Q72L74_plsY,84.79932403564453,T.thermophilus,73.558
Q745Z3_TT_P0162,47.33229064941406,T.thermophilus,73.594
Q72K96_TT_C0551,82.70191192626953,T.thermophilus,73.624
Q72I53_metK,83.95311737060547,T.thermophilus,73.648
Q72IN7_TT_C1095,84.79932403564453,T.thermophilus,73.667
Q72GJ7_phoU,76.35462951660156,T.thermophilus,73.693
Q72I54_TT_C1278,84.79932403564453,T.thermophilus,73.702
Q72JC6_TT_C0852,82.73310089111328,T.thermophilus,73.707
Q72K93_rnr,84.79932403564453,T.thermophilus,73.717
P62657_rpsO,64.95254516601562,T.thermophilus,73.801
Q72JC7_TT_C0851,55.5955810546875,T.thermophilus,73.932
Q72HG4_TT_C1523,84.79932403564453,T.thermophilus,74.007
P62668_rpsH,80.30033111572266,T.thermophilus,74.105
