name,pred,exp_tm
CSP_ind_0,46.9547119140625,40.0
CSP_ind_1,75.07720184326172,81.5
CSP_ind_2,69.77538299560547,79.0
CSP_ind_3,69.74657440185547,60.0
CSP_ind_4,69.61402893066406,62.0
CSP_ind_5,61.86286544799805,53.8
CSP_ind_6,72.25556945800781,76.9
CSP_ind_7,75.04891204833984,58.4
CSP_ind_8,77.33989715576172,61.0
CSP_ind_9,76.56488800048828,59.8
CSP_ind_10,71.60400390625,76.0
CSP_ind_12,67.29259490966797,64.2
CSP_ind_13,69.34921264648438,77.0
CSP_ind_14,69.57199096679688,69.5
CSP_ind_15,68.60222625732422,83.7
CSP_ind_16,70.03939819335938,61.1
CSP_ind_17,68.61844635009766,75.7
CSP_ind_18,69.66173553466797,85.0
CSP_ind_19,69.68309020996094,74.7
CSP_ind_20,64.36673736572266,50.7
CSP_ind_21,72.99796295166016,82.2
CSP_ind_22,69.88338470458984,70.1
CSP_ind_23,72.75162506103516,75.1
CSP_ind_24,60.82014083862305,63.1
CSP_ind_25,67.00617218017578,70.4
CSP_ind_26,67.61732482910156,69.6
CSP_ind_27,65.4757308959961,64.0
CSP_ind_28,69.3508529663086,64.6
CSP_ind_29,55.56356048583984,49.1
CSP_ind_30,59.49249267578125,51.3
CSP_ind_31,60.44236373901367,60.2
CSP_ind_32,62.96653747558594,65.6
CSP_ind_33,62.27017974853516,61.9
CSP_ind_34,59.14030456542969,57.1
CSP_ind_35,69.30707550048828,74.6
CSP_ind_36,69.91206359863281,69.2
CSP_ind_37,69.15597534179688,73.2
CSP_ind_38,68.61248779296875,71.8
CSP_ind_39,73.0084228515625,74.5
CSP_ind_40,70.86652374267578,78.1
CSP_ind_41,71.27324676513672,70.8
CSP_ind_42,71.5550765991211,85.6
CSP_ind_43,69.57290649414062,69.3
CSP_ind_44,53.99537658691406,54.7
CSP_ind_45,72.0216064453125,70.7
CSP_ind_46,71.2834701538086,71.2
CSP_ind_47,69.51551055908203,69.4
CSP_ind_48,69.9209976196289,69.9
CSP_ind_49,65.15695190429688,48.6
CSP_ind_50,68.38355255126953,62.2
CSP_ind_51,66.16968536376953,57.9
CSP_ind_52,70.95008850097656,67.6
CSP_ind_53,71.65180206298828,69.7
CSP_ind_54,71.27306365966797,77.0
CSP_ind_55,70.663818359375,61.5
CSP_ind_56,73.22534942626953,62.7
CSP_ind_57,64.65200805664062,51.8
CSP_ind_58,68.60552215576172,59.9
CSP_ind_59,69.95960998535156,68.8
CSP_ind_60,60.020545959472656,62.4
CSP_ind_61,67.33839416503906,66.7
CSP_ind_62,66.61538696289062,66.4
CSP_ind_63,66.89424133300781,64.4
CSP_ind_64,66.77359771728516,66.8
CSP_ind_65,71.28617858886719,73.5
CSP_ind_66,71.61518096923828,74.0
CSP_ind_67,71.43074035644531,75.4
CSP_ind_68,72.41455078125,77.7
CSP_ind_69,72.94689178466797,76.0
CSP_ind_70,72.92692565917969,73.5
CSP_ind_71,71.7841796875,74.4
CSP_ind_72,69.7450180053711,63.0
CSP_ind_73,69.73948669433594,56.0
CSP_ind_74,69.7453842163086,63.0
CSP_ind_75,73.37786865234375,80.9
CSP_ind_76,70.35002899169922,59.1
CSP_ind_77,68.885009765625,60.0
CSP_ind_78,69.92243194580078,64.6
CSP_ind_79,69.91948699951172,44.6
CSP_ind_80,69.1435317993164,50.3
CSP_ind_81,71.04487609863281,70.9
CSP_ind_82,71.42353057861328,76.1
CSP_ind_83,71.16527557373047,64.9
CSP_ind_84,71.72723388671875,79.2
CSP_ind_85,72.02983093261719,76.7
CSP_ind_86,70.27084350585938,75.0
CSP_ind_87,70.18511199951172,74.7
CSP_ind_88,69.16826629638672,75.9
CSP_ind_89,70.30554962158203,77.8
CSP_ind_90,72.0962905883789,77.8
CSP_ind_91,71.75721740722656,75.4
CSP_ind_92,70.90279388427734,68.0
CSP_ind_93,73.91329193115234,75.0
CSP_ind_94,72.92192840576172,76.1
CSP_ind_95,71.13697052001953,75.1
CSP_ind_96,71.81470489501953,66.6
CSP_ind_97,71.07392883300781,68.9
CSP_ind_98,73.82759094238281,76.9
