name,pred,exp_tm
6IBB,52.74874114990234,72.12
5MP2,53.6959114074707,70.27
6XW6,52.75537109375,66.07
7BC6,53.25910186767578,63.0
5MY6,52.77108383178711,74.28
6SC5,54.25377655029297,65.24
6RTW,52.81028366088867,64.21
1ZVY,51.74462890625,65.1
7DSS,52.62264251708984,67.53
7AZB,52.74845886230469,59.91
5IP4,52.74846267700195,63.24
3K81,52.75244903564453,64.1
3QXV,52.77858352661133,67.24
6RL7,52.74840927124024,72.09
5L21,53.17471694946289,66.86
6DBD,52.595062255859375,65.6
7NQA,52.766632080078125,65.87
6UI1,53.12037658691406,67.83
6X05,53.00639343261719,66.67
7B27,54.0059700012207,65.74
1BZQ_NbThermo.00491,53.22231674194336,70.11
1JTO_NbThermo.00112,52.55095291137695,67.01
1KXT,53.29120635986328,57.85
1KXV,51.75085067749024,56.99
1QD0,52.75142288208008,66.56
1RI8,52.76131057739258,78.14
2BSE,51.67363739013672,75.23
2X6M,52.698822021484375,67.13
3DWT_NbThermo.00113_NbThermo.00133,52.74842071533203,77.72
3EBA,52.75717926025391,86.21
3G9A,52.74850463867188,66.55
3J69,52.62251663208008,66.03
3J6A,52.315826416015625,69.02
3P9W,53.5900764465332,60.0
3SN6,53.93740463256836,60.26
4B5E,53.46324157714844,61.66
4C57,52.748565673828125,63.78
4I0C,51.18308639526367,75.79
4I13,52.76157379150391,65.39
4IDL,51.1201171875,53.76
4LJP,52.700782775878906,71.72
4LJS,52.7484245300293,72.49
4QGY,52.74876022338867,74.65
4YGA,53.13769912719727,73.41
4Z9K_NbThermo.00231,53.80533218383789,73.49
5C1M,51.324249267578125,61.35
5FOJ,51.82748031616211,70.81
5J56,52.76081085205078,73.74
5KU2,52.748416900634766,55.16
5M2M,52.74845123291016,74.98
5NM0,51.67308044433594,72.73
5O03,53.87801742553711,69.2
5OCL,52.7492561340332,71.69
5OVW,52.83527374267578,76.47
5TD8,52.77675247192383,66.55
5TJW,52.79581069946289,66.25
5U64,53.37763214111328,73.39
5VLV,51.985313415527344,69.62
5VM4,51.171871185302734,72.93
5VXK,52.74844741821289,65.75
6CK8,53.49761962890625,66.66
6EQI,52.553653717041016,62.47
6FYU,52.85015869140625,64.58
6GWN,52.40277862548828,64.42
6HEQ,53.096641540527344,60.61
6HHU,50.23273468017578,70.29
6I2G,52.34687423706055,61.03
6I8H,52.76547622680664,66.04
6ITP,53.41656112670898,68.38
6KNM,52.70907211303711,69.42
6KSN,53.26509094238281,63.03
6OBC,52.71103286743164,64.04
6OQ5,53.730098724365234,65.81
6OS1,52.748680114746094,71.54
6QKD,52.749019622802734,69.2
6QV1,52.83797073364258,63.83
6RAF,52.7563362121582,86.19
6U12,52.68001937866211,61.28
6U50,51.43408203125,57.07
6U53,52.7804069519043,65.19
6X02,51.17181396484375,76.46
6X03,52.74969100952149,66.97
6XXN,53.23707580566406,80.66
7B18,54.78770065307617,66.14
7E9G,52.7484130859375,59.28
7JVB_NbThermo.00028,52.61704254150391,72.91
7KBI,52.45252227783203,63.45
7MJH,53.62651062011719,59.64
7MY3,49.750091552734375,60.89
7NQK,52.74940490722656,66.46
7OAN,52.78418731689453,67.55
7OAP,52.7033805847168,69.0
7OLZ,52.754486083984375,68.79
sdAb.4875,52.78666305541992,84.2
7KGJ,52.9394760131836,61.6
NbPep1_NbThermo.00045,53.53663635253906,71.86
NbPep2_NbThermo.00046,52.70117950439453,76.13
NbD1_NbThermo.00047,52.74966430664063,65.94
NbPep3_NbThermo.00048,52.8204345703125,60.68
NbPep4_NbThermo.00049,51.27386093139648,67.33
NbD9_NbThermo.00050,53.9442253112793,63.12
NbD8_NbThermo.00051,53.6995964050293,57.2
NbPep5_NbThermo.00052,53.25736999511719,70.44
NbPep7_NbThermo.00054,53.249114990234375,68.49
NbD6_NbThermo.00056,51.74301910400391,70.75
NbPep9_NbThermo.00057,52.7490348815918,72.41
NbPep13_NbThermo.00061,52.80018997192383,69.19
NbPep14_NbThermo.00062,53.517486572265625,72.02
NbPep15_NbThermo.00063,50.35737609863281,67.08
NbPep16_NbThermo.00064,53.66461563110352,74.44
NbPep17_NbThermo.00065,52.84226989746094,71.28
NbPep18_NbThermo.00066,52.74972152709961,70.65
NbD4_NbThermo.00069,52.285301208496094,57.46
NbD3_NbThermo.00085,52.74928665161133,68.48
NbD2_NbThermo.00086,52.7535400390625,66.53
NbD5_NbThermo.00087,53.32390594482422,58.19
NbPep47_NbThermo.00095,52.74876403808594,67.06
NbPep50_NbThermo.00096,52.750606536865234,62.39
NbPep51_NbThermo.00097,52.75186920166016,72.45
NbPep52_NbThermo.00098,52.74908447265625,59.0
NbPep10_NbThermo.00058,52.38823699951172,84.58
NbPep11_NbThermo.00059,52.726444244384766,68.0
NbPep12_NbThermo.00060,52.7505111694336,68.57
NbPep19_NbThermo.00067,52.83966827392578,71.43
NbD12_NbThermo.00070,52.748573303222656,61.46
NbPep21_NbThermo.00071,52.74843597412109,68.73
NbPep22_NbThermo.00072,52.748416900634766,69.54
NbPep23_NbThermo.00073,53.08086013793945,69.63
NbPep24_NbThermo.00074,52.7669563293457,76.09
NbPep25_NbThermo.00075,52.67136764526367,68.33
NbD10_NbThermo.00076,49.92112731933594,59.54
NbPep26_NbThermo.00077,52.785152435302734,72.88
NbPep27_NbThermo.00078,53.2163314819336,85.8
NbPep28_NbThermo.00079,52.2790641784668,63.9
NbPep29_NbThermo.00080,51.33850860595703,55.1
NbPep30_NbThermo.00081,51.499454498291016,75.95
NbPep31_NbThermo.00082,52.75006484985352,62.82
NbPep32_NbThermo.00083,52.69828796386719,58.85
NbPep33_NbThermo.00084,52.551231384277344,74.37
NbD11_NbThermo.00088,52.67197799682617,60.24
NbPep34_NbThermo.00089,52.7484130859375,71.37
NbPep35_NbThermo.00090,52.785404205322266,70.51
NbPep36_NbThermo.00091,53.819942474365234,74.55
NbPep37_NbThermo.00092,52.74750900268555,72.37
NbPep38_NbThermo.00093,52.77169799804688,79.74
NbPep39_NbThermo.00094,52.76355743408203,76.28
NbPep55_NbThermo.00101,51.81206130981445,75.68
NbPep57_NbThermo.00103,52.86505126953125,71.72
NbPep60_NbThermo.00104,52.74849319458008,79.41
NbPep61_NbThermo.00105,52.74842071533203,74.55
NbPep62_NbThermo.00106,52.36430358886719,74.65
NbPep64_NbThermo.00107,53.72882461547852,74.55
NbPep65_NbThermo.00108,53.74517822265625,73.88
NbPep66_NbThermo.00109,53.17124176025391,66.96
NbPep67,53.01036834716797,59.64
NbPep68_NbThermo.00110,53.85692596435547,68.23
NbPep69_NbThermo.00111,52.748443603515625,63.57
NbPep54_NbThermo.00100,52.84185409545898,76.58
NbPep56_NbThermo.00102,53.74602890014648,74.08
1.1yc7_NbThermo.00141_NbThermo.00149,52.72758102416992,70.94
2.4u05_NbThermo.00372,52.748477935791016,83.44
3.6ul4,52.53435134887695,70.59
4.Nb24,52.65898895263672,64.97
5.Nb24.H,52.7484130859375,68.38
6.Nb24.HR,53.3563117980957,72.1
7.Nb24.B,53.031192779541016,69.74
8.Nb24.BR,54.20806503295898,75.84
9.Nb24.L,53.86216354370117,66.87
10.mNb6.H,53.15573501586914,62.59
11.mNb6.B,53.26103591918945,60.6
12.mNb6.BR,53.93919372558594,61.8
14.mNb6.L2,53.60234451293945,55.42
15.C1.K,53.67117691040039,74.83
16.C1.I,53.85646438598633,73.58
17.aGFP_NbThermo.00144_NbThermo.00279,52.74843978881836,67.64
19.1mel.T28C,52.74843215942383,57.61
26.HET.A111C,53.896671295166016,75.13
27.HET.A112C,54.06741714477539,74.59
29.K9.A112C,54.22402572631836,74.05
30.PL,53.97025680541992,75.65
31.QP,53.47405242919922,77.74
32.aS49,54.25415802001953,75.72
33.aS46,54.2568473815918,77.59
34.P2,53.706016540527344,78.34
35.C1,53.87923812866211,77.06
36.mNb6,52.836727142333984,55.31
37.CT1,53.21353912353516,53.44
38.NB201,53.863094329833984,73.46
39.Nb24.G114C,52.73455047607422,56.4
40.P1T,53.18400192260742,82.41
43.C2T,53.8386116027832,78.69
44.T2T,53.3576545715332,78.38
45.D3,53.241790771484375,70.15
NbThermo.00001,54.80909729003906,67.5
NbThermo.00003,53.33493041992188,62.0
NbThermo.00005,52.61237335205078,70.0
NbThermo.00011,52.82106399536133,67.5
NbThermo.00015,53.53750991821289,54.4
NbThermo.00016,52.75608444213867,56.5
NbThermo.00017,53.1231689453125,62.1
NbThermo.00018,54.25701522827149,78.4
NbThermo.00019,52.754486083984375,72.3
NbThermo.00020,54.13311004638672,75.44
NbThermo.00021,53.25503158569336,73.37
NbThermo.00022,52.73925018310547,78.98
NbThermo.00023,52.86151123046875,71.26
NbThermo.00024,53.249908447265625,98.23
NbThermo.00025,52.760650634765625,71.07
NbThermo.00026,52.72970962524414,66.9
NbThermo.00027,52.74886322021485,67.6
NbThermo.00029,52.482818603515625,72.8
NbThermo.00030,52.75118255615234,65.9
NbThermo.00031,53.441673278808594,74.4
NbThermo.00032,52.11150360107422,57.9
NbThermo.00033,52.01779556274414,57.9
NbThermo.00034,52.01170349121094,49.6
NbThermo.00035,53.82545852661133,75.6
NbThermo.00036,52.75532531738281,51.8
NbThermo.00039,51.29563903808594,54.5
NbThermo.00040,53.25878143310547,58.0
NbThermo.00041,52.75767135620117,58.0
NbThermo.00042,52.870887756347656,53.0
NbThermo.00043,51.76261520385742,58.0
NbThermo.00044,52.78121948242188,68.0
NbThermo.00099,52.7515869140625,69.47366501
NbThermo.00114,52.71636962890625,62.0
NbThermo.00115,51.165077209472656,68.0
NbThermo.00116_NbThermo.00130,53.84138488769531,77.85
NbThermo.00117,52.75364685058594,60.0
NbThermo.00118,53.09236907958984,84.2
NbThermo.00119,53.84697723388672,76.2
NbThermo.00120,52.77226638793945,79.4
NbThermo.00121,53.40129089355469,82.5
NbThermo.00122,53.29212188720703,78.4
NbThermo.00123,52.7496337890625,79.5
NbThermo.00124,54.06055068969727,70.0
NbThermo.00125,52.9597282409668,79.9
NbThermo.00126,52.748416900634766,79.6
NbThermo.00127,53.75244522094727,72.0
NbThermo.00128,53.25905990600586,74.3
NbThermo.00129,53.77774429321289,63.4
NbThermo.00131,53.789249420166016,51.5
NbThermo.00132,52.868595123291016,61.9
NbThermo.00134,52.45407485961914,60.2
NbThermo.00135,52.20530700683594,87.0
NbThermo.00136,51.268646240234375,70.0
NbThermo.00137,52.72650909423828,82.0
NbThermo.00138,52.034576416015625,65.6
NbThermo.00139,51.24559020996094,90.0
NbThermo.00140,51.03517532348633,71.4
NbThermo.00142,51.11937713623047,90.0
NbThermo.00143,52.08341217041016,89.0
NbThermo.00145,52.61642456054688,60.3
NbThermo.00146,52.73874282836914,75.7
NbThermo.00147,52.657859802246094,76.2
NbThermo.00148,52.623531341552734,85.0
NbThermo.00150,52.54154586791992,61.0
NbThermo.00151,52.70769882202149,60.0
NbThermo.00152,52.70580291748047,61.0
NbThermo.00153,52.282257080078125,59.0
NbThermo.00154,52.11626434326172,62.0
NbThermo.00155,51.51528930664063,57.0
NbThermo.00156,52.56777572631836,60.0
NbThermo.00158,52.63262176513672,53.0
NbThermo.00159,52.66474914550781,53.0
NbThermo.00160,52.58113098144531,57.0
NbThermo.00161,52.674922943115234,53.0
NbThermo.00162,52.804290771484375,51.0
NbThermo.00163,52.62005233764648,53.0
NbThermo.00164,52.10433197021485,59.0
NbThermo.00165,52.704376220703125,78.0
NbThermo.00166,52.679595947265625,67.0
NbThermo.00167,52.76610565185547,63.0
NbThermo.00168,52.55770492553711,69.0
NbThermo.00169,52.76071166992188,70.0
NbThermo.00170,52.74902725219727,78.0
NbThermo.00171,52.74845886230469,71.0
NbThermo.00172,52.75101089477539,69.0
NbThermo.00173,52.74850463867188,74.0
NbThermo.00174,53.0445556640625,69.0
NbThermo.00175,52.75423049926758,70.0
NbThermo.00176,52.842735290527344,72.0
NbThermo.00177,54.3568229675293,66.0
NbThermo.00178,53.85505294799805,79.0
NbThermo.00179,53.26945114135742,66.0
NbThermo.00180,52.748783111572266,74.0
NbThermo.00184,53.09273147583008,66.0
NbThermo.00185,52.36177444458008,65.0
NbThermo.00186,52.7484130859375,61.0
NbThermo.00187,54.03116226196289,69.0
NbThermo.00188,54.19173812866211,69.0
NbThermo.00189,53.6038932800293,58.0
NbThermo.00190,52.40296936035156,49.0
NbThermo.00191,52.377925872802734,46.0
NbThermo.00192,53.28926086425781,70.0
NbThermo.00193,52.7808837890625,65.0
NbThermo.00194,53.755977630615234,70.0
NbThermo.00195,54.02593612670898,65.0
NbThermo.00196,52.74905776977539,64.0
NbThermo.00197,53.24836730957031,72.0
NbThermo.00198,53.22520446777344,62.0
NbThermo.00199,52.75261688232422,43.38
NbThermo.00200,52.74843215942383,57.47
NbThermo.00201,52.750282287597656,60.59
NbThermo.00202,52.748497009277344,60.01
NbThermo.00203,52.74845123291016,43.08
NbThermo.00204,52.7485580444336,51.16
NbThermo.00205,52.748443603515625,48.91
NbThermo.00206,52.748477935791016,50.74
NbThermo.00207,52.74846649169922,66.0
NbThermo.00208,52.74843978881836,52.35
NbThermo.00209,52.6894416809082,47.25
NbThermo.00210,52.7484130859375,46.8
NbThermo.00211,52.28290939331055,47.02
NbThermo.00212,51.14776611328125,51.0
NbThermo.00213,52.30149841308594,50.0
NbThermo.00214,51.40063095092773,75.0
NbThermo.00215,51.12080383300781,60.0
NbThermo.00216,52.73919677734375,72.0
NbThermo.00217,52.750431060791016,54.0
NbThermo.00218,51.166015625,43.0
NbThermo.00219,53.77992630004883,54.0
NbThermo.00220,52.74860763549805,67.0
NbThermo.00221,52.85562133789063,68.0
NbThermo.00222,53.79709243774414,60.0
NbThermo.00224,52.75262451171875,60.0
NbThermo.00225,52.74842071533203,62.0
NbThermo.00226,52.798336029052734,46.0
NbThermo.00227,52.820533752441406,61.0
NbThermo.00228,52.84268951416016,62.0
NbThermo.00229,52.57887268066406,66.0
NbThermo.00230,52.74871826171875,65.0
NbThermo.00232,52.7485466003418,74.0
NbThermo.00233,52.83756637573242,70.0
NbThermo.00234,51.4967041015625,85.0
NbThermo.00235,52.75552749633789,85.0
NbThermo.00236,53.45161056518555,65.0
NbThermo.00237,53.2554817199707,65.0
NbThermo.00238,52.749019622802734,50.75
NbThermo.00239,52.748233795166016,59.0
