name,pred,exp_tm
WP_068424237.1,48.08306884765625,42.7
WP_229068674.1,49.24947738647461,67.3
MGYP001121581011,53.73312377929688,74.2
WP_085753242.1,46.14842224121094,49.3
WP_103564847.1,45.95333862304688,53.8
WP_240508704.1,47.739845275878906,57.4
RAY11579.1,51.69660186767578,69.4
WP_230616214.1,69.26472473144531,73.9
MGYP000271253724,52.10280990600586,63.4
NUT34383.1,47.3463134765625,48.7
WP_139580723.1,49.22919845581055,68.5
MBT8227529.1,49.20937347412109,47.5
MGYP001097842225,48.74467468261719,59.2
WP_242883606.1,54.95164108276367,69.1
WP_231775152.1,49.080223083496094,45.7
WP_231443412.1,47.22679901123047,42.7
WP_221382552.1,49.257999420166016,59.8
WP_218617243.1,49.103424072265625,60.1
OAA20861.1,46.88809967041016,43.0
WP_019629726.1,47.139259338378906,46.6
KAA1376628.1,46.93589019775391,35.8
MBX3624429.1,46.93179321289063,56.2
MGYP001149455765,46.74877166748047,68.8
WP_184682765.1,48.60111618041992,59.5
MBB5966108.1,48.60087585449219,39.1
WP_077315388.1,46.69572448730469,45.7
ACV09511,46.99152374267578,42.4
WP_085750434.1,46.99970626831055,47.8
WP_166054040.1,47.00232696533203,49.9
WP_042734330.1,44.17410659790039,60.4
WP_203674568.1,49.291481018066406,44.2
WP_084693247.1,69.9427261352539,68.8
TDP67440,47.35039520263672,46.9
WP_201805840.1,46.920372009277344,44.5
WP_233427406.1,52.81932830810547,40.3
MGYP001489421514,49.39369201660156,56.2
OKI36454.1,49.89549255371094,58.0
MBJ7347705.1,46.486907958984375,63.1
WP_119729924.1,48.932594299316406,43.9
WP_035284691,48.21688079833984,51.7
WP_187224800.1,53.056678771972656,49.6
MGYP000221121644,47.90357208251953,57.1
WP_129786244.1,48.1001091003418,52.0
WP_130342639,49.26187896728516,50.5
WP_199827708.1,49.198219299316406,66.1
WP_228771581.1,48.20553588867188,66.1
WP_194636445.1,48.675575256347656,47.5
WP_114422580.1,47.18639373779297,65.8
WP_203733135.1,46.32562255859375,61.9
WP_233872418.1,46.37571716308594,51.4
WP_103564314,52.14017868041992,46.9
WP_103935912.1,49.19823455810547,49.3
SCE72613.1,50.09004211425781,40.6
WP_261809161.1,44.6518669128418,46.3
WP_013736455.1,49.18251037597656,63.1
WP_164449727.1,49.254493713378906,62.8
MXX05622.1,47.1133918762207,52.3
MGYP002620941758,53.34390258789063,69.1
MBN1171866.1,49.696964263916016,64.3
MBO9569276.1,49.19669342041016,55.6
MGYP001498898836,50.94971466064453,67.6
MBN1575504.1,48.98873901367188,64.6
GGY18408.1,53.13816833496094,51.4
WP_151469820.1,53.192832946777344,33.4
GIG90696.1,49.20915222167969,60.4
WCH76321.1,47.20807647705078,73.9
WP_132265752.1,56.80165100097656,64.0
MGYP001195032839,47.82624053955078,30.7
WP_109639600.1,48.0942268371582,57.7
GGO06455.1,49.002418518066406,51.4
WP_132413760.1,47.633602142333984,69.7
MGYP001477358452,49.084808349609375,54.1
WP_260709492.1,48.21637725830078,60.7
WP_079085207.1,48.88317108154297,56.8
MGYP001369932055,46.98365020751953,69.1
MCB1670591.1,48.599395751953125,53.5
MGYP001481302102,48.25691223144531,53.8
MBN1366053.1,46.80598449707031,50.8
MGYP001473616946,46.98895263671875,69.1
WP_264933993.1,52.92495727539063,61.0
MBP7765893.1,46.74329376220703,69.1
MBE1573625.1,50.463409423828125,40.6
MGYP000861817556,46.38536834716797,67.9
WP_071091307.1,48.05963134765625,40.3
MGYP006125138823,46.54718017578125,68.5
WP_256510026.1,52.76361846923828,54.4
WP_249044522.1,48.24781036376953,50.8
WP_119728035.1,48.42716217041016,46.9
WP_229874892.1,49.22466278076172,44.2
WP_086599340.1,53.43739318847656,64.6
MBN2738032.1,47.02599334716797,51.7
WP_225255694.1,54.20375061035156,41.5
WP_252811421.1,52.636863708496094,43.9
SOD43347.1,49.627437591552734,54.1
WP_236244959.1,49.4102668762207,36.1
OLR94321.1,49.328609466552734,41.2
WP_212846608.1,48.048095703125,50.2
GIU85371.1,49.23002624511719,67.0
QEV16333.1,50.84803771972656,50.2
MGYP000483234479,55.567867279052734,44.5
WP_254876803.1,48.74596786499024,60.4
WP_045318561.1,48.04325866699219,55.3
MGYP003582062575,42.30997467041016,25.3
WAU86704.1,48.0857048034668,53.5
NUT97030.1,46.88624572753906,42.1
WP_143590710.1,49.33139801025391,51.4
WP_221087162.1,48.24497985839844,57.1
WP_019633337.1,49.386375427246094,56.5
MBP2328848.1,49.14476013183594,61.6
GHA15288.1,48.76708984375,40.0
MGYP001223859710,52.8144645690918,68.8
GAQ59813.1,53.18389129638672,68.5
WP_239095870.1,49.13951110839844,65.2
WP_239486438.1,49.735816955566406,54.7
WP_109361459.1,52.43194580078125,60.4
NUT53577.1,49.202186584472656,47.2
MGYP001126223609,49.364723205566406,55.9
MGYP002393323206,43.53192901611328,68.2
WP_250563816.1,50.95684814453125,50.8
WP_211769896.1,48.024147033691406,71.8
WP_260422593.1,49.1858024597168,63.1
WP_140175735.1,47.65454864501953,56.2
OLT30808.1,49.850860595703125,49.3
WP_253762837.1,47.882232666015625,52.0
NUS07026.1,47.9716682434082,46.6
WP_218517662.1,49.19780731201172,73.0
MGYP003403985752,48.3534049987793,44.2
WP_150070118.1,47.69262313842773,61.6
WP_256510519.1,48.2087287902832,64.0
WP_167521412.1,52.97739410400391,64.6
WP_132386942.1,52.18402099609375,61.3
WP_232326807.1,49.012691497802734,65.8
WP_246496818.1,49.733341217041016,59.8
GIU85367.1,49.39196014404297,82.3
WP_173061649.1,49.148414611816406,59.5
UAC02078.1,47.01939392089844,67.6
WP_229836555.1,46.94693756103516,68.5
KWV30420.1,52.71100616455078,62.2
WP_268945827.1,48.478759765625,49.6
WP_158852571.1,49.17217254638672,57.4
WP_031525917.1,49.592247009277344,37.0
WP_266249215.1,50.4120979309082,54.4
WP_111214096.1,49.29256820678711,65.8
WP_197042608.1,52.6724739074707,57.1
NJC12853.1,49.38920593261719,62.2
WP_109037790.1,46.49340057373047,55.0
WP_239104322.1,51.6737060546875,62.5
MBP2707703.1,49.63232421875,55.9
WBC00352.1,51.59481430053711,60.7
GGO08527.1,52.57810974121094,49.6
WP_273813526.1,47.14349365234375,51.7
WP_203777396.1,49.34394836425781,61.6
WP_203790592.1,51.191200256347656,58.6
WP_252811421.1,52.689247131347656,43.9
SCF49212.1,54.31310272216797,67.0
WP_204285002.1,52.29039764404297,59.8
WP_210157342.1,50.43849182128906,68.8
WP_132399348.1,52.97418975830078,73.3
MBX3621832.1,46.596153259277344,63.4
WP_085749238.1,46.10723876953125,62.8
MBF9135495.1,49.6523666381836,62.8
WP_181548579.1,49.2341423034668,63.4
WP_082536249.1,46.94702911376953,43.9
WP_239135698.1,46.92729187011719,65.2
WP_267938240.1,51.39281463623047,63.1
WP_234583022.1,52.21863555908203,59.2
WP_182904095.1,49.32508087158203,68.8
TWG17167.1,49.08295440673828,62.5
GHJ08786.1,50.1119499206543,64.6
WP_240522201.1,49.168907165527344,52.0
WP_257828484.1,46.85039520263672,58.6
WP_260615299.1,52.32080841064453,59.2
WP_259405879.1,51.57583618164063,60.7
WP_211363689.1,49.35239410400391,55.0
WP_203822553.1,52.903900146484375,47.8
WP_156114969.1,47.3944091796875,55.3
TNH28703.1,49.204322814941406,63.7
MGYP000246415913,49.045631408691406,35.2
MBO4274871.1,51.90966033935547,62.8
WP_169980303.1,49.72797393798828,59.8
WP_192329846.1,46.84424591064453,49.6
GLI01021.1,48.78585052490234,63.1
WP_084261341.1,49.49139404296875,61.6
WP_252275389.1,48.5588264465332,52.0
WP_203990226.1,52.147422790527344,58.6
WP_220815207.1,48.59257125854492,56.5
WP_007455959.1,49.39082336425781,51.7
GFJ87714.1,51.45521545410156,53.8
WP_223093092.1,54.68943786621094,47.8
WP_204038550.1,49.3900146484375,67.9
WP_265247586.1,48.10118865966797,68.2
MGYP003703942659,46.4801139831543,53.5
WP_271190254.1,49.5571517944336,58.3
WP_203980609.1,49.21730041503906,62.2
MCF0091346.1,49.11797332763672,58.0
MGYP000278479948,45.282318115234375,69.7
WP_093473685.1,44.308624267578125,53.8
WP_160470043.1,48.20158004760742,39.1
WP_199199185.1,49.79832077026367,65.5
WP_033363749.1,46.89469909667969,67.9
WP_167975345.1,47.86382675170898,58.0
WP_130401777.1,49.273170471191406,56.2
WP_247056560.1,47.893096923828125,51.7
WP_203812622.1,46.66796875,40.6
NLY58972.1,46.88532257080078,49.0
WP_201805836.1,46.97698974609375,56.2
MBW4703769.1,48.21706008911133,58.6
PWR09075.1,47.76548004150391,61.0
WP_255830407.1,46.84302520751953,52.0
MTK05241.1,48.98314666748047,61.6
HEC53621.1,46.85678863525391,45.4
WP_086515000.1,48.72443008422852,44.5
WP_020639922.1,48.9459342956543,51.7
WP_039906502.1,49.192970275878906,61.3
MBQ1015012.1,48.8021354675293,55.9
WP_203906211.1,48.022254943847656,57.4
WP_091317053.1,47.8841667175293,55.3
MGYP000647205319,47.52570724487305,46.0
WP_257828480.1,47.19742584228516,47.5
WP_269740835.1,47.463829040527344,66.4
GGR16917.1,48.87685394287109,55.6
WP_239125827.1,46.88410949707031,50.2
WP_144022925.1,46.978790283203125,55.6
WP_090003781.1,46.82978820800781,43.0
WP_247684544.1,49.19717025756836,58.9
PYC64928.1,49.31893157958984,62.2
WP_261760582.1,46.90130615234375,68.8
WP_172899142.1,49.32497024536133,63.1
MBT9528079.1,49.25737762451172,61.3
WP_239086781.1,46.53369140625,54.4
MGYP002388512850,46.78163146972656,70.0
nan,47.94284057617188,93.6
