name,pred
P61500_recA,75.42
Q72G97_recG,83.82
P62662_rpsB,74.67
Q746P0_TT_P0013,83.66
Q746N8_cbiX,83.87
Q72H90_soj,83.5
Q72LP8_TT_C0010,83.18
Q72JA0_minD,80.2
Q72L65_hflX,82.59
Q72L52_TT_C0211,72.69
Q72JN6_TT_C0734,68.68
Q72I41_TT_C1291,81.06
Q72JQ4_TT_C0714,83.44
Q72JG1_rimO,78.91
Q72KY6_TT_C0279,62.75
Q72LK3_TT_C0056,83.9
Q72LH6_livF,76.93
Q72J57_TT_C0922,83.08
Q72GX5_pstB,51.65
Q72HC1_rlmN,78.51
Q72IH8_TT_C1154,83.21
Q72IZ8_TT_C0983,78.15
Q72I16_rplE,78.69
P61941_rpsL,63.19
P62663_rpsC,52.74
Q72KA4_TT_C0543,82.6
Q72LA0_TT_C0159,83.4
Q72J11_livF,77.65
P61537_ruvB,76.99
Q72L33_TT_C0230,83.56
Q72J12_livG,64.93
Q72GG8_TT_C1880,79.04
Q72IJ8_TT_C1134,81.08
Q72J51_ftsE,52.97
Q72J39_miaB,83.29
Q72KZ4_TT_C0271,83.34
Q72I11_rplP,72.77
Q72GI4_dcd,82.63
Q72I12_rpmC,78.41
Q72KT1_TT_C0411,83.44
Q72L15_clpP,64.44
Q72HM2_mreB,76.62
Q72IY3_TT_C0998,83.8
Q72HV0_plsX,82.39
Q72KC1_TT_C0526,83.12
Q72L74_plsY,83.9
Q745Z3_TT_P0162,81.86
Q72K96_TT_C0551,83.79
Q72I53_metK,49.42
Q72IN7_TT_C1095,80.44
Q72GJ7_phoU,82.28
Q72I54_TT_C1278,81.31
Q72JC6_TT_C0852,83.25
Q72K93_rnr,83.74
P62657_rpsO,71.72
Q72JC7_TT_C0851,53.68
Q72HG4_TT_C1523,83.83
P62668_rpsH,75.45
Q72LF7_appF,62.19
Q72KN4_TT_C0377,82.07
Q72JH7_TT_C0795,74.23
Q72HQ8_TT_C1428,78.29
Q72GX4_pstA,62.79
Q72J58_TT_C0921,83.91
Q72K85_mnmE,83.72
P61989_cbiD,80.98
Q72HI3_TT_C1504,83.87
Q72J29_TT_C0952,83.92
Q746D0_TT_P0125,83.73
Q72IW1_aroB,83.87
Q72IH2_glyA,63.02
Q72JU9_rplS,72.23
Q72G84_rpmB,73.04
Q72GX1_mnmA,83.34
Q746A1_TT_P0154,75.01
Q72KB4_mfd,83.91
Q72JZ8_nadA,79.56
Q72H76_purM,83.86
Q72I07_rplB,47.04
Q72LH3_TT_C0086,82.59
Q72L86_clpA,81.13
Q72KZ7_chlI,55.79
Q72I20_rplR,67.3
Q72I04_rplC,66.84
Q72GJ8_phoB,83.9
Q72JK8_TT_C0764,83.85
Q72GE4_murE,83.86
Q72LQ3_TT_C0005,83.86
Q72KR6_mqnE,79.74
Q72HT7_TT_C1399,83.47
Q72J77_recG,82.61
Q72HA7_TT_C1588,80.46
Q72IN1_rplM,73.89
Q72L56_TT_C0207,82.49
P62667_rpsG,73.45
Q72J09_dppB,82.54
Q72KY9_TT_C0276,82.56
Q72HJ5_TT_C1492,82.99
Q72HJ9_TT_C1488,74.13
Q72K53_ftsK,83.44
Q72GD9_TT_C1909,83.74
P62664_rpsD,75.82
Q72JP5_ftsA,73.14
Q72L14_clpX,82.0
P62655_rpsM,72.45
Q72JU4_ffh,83.56
Q72KY0_TT_C0285,65.0
Q746M7_TT_P0026,83.91
Q8VUS5_lysK,83.51
Q746Q1_TT_P0001,83.51
Q72I09_rplV,73.05
Q72J94_TT_C0885,83.83
Q72LC8_clR,83.38
Q72JB3_leuC,52.32
Q72KF5_phzF,83.36
Q72I14_rplN,57.66
Q72GC0_TT_C1928,83.81
Q72K88_TT_C0559,83.72
P61671_mutS,77.17
Q8VRK4_dprA,83.9
Q72JP4_ftsZ,68.39
Q72JR8_rho,54.62
Q746N0_cobQ,83.3
Q72GQ3_TT_C1795,83.85
Q72HX7_TT_C1355,82.73
P62665_rpsE,77.79
Q72I58_prs,67.58
Q72GU0_rlmH,83.43
Q72KI6_TT_C0489,83.87
Q72IB2_TT_C1220,83.57
Q72JP1_mqnC,75.99
Q72GH2_TT_C1876,72.68
Q746H1_parA,83.68
Q746B7_fdhD,54.08
Q72GF3_TT_C1895,83.26
Q72L10_TT_C0255,83.86
Q72L76_rplT,52.99
Q72LF3_TT_C0106,82.06
Q72GT5_TT_C1763,79.92
Q745U7_TT_P0210,55.08
Q72I55_speA,83.89
Q72J43_TT_C0938,81.69
Q745T7_TT_P0220,83.63
Q72GJ0_TT_C1858,83.81
Q72KK6_TT_C0305,83.84
P16608_trpA,83.52
Q72KK5_TT_C0443,83.8
Q72KE4_TT_C0502,83.7
Q72KK0_TT_C0448,82.62
Q72IE4_TT_C1188,83.85
Q72KU0_pyrB,75.13
Q72KN5_TT_C0373,83.9
Q72IB8_TT_C1214,83.86
Q72IX8_TT_C1003,83.8
Q72GV3_TT_C1745,83.78
Q72JQ1_murD,83.83
Q72LB4_TT_C0145,83.82
Q72KM1_TT_C0312,83.85
Q72LI0_TT_C0079,73.57
Q72ID0_TT_C1202,83.39
P62476_rsmH,82.84
Q72GY1_TT_C1717,83.91
Q8VRL0_pilT,76.26
Q72KU3_pyrD,83.85
Q72IC8_TT_C1204,83.9
Q72JP9_murG,83.86
Q745Y8_TT_P0167,55.1
Q72I66_sfuC,83.77
Q72GD3_TT_C1915,53.51
Q72HR2_rplU,76.07
Q746I9_TT_P0066,81.23
Q72HR7_lytR,83.7
Q72K18_livF,83.75
Q72IC7_TT_C1205,57.57
Q72G65_ispH,83.51
Q72JF0_ychF,72.47
Q8VRL3_pilC,83.06
Q746L5_TT_P0038,83.82
Q745V7_TT_P0198,78.54
Q72J00_TT_C0981,83.75
Q72K73_TT_C0298,83.15
Q72J67_TT_C0912,83.63
Q72GJ2_TT_C1856,83.88
Q72KF9_TT_C0354,83.89
Q72IH7_purL,83.23
P62653_rpsJ,65.45
Q72JS9_TT_C0689,65.76
Q72LF8_appD,73.7
Q72KS4_lon1,69.57
Q72J92_secA,76.16
Q72KX7_TT_C0288,70.17
Q72JZ9_TT_C0619,83.85
Q72GE1_nuoN,83.77
Q72GP3_TT_C1805,83.77
Q72KY3_TT_C0282,82.36
Q746E4_TT_P0111,83.55
Q72GS6_TT_C1772,83.64
Q72JK5_TT_C0767,72.89
Q72K69_prkA,81.99
Q72KG6_TT_C0369,83.8
Q72I19_rplF,83.12
Q72LC7_merR,81.07
Q72KK7_TT_C0304,83.45
P62658_rpsQ,69.07
Q72K11_paaB,68.31
Q72KW2_TT_C0402,69.64
Q72IA1_TT_C1231,83.09
Q72KK1_TT_C0447,83.63
Q72HJ6_trpD,83.71
Q72HN7_TT_C1449,83.87
Q72KI0_TT_C0480,83.87
Q72HU3_TT_C1391,83.87
Q72GY8_TT_C1708,81.88
