name,pred,sp,exp_tm
P61500_recA,51.09,T.thermophilus,72.06
Q72G97_recG,80.26,T.thermophilus,72.153
P62662_rpsB,47.29,T.thermophilus,72.216
Q746P0_TT_P0013,57.97,T.thermophilus,72.228
Q746N8_cbiX,55.17,T.thermophilus,72.234
Q72H90_soj,74.93,T.thermophilus,72.258
Q72LP8_TT_C0010,76.31,T.thermophilus,72.269
Q72JA0_minD,49.23,T.thermophilus,72.273
Q72L65_hflX,81.92,T.thermophilus,72.276
Q72L52_TT_C0211,69.35,T.thermophilus,72.283
Q72JN6_TT_C0734,69.0,T.thermophilus,72.316
Q72I41_TT_C1291,77.88,T.thermophilus,72.328
Q72JQ4_TT_C0714,82.87,T.thermophilus,72.33
Q72JG1_rimO,75.33,T.thermophilus,72.356
Q72KY6_TT_C0279,53.14,T.thermophilus,72.378
Q72LK3_TT_C0056,83.34,T.thermophilus,72.379
Q72LH6_livF,80.23,T.thermophilus,72.441
Q72J57_TT_C0922,53.64,T.thermophilus,72.471
Q72GX5_pstB,52.34,T.thermophilus,72.472
Q72HC1_rlmN,52.38,T.thermophilus,72.512
Q72IH8_TT_C1154,54.71,T.thermophilus,72.547
Q72IZ8_TT_C0983,77.32,T.thermophilus,72.562
Q72I16_rplE,59.82,T.thermophilus,72.567
P61941_rpsL,52.67,T.thermophilus,72.573
P62663_rpsC,52.26,T.thermophilus,72.621
Q72KA4_TT_C0543,52.13,T.thermophilus,72.621
Q72LA0_TT_C0159,82.26,T.thermophilus,72.623
Q72J11_livF,49.2,T.thermophilus,72.658
P61537_ruvB,72.7,T.thermophilus,72.665
Q72L33_TT_C0230,78.29,T.thermophilus,72.691
Q72J12_livG,69.67,T.thermophilus,72.734
Q72GG8_TT_C1880,44.16,T.thermophilus,72.752
Q72IJ8_TT_C1134,79.58,T.thermophilus,72.86
Q72J51_ftsE,51.56,T.thermophilus,72.886
Q72J39_miaB,50.01,T.thermophilus,72.972
Q72KZ4_TT_C0271,73.73,T.thermophilus,73.132
Q72I11_rplP,52.04,T.thermophilus,73.157
Q72GI4_dcd,75.13,T.thermophilus,73.294
Q72I12_rpmC,49.51,T.thermophilus,73.338
Q72KT1_TT_C0411,83.24,T.thermophilus,73.343
Q72L15_clpP,51.63,T.thermophilus,73.347
Q72HM2_mreB,74.32,T.thermophilus,73.349
Q72IY3_TT_C0998,78.71,T.thermophilus,73.418
Q72HV0_plsX,61.08,T.thermophilus,73.469
Q72KC1_TT_C0526,77.15,T.thermophilus,73.486
Q72L74_plsY,83.47,T.thermophilus,73.558
Q745Z3_TT_P0162,49.31,T.thermophilus,73.594
Q72K96_TT_C0551,82.55,T.thermophilus,73.624
Q72I53_metK,72.35,T.thermophilus,73.648
Q72IN7_TT_C1095,78.83,T.thermophilus,73.667
Q72GJ7_phoU,52.52,T.thermophilus,73.693
Q72I54_TT_C1278,83.67,T.thermophilus,73.702
Q72JC6_TT_C0852,52.3,T.thermophilus,73.707
Q72K93_rnr,82.72,T.thermophilus,73.717
P62657_rpsO,52.72,T.thermophilus,73.801
Q72JC7_TT_C0851,49.76,T.thermophilus,73.932
Q72HG4_TT_C1523,82.99,T.thermophilus,74.007
P62668_rpsH,75.13,T.thermophilus,74.105
Q72LF7_appF,70.02,T.thermophilus,74.211
Q72KN4_TT_C0377,76.63,T.thermophilus,74.219
Q72JH7_TT_C0795,49.14,T.thermophilus,74.223
Q72HQ8_TT_C1428,57.77,T.thermophilus,74.253
Q72GX4_pstA,83.18,T.thermophilus,74.329
Q72J58_TT_C0921,69.36,T.thermophilus,74.333
Q72K85_mnmE,79.33,T.thermophilus,74.34
