name,pred,exp_tm
CSP_ind_0,49.53,40.0
CSP_ind_1,73.23,81.5
CSP_ind_2,68.33,79.0
CSP_ind_3,51.18,60.0
CSP_ind_4,51.92,62.0
CSP_ind_5,49.43,53.8
CSP_ind_6,54.69,76.9
CSP_ind_7,59.13,58.4
CSP_ind_8,67.14,61.0
CSP_ind_9,69.65,59.8
CSP_ind_10,69.34,76.0
CSP_ind_12,49.74,64.2
CSP_ind_13,51.49,77.0
CSP_ind_14,50.23,69.5
CSP_ind_15,50.63,83.7
CSP_ind_16,50.94,61.1
CSP_ind_17,49.63,75.7
CSP_ind_18,51.0,85.0
CSP_ind_19,50.42,74.7
CSP_ind_20,50.11,50.7
CSP_ind_21,55.93,82.2
CSP_ind_22,51.13,70.1
CSP_ind_23,54.35,75.1
CSP_ind_24,49.55,63.1
CSP_ind_25,51.26,70.4
CSP_ind_26,52.66,69.6
CSP_ind_27,49.86,64.0
CSP_ind_28,50.83,64.6
CSP_ind_29,48.42,49.1
CSP_ind_30,49.7,51.3
CSP_ind_31,49.21,60.2
CSP_ind_32,49.86,65.6
CSP_ind_33,49.54,61.9
CSP_ind_34,49.78,57.1
CSP_ind_35,52.26,74.6
CSP_ind_36,52.12,69.2
CSP_ind_37,50.38,73.2
CSP_ind_38,50.34,71.8
CSP_ind_39,56.33,74.5
CSP_ind_40,52.74,78.1
CSP_ind_41,54.61,70.8
CSP_ind_42,53.68,85.6
CSP_ind_43,50.02,69.3
CSP_ind_44,48.66,54.7
CSP_ind_45,52.36,70.7
CSP_ind_46,54.21,71.2
CSP_ind_47,50.79,69.4
CSP_ind_48,52.09,69.9
CSP_ind_49,49.18,48.6
CSP_ind_50,50.38,62.2
CSP_ind_51,48.71,57.9
CSP_ind_52,53.44,67.6
CSP_ind_53,55.4,69.7
CSP_ind_54,55.91,77.0
CSP_ind_55,50.89,61.5
CSP_ind_56,52.83,62.7
CSP_ind_57,50.31,51.8
CSP_ind_58,51.22,59.9
CSP_ind_59,51.78,68.8
CSP_ind_60,48.94,62.4
CSP_ind_61,49.85,66.7
CSP_ind_62,49.6,66.4
CSP_ind_63,49.77,64.4
CSP_ind_64,51.5,66.8
CSP_ind_65,53.86,73.5
CSP_ind_66,53.02,74.0
CSP_ind_67,55.58,75.4
CSP_ind_68,57.1,77.7
CSP_ind_69,53.93,76.0
CSP_ind_70,53.52,73.5
CSP_ind_71,53.68,74.4
CSP_ind_72,50.94,63.0
CSP_ind_73,51.04,56.0
CSP_ind_74,51.15,63.0
CSP_ind_75,58.78,80.9
CSP_ind_76,48.84,59.1
CSP_ind_77,49.2,60.0
CSP_ind_78,49.31,64.6
CSP_ind_79,48.67,44.6
CSP_ind_80,49.14,50.3
CSP_ind_81,49.34,70.9
CSP_ind_82,52.86,76.1
CSP_ind_83,49.75,64.9
CSP_ind_84,54.88,79.2
CSP_ind_85,54.42,76.7
CSP_ind_86,52.63,75.0
CSP_ind_87,52.22,74.7
CSP_ind_88,52.34,75.9
CSP_ind_89,53.13,77.8
CSP_ind_90,55.15,77.8
CSP_ind_91,52.64,75.4
CSP_ind_92,53.36,68.0
CSP_ind_93,53.54,75.0
CSP_ind_94,54.43,76.1
CSP_ind_95,54.42,75.1
CSP_ind_96,54.45,66.6
CSP_ind_97,54.86,68.9
CSP_ind_98,55.87,76.9
