name,pred,exp_tm
6IBB,53.75,72.12
5MP2,53.69,70.27
6XW6,53.62,66.07
7BC6,53.83,63.0
5MY6,53.78,74.28
6SC5,53.98,65.24
6RTW,54.14,64.21
1ZVY,53.32,65.1
7DSS,54.0,67.53
7AZB,53.85,59.91
5IP4,53.87,63.24
3K81,54.0,64.1
3QXV,53.82,67.24
6RL7,53.7,72.09
5L21,53.57,66.86
6DBD,53.79,65.6
7NQA,53.67,65.87
6UI1,53.78,67.83
6X05,53.92,66.67
7B27,54.04,65.74
1BZQ_NbThermo.00491,53.93,70.11
1JTO_NbThermo.00112,53.46,67.01
1KXT,54.1,57.85
1KXV,53.69,56.99
1QD0,53.78,66.56
1RI8,53.32,78.14
2BSE,53.89,75.23
2X6M,53.57,67.13
3DWT_NbThermo.00113_NbThermo.00133,53.91,77.72
3EBA,53.88,86.21
3G9A,53.45,66.55
3J69,53.54,66.03
3J6A,53.8,69.02
3P9W,53.94,60.0
3SN6,53.93,60.26
4B5E,53.69,61.66
4C57,53.86,63.78
4I0C,53.97,75.79
4I13,53.76,65.39
4IDL,53.43,53.76
4LJP,53.89,71.72
4LJS,53.85,72.49
4QGY,53.8,74.65
4YGA,53.57,73.41
4Z9K_NbThermo.00231,54.02,73.49
5C1M,53.6,61.35
5FOJ,53.44,70.81
5J56,54.01,73.74
5KU2,53.61,55.16
5M2M,53.83,74.98
5NM0,53.84,72.73
5O03,53.98,69.2
5OCL,53.69,71.69
5OVW,53.62,76.47
5TD8,53.81,66.55
5TJW,53.77,66.25
5U64,53.71,73.39
5VLV,53.44,69.62
5VM4,53.64,72.93
5VXK,53.72,65.75
6CK8,54.01,66.66
6EQI,53.71,62.47
6FYU,53.61,64.58
6GWN,53.93,64.42
6HEQ,53.98,60.61
6HHU,53.74,70.29
6I2G,53.93,61.03
6I8H,53.97,66.04
6ITP,53.99,68.38
6KNM,53.67,69.42
6KSN,53.59,63.03
6OBC,53.97,64.04
6OQ5,53.89,65.81
6OS1,53.86,71.54
6QKD,53.84,69.2
6QV1,54.15,63.83
6RAF,53.73,86.19
6U12,53.58,61.28
6U50,53.51,57.07
6U53,54.07,65.19
6X02,53.73,76.46
6X03,53.84,66.97
6XXN,53.81,80.66
7B18,54.14,66.14
7E9G,53.99,59.28
7JVB_NbThermo.00028,53.86,72.91
7KBI,53.83,63.45
7MJH,53.68,59.64
7MY3,53.47,60.89
7NQK,53.7,66.46
7OAN,53.66,67.55
7OAP,53.75,69.0
7OLZ,53.78,68.79
sdAb.4875,53.67,84.2
7KGJ,53.8,61.6
NbPep1_NbThermo.00045,54.03,71.86
NbPep2_NbThermo.00046,53.86,76.13
NbD1_NbThermo.00047,54.11,65.94
NbPep3_NbThermo.00048,53.87,60.68
NbPep4_NbThermo.00049,53.39,67.33
NbD9_NbThermo.00050,53.81,63.12
NbD8_NbThermo.00051,53.86,57.2
NbPep5_NbThermo.00052,53.86,70.44
NbPep7_NbThermo.00054,53.76,68.49
NbD6_NbThermo.00056,53.67,70.75
NbPep9_NbThermo.00057,53.87,72.41
NbPep13_NbThermo.00061,53.77,69.19
NbPep14_NbThermo.00062,53.65,72.02
NbPep15_NbThermo.00063,53.47,67.08
NbPep16_NbThermo.00064,53.85,74.44
NbPep17_NbThermo.00065,53.76,71.28
NbPep18_NbThermo.00066,53.56,70.65
NbD4_NbThermo.00069,53.74,57.46
NbD3_NbThermo.00085,53.73,68.48
NbD2_NbThermo.00086,53.83,66.53
NbD5_NbThermo.00087,53.85,58.19
NbPep47_NbThermo.00095,53.78,67.06
NbPep50_NbThermo.00096,53.85,62.39
NbPep51_NbThermo.00097,53.81,72.45
NbPep52_NbThermo.00098,53.99,59.0
NbPep10_NbThermo.00058,53.65,84.58
NbPep11_NbThermo.00059,53.71,68.0
NbPep12_NbThermo.00060,53.58,68.57
NbPep19_NbThermo.00067,53.7,71.43
NbD12_NbThermo.00070,53.92,61.46
NbPep21_NbThermo.00071,53.64,68.73
NbPep22_NbThermo.00072,53.49,69.54
NbPep23_NbThermo.00073,53.79,69.63
NbPep24_NbThermo.00074,53.79,76.09
NbPep25_NbThermo.00075,53.75,68.33
NbD10_NbThermo.00076,53.8,59.54
NbPep26_NbThermo.00077,53.49,72.88
NbPep27_NbThermo.00078,54.11,85.8
NbPep28_NbThermo.00079,53.78,63.9
NbPep29_NbThermo.00080,53.53,55.1
NbPep30_NbThermo.00081,53.85,75.95
NbPep31_NbThermo.00082,53.84,62.82
NbPep32_NbThermo.00083,53.65,58.85
NbPep33_NbThermo.00084,53.91,74.37
NbD11_NbThermo.00088,53.84,60.24
NbPep34_NbThermo.00089,53.84,71.37
NbPep35_NbThermo.00090,53.82,70.51
NbPep36_NbThermo.00091,54.1,74.55
NbPep37_NbThermo.00092,53.68,72.37
NbPep38_NbThermo.00093,53.81,79.74
NbPep39_NbThermo.00094,53.98,76.28
NbPep55_NbThermo.00101,53.68,75.68
NbPep57_NbThermo.00103,53.93,71.72
NbPep60_NbThermo.00104,53.98,79.41
NbPep61_NbThermo.00105,53.86,74.55
NbPep62_NbThermo.00106,53.64,74.65
NbPep64_NbThermo.00107,53.85,74.55
NbPep65_NbThermo.00108,53.68,73.88
NbPep66_NbThermo.00109,53.91,66.96
NbPep67,53.88,59.64
NbPep68_NbThermo.00110,53.9,68.23
NbPep69_NbThermo.00111,53.77,63.57
NbPep54_NbThermo.00100,53.73,76.58
NbPep56_NbThermo.00102,53.92,74.08
1.1yc7_NbThermo.00141_NbThermo.00149,53.69,70.94
2.4u05_NbThermo.00372,53.55,83.44
3.6ul4,53.7,70.59
4.Nb24,53.72,64.97
5.Nb24.H,53.81,68.38
6.Nb24.HR,53.83,72.1
7.Nb24.B,53.86,69.74
8.Nb24.BR,53.84,75.84
9.Nb24.L,53.82,66.87
10.mNb6.H,53.92,62.59
11.mNb6.B,54.05,60.6
12.mNb6.BR,53.98,61.8
14.mNb6.L2,53.99,55.42
15.C1.K,53.93,74.83
16.C1.I,53.93,73.58
17.aGFP_NbThermo.00144_NbThermo.00279,53.92,67.64
19.1mel.T28C,53.52,57.61
26.HET.A111C,54.09,75.13
27.HET.A112C,54.13,74.59
29.K9.A112C,54.08,74.05
30.PL,54.05,75.65
31.QP,54.03,77.74
32.aS49,54.09,75.72
33.aS46,54.13,77.59
34.P2,53.99,78.34
35.C1,53.96,77.06
36.mNb6,53.77,55.31
37.CT1,53.84,53.44
38.NB201,54.02,73.46
39.Nb24.G114C,53.65,56.4
40.P1T,53.9,82.41
43.C2T,53.95,78.69
44.T2T,53.93,78.38
45.D3,53.62,70.15
NbThermo.00001,54.02,67.5
NbThermo.00003,53.99,62.0
NbThermo.00005,53.61,70.0
NbThermo.00011,53.34,67.5
NbThermo.00015,54.08,54.4
NbThermo.00016,53.85,56.5
NbThermo.00017,53.85,62.1
NbThermo.00018,53.92,78.4
NbThermo.00019,53.62,72.3
NbThermo.00020,54.04,75.44
NbThermo.00021,53.89,73.37
NbThermo.00022,53.85,78.98
