name,pred,exp_tm
WP_068424237.1,50.65,42.7
WP_229068674.1,52.55,67.3
MGYP001121581011,62.9,74.2
WP_085753242.1,46.19,49.3
WP_103564847.1,49.68,53.8
WP_240508704.1,50.71,57.4
RAY11579.1,51.68,69.4
WP_230616214.1,65.54,73.9
MGYP000271253724,54.8,63.4
NUT34383.1,48.03,48.7
WP_139580723.1,53.46,68.5
MBT8227529.1,51.27,47.5
MGYP001097842225,48.25,59.2
WP_242883606.1,52.94,69.1
WP_231775152.1,48.8,45.7
WP_231443412.1,51.25,42.7
WP_221382552.1,50.93,59.8
WP_218617243.1,50.38,60.1
OAA20861.1,,43.0
WP_019629726.1,49.06,46.6
KAA1376628.1,46.17,35.8
MBX3624429.1,49.47,56.2
MGYP001149455765,45.71,68.8
WP_184682765.1,47.38,59.5
MBB5966108.1,50.26,39.1
WP_077315388.1,43.79,45.7
ACV09511,43.26,42.4
WP_085750434.1,46.83,47.8
WP_166054040.1,49.69,49.9
WP_042734330.1,47.12,60.4
WP_203674568.1,50.52,44.2
WP_084693247.1,57.64,68.8
TDP67440,48.39,46.9
WP_201805840.1,47.08,44.5
WP_233427406.1,53.16,40.3
MGYP001489421514,53.1,56.2
OKI36454.1,50.16,58.0
MBJ7347705.1,46.04,63.1
WP_119729924.1,49.78,43.9
WP_035284691,50.74,51.7
WP_187224800.1,52.11,49.6
MGYP000221121644,48.7,57.1
WP_129786244.1,47.84,52.0
WP_130342639,49.95,50.5
WP_199827708.1,48.97,66.1
WP_228771581.1,48.98,66.1
WP_194636445.1,49.81,47.5
WP_114422580.1,49.16,65.8
WP_203733135.1,47.87,61.9
WP_233872418.1,44.57,51.4
WP_103564314,52.77,46.9
WP_103935912.1,50.32,49.3
SCE72613.1,51.55,40.6
WP_261809161.1,47.97,46.3
WP_013736455.1,51.48,63.1
WP_164449727.1,52.27,62.8
MXX05622.1,49.67,52.3
MGYP002620941758,51.18,69.1
MBN1171866.1,53.35,64.3
MBO9569276.1,51.08,55.6
MGYP001498898836,55.46,67.6
MBN1575504.1,52.75,64.6
GGY18408.1,53.28,51.4
WP_151469820.1,53.25,33.4
GIG90696.1,50.35,60.4
WCH76321.1,48.8,73.9
WP_132265752.1,54.52,64.0
MGYP001195032839,44.79,30.7
WP_109639600.1,49.45,57.7
GGO06455.1,51.32,51.4
WP_132413760.1,51.17,69.7
MGYP001477358452,47.01,54.1
WP_260709492.1,51.22,60.7
WP_079085207.1,51.38,56.8
MGYP001369932055,41.78,69.1
MCB1670591.1,46.4,53.5
MGYP001481302102,50.09,53.8
MBN1366053.1,47.88,50.8
MGYP001473616946,47.41,69.1
WP_264933993.1,53.35,61.0
MBP7765893.1,46.12,69.1
MBE1573625.1,51.16,40.6
MGYP000861817556,43.47,67.9
WP_071091307.1,50.94,40.3
MGYP006125138823,44.36,68.5
WP_256510026.1,52.94,54.4
WP_249044522.1,49.16,50.8
WP_119728035.1,49.94,46.9
WP_229874892.1,49.99,44.2
WP_086599340.1,52.68,64.6
MBN2738032.1,49.2,51.7
WP_225255694.1,49.09,41.5
WP_252811421.1,54.21,43.9
SOD43347.1,52.59,54.1
WP_236244959.1,50.83,36.1
OLR94321.1,50.86,41.2
WP_212846608.1,49.89,50.2
GIU85371.1,49.61,67.0
QEV16333.1,52.94,50.2
MGYP000483234479,47.48,44.5
WP_254876803.1,50.99,60.4
WP_045318561.1,49.81,55.3
MGYP003582062575,44.16,25.3
WAU86704.1,48.65,53.5
NUT97030.1,48.6,42.1
WP_143590710.1,51.63,51.4
WP_221087162.1,51.04,57.1
WP_019633337.1,58.85,56.5
MBP2328848.1,52.59,61.6
GHA15288.1,49.87,40.0
MGYP001223859710,50.75,68.8
GAQ59813.1,52.73,68.5
WP_239095870.1,50.7,65.2
WP_239486438.1,54.61,54.7
WP_109361459.1,53.69,60.4
NUT53577.1,50.38,47.2
MGYP001126223609,49.26,55.9
MGYP002393323206,49.34,68.2
WP_250563816.1,56.71,50.8
WP_211769896.1,46.85,71.8
WP_260422593.1,52.0,63.1
WP_140175735.1,49.86,56.2
OLT30808.1,52.19,49.3
WP_253762837.1,48.27,52.0
NUS07026.1,49.9,46.6
WP_218517662.1,52.13,73.0
MGYP003403985752,50.46,44.2
WP_150070118.1,50.29,61.6
WP_256510519.1,49.33,64.0
WP_167521412.1,54.16,64.6
WP_132386942.1,54.65,61.3
WP_232326807.1,51.95,65.8
WP_246496818.1,58.26,59.8
GIU85367.1,52.52,82.3
WP_173061649.1,50.94,59.5
UAC02078.1,46.21,67.6
WP_229836555.1,47.43,68.5
KWV30420.1,56.19,62.2
WP_268945827.1,49.33,49.6
WP_158852571.1,51.24,57.4
WP_031525917.1,53.41,37.0
WP_266249215.1,53.86,54.4
WP_111214096.1,52.15,65.8
WP_197042608.1,60.93,57.1
NJC12853.1,51.24,62.2
WP_109037790.1,47.77,55.0
WP_239104322.1,53.14,62.5
MBP2707703.1,57.03,55.9
WBC00352.1,56.4,60.7
GGO08527.1,59.91,49.6
WP_273813526.1,48.43,51.7
WP_203777396.1,51.25,61.6
WP_203790592.1,51.68,58.6
WP_252811421.1,54.21,43.9
SCF49212.1,60.83,67.0
WP_204285002.1,58.94,59.8
WP_210157342.1,53.07,68.8
WP_132399348.1,56.51,73.3
MBX3621832.1,46.25,63.4
WP_085749238.1,46.19,62.8
MBF9135495.1,53.06,62.8
WP_181548579.1,50.73,63.4
WP_082536249.1,45.39,43.9
WP_239135698.1,46.34,65.2
WP_267938240.1,52.61,63.1
WP_234583022.1,55.34,59.2
WP_182904095.1,52.96,68.8
TWG17167.1,51.45,62.5
GHJ08786.1,52.04,64.6
WP_240522201.1,51.62,52.0
WP_257828484.1,48.23,58.6
WP_260615299.1,58.29,59.2
WP_259405879.1,58.74,60.7
WP_211363689.1,51.29,55.0
WP_203822553.1,55.79,47.8
WP_156114969.1,47.16,55.3
TNH28703.1,51.92,63.7
MGYP000246415913,47.68,35.2
MBO4274871.1,52.8,62.8
WP_169980303.1,55.47,59.8
WP_192329846.1,46.94,49.6
GLI01021.1,51.59,63.1
WP_084261341.1,53.83,61.6
WP_252275389.1,49.23,52.0
WP_203990226.1,60.37,58.6
WP_220815207.1,48.57,56.5
WP_007455959.1,53.57,51.7
GFJ87714.1,54.09,53.8
WP_223093092.1,61.63,47.8
WP_204038550.1,54.32,67.9
WP_265247586.1,52.07,68.2
MGYP003703942659,47.38,53.5
WP_271190254.1,52.64,58.3
WP_203980609.1,50.96,62.2
MCF0091346.1,51.0,58.0
MGYP000278479948,46.17,69.7
WP_093473685.1,44.81,53.8
WP_160470043.1,51.79,39.1
WP_199199185.1,51.89,65.5
WP_033363749.1,46.46,67.9
WP_167975345.1,49.09,58.0
WP_130401777.1,50.6,56.2
WP_247056560.1,49.34,51.7
WP_203812622.1,48.65,40.6
NLY58972.1,46.55,49.0
WP_201805836.1,47.28,56.2
MBW4703769.1,50.66,58.6
PWR09075.1,49.71,61.0
WP_255830407.1,47.68,52.0
MTK05241.1,50.48,61.6
HEC53621.1,46.14,45.4
WP_086515000.1,53.51,44.5
WP_020639922.1,51.0,51.7
WP_039906502.1,51.46,61.3
MBQ1015012.1,50.55,55.9
WP_203906211.1,49.16,57.4
WP_091317053.1,48.62,55.3
MGYP000647205319,54.12,46.0
WP_257828480.1,47.36,47.5
WP_269740835.1,49.67,66.4
GGR16917.1,52.04,55.6
WP_239125827.1,47.38,50.2
WP_144022925.1,48.75,55.6
WP_090003781.1,49.24,43.0
WP_247684544.1,49.45,58.9
PYC64928.1,51.3,62.2
WP_261760582.1,47.41,68.8
WP_172899142.1,50.75,63.1
MBT9528079.1,50.9,61.3
WP_239086781.1,46.38,54.4
MGYP002388512850,45.45,70.0
nan,49.19,93.6
